env/completion_counter,env/current_idx,eval/mean_reward,time/total_timesteps,eval/success_rate,eval/mean_ep_length,env/n_steps,time/iterations,rollout/success_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
0,1089,-0.15929591667372733,1980,0.82,1.46,1980,,,,,,,0.17666667178273202,0.2,0.042805474,-0.0471128687821329,0.001,0.17466160655021667,-0.8045786082744598,-0.015066049993038177,0.01356285810470581,650
,,,1980,,,,66,0.7,7440,0,1.77,-0.21781119000000002,,,,,,,,,,
0,1107,-0.11055029817856848,2010,0.9,1.32,2010,,,,,,,0.23000000454485417,0.2,0.04494059,-0.05091162944212542,0.001,0.08804012387990952,-0.9380417764186859,-0.057859815657138824,0.2465076446533203,660
,,,2010,,,,67,0.67,7565,0,1.81,-0.25783835,,,,,,,,,,
0,1123,-0.09108246623538435,2040,0.9,1.22,2040,,,,,,,0.22000000439584255,0.2,0.045541253,-0.052560778309901225,0.001,0.1958688333630562,-0.9575664281845093,-0.022782273590564728,0.11668199300765991,670
,,,2040,,,,68,0.69,7687,0,1.77,-0.25510695999999994,,,,,,,,,,
0,1142,-0.11043569384142757,2070,0.86,1.32,2070,,,,,,,0.2800000041723251,0.2,0.010382785,-0.04018688442806386,0.001,0.19545444548130037,-0.6598049104213715,0.02111702412366867,0.18710535764694214,680
,,,2070,,,,69,0.7,7803,0,1.8,-0.26556061,,,,,,,,,,
0,1153,-0.04997252993751317,2100,0.9,1.32,2100,,,,,,,0.19666667170822622,0.2,0.008325986,-0.0277204159833488,0.001,0.2791403323411942,-0.9193360030651092,0.02112666144967079,0.25352466106414795,690
,,,2100,,,,70,0.65,7919,0,1.89,-0.32308563999999995,,,,,,,,,,
0,1166,-0.10080758519936353,2130,0.84,1.36,2130,,,,,,,0.2666666742414236,0.2,0.02310731,-0.013017330903870316,0.001,0.5047440364956856,-0.9314087986946106,0.06670436263084412,-0.060037970542907715,700
,,,2130,,,,71,0.62,8033,0,1.92,-0.34730627,,,,,,,,,,
0,1181,-0.10999491398222744,2160,0.9,1.26,2160,,,,,,,0.24333334118127822,0.2,0.023921488,-0.04890088139722728,0.001,0.24571517407894133,-0.8660731375217438,0.019701018929481506,0.10330885648727417,710
,,,2160,,,,72,0.61,8155,0,1.93,-0.36220938999999996,,,,,,,,,,
0,1199,-0.09158375395461917,2190,0.92,1.24,2190,,,,,,,0.0833333346992731,0.2,0.014941426,-0.03639985679027902,0.001,0.19868311285972595,-0.8304291009902954,0.008863911032676697,0.26682746410369873,720
,,,2190,,,,73,0.59,8272,0,1.95,-0.37451184000000004,,,,,,,,,,
0,1216,-0.10943386908154934,2220,0.9,1.24,2220,,,,,,,0.13333333767950534,0.2,0.034649935,-0.046003654338419506,0.001,0.21242379397153854,-0.7412508249282836,-0.009434796869754791,0.01652616262435913,730
,,,2220,,,,74,0.62,8387,0,1.93,-0.3240032699999999,,,,,,,,,,
