rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,env/n_steps,time/total_timesteps,time/fps,env/current_idx,time/time_elapsed,env/completion_counter,train/n_updates,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
-0.07427121,95,1.34,0.93,2850,2850,0,2005,3299,0,940,0.10570299625396729,-0.02977687492966652,0.017361198,0.08602631092071533,0.3500000074505806,-1.0625342071056365,0.001,0.2,-0.04186399612575773,,,
-0.06363885999999999,96,1.28,0.95,2880,2880,0,2033,3331,0,950,0.1954108476638794,-0.020899776369333267,0.037732743,0.13390075340867041,0.3366666793823242,-0.8659938454627991,0.001,0.2,-0.04405324337383103,,,
-0.06395079,97,1.34,0.95,2910,2910,0,2051,3367,0,960,-90.55403900146484,-0.059546928852796555,0.010464677,0.029669866897165775,0.07000000216066837,-1.0470373511314393,0.001,0.2,-0.03128429653045419,,,
-0.07395794,98,1.34,0.94,2940,2940,0,2075,3400,0,970,0.017046332359313965,0.028562895953655243,0.018478598,0.18042182326316833,0.10333333760499955,-0.9177914261817932,0.001,0.2,-0.02457407700751597,,,
-0.11631506999999998,99,1.45,0.9,2970,2970,0,2089,3437,0,980,0.04803287982940674,0.006291978061199188,0.006982493,0.09614713415503502,0.04333333522081375,-0.9638337194919586,0.001,0.2,-0.01593366919861481,,,
,,,,3000,3000,,2107,,0,990,0.13311165571212769,0.027277521789073944,0.013454674,0.27486549913883207,0.05000000223517418,-1.0240248560905456,0.001,0.2,-0.02443571879295634,0.93,-0.07417985098203644,1.31
-0.12559176,100,1.48,0.89,,3000,0,,3626,,,,,,,,,,,,,,
-0.13639493000000003,101,1.53,0.88,3030,3030,0,2129,3661,0,1000,0.3068065643310547,0.03852242976427078,0.015200992,0.24334074556827545,0.07000000141561032,-0.9499121367931366,0.001,0.2,-0.022861682316288424,,,
-0.13569681,102,1.48,0.88,3060,3060,0,2153,3693,0,1010,-0.08636343479156494,0.009357266128063202,0.034348257,0.142674071341753,0.19666666872799396,-0.7473961293697358,0.001,0.2,-0.03742519813279301,,,
-0.15753747,103,1.52,0.86,3090,3090,0,2173,3731,0,1020,0.2689521312713623,-0.007912874221801758,0.030998202,0.11536427959799767,0.1100000023841858,-0.6361413300037384,0.001,0.2,-0.03843126483261585,,,
-0.09494245,104,1.37,0.92,3120,3120,0,2196,3769,0,1030,0.15635979175567627,-0.014054033905267715,0.023950988,0.14791478514671325,0.113333335891366,-0.6356797039508819,0.001,0.2,-0.03620406864521408,,,
-0.09361966999999999,105,1.39,0.91,3150,3150,0,2215,3802,0,1040,-0.6706901788711548,-0.022036518901586533,0.013240236,0.057837250828742984,0.10666666887700557,-0.7547555923461914,0.001,0.2,-0.02177688918231675,,,
-0.08367649,106,1.4,0.92,3180,3180,0,2236,3838,0,1050,0.2267054319381714,-0.007137048989534378,0.03236829,0.1367389030754566,0.22000000663101674,-0.6476695656776428,0.001,0.2,-0.042227950748056034,,,
-0.08399048,107,1.46,0.92,3210,3210,0,2257,3881,0,1060,0.5118389129638672,-0.0434802770614624,0.023942102,0.04455276038497687,0.24666667059063913,-0.7975213587284088,0.001,0.2,-0.03891126815229651,,,
-0.07253794,108,1.44,0.93,3240,3240,0,2278,3914,0,1070,-0.49544191360473633,-0.022202465683221817,0.022984866,0.1207898810505867,0.22000000700354577,-0.7109748601913453,0.001,0.2,-0.04517755179355554,,,
-0.08274731999999997,109,1.47,0.92,3270,3270,0,2298,3954,0,1080,0.1561698317527771,0.0014244727790355682,0.02763613,0.12760815098881723,0.11666666939854622,-0.7655922412872315,0.001,0.2,-0.025858930498361587,,,
-0.1080077,110,1.56,0.89,3300,3300,0,2313,3985,0,1090,-0.0419917106628418,-0.024175167083740234,0.012439559,0.09071821495890617,0.2200000062584877,-0.6541835546493531,0.001,0.2,-0.03259398004660987,,,
-0.09693836000000003,111,1.46,0.91,3330,3330,0,2339,4019,0,1100,0.14301133155822754,-0.03130794316530228,0.049585365,0.17864654809236527,0.11000000461935996,-0.8448283851146698,0.001,0.2,-0.029717285678755978,,,
-0.07648004,112,1.36,0.93,3360,3360,0,2366,4054,0,1110,-48.52598571777344,-0.005886059254407883,0.02159402,0.05952091608196497,0.07000000253319741,-0.5479415416717529,0.001,0.2,-0.012840105676247049,,,
-0.06804854,113,1.4,0.93,3390,3390,0,2387,4086,0,1120,-17.45570945739746,-0.0748554915189743,0.0285093,0.012339930282905698,0.08666666932404041,-0.8358703315258026,0.001,0.2,-0.04291221016707567,,,
-0.02287181,114,1.25,0.97,3420,3420,0,2408,4118,0,1130,-7.760565757751465,-0.06815768778324127,0.019801943,0.006360453693196178,0.19333333820104598,-0.9608147382736206,0.001,0.2,-0.04115995395928564,,,
-0.02340738,115,1.3,0.95,3450,3450,0,2428,4152,0,1140,0.05679506063461304,-0.0034381411969661713,0.06581916,0.09926464781165123,0.28333333171904085,-0.9466174721717835,0.001,0.2,-0.028337413103630204,,,
-0.02514635,116,1.34,0.95,3480,3480,0,2450,4183,0,1150,-1.2408628463745117,-0.0827919989824295,0.022871196,0.01921350876800716,0.1833333346992731,-0.9224533319473267,0.001,0.2,-0.042691048185806754,,,
-0.04348321,117,1.36,0.94,3510,3510,0,2476,4217,0,1160,-11.86112117767334,-0.05363364517688751,0.033441458,0.01092904293909669,0.1766666740179062,-0.9200022757053375,0.001,0.2,-0.045224866444865695,,,
-0.04215643,118,1.32,0.94,3540,3540,0,2498,4249,0,1170,0.053857266902923584,-0.00508507713675499,0.023912767,0.11662693694233894,0.12333333753049373,-0.8056739270687103,0.001,0.2,-0.03220016301143911,,,
-0.04095919000000001,119,1.23,0.96,3570,3570,0,2524,4283,0,1180,-0.29846084117889404,-0.05682705342769623,0.027803628,0.014948281412944197,0.13666666932404042,-0.8690945386886597,0.001,0.2,-0.03869462802385328,,,
-0.05995088999999999,120,1.23,0.94,3600,3600,0,2550,4317,0,1190,0.16369223594665527,-0.02013106644153595,0.016629715,0.07576617449522019,0.1133333370089531,-0.8934859812259675,0.001,0.2,-0.02840653125196697,,,
-0.0715222,121,1.27,0.93,3630,3630,0,2572,4349,0,1200,0.1913025975227356,-0.053007520735263824,0.12097869,0.08521827384829521,0.2866666726768017,-0.8320186078548432,0.001,0.2,-0.05688107154021651,,,
-0.07151698,122,1.27,0.94,3660,3660,0,2594,4381,0,1210,0.5917274355888367,-0.05701880902051926,0.026560819,0.04563474804162979,0.10666667148470879,-0.7487784206867218,0.001,0.2,-0.04148916646838217,,,
