env/completion_counter,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,env/n_steps,env/current_idx,time/fps,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/approx_kl
0,27600,0.96,1.1,-0.048040642077103256,27600,16061,,,,,,,-0.4312200206518173,0.2,0.00655895471572876,0.2176988637447357,910,0.14007721196860076,-0.039363772133365275,-0.026905067265033722,0.001,0.08372496
,27600,,,,,,0,92,0.75,41707,-0.24471600999999996,1.59,,,,,,,,,,
0,27900,0.88,1.32,-0.09050426927860826,27900,16256,,,,,,,-0.42179039895534515,0.2,-0.03059530258178711,0.23991477310657502,920,0.11673152685165405,-0.04627323474735021,-0.025462506338953972,0.001,0.11533924
,27900,,,,,,0,93,0.75,42149,-0.20115433999999996,1.57,,,,,,,,,,
0,28200,0.86,1.34,-0.1316811725171283,28200,16460,,,,,,,-0.400502690076828,0.2,0.10724592208862305,0.2226988634467125,930,0.10139271266758441,-0.04700818554963917,-0.04492907226085663,0.001,0.13985631
,28200,,,,,,0,94,0.85,42584,-0.13827433,1.36,,,,,,,,,,
0,28500,0.92,1.26,-0.029942309516482055,28500,16638,,,,,,,-0.3607527405023575,0.2,0.051597416400909424,0.21982954546809197,940,0.09589544802904129,-0.04806314851157367,-0.06569282710552216,0.001,0.123444855
,28500,,,,,,0,95,0.71,43066,-0.27100165,1.67,,,,,,,,,,
0,28800,0.82,1.42,-0.17527680013328792,28800,16815,,,,,,,-0.43867490291595457,0.2,-0.10699248313903809,0.21946022778749466,950,0.1369820301234722,-0.04007530882954598,-0.02923329919576645,0.001,0.09018956
,28800,,,,,,0,96,0.7,43499,-0.2670033,1.64,,,,,,,,,,
0,29100,0.92,1.22,-0.06926758428104222,29100,16999,,,,,,,-0.4372596055269241,0.2,0.040707170963287354,0.22875000029802323,960,0.1464544802159071,-0.04548834187909961,-0.02213423326611519,0.001,0.08824964
,29100,,,,,,0,97,0.72,43917,-0.21933812000000003,1.63,,,,,,,,,,
0,29400,0.84,1.36,-0.11111831752117723,29400,17185,,,,,,,-0.392576310634613,0.2,-0.1354379653930664,0.2001136364042759,970,0.15030967764556408,-0.03946818760130554,-0.03223000466823578,0.001,0.09876009
,29400,,,,,,0,98,0.71,44343,-0.2640722300000001,1.64,,,,,,,,,,
0,29700,0.84,1.32,-0.13300945662893354,29700,17360,,,,,,,-0.4261092734336853,0.2,0.029016077518463135,0.25619318172335626,980,0.125454665645957,-0.050861484671477226,-0.04938895255327225,0.001,0.1427438
,29700,,,,,,0,99,0.73,44763,-0.23614628999999998,1.65,,,,,,,,,,
0,30000,0.82,1.4,-0.19780275238212197,30000,17536,,,,,,,-0.4240616285800934,0.2,0.009662449359893799,0.21022727370262145,990,0.1363952314853668,-0.04387881867587566,-0.025891300290822983,0.001,0.11728287
,30000,,,,,,0,100,0.7,45171,-0.26615430999999995,1.65,,,,,,,,,,
0,30300,0.94,1.12,-0.0692957632848993,30300,17717,,,,,,,-0.39258024483919146,0.2,-0.1320415735244751,0.23392045438289644,1000,0.1247058629989624,-0.04702329465188086,-0.054369837045669556,0.001,0.121874616
,30300,,,,,,0,101,0.71,45598,-0.26847214999999996,1.72,,,,,,,,,,
0,30600,0.78,1.52,-0.1733347558649257,30600,17900,,,,,,,-0.3788066291809082,0.2,-0.06551218032836914,0.20326704621315003,1010,0.13464303009212017,-0.03848331345245242,-0.061312269419431686,0.001,0.10478985
,30600,,,,,,0,102,0.76,46012,-0.22662536999999996,1.54,,,,,,,,,,
0,30900,0.94,1.16,-0.04941569779068231,30900,18068,,,,,,,-0.3989977189898491,0.2,-0.22926092147827148,0.2193181824684143,1020,0.14031950809061527,-0.04424256888218224,-0.042443931102752686,0.001,0.087918624
,30900,,,,,,0,103,0.66,46415,-0.33026895,1.76,,,,,,,,,,
0,31200,0.92,1.18,-0.050102017307654026,31200,18254,,,,,,,-0.44281637310981753,0.2,-0.10811328887939453,0.2907386362552643,1030,0.13381619431078434,-0.05960406081750989,-0.04925771802663803,0.001,0.15718453
,31200,,,,,,0,104,0.75,46901,-0.25585377000000004,1.53,,,,,,,,,,
0,31500,0.94,1.2,-0.0688592021074146,31500,18432,,,,,,,-0.40044584274291994,0.2,-0.004346609115600586,0.2208522726595402,1040,0.1255006042122841,-0.04492320334538817,-0.017870675772428513,0.001,0.080991715
,31500,,,,,,0,105,0.71,47320,-0.24943035,1.67,,,,,,,,,,
0,31800,0.96,1.1,-0.048892488507553934,31800,18609,,,,,,,-0.4090660434961319,0.2,0.054620206356048584,0.22940340906381607,1050,0.14245058856904508,-0.04494045052677393,-0.0428948737680912,0.001,0.15311882
,31800,,,,,,0,106,0.66,47728,-0.32949698000000005,1.77,,,,,,,,,,
0,32100,0.92,1.26,-0.06927063566166908,32100,18786,,,,,,,-0.42192872524261477,0.2,0.06413358449935913,0.2594886362552643,1060,0.13848821729421615,-0.05295066889375448,-0.06797193735837936,0.001,0.14102115
,32100,,,,,,0,107,0.71,48134,-0.26041468,1.64,,,,,,,,,,
0,32400,0.8,1.46,-0.19406516989227385,32400,18969,,,,,,,-0.3873596638441086,0.2,0.0015352964401245117,0.2407386364042759,1070,0.1311947888880968,-0.050734523832798,-0.07095629721879959,0.001,0.12379201
,32400,,,,,,0,108,0.68,48566,-0.26244692000000003,1.71,,,,,,,,,,
0,32700,0.82,1.4,-0.1364178755134344,32700,19147,,,,,,,-0.32545022428035736,0.2,-0.044753313064575195,0.21349431842565536,1080,0.13228769704699517,-0.044938394501805305,-0.020622774958610535,0.001,0.08260496
,32700,,,,,,0,109,0.6,48983,-0.29874497,1.84,,,,,,,,,,
0,33000,0.92,1.18,-0.04840159163810313,33000,19314,,,,,,,-0.39684901654720306,0.2,0.10390329360961914,0.24531249955296516,1090,0.12342794142663478,-0.04775164635851979,-0.05225038528442383,0.001,0.11873637
,33000,,,,,,0,110,0.63,49386,-0.35694676000000003,1.79,,,,,,,,,,
0,33300,0.82,1.46,-0.11810158658772707,33300,19496,,,,,,,-0.4517758458852768,0.2,0.019710659980773926,0.27539772748947144,1100,0.1320519444346428,-0.04874090502038598,-0.05853836238384247,0.001,0.13485631
,33300,,,,,,0,111,0.75,49819,-0.25645260000000003,1.59,,,,,,,,,,
0,33600,0.84,1.38,-0.1535573807451874,33600,19665,,,,,,,-0.41814513027668,0.2,0.018767952919006348,0.30829545319080354,1110,0.13715663880109788,-0.057119183372706175,-0.07363060116767883,0.001,0.21073087
,33600,,,,,,0,112,0.65,50248,-0.2997285,1.78,,,,,,,,,,
