eval/success_rate,eval/mean_reward,env/completion_counter,env/n_steps,time/total_timesteps,eval/mean_ep_length,env/current_idx,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss
0.98,-0.026746515571139752,0,2910,2910,1.06,1751,,,,,,,960,0.16018796861171722,-3.935595373905088e-06,-0.02090747468173504,0.0,0.0,0.001,0.2,0.17157894372940063,0.06560299545526505
,,,,2910,,,1.54,0.78,11036,-0.20344642999999998,97,0,,,,,,,,,,
0.94,-0.04830183358397335,0,2940,2940,1.18,1773,,,,,,,970,0.08274787254631519,-0.0003539303970926611,-0.02788318954408169,4.1584176e-06,0.0,0.001,0.2,0.36382830142974854,0.01927928254008293
,,,,2940,,,1.5,0.81,11159,-0.19016856999999998,98,0,,,,,,,,,,
0.82,-0.13230572438798846,0,2970,2970,1.42,1791,,,,,,,980,0.10699480026960373,-0.006934639049383584,-0.19590850174427032,0.024103142,0.0666666679084301,0.001,0.2,0.4351196885108948,0.029062267392873764
,,,,2970,,,1.56,0.79,11282,-0.21206142999999997,99,0,,,,,,,,,,
0.92,-0.0914747599978,0,3000,3000,1.28,1811,,,,,,,990,0.17975459843873978,-0.005180414301576164,-0.02621187549084425,0.0072545805,0.020000001043081285,0.001,0.2,0.17560529708862305,0.06097565218806267
,,,,3000,,,1.52,0.81,11398,-0.19194255999999998,100,0,,,,,,,,,,
0.88,-0.05147134568542242,0,3030,3030,1.26,1830,,,,,,,1000,0.0922183558344841,-0.022608741059278438,-0.17291855365037917,0.01581523,0.06333333626389503,0.001,0.2,0.5034750699996948,-0.00455581396818161
,,,,3030,,,1.52,0.81,11509,-0.18628835,101,0,,,,,,,,,,
0.82,-0.11427406972274184,0,3060,3060,1.4,1850,,,,,,,1010,0.13972487449645996,-0.0005779248440134666,-0.04414152912795544,4.8041343e-06,0.0,0.001,0.2,0.1819325089454651,0.03961579501628876
,,,,3060,,,1.52,0.8,11633,-0.20129248000000005,102,0,,,,,,,,,,
0.9,-0.11367483709007502,0,3090,3090,1.3,1866,,,,,,,1020,0.25265261977910997,-0.007315019282201884,-0.051676546782255174,0.006509525,0.023333334550261497,0.001,0.2,-0.12315797805786133,0.08087509125471115
,,,,3090,,,1.57,0.76,11750,-0.24419275,103,0,,,,,,,,,,
0.98,-0.007662864993326366,0,3120,3120,1.1,1887,,,,,,,1030,0.13598858714103698,-0.006769445056367474,-0.2095961019396782,0.008625665,0.02666666731238365,0.001,0.2,0.49106186628341675,0.03796795755624771
,,,,3120,,,1.56,0.78,11858,-0.23254662999999995,104,0,,,,,,,,,,
0.96,-0.03055767634883523,0,3150,3150,1.12,1905,,,,,,,1040,0.18595530837774277,-0.00304099399751685,-0.06261531226336955,0.014236091,0.020000001043081285,0.001,0.2,0.03557717800140381,0.07949357479810715
,,,,3150,,,1.58,0.77,11972,-0.23073656,105,0,,,,,,,,,,
0.9,-0.07017033392563463,0,3180,3180,1.28,1921,,,,,,,1050,0.20812632590532304,-0.005152432979860633,-0.03463657908141613,0.008073322,0.023333334550261497,0.001,0.2,0.08328139781951904,0.08327369391918182
,,,,3180,,,1.61,0.76,12089,-0.23337149000000001,106,0,,,,,,,,,,
0.9,-0.11252008508425206,0,3210,3210,1.32,1940,,,,,,,1060,0.13429372012615204,-0.01440186166514954,-0.1767381966114044,0.01211967,0.056666668877005576,0.001,0.2,0.1826300024986267,0.026591427624225616
,,,,3210,,,1.65,0.74,12198,-0.26907191,107,0,,,,,,,,,,
0.94,-0.07078856905456632,0,3240,3240,1.18,1958,,,,,,,1070,0.23421539217233658,-0.002934518884091286,-0.04458406828343868,0.0020239472,0.023333334550261497,0.001,0.2,-0.0022727251052856445,0.08412748575210571
,,,,3240,,,1.64,0.75,12313,-0.24186785,108,0,,,,,,,,,,
0.9,-0.04906679725740105,0,3270,3270,1.22,1975,,,,,,,1080,0.16382572650909424,-0.003947203111213859,-0.13697817027568818,0.013874406,0.036666668578982355,0.001,0.2,0.03303372859954834,0.0433700792491436
,,,,3270,,,1.66,0.75,12423,-0.22609852,109,0,,,,,,,,,,
0.9,-0.10995392488315701,0,3300,3300,1.24,1993,,,,,,,1090,0.19494245946407318,-0.012197011063496178,-0.040219922177493574,0.00190353,0.023333334550261497,0.001,0.2,-0.032294631004333496,0.0588206872344017
,,,,3300,,,1.72,0.7,12537,-0.26966294,110,0,,,,,,,,,,
0.94,-0.031440493133850396,0,3330,3330,1.24,2014,,,,,,,1100,0.22802484035491943,-0.0033486846902327726,-0.02273749653249979,0.0071784575,0.020000001043081285,0.001,0.2,-0.1908276081085205,0.07433870434761047
,,,,3330,,,1.63,0.74,12652,-0.22411825999999999,111,0,,,,,,,,,,
0.9,-0.09196991000324488,0,3360,3360,1.22,2036,,,,,,,1110,0.11727248653769493,-0.0029341995820868936,-0.0801078125834465,0.005237311,0.020000001043081285,0.001,0.2,0.08053219318389893,0.03872071951627731
,,,,3360,,,1.56,0.77,12773,-0.19959478999999994,112,0,,,,,,,,,,
0.94,-0.0689174915663898,0,3390,3390,1.18,2050,,,,,,,1120,0.23069122135639192,-7.585982496198796e-05,-0.030390234664082527,1.390775e-07,0.0,0.001,0.2,-0.13389599323272705,0.09882597625255585
,,,,3390,,,1.63,0.74,12878,-0.2243886,113,0,,,,,,,,,,
0.9,-0.11194211244117469,0,3420,3420,1.26,2070,,,,,,,1130,0.22997836619615555,-0.00010515312207042271,-0.03213480208069086,1.0669231e-06,0.0,0.001,0.2,-0.03232896327972412,0.10157499462366104
,,,,3420,,,1.57,0.77,12990,-0.19917726,114,0,,,,,,,,,,
0.94,-0.04983645040541887,0,3450,3450,1.18,2090,,,,,,,1140,0.22682352364063263,3.3596356309573136e-05,-0.03287178203463555,7.947286e-09,0.0,0.001,0.2,-0.09237551689147949,0.10062319040298462
,,,,3450,,,1.55,0.77,13098,-0.20797437999999996,115,0,,,,,,,,,,
0.8,-0.13219658203423024,0,3480,3480,1.44,2111,,,,,,,1150,0.2222283035516739,-8.07913133222371e-05,-0.03961083553731441,9.735426e-07,0.0,0.001,0.2,0.22456812858581543,0.09030374139547348
,,,,3480,,,1.55,0.76,13220,-0.22220366999999996,116,0,,,,,,,,,,
0.86,-0.1313448443543166,0,3510,3510,1.3,2131,,,,,,,1160,0.20565850734710694,-0.00834453820677794,-0.07425636202096939,0.006260848,0.013333334028720856,0.001,0.2,-0.029587626457214355,0.07076483964920044
,,,,3510,,,1.6,0.74,13330,-0.23050544000000003,117,0,,,,,,,,,,
0.86,-0.13222227387595922,0,3540,3540,1.34,2150,,,,,,,1170,0.18830799758434297,-0.006755058917527368,-0.044906309619545934,0.022490866,0.026666668057441712,0.001,0.2,0.06012755632400513,0.07125120609998703
,,,,3540,,,1.49,0.78,13444,-0.19640032,118,0,,,,,,,,,,
0.9,-0.11180156663060188,0,3570,3570,1.22,2169,,,,,,,1180,0.15442933440208434,-0.03005093626677997,-0.1896741732954979,0.17644301,0.126666671782732,0.001,0.2,0.2621111273765564,0.025259066373109818
,,,,3570,,,1.52,0.77,13562,-0.21132365999999997,119,0,,,,,,,,,,
0.98,-0.028678170684725047,0,3600,3600,1.16,2188,,,,,,,1190,0.1752332404255867,-0.014454556187459744,-0.18832958042621611,0.009989405,0.036666668578982355,0.001,0.2,0.15323442220687866,0.049600984901189804
,,,,3600,,,1.52,0.77,13674,-0.21351665,120,0,,,,,,,,,,
0.9,-0.09060010268352926,0,3630,3630,1.24,2209,,,,,,,1200,0.20618421733379363,-0.012470364576826575,-0.09315570592880248,0.01469647,0.023333334550261497,0.001,0.2,0.11081570386886597,0.061644941568374634
,,,,3630,,,1.5,0.78,13791,-0.21029126,121,0,,,,,,,,,,
0.94,-0.06915236855857074,0,3660,3660,1.2,2228,,,,,,,1210,0.10808945596218109,-0.0003448481277882109,-0.059396110102534296,2.571543e-05,0.0,0.001,0.2,0.3782091736793518,0.03776310011744499
,,,,3660,,,1.54,0.76,13895,-0.22935284000000003,122,0,,,,,,,,,,
