env/n_steps,eval/mean_ep_length,time/total_timesteps,eval/success_rate,env/current_idx,env/completion_counter,eval/mean_reward,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl
,,660,,,,,0,-0.27777619000000003,2700,2.33,22,0.77,,,,,,,,,,
690,1.5,690,0.88,272,0,-0.14887233409099282,,,,,,,220,0.12562376260757446,0.1002898808568716,0.001,-0.00789695419371128,-0.017323712105862654,0.06666666902601719,0.2,-0.6073623895645142,0.01344681
,,690,,,,,0,-0.27384987,2844,2.25,23,0.79,,,,,,,,,,
720,1.22,720,1.0,287,0,-0.009895384884439409,,,,,,,230,0.12121695280075073,0.24657403379678727,0.001,0.05893229693174362,-0.010430379893708163,0.013333334028720856,0.2,-0.6498381674289704,0.005233576
,,720,,,,,0,-0.26974135,2958,2.19,24,0.79,,,,,,,,,,
750,1.24,750,0.96,304,0,-0.029268238763324916,,,,,,,240,0.02982240915298462,0.15859092697501181,0.001,0.0029725953936576843,-0.015823431148504243,0.10000000298023223,0.2,-0.4854444444179535,0.008356398
,,750,,,,,0,-0.23997713999999998,3072,2.09,25,0.82,,,,,,,,,,
780,1.36,780,0.94,320,0,-0.07078024560119957,,,,,,,250,0.37527185678482056,0.11828070133924484,0.001,0.024315841495990753,-0.009199175788089597,0.05000000260770321,0.2,-0.5933384835720062,0.01694912
,,780,,,,,0,-0.20065533000000002,3184,1.91,26,0.85,,,,,,,,,,
810,1.66,810,0.84,340,0,-0.1806691910047084,,,,,,,260,0.22476661205291748,0.2651927649974823,0.001,0.05975194647908211,-0.02168375873162103,0.06666666865348816,0.2,-0.7382469356060029,0.01396865
,,810,,,,,0,-0.15864924,3328,1.75,27,0.88,,,,,,,,,,
840,1.2,840,0.98,357,0,-0.028897789702750743,,,,,,,270,0.3854939341545105,0.16810452938079834,0.001,0.032969243824481964,-0.01903284944283463,0.12000000178813934,0.2,-0.4872887134552002,0.020868503
,,840,,,,,0,-0.17114996999999998,3432,1.75,28,0.87,,,,,,,,,,
870,1.36,870,0.96,374,0,-0.05169122090563178,,,,,,,280,-0.07886195182800293,0.1804470606148243,0.001,0.04868878051638603,-0.002634811580646712,0.0,0.2,-0.397381991147995,0.00011226336
,,870,,,,,0,-0.16135942,3543,1.78,29,0.87,,,,,,,,,,
900,1.34,900,0.94,387,0,-0.05176335735246539,,,,,,,290,0.2373221516609192,0.11899184510111808,0.001,0.026050373911857605,-0.0062640448880847185,0.030000001564621924,0.2,-0.4181132882833481,0.005519549
,,900,,,,,0,-0.15228016,3657,1.8,30,0.88,,,,,,,,,,
930,1.34,930,0.98,401,0,-0.03192672492004931,,,,,,,300,-0.2551959753036499,0.11986795365810395,0.001,0.009619265794754028,-0.018338831911484423,0.13000000193715094,0.2,-0.5054403901100158,0.041715495
,,930,,,,,0,-0.17442273,3767,1.82,31,0.87,,,,,,,,,,
960,1.06,960,1.0,421,0,-0.006622556955553591,,,,,,,310,0.13301217555999756,0.20660472214221953,0.001,0.05816977843642235,-0.007348133311995042,0.020000001043081285,0.2,-0.6446419179439544,0.004678434
,,960,,,,,0,-0.14689566000000004,3880,1.79,32,0.89,,,,,,,,,,
990,1.18,990,1.0,438,0,-0.01088837206363678,,,,,,,320,0.17024099826812744,0.14719484820961953,0.001,-0.006149724125862122,-0.04562076665461064,0.16333333402872086,0.2,-0.43129695355892184,0.07201457
,,990,,,,,0,-0.16256349,3987,1.86,33,0.88,,,,,,,,,,
1020,1.46,1020,0.92,451,0,-0.09234516029711813,,,,,,,330,0.24220877885818481,0.1796995557844639,0.001,0.06178538501262665,0.0030370383410869726,0.020000001043081285,0.2,-0.2568916201591492,0.0014417768
,,1020,,,,,0,-0.17085976,4107,1.89,34,0.87,,,,,,,,,,
1050,1.2,1050,0.98,473,0,-0.029031996964477003,,,,,,,340,0.18506306409835815,0.18443452417850495,0.001,0.0599297434091568,-0.010461499338659053,0.04000000208616257,0.2,-0.2813211798667908,0.0068862597
,,1050,,,,,0,-0.16092147,4216,1.85,35,0.88,,,,,,,,,,
1080,1.42,1080,0.94,483,0,-0.07581170829944313,,,,,,,350,-0.08446025848388672,0.09910092577338218,0.001,0.03072444722056389,-0.0032340150984237147,0.01666666753590107,0.2,-0.3272623896598816,0.0031140486
,,1080,,,,,0,-0.17323520000000003,4336,1.9,36,0.87,,,,,,,,,,
1110,1.1,1110,0.98,495,0,-0.028452424108982088,,,,,,,360,-0.3044443130493164,0.2504986360669136,0.001,0.06369587033987045,-0.014516319371759855,0.0533333346247673,0.2,-0.35892987847328184,0.0091352975
,,1110,,,,,0,-0.18935912,4435,1.93,37,0.85,,,,,,,,,,
1140,1.32,1140,0.96,512,0,-0.0506541592720896,,,,,,,370,0.2251356840133667,0.16020756512880324,0.001,0.05681810900568962,-0.004399668142820357,0.006666667014360428,0.2,-0.35929105877876283,0.0020640632
,,1140,,,,,0,-0.19391565999999996,4547,1.96,38,0.83,,,,,,,,,,
1170,1.34,1170,0.96,523,0,-0.051139117740094664,,,,,,,380,0.19586396217346191,0.18153995126485825,0.001,0.06583882868289948,-0.0021741910484465166,0.013333334028720856,0.2,-0.2582977369427681,0.0021018465
,,1170,,,,,0,-0.21119312999999998,4665,2.05,39,0.82,,,,,,,,,,
1200,1.4,1200,0.92,543,0,-0.0929502784460783,,,,,,,390,0.13704586029052734,0.19660786241292955,0.001,0.05630844086408615,-0.004048379319720042,0.013333334028720856,0.2,-0.22578762620687484,0.0024342895
