eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/current_idx,env/completion_counter,env/n_steps,eval/mean_reward,rollout/ep_len_mean,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss
1.5,0.92,9300,3780,0,9300,-0.07621172246523202,,,,,,,-0.07254332304000854,-0.6510142689943313,0.06502961,-0.2303675413131714,300,0.001,0.24869318217039107,0.2,-0.046373003907501695,0.08925280382856726
,,9300,,,,,2.11,0,0.82,31,13988,-0.24153126999999996,,,,,,,,,,
1.34,0.92,9600,3924,0,9600,-0.09486245475709439,,,,,,,-0.07645374536514282,-0.7118237459659577,0.075030155,0.04000610113143921,310,0.001,0.26014204606413843,0.2,-0.06152694890275598,0.11090927496552468
,,9600,,,,,2.0,0,0.84,32,14414,-0.23422203000000003,,,,,,,,,,
1.38,0.94,9900,4064,0,9900,-0.0746542661311105,,,,,,,-0.09013083577156067,-0.6943584209680558,0.098681614,0.07018142938613892,320,0.001,0.31355113595724105,0.2,-0.060505186319351194,0.10591713387519121
,,9900,,,,,2.13,0,0.84,33,14884,-0.19322127999999997,,,,,,,,,,
1.56,0.92,10200,4219,0,10200,-0.07499871218111366,,,,,,,-0.09965220093727112,-0.6731729573011398,0.086628586,-0.05771005153656006,330,0.001,0.26977272778749467,0.2,-0.05348944182740525,0.10542054668068886
,,10200,,,,,1.84,0,0.86,34,15335,-0.15097021,,,,,,,,,,
1.22,0.98,10500,4362,0,10500,-0.029710477897897363,,,,,,,-0.06373980641365051,-0.7700938713550568,0.12273445,-0.015035152435302734,340,0.001,0.3084659093618393,0.2,-0.06496311131864786,0.08360779890790582
,,10500,,,,,2.04,0,0.83,35,15770,-0.22108232999999994,,,,,,,,,,
1.36,0.94,10800,4494,0,10800,-0.0758522857632488,,,,,,,-0.0982121005654335,-0.7707891356945038,0.082343325,0.20431476831436157,350,0.001,0.3112215912342072,0.2,-0.06486479451879859,0.09312660295516252
,,10800,,,,,2.29,0,0.8,36,16217,-0.27043636000000004,,,,,,,,,,
1.16,1.0,11100,4639,0,11100,-0.007997947791591287,,,,,,,-0.06949556618928909,-0.6736047434806823,0.09106253,-0.05179333686828613,360,0.001,0.3047159092128277,0.2,-0.05781312202569097,0.114548379778862
,,11100,,,,,2.1,0,0.79,37,16653,-0.25235410999999996,,,,,,,,,,
1.38,0.94,11400,4777,0,11400,-0.031588622964918614,,,,,,,-0.09094078838825226,-0.7025702726840973,0.09318836,-0.033507704734802246,370,0.001,0.31522727355360985,0.2,-0.06082619855180383,0.10344838432967662
,,11400,,,,,2.16,0,0.81,38,17132,-0.25097755,,,,,,,,,,
1.6,0.88,11700,4932,0,11700,-0.13757433054503054,,,,,,,-0.07394663989543915,-0.5977763825654984,0.10936779,0.06885123252868652,380,0.001,0.32869318142533305,0.2,-0.06525389853864909,0.0864912536367774
,,11700,,,,,2.1,0,0.8,39,17599,-0.23647901999999996,,,,,,,,,,
1.28,0.98,12000,5069,0,12000,-0.030710879042744638,,,,,,,-0.07565172761678696,-0.6106199610233307,0.12524018,-0.04249417781829834,390,0.001,0.3231534093618393,0.2,-0.06902567996177822,0.09953053552657366
,,12000,,,,,2.2,0,0.8,40,18038,-0.25938544,,,,,,,,,,
1.24,0.98,12300,5212,0,12300,-0.02895371675491333,,,,,,,-0.06689336895942688,-0.6417279189825058,0.08687991,0.0524027943611145,400,0.001,0.2638068181276321,0.2,-0.05447496505454183,0.10780416343361139
,,12300,,,,,2.0,0,0.83,41,18469,-0.22477271999999998,,,,,,,,,,
1.38,0.94,12600,5363,0,12600,-0.07268642659764737,,,,,,,-0.06555046141147614,-0.4796420609951019,0.101180054,-0.03420913219451904,410,0.001,0.22255681797862054,0.2,-0.05637729046633467,0.11703840881586075
,,12600,,,,,2.0,0,0.86,42,18904,-0.16758947999999996,,,,,,,,,,
1.26,0.94,12900,5496,0,12900,-0.07223465596325696,,,,,,,-0.07496906071901321,-0.567571398615837,0.08395683,-0.018773913383483887,420,0.001,0.2710795451700687,0.2,-0.058154675923287866,0.09931605331599712
,,12900,,,,,2.23,0,0.75,43,19323,-0.32124584,,,,,,,,,,
1.26,0.96,13200,5632,0,13200,-0.031563204140402375,,,,,,,-0.0468122735619545,-0.5907388180494308,0.12451552,0.17075496912002563,430,0.001,0.2567329552769661,0.2,-0.04039945496246219,0.10726601902395487
,,13200,,,,,2.12,0,0.8,44,19745,-0.22987973999999997,,,,,,,,,,
1.56,0.92,13500,5783,0,13500,-0.0736793724540621,,,,,,,-0.061674732714891434,-0.553115975856781,0.09552918,-0.12053847312927246,440,0.001,0.2711363634467125,0.2,-0.05383574875071645,0.11370293520390988
,,13500,,,,,1.9,0,0.86,45,20186,-0.17084987000000004,,,,,,,,,,
1.36,0.98,13800,5926,0,13800,-0.032366204634308816,,,,,,,-0.05241749808192253,-0.48147859156131745,0.08897323,0.08640933036804199,450,0.001,0.23170454531908036,0.2,-0.050644259788095954,0.08982204109430313
,,13800,,,,,2.15,0,0.82,46,20641,-0.25971186999999996,,,,,,,,,,
1.28,0.96,14100,6087,0,14100,-0.050481048841029406,,,,,,,-0.0980534553527832,-0.5552147370576859,0.15796627,-0.03113412857055664,460,0.001,0.2892329543828964,0.2,-0.059525715820491314,0.11033865857869386
,,14100,,,,,1.79,0,0.86,47,21086,-0.15663684000000003,,,,,,,,,,
1.34,0.96,14400,6228,0,14400,-0.052228858210146424,,,,,,,-0.06265731155872345,-0.601074081659317,0.12826721,0.30775368213653564,470,0.001,0.2859090906381607,0.2,-0.05121734139102045,0.07748306002467871
,,14400,,,,,2.12,0,0.8,48,21519,-0.25003726,,,,,,,,,,
1.54,0.9,14700,6374,0,14700,-0.11626322183292359,,,,,,,-0.07939742505550385,-0.6516375589370728,0.08567496,0.04183673858642578,480,0.001,0.29394886404275894,0.2,-0.06307038086466492,0.11611450385302305
,,14700,,,,,1.99,0,0.85,49,21967,-0.19655661999999996,,,,,,,,,,
1.3,0.96,15000,6523,0,15000,-0.05303878433536738,,,,,,,-0.07797352224588394,-0.6124876183271408,0.09420282,0.11014026403427124,490,0.001,0.2893750002980232,0.2,-0.05903974987566471,0.08997104570269585
,,15000,,,,,1.96,0,0.81,50,22410,-0.22965131999999994,,,,,,,,,,
1.42,0.94,15300,6661,0,15300,-0.053994327997788784,,,,,,,-0.07554393261671066,-0.5757494199275971,0.109994195,0.16288185119628906,500,0.001,0.33133522763848305,0.2,-0.06910578832030297,0.10750836953520775
,,15300,,,,,2.03,0,0.81,51,22837,-0.24713766,,,,,,,,,,
1.58,0.88,15600,6807,0,15600,-0.13683614825829862,,,,,,,-0.10053818672895432,-0.5726929861307144,0.115501724,0.19172418117523193,510,0.001,0.2909090901911259,0.2,-0.0609028933942318,0.11401288200169801
,,15600,,,,,1.92,0,0.88,52,23278,-0.14802318,,,,,,,,,,
1.52,0.92,15900,6943,0,15900,-0.0969324623560533,,,,,,,-0.0523701086640358,-0.4929355090856552,0.11929075,0.026676833629608154,520,0.001,0.2742897732555866,0.2,-0.048808952821418644,0.10778565607964992
,,15900,,,,,2.15,0,0.79,53,23743,-0.26612855,,,,,,,,,,
1.38,0.94,16200,7098,0,16200,-0.0726685831323266,,,,,,,-0.08403651416301727,-0.5319465178251267,0.1728425,0.17834192514419556,530,0.001,0.30721590891480444,0.2,-0.055633813701570035,0.11066169679164886
,,16200,,,,,1.92,0,0.87,54,24165,-0.16796102,,,,,,,,,,
1.5,0.92,16500,7246,0,16500,-0.07587458299938589,,,,,,,-0.04617246985435486,-0.4342484498023987,0.0867586,-0.09724414348602295,540,0.001,0.20420454546809197,0.2,-0.04435555636882782,0.10037267312407494
,,16500,,,,,2.1,0,0.78,55,24609,-0.22894627999999997,,,,,,,,,,
1.32,0.96,16800,7403,0,16800,-0.05124351778998971,,,,,,,-0.07915161550045013,-0.5117770481109619,0.096439496,0.025195181369781494,550,0.001,0.27718750029802325,0.2,-0.05655742350965738,0.11227519944310188
,,16800,,,,,1.85,0,0.86,56,25040,-0.17829777000000002,,,,,,,,,,
1.56,0.94,17100,7537,0,17100,-0.0803156644757837,,,,,,,-0.07038822025060654,-0.5480899697542191,0.14233512,-0.04872322082519531,560,0.001,0.26937500059604647,0.2,-0.05450604563578963,0.10213243369013071
,,17100,,,,,2.21,0,0.8,57,25470,-0.25801167999999997,,,,,,,,,,
1.26,0.98,17400,7678,0,17400,-0.014432313991710544,,,,,,,-0.06512764096260071,-0.5669139641523361,0.10599913,0.07444483041763306,570,0.001,0.3388352265954018,0.2,-0.059853426562622186,0.11293200265616178
,,17400,,,,,2.18,0,0.78,58,25881,-0.26820301999999996,,,,,,,,,,
1.34,0.96,17700,7813,0,17700,-0.05035702707711607,,,,,,,-0.06023406237363815,-0.503151440024376,0.13372381,0.1899241805076599,580,0.001,0.2793465909361839,0.2,-0.05281299244612456,0.0962285041809082
,,17700,,,,,2.29,0,0.77,59,26309,-0.30969260000000004,,,,,,,,,,
1.46,0.92,18000,7955,0,18000,-0.09557093600276857,,,,,,,-0.10423912107944489,-0.5763242161273956,0.13349564,0.06952911615371704,590,0.001,0.3197159093618393,0.2,-0.05906581122428179,0.10611342016607522
,,18000,,,,,1.93,0,0.83,60,26736,-0.22194039999999998,,,,,,,,,,
1.44,0.92,18300,8099,0,18300,-0.09279740788042545,,,,,,,-0.0853387713432312,-0.5436633390188217,0.10166647,-0.04234039783477783,600,0.001,0.26039772748947143,0.2,-0.06182260352186859,0.10455020572990179
,,18300,,,,,2.17,0,0.85,61,27162,-0.20395707999999999,,,,,,,,,,
1.56,0.88,18600,8240,0,18600,-0.13490379843395203,,,,,,,-0.05784923583269119,-0.45641208946704864,0.16991337,-0.17486190795898438,610,0.001,0.2628693188726902,0.2,-0.04914083547890186,0.10277436204254627
,,18600,,,,,2.06,0,0.82,62,27623,-0.23587811000000003,,,,,,,,,,
1.26,0.98,18900,8375,0,18900,-0.010479195965453983,,,,,,,-0.047140974551439285,-0.49316274106502533,0.115820274,-0.23500335216522217,620,0.001,0.27551136404275894,0.2,-0.05508715266361833,0.13299269802868366
,,18900,,,,,2.11,0,0.8,63,28050,-0.25871835,,,,,,,,,,
1.5,0.92,19200,8512,0,19200,-0.095192866390571,,,,,,,-0.058371033519506454,-0.5350980412960052,0.19281308,0.22409790754318237,630,0.001,0.3382102279365063,0.2,-0.06896905153058469,0.10315074037760497
