rollout/ep_rew_mean,rollout/ep_len_mean,env/completion_counter,time/fps,rollout/success_rate,time/total_timesteps,time/iterations,time/time_elapsed,env/current_idx,env/n_steps,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
-0.07481066,1.44,0,0,0.91,16320,544,21146,11887,16320,0.0001,-0.0007390166202094406,0.0,0.0,0.07340679444372654,27150,0.2,0.015988431870937347,-0.1304694414138794,-6.906191592825905e-08,,,
-0.09837009999999999,1.5,0,0,0.9,16350,545,21182,11903,16350,0.0001,-0.0005857695429585874,0.0,0.0,0.08978614125400781,27200,0.2,0.007987245917320251,-0.11715316772460938,2.821286724241645e-09,,,
-0.08567472000000001,1.45,0,0,0.91,16380,546,21215,11927,16380,0.0001,-0.0006644449185114354,0.0,0.0,0.1149083069525659,27250,0.2,0.005842362064868212,-0.21865296363830566,-2.9067198852317234e-08,,,
-0.07437154,1.35,0,0,0.93,16410,547,21263,11956,16410,0.0001,-0.000620826103258878,0.0,0.0,0.03264784377068281,27300,0.2,0.0033505449537187815,0.2774779796600342,-2.6355187632276512e-08,,,
-0.06406191,1.34,0,0,0.94,16440,548,21296,11979,16440,0.0001,-0.011396177690476178,0.021695677,0.032666668370366095,0.0035641003027558327,27350,0.2,-0.016857082024216652,-139.5231475830078,-0.01704993796348571,,,
-0.02869186,1.18,0,0,0.97,16470,549,21330,12003,16470,0.0001,-0.0006489073892589659,0.0,0.0,0.005402352167293429,27400,0.2,0.001062075374647975,-78.6371841430664,-4.706780107444075e-08,,,
-0.028353160000000006,1.17,0,0,0.97,16500,550,21365,12030,16500,0.0001,-0.000690750441281125,0.0,0.0,0.02490951427258551,27450,0.2,0.0019974354654550552,0.34176796674728394,-1.2737512552263298e-07,,,
-0.050211160000000005,1.24,0,0,0.95,16530,551,21398,12053,16530,0.0001,-0.012015508939512073,0.06158593,0.016000000834465025,0.00747143161483109,27500,0.2,0.00024902017321437597,0.6993999481201172,-0.0004276334788219849,,,
-0.060094739999999994,1.25,0,0,0.95,16560,552,21432,12075,16560,0.0001,-0.0008779255184344948,0.0,0.0,0.10672398790717125,27550,0.2,0.008800938725471497,0.06033855676651001,-5.120436323409195e-06,,,
-0.06018622,1.26,0,0,0.95,16590,553,21467,12098,16590,0.0001,-0.0006311691633891314,0.0,0.0,0.02699807212688029,27600,0.2,0.002463163575157523,0.07626086473464966,-9.049972007346697e-09,,,
