env/current_idx,env/n_steps,time/total_timesteps,eval/success_rate,env/completion_counter,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl
11346,23400,23400,0.92,0,1.48,-0.0751828860025853,,,,,,,-0.15174515657126902,770,0.16033023595809937,0.001,0.012943892180919648,0.19867581650614738,-0.004470114618413845,0.058471716940402985,0.2,0.0047661746
,,23400,,,,,34532,-0.15535381,0,1.75,78,0.87,,,,,,,,,,
11491,23700,23700,0.98,0,1.2,-0.029644190021790563,,,,,,,-0.15594809241592883,780,0.2566574215888977,0.001,0.02031250037252903,0.17066106982529164,-0.0036041834857314823,0.06686475872993469,0.2,0.0010447747
,,23700,,,,,34969,-0.23168184999999997,0,1.98,79,0.84,,,,,,,,,,
11638,24000,24000,0.96,0,1.28,-0.05065226837992668,,,,,,,-0.14314511530101298,790,0.14282894134521484,0.001,0.029936080053448676,0.2101573057472706,-0.0062189398391637955,0.04789989814162254,0.2,0.015693184
,,24000,,,,,35386,-0.16962910999999997,0,2.01,80,0.83,,,,,,,,,,
11797,24300,24300,0.92,0,1.42,-0.09860146061517298,,,,,,,-0.17248263396322727,800,0.1396823525428772,0.001,0.0388494323939085,0.1659465551376343,-0.005354206706033438,0.05208679288625717,0.2,0.025088616
,,24300,,,,,35824,-0.18897577000000002,0,1.97,81,0.85,,,,,,,,,,
11946,24600,24600,0.96,0,1.34,-0.05929898325819522,,,,,,,-0.10328573025763035,810,0.0860016942024231,0.001,0.04895241558551788,0.17056067250669002,-0.006669631530530751,0.047747183591127396,0.2,0.0070887785
,,24600,,,,,36255,-0.20636696999999998,0,2.07,82,0.81,,,,,,,,,,
12085,24900,24900,1.0,0,1.14,-0.008056635297834873,,,,,,,-0.20553307086229325,820,0.07476752996444702,0.001,0.07018821127712727,0.16579535827040673,-0.005901447671931237,0.0546688511967659,0.2,0.03931873
,,24900,,,,,36694,-0.27920415000000004,0,2.25,83,0.75,,,,,,,,,,
12237,25200,25200,0.96,0,1.26,-0.05006989113055169,,,,,,,-0.12557980902493,830,0.09891736507415771,0.001,0.020454545691609382,0.21273646578192712,-0.004236597844146673,0.0694366991519928,0.2,0.01655567
,,25200,,,,,37105,-0.15647535,0,2.01,84,0.85,,,,,,,,,,
12391,25500,25500,0.98,0,1.16,-0.008389013078995049,,,,,,,-0.287643726170063,840,0.2460089921951294,0.001,0.06787997223436833,0.1333279985934496,-0.015788890031399206,0.022987524047493935,0.2,0.020950364
,,25500,,,,,37518,-0.22005385,0,1.97,85,0.83,,,,,,,,,,
12535,25800,25800,0.94,0,1.44,-0.03708615370094776,,,,,,,-0.14564750231802465,850,0.24756109714508057,0.001,0.021786221861839296,0.17503378801047803,-0.005180929842754267,0.05078974366188049,0.2,0.0072588557
,,25800,,,,,37954,-0.19144066999999995,0,2.02,86,0.84,,,,,,,,,,
12678,26100,26100,0.94,0,1.48,-0.07838589371647686,,,,,,,-0.13812417387962342,860,0.12375980615615845,0.001,0.0361150573939085,0.17169743590056896,-0.010303531639510765,0.05950089544057846,0.2,0.014528394
,,26100,,,,,38400,-0.27981018,0,2.12,87,0.77,,,,,,,,,,
12833,26400,26400,0.9,0,1.54,-0.09452119044028223,,,,,,,-0.09786809403449297,870,0.28873229026794434,0.001,0.011416903510689736,0.178217002376914,-0.0029856139910407363,0.04326370358467102,0.2,0.002682617
,,26400,,,,,38840,-0.16169432,0,1.82,88,0.88,,,,,,,,,,
12985,26700,26700,0.92,0,1.42,-0.09172993591055274,,,,,,,-0.15588387474417686,880,0.16257160902023315,0.001,0.03370028473436833,0.17849780544638633,-0.005631160676421132,0.07438360154628754,0.2,0.007215376
,,26700,,,,,39258,-0.17213646000000002,0,1.93,89,0.84,,,,,,,,,,
13157,27000,27000,0.88,0,1.54,-0.13547215268481522,,,,,,,-0.12729328740388154,890,0.1680125594139099,0.001,0.04280894957482815,0.17073572538793086,-0.01057552380261768,0.03595396876335144,0.2,0.016757214
,,27000,,,,,39705,-0.09137213999999999,0,1.68,90,0.91,,,,,,,,,,
13313,27300,27300,0.96,0,1.16,-0.04932023502420634,,,,,,,-0.10280657634139061,900,0.26838546991348267,0.001,0.020028409361839295,0.0979762963950634,-0.004335676994014648,0.03323763236403465,0.2,0.0040212497
,,27300,,,,,40133,-0.14832511,0,1.87,91,0.87,,,,,,,,,,
13468,27600,27600,0.92,0,1.46,-0.09497694708406926,,,,,,,-0.09920913837850094,910,0.12829267978668213,0.001,0.04330610856413841,0.16743515394628047,-0.007292634298210032,0.04475955665111542,0.2,0.06488695
,,27600,,,,,40567,-0.26252755,0,2.19,92,0.76,,,,,,,,,,
13624,27900,27900,0.98,0,1.18,-0.029522024244070053,,,,,,,-0.06263506300747394,920,0.21745234727859497,0.001,0.006019176170229912,0.16550355795770882,-0.001619095869227749,0.027997195720672607,0.2,0.001515219
,,27900,,,,,40979,-0.17745434000000004,0,1.89,93,0.86,,,,,,,,,,
13776,28200,28200,0.94,0,1.44,-0.07608947063796222,,,,,,,-0.12452404350042343,930,0.3293447494506836,0.001,0.0320134948939085,0.15544520691037178,-0.0047987270983867346,0.07634221017360687,0.2,0.05976701
,,28200,,,,,41396,-0.24467781,0,2.1,94,0.78,,,,,,,,,,
13915,28500,28500,1.0,0,1.2,-0.00883756904862821,,,,,,,-0.14447840489447117,940,0.2368464469909668,0.001,0.030397727712988855,0.1826105795800686,-0.008100982999894767,0.07867155224084854,0.2,0.013807887
,,28500,,,,,41819,-0.22528527,0,2.17,95,0.81,,,,,,,,,,
14077,28800,28800,0.94,0,1.36,-0.07242060313001275,,,,,,,-0.1494138188660145,950,0.04231142997741699,0.001,0.03222656287252903,0.20219000354409217,-0.008768844633596017,0.05304332077503204,0.2,0.0167854
,,28800,,,,,42250,-0.16806322999999998,0,1.77,96,0.87,,,,,,,,,,
14222,29100,29100,0.9,0,1.42,-0.07353364805690944,,,,,,,-0.11604610159993171,960,0.24887460470199585,0.001,0.02418323904275894,0.1508553721010685,-0.0059350930081564,0.06772737205028534,0.2,0.009143325
,,29100,,,,,42675,-0.22034342,0,1.95,97,0.83,,,,,,,,,,
14392,29400,29400,0.92,0,1.36,-0.10021048968657852,,,,,,,-0.2465934172272682,970,0.2564365863800049,0.001,0.042649148404598235,0.1713387131690979,-0.008817681419895963,0.01651690900325775,0.2,0.02033836
,,29400,,,,,43092,-0.17725434,0,1.85,98,0.86,,,,,,,,,,
14549,29700,29700,0.94,0,1.32,-0.0745455820299685,,,,,,,-0.12948749624192715,980,0.18387311697006226,0.001,0.03219105154275894,0.17805383987724782,-0.005761198122490896,0.09791170060634613,0.2,0.010227486
,,29700,,,,,43528,-0.19091955000000002,0,1.95,99,0.84,,,,,,,,,,
14703,30000,30000,0.98,0,1.16,-0.02852634373586625,,,,,,,-0.1962305448949337,990,0.3261844515800476,0.001,0.04772727340459824,0.1511737085878849,-0.011309400957543403,0.018837634474039078,0.2,0.016169451
,,30000,,,,,43941,-0.245536,0,1.95,100,0.81,,,,,,,,,,
14853,30300,30300,0.98,0,1.14,-0.02878183945082128,,,,,,,-0.18720433861017227,1000,0.028040945529937744,0.001,0.02519531287252903,0.2566209495067596,-0.008374186279252172,0.12378382682800293,0.2,0.008961983
,,30300,,,,,44355,-0.27890497,0,2.07,101,0.78,,,,,,,,,,
15003,30600,30600,0.92,0,1.4,-0.09428354517556727,,,,,,,-0.2651391051709652,1010,0.3023122549057007,0.001,0.06901633590459824,0.17921460717916488,-0.016508668777532876,0.038185492157936096,0.2,0.02611886
,,30600,,,,,44752,-0.1951036,0,1.9,102,0.82,,,,,,,,,,
15153,30900,30900,0.92,0,1.52,-0.057851202730089424,,,,,,,-0.22554752975702286,1020,0.2808855175971985,0.001,0.06251775659620762,0.1500384218990803,-0.011711487658612896,0.04662307724356651,0.2,0.020917468
,,30900,,,,,45203,-0.20626936,0,1.97,103,0.82,,,,,,,,,,
15308,31200,31200,0.98,0,1.16,-0.029513654271140694,,,,,,,-0.2373141661286354,1030,0.21580296754837036,0.001,0.043856534734368326,0.1730774711817503,-0.011845319732674397,0.03530329465866089,0.2,0.018689398
,,31200,,,,,45600,-0.18321170000000003,0,1.84,104,0.86,,,,,,,,,,
15463,31500,31500,0.98,0,1.2,-0.031102236141450704,,,,,,,-0.24106242433190345,1040,0.19249671697616577,0.001,0.05475852340459823,0.1856165625154972,-0.01156902858929243,0.05859886854887009,0.2,0.016561402
,,31500,,,,,45994,-0.13529765000000002,0,1.77,105,0.88,,,,,,,,,,
15613,31800,31800,0.96,0,1.28,-0.029753259993158282,,,,,,,-0.2364226471632719,1050,0.09435522556304932,0.001,0.06937144994735718,0.17579347342252732,-0.0133082520973403,0.042688898742198944,0.2,0.030858682
,,31800,,,,,46386,-0.24589385999999996,0,1.9,106,0.81,,,,,,,,,,
15754,32100,32100,0.96,0,1.28,-0.050259627467021346,,,,,,,-0.2549082230776548,1060,0.25646209716796875,0.001,0.056729404255747795,0.18474408760666847,-0.012790183408651502,0.06238634139299393,0.2,0.02174577
,,32100,,,,,46843,-0.27092238,0,2.31,107,0.77,,,,,,,,,,
15919,32400,32400,0.94,0,1.36,-0.08066151351667941,,,,,,,-0.17946525309234856,1070,0.2073788046836853,0.001,0.05683593824505806,0.17485785111784935,-0.01370094427256845,0.06371597945690155,0.2,0.02272994
,,32400,,,,,47252,-0.16870123999999997,0,1.89,108,0.87,,,,,,,,,,
16053,32700,32700,0.98,0,1.24,-0.02968115628231317,,,,,,,-0.20911898612976074,1080,0.28472262620925903,0.001,0.06264204606413841,0.14035249687731266,-0.01214563592147897,0.039697833359241486,0.2,0.0411911
,,32700,,,,,47648,-0.28981482,0,2.3,109,0.75,,,,,,,,,,
16220,33000,33000,0.94,0,1.48,-0.07268599196802825,,,,,,,-0.16826454401016236,1090,0.34878969192504883,0.001,0.043856534734368326,0.17242100983858108,-0.011518592009088025,0.05079308897256851,0.2,0.022525333
,,33000,,,,,48054,-0.10636487000000003,0,1.63,110,0.92,,,,,,,,,,
16367,33300,33300,0.92,0,1.58,-0.07592801453545689,,,,,,,-0.19935623854398726,1100,0.3120262622833252,0.001,0.042294034734368324,0.16637263186275958,-0.008392098943295423,0.08247370272874832,0.2,0.008833904
,,33300,,,,,48458,-0.21389799,0,1.89,111,0.85,,,,,,,,,,
16521,33600,33600,0.98,0,1.24,-0.029940407229587435,,,,,,,-0.15529265236109496,1110,0.21280568838119507,0.001,0.028675426542758942,0.20353995263576508,-0.006601978663820773,0.06670906394720078,0.2,0.04650354
,,33600,,,,,48855,-0.23004970000000002,0,2.03,112,0.82,,,,,,,,,,
16671,33900,33900,0.9,0,1.58,-0.11450774432625621,,,,,,,-0.2208736851811409,1120,0.33344852924346924,0.001,0.04401633590459823,0.16208192706108093,-0.00936175640381407,0.07400227338075638,0.2,0.014563192
,,33900,,,,,49274,-0.18145399999999998,0,1.99,113,0.84,,,,,,,,,,
16817,34200,34200,0.96,0,1.28,-0.03014253804460168,,,,,,,-0.18085311632603407,1130,0.17386090755462646,0.001,0.0684481542557478,0.16623007841408252,-0.008984500635415315,0.05523618683218956,0.2,0.061262995
,,34200,,,,,49688,-0.18409170999999996,0,2.11,114,0.84,,,,,,,,,,
16957,34500,34500,0.92,0,1.44,-0.0930425235349685,,,,,,,-0.25619304180145264,1140,0.13128793239593506,0.001,0.08854758627712726,0.18742541447281838,-0.012688604567665606,0.0419749990105629,0.2,0.03536983
,,34500,,,,,50086,-0.19142726000000004,0,1.93,115,0.84,,,,,,,,,,
17103,34800,34800,0.86,0,1.58,-0.16164029909297825,,,,,,,-0.26803202033042905,1150,0.284618079662323,0.001,0.06800426244735717,0.17558596953749656,-0.017165217135334386,0.05375256389379501,0.2,0.024028227
,,34800,,,,,50490,-0.24360374999999998,0,2.02,116,0.78,,,,,,,,,,
17239,35100,35100,0.94,0,1.54,-0.07538923367857933,,,,,,,-0.18067208379507066,1160,0.19164294004440308,0.001,0.042649148404598235,0.1892738424241543,-0.009403900688630529,0.05652701109647751,0.2,0.02299761
,,35100,,,,,50901,-0.18633044,0,2.06,117,0.83,,,,,,,,,,
17392,35400,35400,0.98,0,1.28,-0.03034488024190068,,,,,,,-0.13649885915219784,1170,0.24648410081863403,0.001,0.025692471861839296,0.16188423410058023,-0.0066576858283951875,0.0540761835873127,0.2,0.0076732095
,,35400,,,,,51318,-0.18676921,0,1.92,118,0.83,,,,,,,,,,
17555,35700,35700,0.94,0,1.34,-0.07311725139152259,,,,,,,-0.336857382953167,1180,0.20315289497375488,0.001,0.13165838196873664,0.16911931484937667,-0.016911585652269422,0.028738919645547867,0.2,0.030298958
,,35700,,,,,51721,-0.16041632,0,1.95,119,0.86,,,,,,,,,,
17697,36000,36000,1.0,0,1.1,-0.009001273056492209,,,,,,,-0.23865201845765113,1190,0.09860235452651978,0.001,0.050071023404598236,0.18158971294760703,-0.008988930177292787,0.08582594245672226,0.2,0.016316433
,,36000,,,,,52109,-0.24056175,0,2.15,120,0.81,,,,,,,,,,
17844,36300,36300,0.94,0,1.32,-0.07053356505930423,,,,,,,-0.22843118384480476,1200,0.15182316303253174,0.001,0.033948864042758944,0.16337031163275242,-0.011376012045366224,0.046086058020591736,0.2,0.012009274
,,36300,,,,,52494,-0.25327626999999997,0,2.1,121,0.78,,,,,,,,,,
18005,36600,36600,0.96,0,1.24,-0.05372933350503445,,,,,,,-0.2311575308442116,1210,0.21442502737045288,0.001,0.06589133627712726,0.18369927629828453,-0.011138594697695226,0.07561640441417694,0.2,0.026945423
,,36600,,,,,52909,-0.1360985,0,1.7,122,0.9,,,,,,,,,,
18156,36900,36900,0.98,0,1.16,-0.028401859551668168,,,,,,,-0.1417886883020401,1220,0.2074485421180725,0.001,0.05239701792597771,0.1904857087880373,-0.005950121564637811,0.06541292369365692,0.2,0.011125313
,,36900,,,,,53309,-0.20098306999999999,0,1.99,123,0.84,,,,,,,,,,
18289,37200,37200,0.96,0,1.24,-0.049459874485619365,,,,,,,-0.08135854657739401,1230,0.1629047393798828,0.001,0.02730823904275894,0.1748928278684616,-0.004635286829579854,0.09284350275993347,0.2,0.0037973134
,,37200,,,,,53726,-0.29180178,0,2.26,124,0.74,,,,,,,,,,
18438,37500,37500,0.98,0,1.26,-0.0314191629178822,,,,,,,-0.16276406422257422,1240,0.19655364751815796,0.001,0.04730113707482815,0.17784783206880092,-0.007411825153394602,0.08235045522451401,0.2,0.011005952
,,37500,,,,,54120,-0.21380757999999997,0,2.12,125,0.81,,,,,,,,,,
