time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,env/current_idx,time/time_elapsed,time/fps,env/n_steps,rollout/ep_len_mean,env/completion_counter,time/iterations,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/clip_range
330,0.87,-0.0900985,247,439,0,330,1.34,0,11,0.49008615016937257,0.2766666833311319,-0.043790298209836064,0.036767896,0.024544179439544678,-1.4322658061981202,0.06999444216489792,100,0.001,0.2
360,0.87,-0.08329148,274,479,0,360,1.29,0,12,0.1070358833298087,0.1433333419263363,-0.04909021046633484,0.038973425,-0.685577392578125,-1.4069223046302795,-0.06679554283618927,110,0.001,0.2
390,0.86,-0.10410427999999998,292,517,0,390,1.36,0,13,0.04201314840465784,0.19666668176651,-0.05079510154202538,0.041835744,-0.5152558088302612,-1.1390965461730957,-0.06442294269800186,120,0.001,0.2
420,0.86,-0.07579618999999999,317,562,0,420,1.27,0,14,0.29407701790332796,0.03666666895151138,-0.01647949524068588,0.016733615,0.32011133432388306,-1.0549891889095306,0.033385176211595535,130,0.001,0.2
450,0.86,-0.10765948999999997,333,601,0,450,1.36,0,15,0.11545171141624451,0.10000000707805157,-0.025296152854958363,0.017104093,-5.542213439941406,-1.2463470458984376,-0.02477315068244934,140,0.001,0.2
480,0.83,-0.13216646,351,642,0,480,1.46,0,16,0.4761267229914665,0.003333333507180214,-0.009426334337500819,0.0025795382,0.13648605346679688,-1.279985249042511,0.07795960456132889,150,0.001,0.2
510,0.87,-0.12249173,379,686,0,510,1.41,0,17,0.15003701150417328,0.12333333939313888,-0.02626579368952662,0.023149244,0.6438957452774048,-1.212921392917633,-0.011225368827581406,160,0.001,0.2
540,0.85,-0.11686368,398,725,0,540,1.44,0,18,0.013840825809165836,0.08000000305473805,-0.03538227154562854,0.025429593,-0.052103400230407715,-1.0466226637363434,-0.05192355066537857,170,0.001,0.2
570,0.9,-0.07054957999999999,426,762,0,570,1.27,0,19,0.17112357839941977,0.026666668057441712,-0.006741776072109573,0.005180377,-0.695995569229126,-0.8937960624694824,0.014626417309045792,180,0.001,0.2
600,0.91,-0.053782630000000005,451,799,0,600,1.2,0,20,0.007313176267780363,0.06333333738148213,-0.022797183659858434,0.008763997,-0.7040858268737793,-1.0301154732704163,-0.04931722953915596,190,0.001,0.2
630,0.88,-0.09640842,469,836,0,630,1.32,0,21,0.02698013875633478,0.1333333406597376,-0.0194954288898348,0.03806684,0.08651930093765259,-1.1467199206352234,-0.023910433053970337,200,0.001,0.2
660,0.87,-0.12573226,486,871,0,660,1.42,0,22,0.9236682713031769,0.0,0.0071341986942570655,0.003349946,0.02933412790298462,-1.0799160718917846,0.3363478481769562,210,0.001,0.2
690,0.87,-0.11569212999999999,513,920,0,690,1.35,0,23,0.5443921327590943,0.1566666767001152,-0.02590007202699791,0.035531092,0.03830450773239136,-1.3193798780441284,0.11975304782390594,220,0.001,0.2
720,0.88,-0.11061005,540,957,0,720,1.32,0,24,0.05040560271590948,0.32666667699813845,-0.03738259832685209,0.034438483,-0.6059583425521851,-1.1700663208961486,-0.045830171555280685,230,0.001,0.2
750,0.86,-0.14466097,558,1007,0,750,1.43,0,25,0.022900073044002055,0.26666667610406875,-0.05718673458555799,0.09582266,-0.8227944374084473,-0.952954912185669,-0.08514265716075897,240,0.001,0.2
780,0.91,-0.06983906999999999,587,1046,0,780,1.19,0,26,0.76014524102211,0.053333337604999545,0.005642605422375269,0.007590046,0.042270541191101074,-0.5917564511299134,0.26116329431533813,250,0.001,0.2
810,0.91,-0.0882029,601,1088,0,810,1.26,0,27,0.2830148680135608,0.030000001564621924,-0.009691501619911946,0.014275027,-6.623852252960205,-0.5572054445743561,0.0010309815406799316,260,0.001,0.2
840,0.92,-0.13281917999999998,621,1134,0,840,1.4,0,28,0.5710393846035003,0.020000001043081285,-0.005438650652456545,0.0026378096,0.18464529514312744,-0.47119457125663755,0.18653275072574615,270,0.001,0.2
870,0.93,-0.09888349,649,1173,0,870,1.3,0,29,0.4030584841966629,0.06333333626389503,-0.01279075363752824,0.015306092,0.14673370122909546,-0.4820984423160553,0.1474987417459488,280,0.001,0.2
900,0.93,-0.09874090999999999,678,1220,0,900,1.3,0,30,0.15920517053455113,0.09000000357627869,-0.006221725226689045,0.005550963,-16.79171371459961,-0.6165987253189087,0.018592223525047302,290,0.001,0.2
930,0.93,-0.09913455999999998,698,1264,0,930,1.31,0,31,0.027600152930244804,0.07666667103767395,-0.015737482428862394,0.015528366,-4.227907657623291,-0.5662319183349609,-0.018883168697357178,300,0.001,0.2
