time/time_elapsed,time/fps,env/current_idx,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,env/n_steps,rollout/ep_len_mean,time/iterations,env/completion_counter,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate
2015,0,1179,1740,-0.08320418,0.92,1740,1.42,29,0,0.2,280,-1.3494859099388123,-0.04468248412013054,-0.037038133240615424,0.09398105815052986,0.37030673027038574,0.1816666664555669,0.015110756,0.001
2083,0,1227,1800,-0.054328009999999996,0.96,1800,1.3,30,0,0.2,290,-1.0829254865646363,-0.040583230555057526,-0.03127477599307902,0.08407934606075287,-0.1295696496963501,0.20333333387970925,0.018458398,0.001
2149,0,1267,1860,-0.07510916,0.93,1860,1.37,31,0,0.2,300,-1.0660453200340272,-0.01727917417883873,-0.026234628505383918,0.07733382768929005,-0.16282415390014648,0.1766666669398546,0.023472678,0.001
2215,0,1306,1920,-0.09733289999999999,0.91,1920,1.47,32,0,0.2,310,-1.0195843756198884,-0.020327582955360413,-0.025496764111642988,0.10194212049245835,0.3009563088417053,0.053333334252238275,0.009400176,0.001
2282,0,1343,1980,-0.12518978999999997,0.87,1980,1.56,33,0,0.2,320,-0.994548887014389,-0.0515332892537117,-0.04715352782358693,0.09126899726688861,0.172707200050354,0.16500000301748513,0.042021133,0.001
2351,0,1394,2040,-0.09138181,0.91,2040,1.39,34,0,0.2,330,-0.8707593202590942,0.017810899764299393,-0.02588286157309394,0.20642683058977127,-0.07257914543151855,0.07500000223517418,0.013844933,0.001
2419,0,1437,2100,-0.08130971999999997,0.92,2100,1.31,35,0,0.2,340,-0.7618051886558532,-0.01492530107498169,-0.025021200839740486,0.08986299932003021,0.049964070320129395,0.07000000141561032,0.012111823,0.001
2487,0,1482,2160,-0.08269209999999999,0.91,2160,1.34,36,0,0.2,350,-0.928965038061142,-0.017483968287706375,-0.04147720807542403,0.1458781898021698,0.08691871166229248,0.1650000002235174,0.028506637,0.001
2553,0,1527,2220,-0.07161520999999998,0.92,2220,1.32,37,0,0.2,360,-0.8773608982563019,-0.016890935599803925,-0.04088554662962771,0.13150235265493393,-0.034440040588378906,0.11833333540707827,0.029605955,0.001
2633,0,1569,2280,-0.07245657,0.92,2280,1.35,38,0,0.2,370,-0.592209541797638,-0.0012199468910694122,-0.026680303141474716,0.09165254533290863,0.053690314292907715,0.09333333633840084,0.032213144,0.001
2705,0,1618,2340,-0.062283109999999996,0.92,2340,1.34,39,0,0.2,380,-0.8928757727146148,-0.06721615791320801,-0.04663326228037477,0.0590410765260458,0.3710266351699829,0.20500000342726707,0.020001657,0.001
