eval/success_rate,eval/mean_reward,env/n_steps,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/explained_variance
0.96,-0.0378422429272905,53400,53400,0,25105,1.42,,,,,,,0.001,-0.01738861657679081,-0.26771200716495513,0.10852272748947143,0.049197182059288025,0.05117942,0.15948155730962754,885,0.2,0.234907865524292
,,,53400,,,,-0.10888858999999998,178,1.69,0.9,81170,0,,,,,,,,,,
0.98,-0.03224427656736225,53700,53700,0,25253,1.32,,,,,,,0.001,-0.0178850825317204,-0.1993363070487976,0.09988636374473572,0.049718815833330154,0.04037764,0.13882440865039825,890,0.2,0.27146244049072266
,,,53700,,,,-0.17742283,179,2.04,0.81,81649,0,,,,,,,,,,
0.96,-0.05113153166603297,54000,54000,0,25394,1.32,,,,,,,0.001,-0.01634542272426188,-0.22862938106060027,0.09284090965986252,0.038106225430965424,0.038332697,0.18542703747749328,895,0.2,0.15324056148529053
,,,54000,,,,-0.17610475999999997,180,2.07,0.84,82097,0,,,,,,,,,,
0.96,-0.050812453771941365,54300,54300,0,25536,1.24,,,,,,,0.001,-0.017912351347040386,-0.2097216272354126,0.09119318187236786,0.03607878088951111,0.03345973,0.20391956210136414,900,0.2,0.046741366386413574
,,,54300,,,,-0.27358582,181,2.15,0.77,82531,0,,,,,,,,,,
0.92,-0.051291108797304336,54600,54600,0,25704,1.4,,,,,,,0.001,-0.016972897150553765,-0.22675130605697633,0.10767045497894287,0.008439872413873672,0.049565196,0.17686821639537811,905,0.2,0.2719781994819641
,,,54600,,,,-0.14673264000000003,182,1.86,0.87,82983,0,,,,,,,,,,
0.9,-0.07667127209249884,54900,54900,0,25859,1.5,,,,,,,0.001,-0.016861909553408622,-0.209298797249794,0.07897727310657501,0.049641840159893036,0.0872791,0.15169191122055053,910,0.2,0.003545403480529785
,,,54900,,,,-0.14274710000000002,183,1.92,0.85,83451,0,,,,,,,,,,
0.94,-0.08039547109976411,55200,55200,0,26014,1.36,,,,,,,0.001,-0.021503572091460227,-0.18806061863899232,0.10920454561710358,0.0619363971054554,0.042384274,0.15875541031360627,915,0.2,0.18467622995376587
,,,55200,,,,-0.19236125999999998,184,2.0,0.81,83892,0,,,,,,,,,,
0.98,-0.028957997588440774,55500,55500,0,26164,1.18,,,,,,,0.001,-0.016452697552740574,-0.190013325214386,0.1135795459151268,0.010034406557679176,0.047020964,0.1462068071961403,920,0.2,0.2693232297897339
,,,55500,,,,-0.22012528,185,2.01,0.81,84335,0,,,,,,,,,,
0.96,-0.05151330420747399,55800,55800,0,26327,1.32,,,,,,,0.001,-0.01419702112674713,-0.20004544913768768,0.09829545468091964,0.08102132380008698,0.03983987,0.17516849994659422,925,0.2,0.24119436740875244
,,,55800,,,,-0.13440614,186,1.88,0.86,84783,0,,,,,,,,,,
0.92,-0.09285515712574124,56100,56100,0,26481,1.4,,,,,,,0.001,-0.0124203809350729,-0.2147182983160019,0.12414772778749467,0.06793336570262909,0.075267434,0.1798580539226532,930,0.2,0.21573728322982788
,,,56100,,,,-0.20431767999999997,187,1.97,0.83,85233,0,,,,,,,,,,
0.94,-0.07144898406695574,56400,56400,0,26642,1.36,,,,,,,0.001,-0.025147848036140202,-0.274460157752037,0.10551136404275895,0.002170547842979431,0.0313188,0.13503529101610184,935,0.2,0.35468077659606934
,,,56400,,,,-0.16967788999999997,188,1.88,0.86,85699,0,,,,,,,,,,
0.96,-0.05662853165529668,56700,56700,0,26791,1.26,,,,,,,0.001,-0.019215414100326598,-0.2327230954170227,0.10522727251052856,0.01900651305913925,0.07845602,0.14363149255514146,940,0.2,0.26095420122146606
,,,56700,,,,-0.20712033,189,2.03,0.83,86180,0,,,,,,,,,,
0.96,-0.053656100602820514,57000,57000,0,26948,1.22,,,,,,,0.001,-0.016317316442728044,-0.2542204439640045,0.11062500029802322,0.0720062255859375,0.039372418,0.20541360676288606,945,0.2,0.11058217287063599
,,,57000,,,,-0.21458222000000002,190,1.95,0.83,86602,0,,,,,,,,,,
0.96,-0.03404285188764334,57300,57300,0,27078,1.4,,,,,,,0.001,-0.015152992233633995,-0.21121840834617614,0.09289772748947143,0.046358056366443634,0.039075952,0.18136981815099718,950,0.2,0.23756122589111328
,,,57300,,,,-0.2924633,191,2.22,0.76,87035,0,,,,,,,,,,
0.96,-0.05466047977562994,57600,57600,0,27227,1.54,,,,,,,0.001,-0.02286689657717943,-0.3256449145078659,0.10187500059604644,0.07370461523532867,0.03192335,0.18981895536184312,955,0.2,0.24090689420700073
,,,57600,,,,-0.17797403,192,1.86,0.85,87488,0,,,,,,,,,,
1.0,-0.012191313803195953,57900,57900,0,27374,1.3,,,,,,,0.001,-0.025346977910958232,-0.30808228373527524,0.11215909153223037,0.04401491582393646,0.038681794,0.19718870401382446,960,0.2,0.18458521366119385
,,,57900,,,,-0.17446083,193,1.99,0.85,87924,0,,,,,,,,,,
0.9,-0.10519507296849043,58200,58200,0,27526,1.68,,,,,,,0.001,-0.020516113303601743,-0.33319792985916136,0.12170454531908036,0.013693109154701233,0.016607229,0.16535435259342193,965,0.2,0.2816368341445923
,,,58200,,,,-0.25014373,194,2.15,0.79,88411,0,,,,,,,,,,
1.0,-0.007974709877744316,58500,58500,0,27671,1.14,,,,,,,0.001,-0.028139861673116683,-0.33062233686447146,0.15079545557498933,-0.012089524418115616,0.047996532,0.14995509415864944,970,0.2,0.28038132190704346
,,,58500,,,,-0.19191384,195,2.02,0.82,88868,0,,,,,,,,,,
0.94,-0.0727751252008602,58800,58800,0,27829,1.38,,,,,,,0.001,-0.028824357287958263,-0.33735704541206357,0.1633522728085518,0.04472838342189789,0.052816413,0.16943544745445252,975,0.2,0.23384308815002441
,,,58800,,,,-0.19073384000000002,196,1.83,0.85,89336,0,,,,,,,,,,
0.94,-0.07228188418783248,59100,59100,0,27958,1.44,,,,,,,0.001,-0.02017335291951895,-0.28991546869277957,0.15011363685131074,0.03638549521565437,0.059166722,0.14348543912172318,980,0.2,0.3643914461135864
,,,59100,,,,-0.27809754,197,2.36,0.78,89811,0,,,,,,,,,,
0.92,-0.0991489915875718,59400,59400,0,28098,1.66,,,,,,,0.001,-0.02000447781290859,-0.2906947064399719,0.13704545497894288,0.039884742349386215,0.038747095,0.171301206946373,985,0.2,0.29396623373031616
,,,59400,,,,-0.23514803999999995,198,2.07,0.83,90326,0,,,,,,,,,,
0.96,-0.05003450989257544,59700,59700,0,28247,1.26,,,,,,,0.001,-0.015136401429772376,-0.25673857212066653,0.12187500059604645,0.05785012245178223,0.04415614,0.20209552586078644,990,0.2,0.20789092779159546
,,,59700,,,,-0.25540016,199,2.16,0.8,90785,0,,,,,,,,,,
0.98,-0.010308973356150091,60000,60000,0,28413,1.32,,,,,,,0.001,-0.018362007923424243,-0.2873217940330505,0.12755681902170182,0.0376824252307415,0.036337603,0.1625358644127846,995,0.2,0.22879385948181152
,,,60000,,,,-0.16355619999999998,200,1.84,0.87,91256,0,,,,,,,,,,
0.94,-0.050531605002470316,60300,60300,0,28570,1.34,,,,,,,0.001,-0.030414925683289767,-0.2778600686788559,0.11380681902170181,0.012524347752332687,0.051269032,0.1526527327299118,1000,0.2,0.2561572194099426
,,,60300,,,,-0.16801903000000004,201,1.85,0.88,91709,0,,,,,,,,,,
0.96,-0.030537181524559854,60600,60600,0,28708,1.28,,,,,,,0.001,-0.03162279637530446,-0.30385243833065034,0.17062500059604646,0.02219340391457081,0.057533264,0.14916734352707864,1005,0.2,0.32859253883361816
,,,60600,,,,-0.20534449999999999,202,2.19,0.82,92186,0,,,,,,,,,,
1.0,-0.008621345013380051,60900,60900,0,28864,1.12,,,,,,,0.001,-0.03228451699018478,-0.3189996492862701,0.1375,0.021741073578596115,0.03196294,0.19086662530899048,1010,0.2,0.14220279455184937
,,,60900,,,,-0.16081757000000002,203,1.98,0.83,92628,0,,,,,,,,,,
0.98,-0.03067809084430337,61200,61200,0,29001,1.18,,,,,,,0.001,-0.027903365269303322,-0.32046298801898954,0.17386363714933395,0.03420146554708481,0.05215925,0.17369874328374862,1015,0.2,0.05280369520187378
,,,61200,,,,-0.26735822,204,2.19,0.75,93116,0,,,,,,,,,,
0.84,-0.16687475729733706,61500,61500,0,29136,1.84,,,,,,,0.001,-0.022667280584573745,-0.33081685185432436,0.14085227280855178,0.04753471165895462,0.05962053,0.1859889018535614,1020,0.2,0.17369526624679565
,,,61500,,,,-0.24386966999999998,205,2.21,0.79,93627,0,,,,,,,,,,
0.94,-0.05987874062731862,61800,61800,0,29271,1.4,,,,,,,0.001,-0.020985716953873634,-0.35325849175453183,0.17374999940395355,0.01729733869433403,0.054361105,0.18772379726171493,1025,0.2,0.1925433874130249
,,,61800,,,,-0.33360705999999984,206,2.33,0.73,94321,0,,,,,,,,,,
0.98,-0.030038832477293907,62100,62100,0,29411,1.2,,,,,,,0.001,-0.02172842316329479,-0.3433705627918243,0.1205681824684143,0.07240933179855347,0.019560099,0.1812494605779648,1030,0.2,0.1531948447227478
,,,62100,,,,-0.18433994999999995,207,2.13,0.81,94791,0,,,,,,,,,,
0.94,-0.07506441327743232,62400,62400,0,29550,1.48,,,,,,,0.001,-0.0262587134167552,-0.32945474088191984,0.14715909123420715,-0.0012262575328350067,0.028848883,0.15928173005580903,1035,0.2,0.2595974802970886
,,,62400,,,,-0.19030047,208,2.19,0.8,95274,0,,,,,,,,,,
0.92,-0.07625975050963461,62700,62700,0,29701,1.58,,,,,,,0.001,-0.029696322195231915,-0.2948400866985321,0.14227272748947142,0.020169153809547424,0.059403084,0.16442023277282714,1040,0.2,0.13195985555648804
,,,62700,,,,-0.16030842,209,2.0,0.85,95772,0,,,,,,,,,,
0.96,-0.054926300207152966,63000,63000,0,29844,1.4,,,,,,,0.001,-0.0236726089194417,-0.28565125465393065,0.13176136404275895,0.03870908170938492,0.041995246,0.1646387341618538,1045,0.2,0.24279266595840454
,,,63000,,,,-0.22059254,210,2.13,0.8,96290,0,,,,,,,,,,
0.92,-0.07397141837514937,63300,63300,0,29980,1.4,,,,,,,0.001,-0.024640584513545036,-0.29923038065433505,0.1394318187236786,0.02320546656847,0.042912953,0.16345118165016173,1050,0.2,0.2691354751586914
,,,63300,,,,-0.27058846000000003,211,2.37,0.78,96798,0,,,,,,,,,,
0.96,-0.05155386549886316,63600,63600,0,30123,1.28,,,,,,,0.001,-0.03174922769365367,-0.28825619995594026,0.1503977271914482,0.005458511412143707,0.055993713,0.20112243473529814,1055,0.2,0.12084335088729858
,,,63600,,,,-0.25595147,212,2.09,0.8,97317,0,,,,,,,,,,
0.9,-0.09581712518353015,63900,63900,0,30271,1.52,,,,,,,0.001,-0.025913999350741505,-0.27559977293014526,0.10835227340459824,0.02886880561709404,0.04029757,0.1760461387038231,1060,0.2,0.25201040506362915
,,,63900,,,,-0.23212,213,2.17,0.82,97816,0,,,,,,,,,,
0.98,-0.029553715004585684,64200,64200,0,30406,1.24,,,,,,,0.001,-0.017193871811032296,-0.2796770542860031,0.13255681842565536,0.04141034930944443,0.033241846,0.20511874288320542,1065,0.2,0.18698245286941528
,,,64200,,,,-0.23301756000000004,214,2.28,0.78,98275,0,,,,,,,,,,
0.96,-0.05134210927411914,64500,64500,0,30557,1.34,,,,,,,0.001,-0.02850598845630884,-0.27695982813835146,0.14284090906381608,0.026149194687604904,0.05012119,0.19893238842487335,1070,0.2,0.08699774742126465
,,,64500,,,,-0.22102546,215,2.11,0.83,98803,0,,,,,,,,,,
