eval/success_rate,eval/mean_reward,env/n_steps,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/explained_variance
,,,10200,,,,-0.18511597000000002,34,1.94,0.85,16136,0,,,,,,,,,,
0.98,-0.030130271073430775,10500,10500,0,4552,1.26,,,,,,,0.001,-0.016891017481684686,-0.6008476495742798,0.18477272748947143,0.006235027685761452,0.031680964,0.1197312644124031,170,0.2,0.30997365713119507
,,,10500,,,,-0.17572556000000003,35,2.03,0.86,16619,0,,,,,,,,,,
0.94,-0.05090214748401195,10800,10800,0,4689,1.38,,,,,,,0.001,-0.034280378520488736,-0.7261180210113526,0.1582954552769661,-0.011465407907962799,0.047204442,0.15311705946922302,175,0.2,-0.00824880599975586
,,,10800,,,,-0.24871365,36,2.18,0.79,17122,0,,,,,,,,,,
0.9,-0.07222909961361439,11100,11100,0,4840,1.42,,,,,,,0.001,-0.023319499101489782,-0.6989008665084839,0.1263636365532875,-0.011066701263189316,0.020716466,0.14714067608118056,180,0.2,0.24804258346557617
,,,11100,,,,-0.22037632,37,2.0,0.8,17583,0,,,,,,,,,,
0.96,-0.05078019323758781,11400,11400,0,4975,1.32,,,,,,,0.001,-0.01923592540435493,-0.6411911129951477,0.1049431824684143,-0.0004369094967842102,0.00950423,0.14114696711301802,185,0.2,0.010806858539581299
,,,11400,,,,-0.24122172000000003,38,2.19,0.81,18034,0,,,,,,,,,,
0.96,-0.048599344054237006,11700,11700,0,5116,1.2,,,,,,,0.001,-0.03237576085142791,-0.6688567852973938,0.1284659093618393,-0.016149818897247314,0.027520765,0.19826961666345597,190,0.2,-0.022583842277526855
,,,11700,,,,-0.23400897999999998,39,2.16,0.81,18477,0,,,,,,,,,,
0.98,-0.035465564811602235,12000,12000,0,5259,1.44,,,,,,,0.001,-0.019791963063180446,-0.5093067157268524,0.1540340918302536,0.023981787264347076,0.024738418,0.1387385731935501,195,0.2,0.28543341159820557
,,,12000,,,,-0.23590605,40,2.14,0.81,18947,0,,,,,,,,,,
0.98,-0.010791056728921831,12300,12300,0,5383,1.36,,,,,,,0.001,-0.02731872884556651,-0.7944378972053527,0.1907954543828964,0.0032453611493110657,0.02578633,0.18416967272758483,200,0.2,0.056719422340393066
,,,12300,,,,-0.28520962,41,2.32,0.79,19398,0,,,,,,,,,,
0.92,-0.07680196210741996,12600,12600,0,5522,1.68,,,,,,,0.001,-0.031939571108669046,-0.8482307696342468,0.20176136374473572,0.010979335755109787,0.035587344,0.17852523446083068,205,0.2,0.06222569942474365
,,,12600,,,,-0.3106725,42,2.24,0.76,19875,0,,,,,,,,,,
0.98,-0.030021957270801067,12900,12900,0,5665,1.26,,,,,,,0.001,-0.03470678025158122,-0.8100645351409912,0.15017045497894288,-0.022159546613693237,0.02519323,0.15316687673330306,210,0.2,0.21407490968704224
,,,12900,,,,-0.16054509,43,2.04,0.82,20339,0,,,,,,,,,,
1.0,-0.01301371944602579,13200,13200,0,5798,1.28,,,,,,,0.001,-0.023142101038247348,-0.6692336416244506,0.13488636374473573,0.02387116104364395,0.017633006,0.15170057505369186,215,0.2,0.061184823513031006
,,,13200,,,,-0.24584650999999993,44,2.24,0.78,20810,0,,,,,,,,,,
0.96,-0.05402931696269661,13500,13500,0,5934,1.32,,,,,,,0.001,-0.026578379794955254,-0.7506253886222839,0.13295454561710357,0.056762635707855225,0.03016607,0.18767187267541885,220,0.2,0.04988306760787964
,,,13500,,,,-0.25313683,45,2.18,0.78,21265,0,,,,,,,,,,
0.94,-0.03500817394349724,13800,13800,0,6086,1.36,,,,,,,0.001,-0.028569250628352166,-0.624780684709549,0.13948863685131074,-0.029479287564754486,0.023093548,0.15556322365999223,225,0.2,0.19232863187789917
,,,13800,,,,-0.22042622,46,2.02,0.83,21728,0,,,,,,,,,,
