eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,eval/mean_reward,env/current_idx,env/n_steps,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss
1.18,0.92,2100,0,-0.0700453445315361,996,2100,,,,,,,0.2,0.001,-0.03983957779128104,0.011245493,60,-0.010824877768754959,0.33125000037252905,0.11692029237747192,0.17501237690448762,-1.6661251306533813
,,2100,,,,,2.1,0.51,0,-0.40730583999999986,2980,7,,,,,,,,,,
1.14,0.96,2400,0,-0.008613717993721366,1162,2400,,,,,,,0.2,0.001,-0.041949371621012685,0.012286134,70,0.01932920515537262,0.29390980303287506,-0.12729036808013916,0.20924440920352935,-1.577078902721405
,,2400,,,,,1.79,0.68,0,-0.31300090999999997,3417,8,,,,,,,,,,
1.18,0.94,2700,0,-0.04819548237137496,1339,2700,,,,,,,0.2,0.001,-0.03609910862287506,0.012580469,80,-0.005221661180257797,0.25445667654275894,-0.010313987731933594,0.17715561538934707,-1.4374269545078278
,,2700,,,,,1.73,0.68,0,-0.30159792999999996,3841,9,,,,,,,,,,
1.14,0.94,3000,0,-0.049182482790201903,1493,3000,,,,,,,0.2,0.001,-0.03984457933693193,0.026877,90,-0.0030996501445770264,0.2566938906908035,0.17690670490264893,0.16810153983533382,-1.3480615437030792
,,3000,,,,,1.97,0.6,0,-0.36748669000000006,4275,10,,,,,,,,,,
1.18,0.94,3300,0,-0.04832023228984326,1669,3300,,,,,,,0.2,0.001,-0.031248863308087495,0.023562996,100,0.001474030315876007,0.1261896315962076,0.07637882232666016,0.17557359486818314,-1.2546133160591126
,,3300,,,,,1.73,0.72,0,-0.24656994000000002,4721,11,,,,,,,,,,
1.3,0.92,3600,0,-0.050384580153040585,1839,3600,,,,,,,0.2,0.001,-0.027070482377894223,0.009482486,110,-0.005501285195350647,0.22828479968011378,-0.1326216459274292,0.19299857281148433,-1.1442003190517425
,,3600,,,,,1.78,0.67,0,-0.31644649,5171,12,,,,,,,,,,
1.36,0.88,3900,0,-0.13480830585584044,2014,3900,,,,,,,0.2,0.001,-0.03556206355569884,0.031848297,120,-0.01739412173628807,0.23581321127712726,0.07642495632171631,0.17857787683606147,-0.968170827627182
,,3900,,,,,1.7,0.71,0,-0.26506614999999994,5625,13,,,,,,,,,,
1.32,0.86,4200,0,-0.13237020465545357,2191,4200,,,,,,,0.2,0.001,-0.029267262187204324,0.030131996,130,0.043789688497781754,0.10882457531988621,-0.004888057708740234,0.1884406853467226,-0.8639281332492829
,,4200,,,,,1.74,0.72,0,-0.27028444,6105,14,,,,,,,,,,
1.32,0.88,4500,0,-0.07103695470839738,2366,4500,,,,,,,0.2,0.001,-0.022148085408844054,0.013754562,140,0.005781602114439011,0.14524147808551788,0.1545690894126892,0.16901473067700862,-0.729213073849678
,,4500,,,,,1.74,0.72,0,-0.25514739999999997,6570,15,,,,,,,,,,
1.12,0.96,4800,0,-0.04917499388102442,2548,4800,,,,,,,0.2,0.001,-0.01962083548132796,0.013327658,150,0.03315333276987076,0.10170454643666745,-0.0063953399658203125,0.15871790498495103,-0.7120680153369904
,,4800,,,,,1.65,0.75,0,-0.24812547,7034,16,,,,,,,,,,
1.26,0.88,5100,0,-0.08918155730236321,2731,5100,,,,,,,0.2,0.001,-0.022579181104083544,0.020259708,160,-0.00623583048582077,0.11514559723436832,0.17345106601715088,0.1401501189917326,-0.6889534622430802
,,5100,,,,,1.68,0.75,0,-0.2564783,7492,17,,,,,,,,,,
1.1,0.98,5400,0,-0.028112577702850104,2897,5400,,,,,,,0.2,0.001,-0.02232452706011827,0.020209407,170,-0.010245092213153839,0.10363991633057594,0.07970046997070312,0.1623103093355894,-0.6760039418935776
,,5400,,,,,1.88,0.65,0,-0.33115912999999997,7936,18,,,,,,,,,,
1.14,0.94,5700,0,-0.04846146999392659,3082,5700,,,,,,,0.2,0.001,-0.029131477368355262,0.023539834,180,0.022811997681856155,0.1596058238297701,0.1855751872062683,0.17056559175252914,-0.6133825674653053
,,5700,,,,,1.6,0.77,0,-0.16469891000000003,8388,19,,,,,,,,,,
1.18,0.92,6000,0,-0.06849097488448024,3258,6000,,,,,,,0.2,0.001,-0.02825496127770748,0.028546214,190,-0.004225548356771469,0.115003552287817,-0.02996063232421875,0.17420728653669357,-0.7126454889774323
,,6000,,,,,1.84,0.65,0,-0.33826632,8835,20,,,,,,,,,,
1.24,0.9,6300,0,-0.08987870573066176,3427,6300,,,,,,,0.2,0.001,-0.025730709033086895,0.020316666,200,0.05188706889748573,0.16434659138321878,0.0939134955406189,0.19851667433977127,-0.6015578746795655
,,6300,,,,,1.75,0.67,0,-0.29366487,9254,21,,,,,,,,,,
1.14,0.94,6600,0,-0.048178885346278545,3591,6600,,,,,,,0.2,0.001,-0.022223168116761373,0.016154207,210,0.028143130242824554,0.12082741595804691,0.1382487416267395,0.17989401258528231,-0.6719905018806458
,,6600,,,,,1.85,0.65,0,-0.32061703999999996,9699,22,,,,,,,,,,
1.2,0.92,6900,0,-0.0691631729528308,3778,6900,,,,,,,0.2,0.001,-0.018142975599039345,0.020988084,220,0.026926402002573013,0.14378551281988622,0.021146178245544434,0.20178101360797882,-0.4717706754803658
,,6900,,,,,1.65,0.75,0,-0.25642406000000006,10128,23,,,,,,,,,,
1.2,0.92,7200,0,-0.08837055570445955,3964,7200,,,,,,,0.2,0.001,-0.017007166967960074,0.020851592,230,0.025907810777425766,0.09408735930919647,0.24514567852020264,0.15419891849160194,-0.43485247492790224
,,7200,,,,,1.57,0.76,0,-0.23865944999999997,10603,24,,,,,,,,,,
1.26,0.88,7500,0,-0.09083718913141638,4151,7500,,,,,,,0.2,0.001,-0.01587226865667617,0.0068129166,240,0.05202122777700424,0.054385654255747796,0.15180975198745728,0.18098914995789528,-0.4299671858549118
,,7500,,,,,1.55,0.79,0,-0.21108684999999996,11040,25,,,,,,,,,,
1.18,0.94,7800,0,-0.028724131546914576,4336,7800,,,,,,,0.2,0.001,-0.013254294916259823,0.008848818,250,0.033989422023296356,0.043590199574828147,0.13913720846176147,0.17139299251139165,-0.34357161074876785
,,7800,,,,,1.68,0.71,0,-0.31553874,11508,26,,,,,,,,,,
1.46,0.82,8100,0,-0.1148375997832045,4522,8100,,,,,,,0.2,0.001,-0.010632415022701024,0.005916074,260,0.07063816487789154,0.05688920542597771,0.09958899021148682,0.20161937773227692,-0.32582318037748337
,,8100,,,,,1.56,0.78,0,-0.20131446,11974,27,,,,,,,,,,
1.38,0.82,8400,0,-0.15182156356517226,4695,8400,,,,,,,0.2,0.001,-0.014945910703318077,0.009042168,270,0.007644366472959518,0.041228693723678586,0.24645036458969116,0.14850344695150852,-0.3753614410758018
,,8400,,,,,1.7,0.7,0,-0.29528606,12425,28,,,,,,,,,,
1.3,0.86,8700,0,-0.13177494051866234,4869,8700,,,,,,,0.2,0.001,-0.016247567431128117,0.0153613165,280,0.06831800937652588,0.04772727340459824,-0.007686495780944824,0.20848362743854523,-0.4326407313346863
,,8700,,,,,1.74,0.72,0,-0.24215607999999997,12880,29,,,,,,,,,,
1.18,0.94,9000,0,-0.05027769854292274,5058,9000,,,,,,,0.2,0.001,-0.017888333904193133,0.018691506,290,0.06979088485240936,0.06979758627712726,0.13673126697540283,0.18016428798437117,-0.3817755326628685
,,9000,,,,,1.56,0.78,0,-0.2123881,13322,30,,,,,,,,,,
1.4,0.88,9300,0,-0.09184593178797514,5236,9300,,,,,,,0.2,0.001,-0.017462065833387896,0.011013698,300,0.049208737909793854,0.06757812537252902,0.1273791790008545,0.15825611986219884,-0.3638456493616104
,,9300,,,,,1.6,0.75,0,-0.21732512,13773,31,,,,,,,,,,
1.22,0.9,9600,0,-0.07057541543617844,5413,9600,,,,,,,0.2,0.001,-0.016310512339987326,0.010118243,310,0.014839261770248413,0.07803622223436832,0.2935946583747864,0.13555587269365788,-0.4023320391774178
,,9600,,,,,1.71,0.73,0,-0.27399583,14223,32,,,,,,,,,,
1.12,0.96,9900,0,-0.04862019551452249,5597,9900,,,,,,,0.2,0.001,-0.014600164857984054,0.016899934,320,0.03421485424041748,0.05356889218091965,0.0479656457901001,0.19964637309312822,-0.417730376124382
,,9900,,,,,1.58,0.81,0,-0.18807377,14657,33,,,,,,,,,,
1.18,0.94,10200,0,-0.06845489023718983,5781,10200,,,,,,,0.2,0.001,-0.009985190033330583,0.014395019,330,0.052224770188331604,0.055752841755747795,0.021506786346435547,0.1763254575431347,-0.28123135566711427
,,10200,,,,,1.57,0.8,0,-0.17600464000000002,15097,34,,,,,,,,,,
1.02,1.0,10500,0,-0.006592247672379017,5960,10500,,,,,,,0.2,0.001,-0.009204686852172017,0.008645035,340,0.039419811218976974,0.054829546436667445,0.160927414894104,0.17428715601563455,-0.2984592214226723
,,10500,,,,,1.66,0.74,0,-0.24023783,15519,35,,,,,,,,,,
1.22,0.9,10800,0,-0.11088678104802967,6141,10800,,,,,,,0.2,0.001,-0.01118833867367357,0.016339445,350,0.06868143379688263,0.03426846638321877,0.20242148637771606,0.17353525608778,-0.3363332271575928
,,10800,,,,,1.66,0.72,0,-0.25802506000000003,15968,36,,,,,,,,,,
1.36,0.84,11100,0,-0.1506828774791211,6339,11100,,,,,,,0.2,0.001,-0.012779479811433703,0.010733122,360,0.02832571044564247,0.0392400573939085,0.13081443309783936,0.16239590011537075,-0.33425951898097994
,,11100,,,,,1.48,0.85,0,-0.15718630000000003,16424,37,,,,,,,,,,
1.32,0.84,11400,0,-0.09069658963941038,6525,11400,,,,,,,0.2,0.001,-0.0074698275566333905,0.008292452,370,0.06615033745765686,0.041228693723678586,-0.03347980976104736,0.17466391399502754,-0.2869306243956089
,,11400,,,,,1.65,0.72,0,-0.23697669,16906,38,,,,,,,,,,
1.08,0.98,11700,0,-0.027150469860062004,6715,11700,,,,,,,0.2,0.001,-0.008883023337693885,0.008096425,380,0.06316954642534256,0.044833097234368326,0.12475669384002686,0.1663618203252554,-0.29735918790102006
,,11700,,,,,1.56,0.78,0,-0.16064183999999998,17362,39,,,,,,,,,,
1.34,0.88,12000,0,-0.09093647725880145,6894,12000,,,,,,,0.2,0.001,-0.018894344056025147,0.034894586,390,0.061418600380420685,0.07311789877712727,0.10195672512054443,0.18075773008167745,-0.3306742891669273
,,12000,,,,,1.79,0.69,0,-0.31759455999999997,17801,40,,,,,,,,,,
1.24,0.92,12300,0,-0.02985524361953139,7077,12300,,,,,,,0.2,0.001,-0.019389714632416143,0.032308545,400,0.05372156575322151,0.09177912026643753,0.15134644508361816,0.18849841728806496,-0.3669364877045155
,,12300,,,,,1.59,0.75,0,-0.20891684000000002,18256,41,,,,,,,,,,
1.26,0.9,12600,0,-0.10935887928120792,7256,12600,,,,,,,0.2,0.001,-0.02332844428601675,0.017193353,410,0.04013298451900482,0.10150923393666744,0.1633628010749817,0.1587092362344265,-0.3084655672311783
,,12600,,,,,1.68,0.72,0,-0.26029842999999997,18685,42,,,,,,,,,,
1.34,0.88,12900,0,-0.09266959800384938,7442,12900,,,,,,,0.2,0.001,-0.009692713364711381,0.006073132,420,0.07686160504817963,0.036345881223678586,0.19793856143951416,0.16451204605400563,-0.2962751217186451
,,12900,,,,,1.6,0.76,0,-0.23774785999999998,19128,43,,,,,,,,,,
1.18,0.92,13200,0,-0.03199263605289161,7621,13200,,,,,,,0.2,0.001,-0.013829685264499857,0.01613357,430,0.032855965197086334,0.05152698941528797,0.23622238636016846,0.1592659130692482,-0.2444047138094902
,,13200,,,,,1.71,0.71,0,-0.25588915,19571,44,,,,,,,,,,
1.08,0.98,13500,0,-0.027318659010343253,7810,13500,,,,,,,0.2,0.001,-0.008897303644334897,0.011187193,440,0.04785579442977905,0.03987926207482815,0.01903444528579712,0.20644746348261833,-0.19424893856048583
