rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,env/n_steps,env/current_idx,time/fps,time/total_timesteps,env/completion_counter,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.92,3045,1.3,85,-0.06242957999999999,2550,1853,0,2550,0,0.2,4200,-0.029924464814364882,-0.03501183230429888,-0.027682900428771973,0.024752910605748184,0.09600000150501728,0.26474854,0.001,-0.03231639042496681,,,
0.93,3080,1.28,86,-0.05068562,2580,1874,0,2580,0,0.2,4250,-0.025002884548157453,-0.16716285318136215,-54.36304473876953,0.00015056908741826192,0.2813333377242088,0.46314374,0.001,-0.04092370718717575,,,
0.92,3114,1.31,87,-0.07084991,2610,1894,0,2610,0,0.2,4300,-0.09379358459015688,-0.2739308324456215,-0.05995476245880127,0.08680208491161466,0.32466667346656325,1.8875257,0.001,-0.11334837228059769,,,
0.91,3146,1.33,88,-0.07124567,2640,1914,0,2640,0,0.2,4350,-0.07347417921572927,-0.12195717364549637,0.14103788137435913,0.06231106468476355,0.24133334264159204,1.1365744,0.001,-0.07507535070180893,,,
0.91,3179,1.36,89,-0.07149963,2670,1938,0,2670,0,0.2,4400,-0.05723439169054231,-0.12995680749416352,-0.5067288875579834,0.05990467714611441,0.22200000852346422,0.27774674,0.001,-0.07255969196557999,,,
0.88,3214,1.45,90,-0.10291499999999999,2700,1958,0,2700,0,0.2,4450,-0.018158337201923124,-0.056693709790706634,-9.898188591003418,0.0004832831352541689,0.1566666715592146,0.33503515,0.001,-0.019394630566239357,,,
0.92,3250,1.3,91,-0.06056072999999999,2730,1984,0,2730,0,0.2,4500,-0.09176586898416282,-0.15883194521069527,0.14382553100585938,0.10452398092951626,0.33200000822544096,0.481672,0.001,-0.12043758481740952,,,
0.94,3284,1.26,92,-0.06011739000000001,2760,2011,0,2760,0,0.2,4550,-0.06671419390725593,-0.18757022559642791,-2.8807060718536377,0.00541793074196903,0.48399999991059306,2.1538074,0.001,-0.09074202179908752,,,
0.92,3317,1.32,93,-0.09121211000000001,2790,2025,0,2790,0,0.2,4600,-0.03748020181215061,-0.20347574830055237,-0.17226755619049072,0.018809353798860683,0.2873333416879177,0.20181292,0.001,-0.045015376061201096,,,
0.89,3352,1.42,94,-0.10484648999999997,2820,2046,0,2820,0,0.2,4650,-0.0879031520287196,-0.20131262585520746,0.18602943420410156,0.10628859274089336,0.4313333415985107,0.44798672,0.001,-0.11653894186019897,,,
0.9,3387,1.39,95,-0.08433252,2850,2068,0,2850,0,0.2,4700,-0.06983128444353738,-0.2130587774515152,-0.9923884868621826,0.013048605115618556,0.3833333367109299,0.2913176,0.001,-0.08100065588951111,,,
0.89,3424,1.46,96,-0.09546062000000001,2880,2088,0,2880,0,0.2,4750,-0.0626873094967256,-0.148387298732996,-0.06988131999969482,0.04714739127084613,0.26800000853836536,0.29131398,0.001,-0.08345220983028412,,,
0.87,3462,1.52,97,-0.1162973,2910,2110,0,2910,0,0.2,4800,-0.07982999991873903,-0.2249934756755829,0.5581046938896179,0.03102390196174383,0.3813333386927843,0.55186117,0.001,-0.08769874274730682,,,
0.9,3496,1.43,98,-0.08336530000000002,2940,2131,0,2940,0,0.2,4850,-0.0873669760028521,-0.16539362490177154,0.09763681888580322,0.04499426723457873,0.32666667506098745,0.5431773,0.001,-0.09578332304954529,,,
0.91,3528,1.38,99,-0.09200251999999998,2970,2154,0,2970,0,0.2,4900,-0.04135463183311125,-0.07134199254214764,-0.195631742477417,0.07228134568314999,0.16666666887700557,0.47667754,0.001,-0.0615319088101387,,,
,,,,,3000,2175,,3000,0,0.2,4950,-0.07169990286851924,-0.1064962188899517,0.6770797967910767,0.0027077815009397457,0.26200001165270803,0.7903989,0.001,-0.07718927413225174,0.91,1.41,-0.10262053434504197
0.92,3745,1.43,100,-0.08323288000000001,,,0,3000,,,,,,,,,,,,,,
