time/total_timesteps,env/n_steps,time/time_elapsed,time/fps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,eval/mean_ep_length,eval/mean_reward,eval/success_rate
56400,56400,175342,0,1159,9,-0.017397430000000002,1.05,1.0,564,-0.16649891808629036,0.15629277527332305,0.001,5630,-0.031204324640333646,0.2699936628341675,0.010939296334981918,0.2,0.069280624,0.08999999910593033,,,
56500,56500,175468,0,1250,9,-0.025480779999999998,1.1,1.0,565,-0.05464543141424656,0.025129502266645433,0.001,5640,-0.012663405615836254,-9.0560941696167,-0.0036583831533789635,0.2,0.006122056,0.028999999351799487,,,
56600,56600,175603,0,1340,9,-0.039308369999999995,1.14,1.0,566,-0.02665217025205493,0.034371018223464486,0.001,5650,-0.007713537195697384,-1.191626787185669,0.0005512600764632225,0.2,0.00027813672,0.0,,,
56700,56700,175735,0,1419,9,-0.06426779,1.21,0.98,567,-0.022006910666823386,0.043652760609984395,0.001,5660,-0.006189516834914599,0.28982359170913696,0.012654595077037811,0.2,0.031827927,0.008999999798834323,,,
56800,56800,175870,0,1495,9,-0.08356660000000002,1.33,0.98,568,-0.008197338273748755,0.17226595133543016,0.001,5670,6.2369106108128845e-06,0.4967949390411377,0.06949297338724136,0.2,4.7683713e-08,0.0,,,
56900,56900,176003,0,1569,9,-0.07231211000000001,1.27,0.98,569,-0.10279189944267272,0.09280669540166855,0.001,5680,-0.01754484635964033,0.6073884963989258,0.012954700738191605,0.2,0.029304335,0.06699999775737524,,,
57000,57000,,,1654,9,,,,,-0.0639659022912383,0.1334927909076214,0.001,5690,-0.008193551787291664,0.6035006046295166,0.032216042280197144,0.2,0.038659126,0.02499999962747097,1.22,-0.05236861000303179,1.0
57000,,176284,0,,,-0.04804049,1.14,0.99,570,,,,,,,,,,,,,
57100,57100,176418,0,1736,9,-0.037497949999999995,1.12,1.0,571,-0.03529144693166018,0.12627850323915482,0.001,5700,-0.003262259578565141,0.5062910318374634,0.04766877740621567,0.2,0.00602657,0.007999999821186066,,,
57200,57200,176551,0,1797,9,-0.12686165000000002,1.48,0.96,572,-0.02670064251869917,0.12690120935440063,0.001,5710,-0.007022129754535822,0.3328971862792969,0.03616863489151001,0.2,0.0029939834,0.01699999962002039,,,
57300,57300,176677,0,1864,9,-0.13984320999999997,1.55,0.96,573,-0.07552836500108243,0.17570787966251372,0.001,5720,-0.00635226655984269,0.5951099991798401,0.06787816435098648,0.2,0.022519913,0.03599999919533729,,,
57400,57400,176802,0,1945,9,-0.06290263,1.24,0.99,574,-0.012646835390478372,0.23672093003988265,0.001,5730,3.598761529066685e-05,0.4592363238334656,0.09486671537160873,0.2,1.2874602e-07,0.0,,,
57500,57500,176932,0,2019,9,-0.06830839,1.27,0.99,575,-0.04650363959372043,0.16181874722242356,0.001,5740,-0.00782461146824076,0.4213244915008545,0.06198141723871231,0.2,0.0025245338,0.011999999731779098,,,
57600,57600,177065,0,2085,9,-0.14145225,1.5,0.97,576,-0.01832909546792507,0.11843415349721909,0.001,5750,-0.0002422804209927243,0.5832449197769165,0.04925334081053734,0.2,1.4668702e-06,0.0,,,
57700,57700,177201,0,2174,9,-0.0919604,1.29,0.98,577,-0.10030933693051339,0.38089572787284853,0.001,5760,-0.006907917778007544,0.4932402968406677,0.16422192752361298,0.2,0.0009155452,0.0449999988079071,,,
57800,57800,177325,0,2265,9,-0.03783115000000001,1.11,1.0,578,-0.049413659051060675,0.15927216783165932,0.001,5770,-0.007634302596095921,-1.6673853397369385,0.03458978608250618,0.2,0.00413765,0.019999999552965164,,,
57900,57900,177457,0,2358,9,-0.029802440000000003,1.07,1.0,579,-0.0452782716602087,0.07001446411013604,0.001,5780,-0.005156154593219986,-0.3358645439147949,0.013212072663009167,0.2,0.00664019,0.017999999597668646,,,
58000,58000,,,2434,9,,,,,-0.011380474921315909,0.036010040529072286,0.001,5790,-0.010753175329416997,-5.153384685516357,0.001500987447798252,0.2,0.002528829,0.014999999664723873,1.3,-0.09042014720384031,0.99
58000,,177749,0,,,-0.06394274999999999,1.24,0.99,580,,,,,,,,,,,,,
58100,58100,177870,0,2502,9,-0.12305931,1.41,0.97,581,-0.020470630563795566,0.18375979661941527,0.001,5800,-0.002298190806992384,0.24860578775405884,0.08151769638061523,0.2,0.00074303447,0.007999999821186066,,,
58200,58200,178002,0,2568,9,-0.12208865999999999,1.42,0.97,582,-0.08888121098279952,0.31643499433994293,0.001,5810,-0.0083682963512838,0.4125779867172241,0.14036281406879425,0.2,0.013469802,0.04899999871850014,,,
58300,58300,178129,0,2649,9,-0.10132846,1.33,0.98,583,-0.009406524244695902,0.3037058591842651,0.001,5820,-2.9982566179587167e-05,0.4458819031715393,0.14384527504444122,0.2,9.4175334e-08,0.0,,,
58400,58400,178254,0,2729,9,-0.06250287,1.2,1.0,584,-0.006953800050541759,0.16646999269723892,0.001,5830,-5.049109430288467e-06,0.4527680277824402,0.06585181504487991,0.2,1.7285346e-08,0.0,,,
58500,58500,178381,0,2815,9,-0.04800444999999998,1.17,1.0,585,-0.04715021513402462,0.1762934848666191,0.001,5840,-0.0073442867267877075,0.15768474340438843,0.0683283656835556,0.2,0.003035075,0.03299999870359897,,,
