eval/mean_reward,env/n_steps,env/current_idx,eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_range
-0.07232514844276011,600,312,0.86,600,1.4,0,,,,,,,-0.09135663509368896,0.001,0.168690125644207,0.0533333346247673,-0.3061267137527466,0.01923963986337185,190,-0.013414976020964442,0.030009003,0.2
,,,,600,,,2252,1.84,0,-0.3928750900000001,0.61,20,,,,,,,,,,
-0.09310257670469582,630,329,0.9,630,1.3,0,,,,,,,-0.009428858757019043,0.001,0.22214308232069016,0.04000000208616257,-0.28476712107658386,0.07321368157863617,200,-0.003470509808975919,0.0062911985,0.2
,,,,630,,,2363,1.79,0,-0.36446895000000007,0.64,21,,,,,,,,,,
-0.0274249958852306,660,349,0.96,660,1.08,0,,,,,,,-0.47810447216033936,0.001,0.23626570105552674,0.0,-0.2333792895078659,0.06861178576946259,210,-0.0026253384058755103,0.000104526676,0.2
,,,,660,,,2473,1.75,0,-0.33954364,0.66,22,,,,,,,,,,
-0.0488346480531618,690,370,0.96,690,1.14,0,,,,,,,0.25871217250823975,0.001,0.17738636285066606,0.020000001043081285,-0.263579948246479,0.06743971258401871,220,-0.003080279443335243,0.0083728675,0.2
,,,,690,,,2577,1.68,0,-0.28569085,0.7,23,,,,,,,,,,
-0.13138670082204043,720,387,0.86,720,1.32,0,,,,,,,0.16756635904312134,0.001,0.11152544319629669,0.013333334028720856,-0.24955395758152008,0.03363987058401108,230,-0.00202632795548805,0.0022078573,0.2
,,,,720,,,2709,1.72,0,-0.29977613000000003,0.68,24,,,,,,,,,,
-0.09433571886271239,750,406,0.9,750,1.32,0,,,,,,,-0.05165302753448486,0.001,0.25511363595724107,0.01666666753590107,-0.20476292371749877,0.07572394609451294,240,-0.002387635915462538,0.004295647,0.2
,,,,750,,,2824,1.63,0,-0.24147602999999995,0.74,25,,,,,,,,,,
-0.11083260573912412,780,425,0.86,780,1.34,0,,,,,,,0.30537354946136475,0.001,0.09919433295726776,0.023333334550261497,-0.1450724147260189,0.016704723238945007,250,-0.010830215903309437,0.00707346,0.2
,,,,780,,,2942,1.58,0,-0.20747374999999998,0.77,26,,,,,,,,,,
-0.049239748856052756,810,447,0.94,810,1.18,0,,,,,,,0.029797017574310303,0.001,0.18470608070492744,0.0,-0.10940504223108291,0.05574807524681091,260,-1.1242727320492917e-05,3.528595e-06,0.2
,,,,810,,,3065,1.53,0,-0.20471810000000001,0.79,27,,,,,,,,,,
-0.15105608399491757,840,465,0.86,840,1.36,0,,,,,,,0.07088524103164673,0.001,0.19484087079763412,0.0,-0.10044924095273018,0.05495279282331467,270,-2.1201372284540553e-05,3.89417e-07,0.2
,,,,840,,,3185,1.54,0,-0.21606918,0.78,28,,,,,,,,,,
-0.11297047358006239,870,484,0.84,870,1.38,0,,,,,,,0.16712993383407593,0.001,0.14338730201125144,0.01666666753590107,-0.10798592641949653,0.037424348294734955,280,-0.0020170879993626433,0.0035471478,0.2
,,,,870,,,3305,1.56,0,-0.23451791000000008,0.77,29,,,,,,,,,,
-0.08911315695848315,900,507,0.92,900,1.2,0,,,,,,,0.11050379276275635,0.001,0.22086073011159896,0.013333334028720856,-0.10652262270450592,0.06627167761325836,290,-0.005734417244481626,0.0049648643,0.2
,,,,900,,,3416,1.47,0,-0.21231866,0.81,30,,,,,,,,,,
-0.1101672550663352,930,530,0.86,930,1.32,0,,,,,,,-0.07755064964294434,0.001,0.14907717779278756,0.0,-0.0793368935585022,0.04692338779568672,300,-4.5168399847028695e-06,2.6981036e-06,0.2
,,,,930,,,3533,1.43,0,-0.20572935,0.82,31,,,,,,,,,,
-0.04999868406914174,960,548,0.92,960,1.22,0,,,,,,,-0.13174474239349365,0.001,0.23436236679553984,0.0,-0.07258600890636444,0.08372755348682404,310,-2.5764703666197873e-05,3.9140383e-07,0.2
,,,,960,,,3651,1.47,0,-0.20883753999999996,0.81,32,,,,,,,,,,
-0.050280297538265586,990,569,0.92,990,1.22,0,,,,,,,0.06624209880828857,0.001,0.23369673937559127,0.013333334028720856,-0.07200330123305321,0.09416323155164719,320,-0.0028757817907413496,0.0026524505,0.2
,,,,990,,,3762,1.46,0,-0.20619372999999996,0.82,33,,,,,,,,,,
-0.11063493532128632,1020,588,0.86,1020,1.3,0,,,,,,,-0.1735095977783203,0.001,0.27093660831451416,0.0,-0.08304013758897781,0.113677479326725,330,-6.556510889765832e-07,7.947286e-07,0.2
,,,,1020,,,3875,1.46,0,-0.20542178,0.82,34,,,,,,,,,,
-0.07160473998636008,1050,610,0.84,1050,1.38,0,,,,,,,0.20883655548095703,0.001,0.22589422315359114,0.0,-0.08966485112905502,0.09155169874429703,340,-3.5330652581322397e-06,1.1920929e-07,0.2
,,,,1050,,,4000,1.45,0,-0.21492744000000003,0.81,35,,,,,,,,,,
-0.07450019599869848,1080,632,0.92,1080,1.24,0,,,,,,,0.2215489149093628,0.001,0.19022627770900727,0.0,-0.09060602039098739,0.08328855782747269,350,-1.5846888334891673e-06,0.0,0.2
