env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,time/iterations,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/approx_kl
13738,-0.04852987088263035,1.18,0.94,23400,23400,0,,,,,,,-0.015772410109639166,0.03759976103901863,-0.29676351621747016,0.2400304675102234,0.001,0.2,0.06290838122367859,770,0.1814149845391512,0.025962722
,,,,23400,,,-0.31582423000000004,0,1.82,35759,0.64,78,,,,,,,,,,
13930,-0.053841679645702245,1.36,0.88,23700,23700,0,,,,,,,-0.019550531497225167,0.04614446312189102,-0.2493508294224739,0.15515154600143433,0.001,0.2,0.08629261367022992,780,0.202341428399086,0.028175842
,,,,23700,,,-0.20809428,0,1.58,36213,0.76,79,,,,,,,,,,
14106,-0.13175422711297868,1.32,0.86,24000,24000,0,,,,,,,-0.016803228805656545,0.028596743941307068,-0.24096950739622117,0.20125091075897217,0.001,0.2,0.06599787026643752,790,0.16129417195916176,0.016444419
,,,,24000,,,-0.33144909,0,1.7,36677,0.68,80,,,,,,,,,,
14280,-0.09173700970597565,1.34,0.86,24300,24300,0,,,,,,,-0.015794127044500783,0.04634413868188858,-0.1956126794219017,0.2835715413093567,0.001,0.2,0.06988636441528798,800,0.17529096975922584,0.022598116
,,,,24300,,,-0.29125211,0,1.67,37111,0.7,81,,,,,,,,,,
14455,-0.11327064921148121,1.4,0.84,24600,24600,0,,,,,,,-0.014745736355689588,0.05763838067650795,-0.21790199875831603,0.1214722990989685,0.001,0.2,0.0724609386175871,810,0.20109320431947708,0.034094226
,,,,24600,,,-0.2984762,0,1.64,37543,0.71,82,,,,,,,,,,
14635,-0.028494898155331613,1.16,0.94,24900,24900,0,,,,,,,-0.009713744726286676,0.11488478630781174,-0.15758229624480008,0.20019900798797607,0.001,0.2,0.03805042654275894,820,0.1947995699942112,0.010498082
,,,,24900,,,-0.22721306,0,1.62,37987,0.73,83,,,,,,,,,,
14805,-0.04810545233078301,1.16,0.92,25200,25200,0,,,,,,,-0.017889390815980732,0.03901035338640213,-0.2455809373408556,0.21695178747177124,0.001,0.2,0.06242897808551788,830,0.17835718393325806,0.026790697
,,,,25200,,,-0.32869244999999997,0,1.79,38435,0.65,84,,,,,,,,,,
14989,-0.048911873986944555,1.18,0.94,25500,25500,0,,,,,,,-0.0052818182614373654,0.07715795934200287,-0.10977308843284846,0.26556259393692017,0.001,0.2,0.03819247223436832,840,0.16940173879265785,0.0041418257
,,,,25500,,,-0.21193364999999997,0,1.6,38875,0.76,85,,,,,,,,,,
15157,-0.13382415279280394,1.32,0.86,25800,25800,0,,,,,,,-0.004644098182325251,0.0638185366988182,-0.15991913750767708,0.1778847575187683,0.001,0.2,0.03400213122367859,850,0.19774884581565857,0.0054038507
,,,,25800,,,-0.31484323,0,1.73,39318,0.67,86,,,,,,,,,,
15336,-0.05173782909289002,1.32,0.86,26100,26100,0,,,,,,,-0.008310105209238828,0.05265769362449646,-0.21321656368672848,0.16254442930221558,0.001,0.2,0.04151278473436833,860,0.19161831252276898,0.010727504
,,,,26100,,,-0.26595305,0,1.67,39778,0.72,87,,,,,,,,,,
15523,-0.0917615164630115,1.3,0.92,26400,26400,0,,,,,,,-0.01551362369209528,0.02308349683880806,-0.2620221458375454,0.11301577091217041,0.001,0.2,0.07727272845804692,870,0.18797455951571465,0.04599309
,,,,26400,,,-0.27937792,0,1.61,40217,0.73,88,,,,,,,,,,
15704,-0.09305218888446688,1.38,0.82,26700,26700,0,,,,,,,-0.021879421052290127,0.027538783848285675,-0.26040534153580663,0.24219083786010742,0.001,0.2,0.08634588159620762,880,0.15893712379038333,0.025437828
,,,,26700,,,-0.21537921000000002,0,1.61,40665,0.78,89,,,,,,,,,,
15890,-0.04985316256992519,1.32,0.88,27000,27000,0,,,,,,,-0.01764208078966476,0.030921246856451035,-0.2852098517119884,0.20191550254821777,0.001,0.2,0.09465554133057594,890,0.1819949246942997,0.03502661
,,,,27000,,,-0.29031796,0,1.67,41102,0.7,90,,,,,,,,,,
16090,-0.11124298215843736,1.26,0.9,27300,27300,0,,,,,,,-0.020948657765984535,0.03374825045466423,-0.38894796669483184,0.12557005882263184,0.001,0.2,0.11475497297942638,900,0.19156163409352303,0.034476407
,,,,27300,,,-0.19040809999999997,0,1.52,41537,0.78,91,,,,,,,,,,
16268,-0.06955491619650274,1.28,0.92,27600,27600,0,,,,,,,-0.01986288112238981,0.004377733916044235,-0.3318149529397488,0.21238791942596436,0.001,0.2,0.06651278510689736,910,0.15859546661376953,0.022249706
,,,,27600,,,-0.2288237,0,1.74,41977,0.73,92,,,,,,,,,,
16450,-0.09019600981846451,1.26,0.9,27900,27900,0,,,,,,,-0.019527091403324447,0.019360706210136414,-0.4380547389388084,0.19531816244125366,0.001,0.2,0.10696022845804691,920,0.16736552268266677,0.032994427
,,,,27900,,,-0.24487327999999997,0,1.63,42416,0.71,93,,,,,,,,,,
16634,-0.051390737574547526,1.26,0.92,28200,28200,0,,,,,,,-0.02463123429333791,0.06459612399339676,-0.3776849493384361,0.15494436025619507,0.001,0.2,0.13448153510689737,930,0.18611543700098993,0.022912143
,,,,28200,,,-0.25286154,0,1.61,42857,0.74,94,,,,,,,,,,
16810,-0.13219583321362735,1.26,0.88,28500,28500,0,,,,,,,-0.01600969859282486,0.059443287551403046,-0.32570053562521933,0.35249894857406616,0.001,0.2,0.07191051244735717,940,0.13902838975191117,0.013102596
,,,,28500,,,-0.2245232,0,1.64,43298,0.73,95,,,,,,,,,,
16998,-0.007501340485177934,1.1,0.98,28800,28800,0,,,,,,,-0.02859605534467846,-0.010591905564069748,-0.3977520436048508,0.09336596727371216,0.001,0.2,0.14934304021298886,950,0.17011006735265255,0.028766928
,,,,28800,,,-0.23039787,0,1.6,43728,0.75,96,,,,,,,,,,
17190,-0.05512794448528439,1.22,0.92,29100,29100,0,,,,,,,-0.019656402814143804,0.007358655333518982,-0.38189545422792437,0.27015024423599243,0.001,0.2,0.10276988744735718,960,0.1506424739956856,0.036790907
,,,,29100,,,-0.25838651999999995,0,1.61,44164,0.74,97,,,,,,,,,,
17373,-0.0694923039060086,1.22,0.92,29400,29400,0,,,,,,,-0.028310433035949246,0.022759325802326202,-0.4375604197382927,0.20397162437438965,0.001,0.2,0.13902698904275895,970,0.1662738047540188,0.045922846
,,,,29400,,,-0.19560179000000003,0,1.59,44582,0.77,98,,,,,,,,,,
17553,-0.11024537387769669,1.3,0.88,29700,29700,0,,,,,,,-0.02170297162956558,0.024041417986154556,-0.378313709795475,0.24220788478851318,0.001,0.2,0.10990767143666744,980,0.1701071634888649,0.059381466
,,,,29700,,,-0.26925009,0,1.67,44997,0.71,99,,,,,,,,,,
17735,-0.08958044975530356,1.2,0.92,30000,30000,0,,,,,,,-0.0254426755730492,0.027535613626241684,-0.35208902359008787,0.13915985822677612,0.001,0.2,0.1072798304259777,990,0.1832174338400364,0.032026067
