time/total_timesteps,env/completion_counter,eval/success_rate,env/current_idx,eval/mean_ep_length,env/n_steps,eval/mean_reward,time/time_elapsed,rollout/success_rate,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl,train/entropy_loss,train/value_loss
870,0,0.98,286,1.18,870,-0.031138123692944646,,,,,,,0.2,0.0001,280,-0.006819036807088707,-0.11832857131958008,0.0,0.05837805196642876,0.0007512947,-1.779894757270813,0.2028771385550499
870,,,,,,,3478,0.64,0,3.0,29,-0.41868328,,,,,,,,,,
900,0,0.94,297,1.42,900,-0.07139962159097195,,,,,,,0.2,0.0001,290,-0.003620572090342833,0.17531239986419678,0.0,0.06915701180696487,0.00030918917,-1.7728067755699157,0.20762899518013
900,,,,,,,3604,0.65,0,2.98,30,-0.40571280000000004,,,,,,,,,,
930,0,1.0,308,1.24,930,-0.010660594538785517,,,,,,,0.2,0.0001,300,-0.005979094431580334,0.08861172199249268,0.0,0.06722424179315567,0.0010231216,-1.7615064144134522,0.1957146257162094
930,,,,,,,3720,0.65,0,2.95,31,-0.39557385000000006,,,,,,,,,,
960,0,0.96,319,1.34,960,-0.05051640702411533,,,,,,,0.2,0.0001,310,-0.008010579890881785,-0.105751633644104,0.0,0.07438822090625763,0.0014762719,-1.733684492111206,0.21943049281835555
960,,,,,,,3836,0.64,0,2.96,32,-0.41310767,,,,,,,,,,
990,0,0.96,332,1.34,990,-0.010367894326336682,,,,,,,0.2,0.0001,320,-0.004068717582073766,-0.4744206666946411,0.0,0.1468988060951233,0.0010186712,-1.706813633441925,0.41864181160926817
990,,,,,,,3970,0.65,0,2.92,33,-0.38404749999999993,,,,,,,,,,
1020,0,0.98,346,1.26,1020,-0.03070100353565067,,,,,,,0.2,0.0001,330,-0.0029499300255459993,-0.5375239849090576,0.0,0.13012376427650452,0.00044637322,-1.6921863079071044,0.3230093985795975
1020,,,,,,,4081,0.68,0,2.76,34,-0.3779791,,,,,,,,,,
1050,0,0.94,357,1.42,1050,-0.05213321219198406,,,,,,,0.2,0.0001,340,-0.008269556331603489,0.05501890182495117,0.0,0.0979941338300705,0.0014462133,-1.668872356414795,0.2693316414952278
1050,,,,,,,4199,0.69,0,2.71,35,-0.3597912900000001,,,,,,,,,,
1080,0,0.98,367,1.22,1080,-0.02927824476733804,,,,,,,0.2,0.0001,350,-0.010972696310685492,0.3752438426017761,0.0,0.02955750748515129,0.0020731231,-1.6287603497505188,0.1273115947842598
1080,,,,,,,4311,0.7,0,2.7,36,-0.3428090600000001,,,,,,,,,,
1110,0,0.9,379,1.6,1110,-0.1021959688467905,,,,,,,0.2,0.0001,360,-0.0005803930666298029,-0.04411959648132324,0.0,0.08126208931207657,9.9251665e-05,-1.6025769114494324,0.2148982748389244
1110,,,,,,,4450,0.72,0,2.6,37,-0.33721461999999996,,,,,,,,,,
1140,0,0.96,387,1.18,1140,-0.05064810837619007,,,,,,,0.2,0.0001,370,-0.003907937390419347,0.4033728241920471,0.0,0.03951553255319595,0.0010889372,-1.6115782141685486,0.12313693910837173
1140,,,,,,,4558,0.72,0,2.62,38,-0.34421259,,,,,,,,,,
1170,0,0.86,399,1.8,1170,-0.10315357569139451,,,,,,,0.2,0.0001,380,-0.004167652246736342,0.02874934673309326,0.0,0.08134359121322632,0.00079691014,-1.6203858613967896,0.22085583657026292
1170,,,,,,,4707,0.71,0,2.66,39,-0.34402318,,,,,,,,,,
1200,0,0.94,410,1.42,1200,-0.07221805779263377,,,,,,,0.2,0.0001,390,-0.0036530779775542756,0.020259439945220947,0.0,0.07658932358026505,0.0005356769,-1.6056702733039856,0.24427424669265746
1200,,,,,,,4831,0.74,0,2.62,40,-0.32539502000000003,,,,,,,,,,
1230,0,0.98,420,1.22,1230,-0.029230872434563935,,,,,,,0.2,0.0001,400,-0.0048280691468002065,-0.18919670581817627,0.0,0.0425201877951622,0.000685817,-1.588974165916443,0.12496131658554077
1230,,,,,,,4946,0.73,0,2.69,41,-0.31626244000000003,,,,,,,,,,
