eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_reward,env/n_steps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/loss
1.2,0.98,9900,0,4718,-0.031284908931702375,9900,,,,,,,5.977821e-07,0.2,0.001,160,-0.14054062515497207,5.292531550651347e-05,0.27221888303756714,0.0,0.1762380927801132,0.06425924599170685
,,9900,,,,,-0.20733491999999998,0,14772,33,0.84,1.85,,,,,,,,,,
1.52,0.9,10200,0,4880,-0.12056866202969103,10200,,,,,,,0.00022211281,0.2,0.001,165,-0.14492449313402175,-0.0006004501897471926,0.2657451033592224,0.0,0.17836878150701524,0.0800449550151825
,,10200,,,,,-0.11877425999999999,0,15250,34,0.88,1.7,,,,,,,,,,
1.28,0.94,10500,0,5063,-0.050025272704660895,10500,,,,,,,3.5896388e-05,0.2,0.001,170,-0.1453898549079895,7.269197799928407e-05,0.07019221782684326,0.0,0.21478872299194335,0.10164890438318253
,,10500,,,,,-0.12512848999999998,0,15708,35,0.92,1.59,,,,,,,,,,
1.42,0.9,10800,0,5216,-0.09371482147835195,10800,,,,,,,4.1637453e-05,0.2,0.001,175,-0.142069773375988,-0.0001872938677252023,0.2945791482925415,0.0,0.15268781036138535,0.08517849445343018
,,10800,,,,,-0.23182512000000005,0,16132,36,0.81,2.03,,,,,,,,,,
1.38,0.94,11100,0,5365,-0.07277765793260187,11100,,,,,,,0.00015271094,0.2,0.001,180,-0.14934008568525314,-0.00045092773730175394,0.27174437046051025,0.0,0.16879302337765695,0.06204627826809883
,,11100,,,,,-0.25795788,0,16581,37,0.78,2.19,,,,,,,,,,
1.48,0.92,11400,0,5516,-0.11076340830419212,11400,,,,,,,0.0002689443,0.2,0.001,185,-0.15180645287036895,-0.0001403392173415341,0.254798948764801,0.0022727273404598235,0.19800519496202468,0.10486292093992233
,,11400,,,,,-0.20044428,0,17064,38,0.85,1.97,,,,,,,,,,
1.42,0.92,11700,0,5667,-0.09160484334919601,11700,,,,,,,0.00017682131,0.2,0.001,190,-0.15353685468435288,-0.0001808243388779829,0.2992696762084961,0.0,0.1629410356283188,0.0934293121099472
,,11700,,,,,-0.29035237,0,17520,39,0.77,2.14,,,,,,,,,,
1.26,0.96,12000,0,5818,-0.04986666506621987,12000,,,,,,,0.00063439464,0.2,0.001,195,-0.15143119394779206,-0.001954515900433762,0.007208406925201416,0.0026633523404598234,0.2620281368494034,0.11285185813903809
,,12000,,,,,-0.15720664,0,17971,40,0.88,1.85,,,,,,,,,,
1.44,0.96,12300,0,5956,-0.03352888215333223,12300,,,,,,,0.00066954945,0.2,0.001,200,-0.17884116023778915,-0.0004942681746797461,0.17110878229141235,0.0034446023404598237,0.22222502380609513,0.12733668088912964
,,12300,,,,,-0.26061915,0,18434,41,0.78,2.13,,,,,,,,,,
1.12,0.98,12600,0,6120,-0.027638463391922413,12600,,,,,,,0.0023479098,0.2,0.001,205,-0.16880228072404863,-0.0032791947549412727,0.2634788751602173,0.01072443202137947,0.19624316841363906,0.08823218196630478
,,12600,,,,,-0.20392972,0,18871,42,0.83,1.93,,,,,,,,,,
1.3,0.96,12900,0,6270,-0.052507783728651704,12900,,,,,,,0.000511944,0.2,0.001,210,-0.12409333139657974,-0.00048141901569920265,0.1777161955833435,0.0030539773404598238,0.18610500544309616,0.07924903184175491
,,12900,,,,,-0.13732139,0,19294,43,0.86,1.84,,,,,,,,,,
1.3,0.96,13200,0,6437,-0.030722641739994287,13200,,,,,,,3.505966e-05,0.2,0.001,215,-0.10797320455312728,0.00011807700592498804,0.24455881118774414,0.0,0.16779201328754426,0.07119327038526535
,,13200,,,,,-0.20228534000000004,0,19734,44,0.86,1.85,,,,,,,,,,
1.28,0.94,13500,0,6584,-0.06973425095900893,13500,,,,,,,0.00038052985,0.2,0.001,220,-0.12285680994391442,-0.0005367181401652488,0.3045163154602051,0.0034446023404598237,0.17027872055768967,0.06716270744800568
,,13500,,,,,-0.20542446000000003,0,20173,45,0.83,2.02,,,,,,,,,,
1.34,0.94,13800,0,6745,-0.04983966845087707,13800,,,,,,,8.936322e-05,0.2,0.001,225,-0.13737936317920685,-0.0005616354481162489,0.10873997211456299,0.000390625,0.21442883014678954,0.10868480801582336
,,13800,,,,,-0.18035251,0,20616,46,0.84,1.88,,,,,,,,,,
1.24,0.96,14100,0,6892,-0.050045979139395055,14100,,,,,,,0.0007166081,0.2,0.001,230,-0.1457473397254944,-0.0015567283317295733,0.1742774248123169,0.006960227340459824,0.17908061444759368,0.08238561451435089
,,14100,,,,,-0.20096386,0,21045,47,0.85,1.92,,,,,,,,,,
1.1,1.0,14400,0,7051,-0.007663767919875681,14400,,,,,,,0.0002241919,0.2,0.001,235,-0.17701427936553954,-0.0006704913981428362,0.19596070051193237,0.0,0.19935594052076339,0.10098237544298172
,,14400,,,,,-0.20096039999999998,0,21490,48,0.85,1.84,,,,,,,,,,
1.18,1.0,14700,0,7217,-0.010196516895666719,14700,,,,,,,0.00010538564,0.2,0.001,240,-0.17194744646549226,0.00014376045998520937,0.22720205783843994,0.0,0.1959734305739403,0.0884370505809784
,,14700,,,,,-0.13682792,0,21929,49,0.88,1.84,,,,,,,,,,
1.34,0.96,15000,0,7373,-0.05359880518168211,15000,,,,,,,0.0006811274,0.2,0.001,245,-0.15633147209882736,-0.0013076996969175526,0.1865364909172058,0.0030539773404598238,0.18098384737968445,0.09358019381761551
,,15000,,,,,-0.22032104000000005,0,22381,50,0.85,1.95,,,,,,,,,,
1.52,0.9,15300,0,7526,-0.0942185750324279,15300,,,,,,,0.00013614172,0.2,0.001,250,-0.1474453553557396,0.0003429569467982674,0.29545891284942627,0.0,0.1893122151494026,0.08240152895450592
,,15300,,,,,-0.18777924,0,22839,51,0.84,1.96,,,,,,,,,,
1.12,1.0,15600,0,7689,-0.008137017660774291,15600,,,,,,,0.00013743305,0.2,0.001,255,-0.14914293736219406,-0.000594903748822162,0.12582159042358398,0.0,0.17964887320995332,0.0756402313709259
,,15600,,,,,-0.14501208,0,23258,52,0.88,1.8,,,,,,,,,,
1.38,0.96,15900,0,7843,-0.05410110426135361,15900,,,,,,,4.435501e-05,0.2,0.001,260,-0.14060920476913452,0.00027691467786894464,0.18871253728866577,0.0,0.1609269343316555,0.07875946909189224
,,15900,,,,,-0.2280648,0,23715,53,0.83,1.89,,,,,,,,,,
1.74,0.9,16200,0,7997,-0.1194741254253313,16200,,,,,,,0.00025259526,0.2,0.001,265,-0.15937125384807588,-1.27554754747905e-05,0.38038188219070435,0.0034446023404598237,0.16661586984992027,0.061804477125406265
,,16200,,,,,-0.21655285999999996,0,24162,54,0.81,1.98,,,,,,,,,,
1.08,1.0,16500,0,8129,-0.007668361337855458,16500,,,,,,,0.00048130626,0.2,0.001,270,-0.15145713686943055,-0.00028189423974254166,0.29069995880126953,0.0,0.16153304055333137,0.050224680453538895
,,16500,,,,,-0.27107694000000004,0,24593,55,0.77,2.36,,,,,,,,,,
1.38,0.94,16800,0,8264,-0.07311215059831738,16800,,,,,,,0.0007416557,0.2,0.001,275,-0.1548384428024292,-0.0005047638900578022,0.21276676654815674,0.0022727273404598235,0.22002174109220504,0.10036243498325348
,,16800,,,,,-0.28549171,0,25031,56,0.78,2.07,,,,,,,,,,
1.16,0.98,17100,0,8419,-0.03062872567679733,17100,,,,,,,0.00127575,0.2,0.001,280,-0.1123692400753498,-0.0013206460843861122,0.26871901750564575,0.011576704680919647,0.19965275824069978,0.10001368075609207
,,17100,,,,,-0.13835027000000003,0,25452,57,0.87,1.86,,,,,,,,,,
1.32,0.94,17400,0,8545,-0.07159686539322138,17400,,,,,,,0.00028282366,0.2,0.001,285,-0.08762897625565529,0.0005101021082914769,0.23510563373565674,0.0,0.19045208245515824,0.07700661569833755
,,17400,,,,,-0.34434621,0,25884,58,0.73,2.46,,,,,,,,,,
1.46,0.94,17700,0,8685,-0.07747817311435938,17700,,,,,,,0.0002391115,0.2,0.001,290,-0.07967566996812821,-0.0008260648443751961,0.209763765335083,0.000390625,0.2225659504532814,0.11243903636932373
,,17700,,,,,-0.242217,0,26322,59,0.78,2.22,,,,,,,,,,
