eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,env/completion_counter,time/fps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl
1.26,0.92,7757,13800,13800,-0.04974769692402333,0,,,,,,,-0.04308533063158393,0.001,0.16646297872066498,450,-0.9335637211799621,0.2,0.1818892050534487,-0.01153862476348877,0.21254217624664307,0.026947854
,,,,13800,,,0,46,0.66,1.77,20462,-0.29879756,,,,,,,,,,
1.26,0.94,7928,14100,14100,-0.030261692898347972,0,,,,,,,-0.040189344831742344,0.001,0.1777736224234104,460,-0.9096486389636993,0.2,0.17301136441528797,0.023692283779382706,0.12357038259506226,0.051089164
,,,,14100,,,0,47,0.68,1.83,20915,-0.2864724900000001,,,,,,,,,,
1.5,0.82,8091,14400,14400,-0.19829476870130747,0,,,,,,,-0.035765929613262415,0.001,0.14041530676186084,470,-0.846428495645523,0.2,0.17940340898931026,0.0030050650238990784,0.2321617603302002,0.02964626
,,,,14400,,,0,48,0.64,1.86,21384,-0.32290022,,,,,,,,,,
1.28,0.88,8280,14700,14700,-0.11013874044641853,0,,,,,,,-0.03968170554144308,0.001,0.17888280004262924,480,-0.8102898985147476,0.2,0.22263849563896657,0.0005333982408046722,0.11419558525085449,0.020828117
,,,,14700,,,0,49,0.75,1.6,21836,-0.19966377999999999,,,,,,,,,,
1.18,0.94,8468,15000,15000,-0.07261618837248535,0,,,,,,,-0.03100640162592754,0.001,0.18479105979204177,490,-0.7717592507600785,0.2,0.10312500074505807,-0.008454672992229462,-0.08213651180267334,0.027450098
,,,,15000,,,0,50,0.75,1.61,22267,-0.24367665999999993,,,,,,,,,,
1.34,0.88,8641,15300,15300,-0.11284842058084905,0,,,,,,,-0.03755486677400768,0.001,0.16765939593315124,500,-0.8500536918640137,0.2,0.16164772771298885,-0.0024689622223377228,0.10297435522079468,0.02133437
,,,,15300,,,0,51,0.64,1.82,22732,-0.31001557999999996,,,,,,,,,,
1.12,0.96,8841,15600,15600,-0.027833933047950267,0,,,,,,,-0.03760204938735114,0.001,0.17597613632678985,510,-0.8172124564647675,0.2,0.16354758515954018,0.02054452896118164,0.19071447849273682,0.03352037
,,,,15600,,,0,52,0.77,1.6,23160,-0.20104156,,,,,,,,,,
1.1,0.96,9027,15900,15900,-0.02749752630945295,0,,,,,,,-0.034355937322834505,0.001,0.13349062167108058,520,-0.7613158404827118,0.2,0.15658735744655133,-0.02497723326086998,0.276605486869812,0.02420422
,,,,15900,,,0,53,0.77,1.61,23599,-0.23800898999999998,,,,,,,,,,
1.14,0.94,9197,16200,16200,-0.04996315210592002,0,,,,,,,-0.0378879608848365,0.001,0.17329351603984833,530,-0.8657701253890991,0.2,0.13354048356413842,0.01745930314064026,0.18817031383514404,0.027057229
,,,,16200,,,0,54,0.73,1.7,24036,-0.21731636,,,,,,,,,,
1.3,0.88,9376,16500,16500,-0.11057047671172768,0,,,,,,,-0.035271453741006556,0.001,0.179338987916708,540,-0.7132440745830536,0.2,0.1790838073939085,0.04028387740254402,0.14762556552886963,0.03606391
,,,,16500,,,0,55,0.75,1.71,24478,-0.19324480999999996,,,,,,,,,,
1.34,0.88,9561,16800,16800,-0.07084068604279309,0,,,,,,,-0.031342874048277736,0.001,0.14334472864866257,550,-0.7286740571260453,0.2,0.12863991521298884,0.009197920560836792,0.26136326789855957,0.027339034
