env/n_steps,env/completion_counter,env/current_idx,eval/mean_ep_length,time/total_timesteps,eval/success_rate,eval/mean_reward,time/iterations,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss
14400,0,8346,1.26,14400,0.92,-0.06987150416709483,,,,,,,0.030765492,0.001,-0.014071464538574219,0.18089156866073608,0.2,0.025255907326936722,0.06602272778749466,235,-0.3075078970193863,-0.007946927691809833
,,,,14400,,,48,-0.29391588,0.71,1.68,0,21442,,,,,,,,,,
14700,0,8541,1.22,14700,0.92,-0.048786208843812344,,,,,,,0.018843696,0.001,0.26433366537094116,0.14588435500860214,0.2,0.04248848557472229,0.05426136404275894,240,-0.35798267722129823,-0.012662809859029948
,,,,14700,,,49,-0.19116048000000008,0.8,1.49,0,21886,,,,,,,,,,
15000,0,8738,1.1,15000,0.96,-0.02829386678058654,,,,,,,0.021956418,0.001,0.08568495512008667,0.1524673482775688,0.2,0.016881443560123444,0.07784090965986251,245,-0.3396241396665573,-0.008330538519658148
,,,,15000,,,50,-0.25484476000000006,0.77,1.52,0,22317,,,,,,,,,,
15300,0,8919,1.36,15300,0.86,-0.11085253303404898,,,,,,,0.017324701,0.001,0.2178449034690857,0.14861169546842576,0.2,0.024393195286393166,0.06465909123420716,250,-0.33909435153007506,-0.017083141012117265
,,,,15300,,,51,-0.2867463,0.73,1.61,0,22749,,,,,,,,,,
15600,0,9110,1.46,15600,0.82,-0.15523473708890378,,,,,,,0.013368344,0.001,0.16792923212051392,0.1703103291988373,0.2,0.03593306988477707,0.057045454978942874,255,-0.42993714451789855,-0.010961162252351641
,,,,15600,,,52,-0.2061454,0.8,1.48,0,23196,,,,,,,,,,
15900,0,9305,1.26,15900,0.9,-0.09190436542965472,,,,,,,0.022379315,0.001,0.24565869569778442,0.15340537816286087,0.2,0.02070460096001625,0.06051136404275894,260,-0.31233854353427887,-0.010635766414925456
,,,,15900,,,53,-0.251104,0.75,1.58,0,23667,,,,,,,,,,
16200,0,9498,1.12,16200,0.96,-0.02810233348980546,,,,,,,0.022219941,0.001,0.19772034883499146,0.1519656389951706,0.2,0.020838510245084763,0.05181818217039108,265,-0.30281379878520964,-0.01364351880911272
,,,,16200,,,54,-0.20227743,0.8,1.45,0,24099,,,,,,,,,,
16500,0,9674,1.24,16500,0.9,-0.06890303761698306,,,,,,,0.00868112,0.001,0.32954347133636475,0.1277486738562584,0.2,0.024180246517062187,0.03170454561710358,270,-0.25133429110050204,-0.0072755835065618155
,,,,16500,,,55,-0.24909518000000003,0.67,1.76,0,24556,,,,,,,,,,
16800,0,9863,1.16,16800,0.96,-0.047828172082081434,,,,,,,0.006126488,0.001,0.11273127794265747,0.1448533430695534,0.2,0.037964701652526855,0.029204545617103575,275,-0.22228968322277068,-0.009765162775292992
,,,,16800,,,56,-0.25810465,0.76,1.55,0,24971,,,,,,,,,,
