eval/mean_ep_length,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,env/current_idx,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/learning_rate
1.14,11400,-0.06734014926478267,0.94,0,11400,6468,,,,,,,-0.18300619781017302,185,-0.0002857260009137974,0.1662731808423996,0.2,2.1820431e-05,0.06229601427912712,0.24163556098937988,0.0,0.0001
,11400,,,,,,38,17539,0,-0.21613519,1.6,0.73,,,,,,,,,,
1.26,11700,-0.08965650781989097,0.88,0,11700,6644,,,,,,,-0.18274468302726746,190,-0.0002249795399983867,0.19139950931072236,0.2,1.040753e-05,0.08194874972105026,0.1669759750366211,0.0,0.0001
,11700,,,,,,39,18000,0,-0.25386536,1.65,0.75,,,,,,,,,,
1.22,12000,-0.10998260860331356,0.9,0,12000,6833,,,,,,,-0.18056942999362946,195,-0.0012123282079119235,0.19514205038547516,0.2,0.00023119748,0.07954404503107071,0.17604422569274902,0.0,0.0001
,12000,,,,,,40,18446,0,-0.18442672000000004,1.57,0.75,,,,,,,,,,
1.2,12300,-0.04858766917139292,0.92,0,12300,7015,,,,,,,-0.1674149090051651,200,-0.0008580557478126138,0.19274301826953888,0.2,0.00010405642,0.07117193937301636,0.11307096481323242,0.0,0.0001
,12300,,,,,,41,18880,0,-0.24600226999999997,1.62,0.73,,,,,,,,,,
1.24,12600,-0.1108179676393047,0.9,0,12600,7190,,,,,,,-0.16602564096450806,205,-0.00014808835615198745,0.182668958902359,0.2,7.6137485e-06,0.10541585832834244,0.1597689986228943,0.0,0.0001
,12600,,,,,,42,19320,0,-0.22110847,1.64,0.75,,,,,,,,,,
1.24,12900,-0.09053093827795237,0.9,0,12900,7379,,,,,,,-0.1674746072292328,210,-0.0003276309506395592,0.18886482417583467,0.2,3.083218e-05,0.09280109405517578,0.2269560694694519,0.0,0.0001
,12900,,,,,,43,19775,0,-0.16070407,1.49,0.82,,,,,,,,,,
1.16,13200,-0.02959933608304709,0.94,0,13200,7564,,,,,,,-0.15917494893074036,215,-0.000587908053791466,0.17836052656173706,0.2,0.0001295945,0.08862248063087463,0.19938069581985474,0.0,0.0001
,13200,,,,,,44,20226,0,-0.21941571999999993,1.51,0.77,,,,,,,,,,
1.32,13500,-0.11045405299402773,0.88,0,13500,7745,,,,,,,-0.15290857076644898,220,-0.00031705945558201164,0.17680231899023055,0.2,2.462173e-05,0.08861428499221802,0.20085877180099487,0.0,0.0001
,13500,,,,,,45,20682,0,-0.24875132999999994,1.63,0.74,,,,,,,,,,
1.16,13800,-0.02797882357612252,0.94,0,13800,7934,,,,,,,-0.14966776490211486,225,-0.0002805137798350188,0.18199997127056122,0.2,2.9822e-05,0.08195046335458755,0.2480904459953308,0.0,0.0001
,13800,,,,,,46,21126,0,-0.22637082,1.53,0.77,,,,,,,,,,
1.16,14100,-0.04971683404874057,0.96,0,14100,8118,,,,,,,-0.1545970207452774,230,-0.00012275148408662063,0.1594057247042656,0.2,8.540786e-06,0.054881107062101364,0.2775188684463501,0.0,0.0001
,14100,,,,,,47,21564,0,-0.23936318,1.56,0.75,,,,,,,,,,
1.18,14400,-0.048531635012477634,0.94,0,14400,8295,,,,,,,-0.15336490750312806,235,-0.0002499731310243192,0.19699881136417388,0.2,2.1167472e-05,0.08902841061353683,0.11615055799484253,0.0,0.0001
,14400,,,,,,48,22046,0,-0.22828231000000002,1.68,0.72,,,,,,,,,,
1.24,14700,-0.09082375468220562,0.9,0,14700,8475,,,,,,,-0.15030108213424684,240,-0.0004477579807016241,0.1931096976995468,0.2,3.466569e-05,0.11550755053758621,0.18409717082977295,0.0,0.0001
,14700,,,,,,49,22497,0,-0.25508011999999997,1.68,0.69,,,,,,,,,,
1.2,15000,-0.08843430784065276,0.92,0,15000,8659,,,,,,,-0.15727673411369325,245,-0.00033528888243495203,0.18105206966400147,0.2,0.00033617092,0.1050681471824646,0.18845707178115845,0.00125,0.0001
,15000,,,,,,50,22955,0,-0.22989462,1.6,0.73,,,,,,,,,,
1.26,15300,-0.09005968837998807,0.88,0,15300,8839,,,,,,,-0.16064409792423248,250,-0.00022589996491205965,0.18922987520694734,0.2,1.8610077e-05,0.07728596776723862,0.17722898721694946,0.0,0.0001
,15300,,,,,,51,23403,0,-0.31636045,1.73,0.67,,,,,,,,,,
1.32,15600,-0.09270917600020766,0.88,0,15600,9005,,,,,,,-0.1581525033712387,255,-0.0010553255062598055,0.1899661135673523,0.2,0.00012306319,0.06536701321601868,0.2189508080482483,0.0,0.0001
,15600,,,,,,52,23901,0,-0.30734128,1.84,0.62,,,,,,,,,,
1.16,15900,-0.047557943845167754,0.92,0,15900,9192,,,,,,,-0.14614787697792053,260,-0.00011803141969721765,0.2026136612892151,0.2,5.7507084e-05,0.09977403283119202,0.12541735172271729,0.0,0.0001
,15900,,,,,,53,24328,0,-0.25106708999999994,1.65,0.73,,,,,,,,,,
1.34,16200,-0.11126205118373036,0.84,0,16200,9385,,,,,,,-0.14323511123657226,265,-0.00010227100796640798,0.18701237559318543,0.2,4.58231e-06,0.08398564159870148,0.1922001838684082,0.0,0.0001
,16200,,,,,,54,24780,0,-0.19035235,1.52,0.78,,,,,,,,,,
1.3,16500,-0.09196703688707203,0.9,0,16500,9586,,,,,,,-0.1398002177476883,270,-0.0006933982658929949,0.17445446491241456,0.2,6.510578e-05,0.09875541925430298,0.22948861122131348,0.0,0.0001
,16500,,,,,,55,25207,0,-0.18815685000000001,1.46,0.8,,,,,,,,,,
1.26,16800,-0.09134057888295502,0.9,0,16800,9769,,,,,,,-0.12996227741241456,275,-3.895587073543538e-05,0.1742144590616226,0.2,1.1753664e-05,0.1004231870174408,0.183260977268219,0.0,0.0001
,16800,,,,,,56,25641,0,-0.19224467999999995,1.62,0.77,,,,,,,,,,
1.3,17100,-0.09101061751600355,0.88,0,17100,9953,,,,,,,-0.13280149936676025,280,-0.0005602142798969112,0.16686094760894776,0.2,6.623622e-05,0.08299070596694946,0.19607597589492798,0.0,0.0001
,17100,,,,,,57,26085,0,-0.21021220000000004,1.55,0.77,,,,,,,,,,
1.24,17400,-0.06966068821493536,0.88,0,17400,10142,,,,,,,-0.13771998822689058,285,-9.477269105559572e-05,0.1859774535894394,0.2,1.5490874e-05,0.09117317944765091,0.20122337341308594,0.0,0.0001
,17400,,,,,,58,26517,0,-0.17609687999999998,1.56,0.77,,,,,,,,,,
1.2,17700,-0.08830430472269654,0.9,0,17700,10324,,,,,,,-0.12810804486274718,290,-0.0015021547888784425,0.16465434610843657,0.2,0.00020361044,0.05387531593441963,0.2394886612892151,0.0,0.0001
,17700,,,,,,59,26978,0,-0.18346679,1.57,0.76,,,,,,,,,,
1.2,18000,-0.048570998958311976,0.92,0,18000,10500,,,,,,,-0.1153582763671875,295,-8.795214647193461e-05,0.1782100647687912,0.2,3.3769706e-05,0.08306054025888443,0.19472402334213257,0.0,0.0001
,18000,,,,,,60,27420,0,-0.23063882,1.6,0.77,,,,,,,,,,
