env/completion_counter,eval/mean_reward,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/n_steps,eval/success_rate,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/approx_kl
0,-0.05587619106285274,3722,1.46,8700,8700,0.92,,,,,,,0.2,0.16971590995788574,-1.033161859512329,-0.034621432842686775,140,0.001,0.29075008630752563,-0.018886994570493698,0.15716749042272568,0.021207409
,,,,8700,,,0,0.82,29,13180,2.1,-0.2134351,,,,,,,,,,
0,-0.11436424710322171,3856,1.52,9000,9000,0.9,,,,,,,0.2,0.20357954561710356,-1.0238647627830506,-0.03762518245726824,145,0.001,0.1527799367904663,-0.012000985443592072,0.16639349043369292,0.020498771
,,,,9000,,,0,0.76,30,13653,2.35,-0.30666186,,,,,,,,,,
0,-0.055074593885801736,3987,1.32,9300,9300,0.96,,,,,,,0.2,0.1407386365532875,-0.8357091784477234,-0.03332312095910311,150,0.001,-0.0507735013961792,0.013906989246606827,0.17630715012550355,0.023417508
,,,,9300,,,0,0.78,31,14092,2.29,-0.29263814000000005,,,,,,,,,,
0,-0.03126448650378734,4134,1.26,9600,9600,0.96,,,,,,,0.2,0.13676136374473571,-0.8733079481124878,-0.0375229070946807,155,0.001,0.17948871850967407,0.005466856062412262,0.17219577431678773,0.025063347
,,,,9600,,,0,0.79,32,14504,2.1,-0.25331149,,,,,,,,,,
0,-0.029481700644828378,4266,1.26,9900,9900,0.96,,,,,,,0.2,0.11500000059604645,-0.8281938600540161,-0.027503739539533854,160,0.001,0.2612828016281128,-0.012981310486793518,0.15774008125066757,0.019647436
,,,,9900,,,0,0.73,33,14943,2.42,-0.3033365,,,,,,,,,,
0,-0.0908630945859477,4411,1.44,10200,10200,0.92,,,,,,,0.2,0.1631818190217018,-0.8743233776092529,-0.027654316127300262,165,0.001,0.20749813318252563,0.0005988180637359619,0.18220907509326933,0.02390268
,,,,10200,,,0,0.81,34,15430,2.2,-0.22452362,,,,,,,,,,
0,-0.0729782132897526,4566,1.42,10500,10500,0.94,,,,,,,0.2,0.12215909123420715,-0.7616740965843201,-0.02767800134140998,170,0.001,0.052901268005371094,-0.006038490682840347,0.1790902617573738,0.025530007
,,,,10500,,,0,0.84,35,15894,1.98,-0.17491212,,,,,,,,,,
0,-0.03806810391601175,4702,1.32,10800,10800,0.98,,,,,,,0.2,0.11528409123420716,-0.7154708123207092,-0.031464907750487325,175,0.001,0.2962331175804138,-0.020772354677319527,0.12759083077311517,0.020171987
,,,,10800,,,0,0.77,36,16350,2.27,-0.27198692,,,,,,,,,,
