rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,env/completion_counter,rollout/ep_rew_mean,env/current_idx,env/n_steps,rollout/success_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1.43,30,1800,0,2124,0,-0.09445055000000004,1203,1800,0.91,-0.003452750452221842,290,0.11679622009396554,0.0,0.18063610792160034,-1.7847625017166138,0.038064733147621155,0.0005463461,0.2,0.0001,,,
1.54,31,1860,0,2192,0,-0.09580251000000002,1240,1860,0.9,-0.008322130479694633,300,0.11756481379270553,0.0,0.23592329025268555,-1.7513363122940064,0.03514248877763748,0.0021703194,0.2,0.0001,,,
1.46,32,1920,0,2263,0,-0.08444547999999999,1278,1920,0.91,-0.006786898629118987,310,0.16689694821834564,0.0,-0.3475850820541382,-1.7053091764450072,0.05709437280893326,0.0018770178,0.2,0.0001,,,
1.44,33,1980,0,2332,0,-0.08775118000000001,1324,1980,0.91,-0.00896735001510649,320,0.17826743125915528,0.0,-0.25810670852661133,-1.662251889705658,0.05306852608919144,0.0021234204,0.2,0.0001,,,
1.37,34,2040,0,2415,0,-0.07720106,1369,2040,0.93,-0.0037225634158435383,330,0.11270286068320275,0.0,0.06468445062637329,-1.6227362513542176,0.03858480602502823,0.0006607453,0.2,0.0001,,,
1.45,35,2100,0,2496,0,-0.10749259,1410,2100,0.89,-0.0031066451870721324,340,0.07114147953689098,0.0,-0.09581160545349121,-1.616426980495453,0.022302161902189255,0.0005758385,0.2,0.0001,,,
1.43,36,2160,0,2584,0,-0.08767863999999999,1452,2160,0.91,-0.007366746466141194,350,0.24674155116081237,0.0,0.14630329608917236,-1.5896060824394227,0.07680069655179977,0.0009662052,0.2,0.0001,,,
1.47,37,2220,0,2657,0,-0.09476366,1493,2220,0.91,-0.007515042387725224,360,0.11811490207910538,0.0,-0.3252232074737549,-1.5543722748756408,0.03526120260357857,0.0010715177,0.2,0.0001,,,
1.52,38,2280,0,2726,0,-0.12724897999999998,1532,2280,0.89,-0.0037550148662798934,370,0.19677949398756028,0.0,-0.20803403854370117,-1.5139820575714111,0.06869112700223923,0.0012790511,0.2,0.0001,,,
1.46,39,2340,0,2807,0,-0.12582573,1576,2340,0.88,-0.0027370071576054756,380,0.17737123519182205,0.0,0.05878281593322754,-1.4695584416389464,0.06572435051202774,0.00093436835,0.2,0.0001,,,
1.46,40,2400,0,2884,0,-0.10405070999999999,1616,2400,0.88,-0.0058736900760171466,390,0.16111681908369063,0.0,0.057565510272979736,-1.4364823937416076,0.05532516911625862,0.0012702664,0.2,0.0001,,,
1.4,41,2460,0,2954,0,-0.06191953000000001,1662,2460,0.91,-0.00031296775288259247,400,0.1349697805941105,0.0,-0.041915178298950195,-1.4004778623580934,0.05264279991388321,0.00021959742,0.2,0.0001,,,
1.37,42,2520,0,3027,0,-0.0613328,1705,2520,0.93,-0.0020171029499032045,410,0.05771856792271137,0.0,0.037834346294403076,-1.4189943075180054,0.0192777868360281,0.0007215997,0.2,0.0001,,,
1.47,43,2580,0,3096,0,-0.09379528999999998,1740,2580,0.9,0.0001932927979214405,420,0.18334273844957352,0.0,0.062369465827941895,-1.459971845149994,0.07011695206165314,0.00057905714,0.2,0.0001,,,
1.58,44,2640,0,3166,0,-0.156472,1779,2640,0.83,-0.0073836688542117555,430,0.1762315332889557,0.0,0.005944252014160156,-1.4914401292800903,0.06947217136621475,0.0012123208,0.2,0.0001,,,
1.54,45,2700,0,3234,0,-0.14801095000000003,1819,2700,0.85,-0.0037809425997934907,440,0.17920908629894255,0.0,0.19094157218933105,-1.5364817380905151,0.071849025785923,0.0011087378,0.2,0.0001,,,
1.37,46,2760,0,3299,0,-0.09490872,1865,2760,0.92,-0.00307358561529929,450,0.17195869684219361,0.0,0.07118457555770874,-1.5445298552513123,0.0633457824587822,0.00041437347,0.2,0.0001,,,
