env/current_idx,eval/mean_ep_length,eval/success_rate,eval/mean_reward,time/total_timesteps,env/completion_counter,env/n_steps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates
,,,,33900,,,1.55,48967,0.77,-0.22367827,0,113,,,,,,,,,,
20607,1.3,0.86,-0.07127150953747333,34200,0,34200,,,,,,,-0.2714839404821396,0.004590845,-0.010177599789458328,0.025812087580561638,0.0001,0.024232954680919648,0.1460764905810356,0.24925142526626587,0.2,1130
,,,,34200,,,1.49,49391,0.8,-0.18255571,0,114,,,,,,,,,,
20784,1.2,0.92,-0.04890783964656294,34500,0,34500,,,,,,,-0.25621252685785295,0.004829345,-0.007770824300387176,0.04791067913174629,0.0001,0.02454545468091965,0.14561221048235892,0.2314242124557495,0.2,1140
,,,,34500,,,1.75,49811,0.69,-0.25391333000000005,0,115,,,,,,,,,,
20965,1.08,0.98,-0.03177747089415789,34800,0,34800,,,,,,,-0.3003793776035309,0.004739498,-0.011248752016108483,0.061662811785936356,0.0001,0.04423295482993126,0.14871313348412513,0.2469196319580078,0.2,1150
,,,,34800,,,1.74,50231,0.68,-0.27534377000000004,0,116,,,,,,,,,,
21153,1.2,0.9,-0.0689366637961939,35100,0,35100,,,,,,,-0.24867377996444703,0.002891988,-0.011014226253610104,0.06422340869903564,0.0001,0.04539772763848305,0.18075864747166634,0.02454918622970581,0.2,1160
,,,,35100,,,1.61,50653,0.78,-0.21979569999999995,0,117,,,,,,,,,,
21336,1.26,0.9,-0.09782942639663815,35400,0,35400,,,,,,,-0.17476416036486625,0.0025288668,-0.006056510293856263,0.0855957493185997,0.0001,0.0346022729575634,0.1671057476103306,0.18404608964920044,0.2,1170
,,,,35400,,,1.63,51070,0.75,-0.27650896,0,118,,,,,,,,,,
21523,1.24,0.9,-0.08897550490219146,35700,0,35700,,,,,,,-0.22535335183143615,0.0028503116,-0.005669976896606386,0.06096968054771423,0.0001,0.015994318276643753,0.15696219116449356,0.2760615944862366,0.2,1180
,,,,35700,,,1.46,51463,0.83,-0.19512867,0,119,,,,,,,,,,
21717,1.38,0.84,-0.13358313110191375,36000,0,36000,,,,,,,-0.2524272692203522,0.0040737437,-0.009063535870518535,0.05324716866016388,0.0001,0.0277272729575634,0.16247209638357163,0.1721077561378479,0.2,1190
,,,,36000,,,1.56,51870,0.76,-0.20272500000000002,0,120,,,,,,,,,,
21903,1.34,0.84,-0.15012562164105475,36300,0,36300,,,,,,,-0.1981034456193447,0.0022311255,-0.006652308545890264,0.05137486755847931,0.0001,0.016676136404275895,0.14003740713000298,0.2781314253807068,0.2,1200
,,,,36300,,,1.67,52264,0.7,-0.27456114,0,121,,,,,,,,,,
22091,1.1,0.96,-0.04741104274056852,36600,0,36600,,,,,,,-0.2451361420750618,0.005390747,-0.009060978890629486,0.03483160585165024,0.0001,0.03153409108519554,0.16478219196200372,0.17798948287963867,0.2,1210
,,,,36600,,,1.54,52673,0.81,-0.16628954,0,122,,,,,,,,,,
22284,1.36,0.82,-0.13547090982552618,36900,0,36900,,,,,,,-0.21158338382840156,0.0028316171,-0.006819068542245077,0.04846526309847832,0.0001,0.01678977280855179,0.15908295795321464,0.10707753896713257,0.2,1220
,,,,36900,,,1.57,53094,0.81,-0.19962957,0,123,,,,,,,,,,
22470,1.1,0.96,-0.02742320445831865,37200,0,37200,,,,,,,-0.19886912256479264,0.0031215926,-0.006385425358894281,0.05856426805257797,0.0001,0.026107954680919646,0.15052527472376823,0.2563509941101074,0.2,1230
,,,,37200,,,1.55,53494,0.79,-0.20490504999999995,0,124,,,,,,,,,,
22656,1.26,0.88,-0.11320920739322901,37500,0,37500,,,,,,,-0.1667817471921444,0.002424947,-0.006876655761152506,0.026655063033103943,0.0001,0.0292897729575634,0.1532648330926895,0.2607617974281311,0.2,1240
,,,,37500,,,1.57,53889,0.79,-0.17889611,0,125,,,,,,,,,,
22849,1.18,0.92,-0.06906809833832085,37800,0,37800,,,,,,,-0.1684598596394062,0.002939875,-0.006524672294472111,0.060276564210653305,0.0001,0.028579545617103578,0.15653384640812873,0.22421205043792725,0.2,1250
,,,,37800,,,1.61,54303,0.75,-0.25302356,0,126,,,,,,,,,,
23031,1.28,0.9,-0.09010730306617916,38100,0,38100,,,,,,,-0.21494438812136651,0.005356159,-0.009269107402069494,0.05237169563770294,0.0001,0.026676136553287506,0.1651399078965187,0.22450000047683716,0.2,1260
,,,,38100,,,1.58,54709,0.77,-0.20308779999999999,0,127,,,,,,,,,,
23220,1.28,0.88,-0.11597858050838113,38400,0,38400,,,,,,,-0.21677267387509347,0.003306595,-0.008982738113263621,0.05642201751470566,0.0001,0.02110795468091965,0.17096236422657968,0.12774229049682617,0.2,1270
,,,,38400,,,1.66,55131,0.72,-0.24613345999999992,0,128,,,,,,,,,,
23410,1.22,0.92,-0.07281481367535889,38700,0,38700,,,,,,,-0.2576850724220276,0.0066905646,-0.010112229145597666,0.060275912284851074,0.0001,0.04417613670229912,0.14872982934117318,0.22092759609222412,0.2,1280
,,,,38700,,,1.7,55544,0.69,-0.28206615,0,129,,,,,,,,,,
23597,1.3,0.88,-0.09042887126095593,39000,0,39000,,,,,,,-0.22328485906124115,0.0025696275,-0.008845144952647387,0.0451824776828289,0.0001,0.029829545617103576,0.12365853264927865,0.3266274929046631,0.2,1290
,,,,39000,,,1.57,55965,0.8,-0.20510054000000003,0,130,,,,,,,,,,
23790,1.24,0.92,-0.07051893165800721,39300,0,39300,,,,,,,-0.22214621156454087,0.0035839262,-0.009594303430058062,0.060714494436979294,0.0001,0.03181818202137947,0.17138583287596704,0.1583990454673767,0.2,1300
,,,,39300,,,1.57,56388,0.79,-0.24207138000000003,0,131,,,,,,,,,,
23982,1.24,0.9,-0.08904342095367611,39600,0,39600,,,,,,,-0.25769398748874667,0.004540962,-0.011360296467755689,0.06169945001602173,0.0001,0.03431818202137947,0.1592179274559021,0.2293655276298523,0.2,1310
,,,,39600,,,1.54,56799,0.79,-0.19538694000000004,0,132,,,,,,,,,,
24179,1.22,0.94,-0.04969814331270754,39900,0,39900,,,,,,,-0.22830508768558502,0.0031972167,-0.007997211682377383,0.06310908496379852,0.0001,0.022926136553287506,0.16394664987921714,0.21397650241851807,0.2,1320
,,,,39900,,,1.43,57225,0.84,-0.17712133999999996,0,133,,,,,,,,,,
24357,1.2,0.9,-0.10945976542774588,40200,0,40200,,,,,,,-0.22781215906143187,0.005256634,-0.009396624248474837,0.04094965010881424,0.0001,0.027926136553287507,0.16521096900105475,0.12027257680892944,0.2,1330
,,,,40200,,,1.69,57638,0.73,-0.29298647999999994,0,134,,,,,,,,,,
24539,1.28,0.88,-0.09209249585866928,40500,0,40500,,,,,,,-0.2508920735120773,0.009207745,-0.012118341366294772,0.04454072564840317,0.0001,0.03707386389374733,0.16988350093364715,0.2329568862915039,0.2,1340
,,,,40500,,,1.69,58047,0.72,-0.30193241000000004,0,135,,,,,,,,,,
24714,1.12,0.94,-0.06741459190845489,40800,0,40800,,,,,,,-0.24331192106008528,0.002824178,-0.008683203181717544,0.07758624106645584,0.0001,0.0334659093618393,0.19373871326446535,0.12159919738769531,0.2,1350
,,,,40800,,,1.66,58479,0.72,-0.27786221,0,136,,,,,,,,,,
24907,1.18,0.92,-0.06975799700710922,41100,0,41100,,,,,,,-0.2506722247600555,0.0055605657,-0.011013854567427189,0.04118463397026062,0.0001,0.03025568202137947,0.17893378108739852,0.2044295072555542,0.2,1360
,,,,41100,,,1.62,58886,0.75,-0.17823953,0,137,,,,,,,,,,
25095,1.28,0.9,-0.09103521422948688,41400,0,41400,,,,,,,-0.2231687253713608,0.003349404,-0.005322933052666485,0.02552936226129532,0.0001,0.020454545617103578,0.13077632009983062,0.2296496033668518,0.2,1370
,,,,41400,,,1.64,59313,0.74,-0.24659055000000002,0,138,,,,,,,,,,
