time/iterations,env/current_idx,time/fps,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
37,1521,0,2220,2220,0,1.41,-0.07485715999999999,2733,0.92,0.0,-0.0006731537923042152,0.00035200614,0.0001,0.02282724715769291,0.2,0.08186490572988987,-1.5870701670646667,0.13167572021484375,360,,,
38,1560,0,2280,2280,0,1.5,-0.12656413,2808,0.88,0.0,-0.0027314149953115317,0.0002390802,0.0001,0.05902393162250519,0.2,0.15698852241039277,-1.5905221700668335,0.24914473295211792,370,,,
39,1606,0,2340,2340,0,1.47,-0.11357500999999999,2876,0.87,0.0,-0.005574206518164515,0.0006703605,0.0001,0.057780537754297256,0.2,0.1863344520330429,-1.5824886918067933,0.29977720975875854,380,,,
40,1644,0,2400,2400,0,1.42,-0.08492986,2947,0.91,0.0,-0.0032492385443759985,0.0009903728,0.0001,0.051567442715168,0.2,0.157362911850214,-1.5471295833587646,0.0582389235496521,390,,,
41,1685,0,2460,2460,0,1.5,-0.08725003999999997,3018,0.9,0.0,-0.00507101279955049,0.0010539223,0.0001,0.04824433475732803,0.2,0.13254220485687257,-1.5098209619522094,0.11347812414169312,400,,,
42,1733,0,2520,2520,0,1.38,-0.06450911000000001,3088,0.93,0.0,-0.0015971146400747926,0.00040875177,0.0001,0.05523483827710152,0.2,0.1367345467209816,-1.471198809146881,0.03467077016830444,410,,,
43,1777,0,2580,2580,0,1.31,-0.07575567,3163,0.94,0.0,-0.0029878634491858234,0.00055821636,0.0001,0.040074896067380905,0.2,0.10865466296672821,-1.4779247403144837,-0.06873881816864014,420,,,
44,1817,0,2640,2640,0,1.39,-0.10788608000000002,3232,0.91,0.0,-0.0012519988221660228,0.00043995777,0.0001,0.05886727571487427,0.2,0.14329725950956346,-1.4985782861709596,0.08214443922042847,430,,,
45,1854,0,2700,2700,0,1.54,-0.14164802999999998,3307,0.87,0.0,-0.000928366342656517,0.00019601187,0.0001,0.07118271291255951,0.2,0.16342820525169371,-1.498558020591736,0.19499802589416504,440,,,
46,1895,0,2760,2760,0,1.55,-0.12959616,3384,0.86,0.0,-0.005445333453438473,0.00085034966,0.0001,0.07870856672525406,0.2,0.19640483111143112,-1.5102542877197265,-0.030622482299804688,450,,,
47,1943,0,2820,2820,0,1.32,-0.06144217000000001,3461,0.93,0.0,-0.0020334537139085284,0.000656865,0.0001,0.030594494193792343,0.2,0.09705778062343598,-1.5417017221450806,0.3772463798522949,460,,,
48,1976,0,2880,2880,0,1.46,-0.09553410000000002,3533,0.9,0.0,-0.0014470611816552292,0.00031362972,0.0001,0.024124613031744957,0.2,0.0701704178005457,-1.5570747137069703,0.36080998182296753,470,,,
49,2010,0,2940,2940,0,1.58,-0.12661960000000003,3613,0.86,0.0,-0.0037002687059189297,0.0005601883,0.0001,0.08088052272796631,0.2,0.20131743252277373,-1.5673102140426636,-0.1947033405303955,480,,,
50,2050,0,3000,3000,0,1.67,-0.14851534000000002,3685,0.83,0.0,-0.0008356970696087984,0.0002678891,0.0001,0.05870480462908745,0.2,0.13932749032974243,-1.5475435853004456,0.3294510841369629,490,,,
51,2089,0,3060,3060,0,1.51,-0.11828948000000002,3755,0.89,0.0,-0.0002496108461976565,0.00012644232,0.0001,0.04491161182522774,0.2,0.11268203034996986,-1.539168155193329,0.33581680059432983,500,,,
52,2136,0,3120,3120,0,1.48,-0.09817555,3833,0.9,0.0,-0.004037783062667622,0.0006076644,0.0001,0.07024010270833969,0.2,0.17974379360675813,-1.5548683047294616,0.08478277921676636,510,,,
53,2178,0,3180,3180,0,1.32,-0.06331504999999998,3906,0.94,0.0,-0.007929362803697515,0.0022616824,0.0001,0.020775137469172478,0.2,0.08871186003088952,-1.5907931923866272,-0.5551215410232544,520,,,
54,2215,0,3240,3240,0,1.39,-0.09366555,3973,0.9,0.0,-0.007816157450433802,0.0026582181,0.0001,0.07164566218852997,0.2,0.2023153692483902,-1.6515318870544433,-0.0459902286529541,530,,,
55,2262,0,3300,3300,0,1.5,-0.13489623,4044,0.86,0.0,-0.0029936799991023832,0.00056869787,0.0001,0.07512225210666656,0.2,0.18601623326539993,-1.689500892162323,-0.16878104209899902,540,,,
56,2312,0,3360,3360,0,1.26,-0.059790920000000004,4113,0.95,0.0,-0.004669299563101958,0.0013586432,0.0001,0.04414249211549759,0.2,0.12125750109553338,-1.6686531066894532,0.19592273235321045,550,,,
57,2356,0,3420,3420,0,1.32,-0.06266545,4183,0.93,0.0,-0.006681758797882775,0.0021574558,0.0001,0.016418106853961945,0.2,0.0712944868952036,-1.6215477108955383,-0.32653844356536865,560,,,
58,2395,0,3480,3480,0,1.39,-0.04392067,4260,0.92,0.0,-0.0037327998806722107,0.002100582,0.0001,0.03255484253168106,0.2,0.09520451426506042,-1.563466691970825,0.05236971378326416,570,,,
59,2439,0,3540,3540,0,1.41,-0.06269142,4333,0.91,0.0,-0.0018552455549070146,0.0008277774,0.0001,0.03930725157260895,0.2,0.10162744596600533,-1.5184831857681274,-0.9989640712738037,580,,,
60,2480,0,3600,3600,0,1.43,-0.07239996,4404,0.93,0.0,-0.0018305653785743558,0.0007227679,0.0001,0.0605316236615181,0.2,0.15567163974046708,-1.4827235698699952,0.14689868688583374,590,,,
61,2519,0,3660,3660,0,1.5,-0.08825025999999997,4481,0.91,0.0,-0.005424592212075386,0.0006239424,0.0001,0.038122422993183136,0.2,0.11810724586248397,-1.461346483230591,-0.08608579635620117,600,,,
62,2559,0,3720,3720,0,1.54,-0.110438,4547,0.89,0.0,-0.0052916596220650815,0.0010032465,0.0001,0.04047280550003052,0.2,0.11793328151106834,-1.4408185362815857,0.2539635896682739,610,,,
63,2597,0,3780,3780,0,1.54,-0.12881839,4619,0.87,0.0,-0.00399192122703731,0.0005317261,0.0001,0.06207357347011566,0.2,0.1592707961797714,-1.4151082992553712,0.09566390514373779,620,,,
64,2642,0,3840,3840,0,1.44,-0.10390466999999999,4689,0.88,0.0,-0.005482911692233738,0.0007553359,0.0001,0.04415718466043472,0.2,0.12121839970350265,-1.401500165462494,0.3833281397819519,630,,,
65,2689,0,3900,3900,0,1.36,-0.07271703,4761,0.9,0.0,-0.002406291986117104,0.00066461763,0.0001,0.05734870582818985,0.2,0.14254846125841142,-1.3858486890792847,-0.0026612281799316406,640,,,
66,2741,0,3960,3960,0,1.21,-0.040365029999999996,4834,0.96,0.0,-0.004315245813922885,0.00046658117,0.0001,0.03561576083302498,0.2,0.10035945475101471,-1.3962759137153626,0.033449769020080566,650,,,
67,2785,0,4020,4020,0,1.27,-0.041176710000000005,4905,0.95,0.0,-0.0036847342217031453,0.0008797417,0.0001,0.021420404314994812,0.2,0.06821606084704399,-1.4086327075958252,-0.2278892993927002,660,,,
68,2834,0,4080,4080,0,1.27,-0.020421960000000003,4973,0.95,0.0,-0.0006113538892048353,0.00024162233,0.0001,0.016186630353331566,0.2,0.04386035986244678,-1.4236800909042358,0.2397695779800415,670,,,
69,2877,0,4140,4140,0,1.31,-0.05244000999999999,5054,0.93,0.0,-0.0044985508251313535,0.0017121484,0.0001,-0.003147680778056383,0.2,0.01466069370508194,-1.3864270567893981,-42.81766891479492,680,,,
70,2922,0,4200,4200,0,1.35,-0.07317256,5126,0.92,0.0,-0.000178514625343551,0.00047065716,0.0001,0.06028877943754196,0.2,0.1561596967279911,-1.336638879776001,-0.013730883598327637,690,,,
71,2971,0,4260,4260,0,1.31,-0.07212563,5204,0.94,0.0,-0.0005536811197877078,0.00012825032,0.0001,0.04658663272857666,0.2,0.1072374403476715,-1.323099434375763,0.28650397062301636,700,,,
72,3018,0,4320,4320,0,1.24,-0.050989629999999994,5279,0.95,0.0,-0.0029473554117915414,0.0010935555,0.0001,0.028712648898363113,0.2,0.07777025699615478,-1.3560871839523316,0.24818891286849976,710,,,
73,3067,0,4380,4380,0,1.24,-0.051138890000000006,5365,0.95,0.0,-0.003065393336182787,0.0003980875,0.0001,0.028241585940122604,0.2,0.07892888188362121,-1.3927666544914246,0.23633211851119995,720,,,
74,3113,0,4440,4440,0,1.28,-0.06219539999999999,5451,0.95,0.0,-0.0015079121743717394,0.00034243465,0.0001,0.031048143282532692,0.2,0.07640791460871696,-1.3873884677886963,0.26202189922332764,730,,,
75,3159,0,4500,4500,0,1.28,-0.08228115000000001,5531,0.93,0.0,-0.0004355287636765848,0.00019203822,0.0001,0.04965833202004433,0.2,0.12242070883512497,-1.395389723777771,0.1657537817955017,740,,,
76,3194,0,4560,4560,0,1.46,-0.11451131000000002,5606,0.87,0.0,-0.0011574437206338217,0.00038062333,0.0001,0.05608126521110535,0.2,0.13556919023394584,-1.3753462791442872,0.17939573526382446,750,,,
77,3234,0,4620,4620,0,1.51,-0.09566882999999998,5681,0.86,0.0,-0.0073894633368277955,0.001145181,0.0001,0.050217241048812866,0.2,0.1417543724179268,-1.3363880157470702,0.16600722074508667,760,,,
78,3277,0,4680,4680,0,1.55,-0.10711227000000002,5756,0.86,0.0,-0.008126121773384476,0.0023184458,0.0001,0.029497819021344185,0.2,0.10053954347968101,-1.2706994891166687,0.1031942367553711,770,,,
