env/n_steps,eval/success_rate,eval/mean_reward,eval/mean_ep_length,env/current_idx,env/completion_counter,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,time/iterations,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction
11100,1.0,-0.01051173709332943,1.24,4774,0,11100,,,,,,,360,0.001,-0.04630221426486969,0.2,-0.6107145190238953,-0.05535516975913197,0.12783206399530173,0.09067933,0.04970109462738037,0.27352272734045985
,,,,,,11100,17644,-0.22580881000000003,0,0.81,37,2.25,,,,,,,,,,
11400,0.98,-0.02891930007841438,1.18,4924,0,11400,,,,,,,370,0.001,-0.06617461889982224,0.2,-0.5704546451568604,-0.05933648036792874,0.0850813283585012,0.11117566,0.18251138925552368,0.2564488632977009
,,,,,,11400,18103,-0.11512350999999998,0,0.89,38,1.9,,,,,,,,,,
11700,0.96,-0.05100523873232305,1.34,5076,0,11700,,,,,,,380,0.001,-0.06859267503023148,0.2,-0.5473331385850906,-0.051395274829119444,0.08316956628113985,0.055533785,0.02484363317489624,0.24360795468091964
,,,,,,11700,18570,-0.22146799999999994,0,0.81,39,2.13,,,,,,,,,,
12000,0.98,-0.02946353650186211,1.22,5224,0,12000,,,,,,,390,0.001,-0.05399859696626663,0.2,-0.6100964951515198,-0.054130101818591354,0.10387991234660149,0.07558018,-0.03894007205963135,0.2766761361062527
,,,,,,12000,19045,-0.16261659,0,0.86,40,2.07,,,,,,,,,,
12300,0.94,-0.07281042044516653,1.46,5380,0,12300,,,,,,,400,0.001,-0.06629159301519394,0.2,-0.6034320712089538,-0.06019711963366717,0.11190656848251819,0.06976496,-0.043732285499572754,0.25605113595724105
,,,,,,12300,19529,-0.19957981999999996,0,0.83,41,2.02,,,,,,,,,,
12600,0.96,-0.056333508281968536,1.26,5526,0,12600,,,,,,,410,0.001,-0.05134241282939911,0.2,-0.5793729853630066,-0.05488678812980652,0.08900655996054412,0.06877387,0.1060900092124939,0.22315340921282767
,,,,,,12600,19978,-0.18691304999999997,0,0.86,42,1.97,,,,,,,,,,
12900,0.96,-0.04966233989223838,1.26,5670,0,12900,,,,,,,420,0.001,-0.08552759140729904,0.2,-0.5836453235149384,-0.05957420889288187,0.10813067272305489,0.06660752,0.08461320400238037,0.27414772778749463
,,,,,,12900,20444,-0.18025046999999997,0,0.85,43,2.0,,,,,,,,,,
13200,0.92,-0.0725888824928552,1.42,5817,0,13200,,,,,,,430,0.001,-0.06494727730751038,0.2,-0.6393471765518188,-0.05778891866910271,0.10568669900298118,0.10322521,-0.09347546100616455,0.28732954517006876
,,,,,,13200,20903,-0.23129887,0,0.77,44,2.16,,,,,,,,,,
13500,0.94,-0.07099711737595499,1.38,5974,0,13500,,,,,,,440,0.001,-0.10154210031032562,0.2,-0.7168009209632874,-0.07302167346701026,0.10396452505141497,0.09710796,-0.16830313205718994,0.3429545447230339
,,,,,,13500,21376,-0.23000722000000004,0,0.83,45,1.95,,,,,,,,,,
13800,0.88,-0.11738524874206632,1.62,6112,0,13800,,,,,,,450,0.001,-0.08311324566602707,0.2,-0.5667164260149002,-0.06118703802349046,0.13607039991766215,0.06530809,-0.023943543434143066,0.26284090846776964
,,,,,,13800,21843,-0.23573669000000003,0,0.79,46,2.18,,,,,,,,,,
14100,0.88,-0.11971456064842641,1.64,6267,0,14100,,,,,,,460,0.001,-0.059831403195858,0.2,-0.5842985504865646,-0.05681404737755656,0.10075877849012613,0.073942795,0.16176635026931763,0.26545454546809194
,,,,,,14100,22323,-0.12464846000000002,0,0.86,47,1.96,,,,,,,,,,
14400,0.98,-0.02845970450900495,1.18,6410,0,14400,,,,,,,470,0.001,-0.0816848874092102,0.2,-0.6000339603424072,-0.06403416073415429,0.07249183762818574,0.082855806,0.1443195343017578,0.28593750059604645
,,,,,,14400,22755,-0.18957411000000002,0,0.86,48,1.98,,,,,,,,,,
14700,0.92,-0.10002270744182169,1.52,6547,0,14700,,,,,,,480,0.001,-0.07808119058609009,0.2,-0.5557257109880447,-0.060570894163101914,0.11182202246040106,0.065176465,0.028801918029785156,0.24963068187236787
,,,,,,14700,23237,-0.28831089,0,0.78,49,2.26,,,,,,,,,,
15000,0.94,-0.07364596294239163,1.32,6678,0,15000,,,,,,,490,0.001,-0.06209571659564972,0.2,-0.7039218842983246,-0.06368404062464833,0.13668586567044258,0.087224305,0.050676703453063965,0.27715909138321876
,,,,,,15000,23695,-0.21547035,0,0.8,50,2.28,,,,,,,,,,
15300,0.98,-0.010693740514107049,1.32,6833,0,15300,,,,,,,500,0.001,-0.10172535479068756,0.2,-0.7503422653675079,-0.07197748117614537,0.10685615967959165,0.0860519,-0.1418246030807495,0.3152556817233563
,,,,,,15300,24147,-0.13736373000000002,0,0.87,51,1.8,,,,,,,,,,
15600,0.98,-0.03124518274329603,1.36,6966,0,15600,,,,,,,510,0.001,-0.04577450081706047,0.2,-0.6543535351753235,-0.06612419596873224,0.10416721295565366,0.08691327,-0.13085651397705078,0.2909090915322304
,,,,,,15600,24619,-0.22389955,0,0.81,52,2.21,,,,,,,,,,
15900,0.92,-0.09270783083979041,1.42,7103,0,15900,,,,,,,520,0.001,-0.001134142279624939,0.2,-0.6909820890426636,-0.050403676202986386,0.12343894138932228,0.052096564,0.1315242052078247,0.29755681768059733
,,,,,,15900,25069,-0.28855182,0,0.77,53,2.17,,,,,,,,,,
16200,0.92,-0.07251067336183041,1.36,7253,0,16200,,,,,,,530,0.001,-0.06711165606975555,0.2,-0.7098482882976532,-0.05964806856587529,0.15128216825425625,0.06907983,0.09108281135559082,0.29136363640427587
,,,,,,16200,25514,-0.2115385,0,0.8,54,2.07,,,,,,,,,,
16500,0.92,-0.07176559107378125,1.38,7396,0,16500,,,,,,,540,0.001,-0.08510484546422958,0.2,-0.6795721614360809,-0.05066200283588842,0.1266212535649538,0.09489708,0.009044885635375977,0.2567613638937473
,,,,,,16500,25965,-0.22371720999999997,0,0.81,55,2.13,,,,,,,,,,
16800,0.96,-0.051298142736777665,1.26,7532,0,16800,,,,,,,550,0.001,-0.09127459675073624,0.2,-0.689481669664383,-0.05745079599320888,0.09976019714027644,0.074471936,0.2484850287437439,0.2616477277874947
,,,,,,16800,26405,-0.25890603,0,0.73,56,2.3,,,,,,,,,,
17100,0.96,-0.058343401639722285,1.4,7679,0,17100,,,,,,,560,0.001,-0.09554313868284225,0.2,-0.7327173805236816,-0.06486382763832807,0.11985061571002006,0.10463573,-0.02192091941833496,0.31599431961774826
,,,,,,17100,26871,-0.27237254000000005,0,0.76,57,2.11,,,,,,,,,,
17400,0.92,-0.09613612638320773,1.42,7817,0,17400,,,,,,,570,0.001,-0.08180113136768341,0.2,-0.6658213150501251,-0.06349741438403726,0.09529679037630558,0.094217055,0.17595720291137695,0.29389204502105715
,,,,,,17400,27325,-0.29219171,0,0.77,58,2.15,,,,,,,,,,
