eval/mean_reward,eval/mean_ep_length,env/current_idx,eval/success_rate,env/completion_counter,env/n_steps,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/loss
-0.11937820805236697,1.52,5904,0.9,0,13500,13500,,,,,,,-0.0001479226051742444,0.2,0.0025,-0.2632974290847778,0.0001,220,0.17175975382328035,0.00034268148,0.31508541107177734,0.06436111778020859
,,,,,,13500,-0.25651588000000003,0,45,20948,0.8,2.11,,,,,,,,,,
-0.02968216905836016,1.24,6053,0.98,0,13800,13800,,,,,,,-0.0008117868749832269,0.2,0.0021590909361839297,-0.26300976634025575,0.0001,225,0.20786867320537566,0.0004233627,0.15655893087387085,0.06925906985998154
,,,,,,13800,-0.16393533999999998,0,46,21409,0.84,1.95,,,,,,,,,,
-0.05433403925038874,1.5,6207,0.96,0,14100,14100,,,,,,,-0.001015621279154857,0.2,0.0,-0.2445881599187851,0.0001,230,0.21349874794483184,0.00017959767,0.23393762111663818,0.10088904201984406
,,,,,,14100,-0.19237887,0,47,21889,0.83,2.09,,,,,,,,,,
-0.08366504508536309,1.72,6372,0.88,0,14400,14400,,,,,,,-0.0008267287834314629,0.2,0.0,-0.23024988293647766,0.0001,235,0.1523454338312149,0.0001004098,0.2951619029045105,0.07622353732585907
,,,,,,14400,-0.16853635999999997,0,48,22384,0.84,1.94,,,,,,,,,,
-0.11848662971518933,1.72,6524,0.88,0,14700,14700,,,,,,,-3.7499822701647646e-05,0.2,0.0,-0.22245607435703277,0.0001,240,0.1559997433423996,1.441894e-05,0.19439619779586792,0.09594390541315079
,,,,,,14700,-0.15994721,0,49,22877,0.86,1.91,,,,,,,,,,
-0.015434052301570774,1.36,6648,0.98,0,15000,15000,,,,,,,-0.000832448524956817,0.2,0.0,-0.2162707281112671,0.0001,245,0.16872977823019028,0.000140249,0.15806180238723755,0.05025888979434967
,,,,,,15000,-0.24000031000000002,0,50,23342,0.75,2.47,,,,,,,,,,
