eval/mean_reward,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_rew_mean,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss
-0.029972702185623347,319,1.28,0.96,840,840,0,,,,,,,0.0,270,0.13707530573010446,0.042785532772541046,0.0001,0.3278887867927551,-1.5977434396743775,0.0003712992,0.2,-0.0037968965546072873
,,,,840,,,-0.30112289999999997,28,0.75,2.43,0,3299,,,,,,,,,,
-0.10085970060434192,334,1.5,0.92,870,870,0,,,,,,,0.0,280,0.3181936740875244,0.10186745971441269,0.0001,-0.11944317817687988,-1.612758958339691,0.000580583,0.2,-0.005306658624904159
,,,,870,,,-0.27165242,29,0.77,2.32,0,3426,,,,,,,,,,
-0.07680316686164587,344,1.46,0.92,900,900,0,,,,,,,0.0,290,0.22853605151176454,0.0803082287311554,0.0001,-0.07995188236236572,-1.61364688873291,0.00041846433,0.2,-0.0025118144143683628
,,,,900,,,-0.30650295000000005,30,0.75,2.42,0,3546,,,,,,,,,,
-0.07364578354172409,356,1.54,0.92,930,930,0,,,,,,,0.0,300,0.21451238989830018,0.07102322578430176,0.0001,0.20702660083770752,-1.5919862508773803,0.0014840384,0.2,-0.01099297341347345
,,,,930,,,-0.31711351,31,0.74,2.44,0,3673,,,,,,,,,,
-0.03149783088825643,367,1.2,0.98,960,960,0,,,,,,,0.0,310,0.2312678262591362,0.08653003722429276,0.0001,-0.03764796257019043,-1.5558149456977843,0.00040914415,0.2,-0.001936653991579007
,,,,960,,,-0.35389119999999996,32,0.71,2.52,0,3788,,,,,,,,,,
-0.0976210867986083,381,1.4,0.92,990,990,0,,,,,,,0.0,320,0.1872752070426941,0.062194690108299255,0.0001,0.1157231330871582,-1.5718897819519042,0.0012952288,0.2,-0.009211612963117588
,,,,990,,,-0.32470760999999987,33,0.74,2.41,0,3917,,,,,,,,,,
-0.030765372458845378,391,1.32,0.96,1020,1020,0,,,,,,,0.0,330,0.21965698301792144,0.0875459536910057,0.0001,0.3036068081855774,-1.5913901686668397,0.00030673345,0.2,-0.0001344764363725659
,,,,1020,,,-0.36793031,34,0.71,2.53,0,4028,,,,,,,,,,
-0.029729346465319394,407,1.18,0.98,1050,1050,0,,,,,,,0.0,340,0.3299461007118225,0.11943478882312775,0.0001,-0.18598830699920654,-1.5569207787513732,0.0014421423,0.2,-0.011825395626947354
,,,,1050,,,-0.33165638999999997,35,0.74,2.43,0,4137,,,,,,,,,,
-0.07214385715778918,418,1.48,0.94,1080,1080,0,,,,,,,0.0,350,0.38701277524232863,0.12404017895460129,0.0001,-4.903421401977539,-1.506301760673523,0.00054785213,0.2,0.003485963024043315
,,,,1080,,,-0.33127631,36,0.74,2.47,0,4260,,,,,,,,,,
-0.09528590492438525,428,1.56,0.88,1110,1110,0,,,,,,,0.0,360,0.30186056196689603,0.11976933479309082,0.0001,-0.21334993839263916,-1.4867255926132201,0.0003089249,0.2,-0.0031793826818464765
,,,,1110,,,-0.35049990000000003,37,0.73,2.52,0,4385,,,,,,,,,,
-0.028460103143006562,436,1.16,0.98,1140,1140,0,,,,,,,0.0,370,0.16363319903612136,0.057108424603939056,0.0001,0.23945844173431396,-1.4782882809638977,0.00055957434,0.2,-0.004947398883911802
,,,,1140,,,-0.38605940000000005,38,0.68,2.67,0,4483,,,,,,,,,,
-0.05150436937343329,448,1.3,0.96,1170,1170,0,,,,,,,0.0,380,0.3532067060470581,0.1272735893726349,0.0001,-0.2102731466293335,-1.4730535387992858,0.00032659172,0.2,-0.000366038880165398
,,,,1170,,,-0.35042904999999996,39,0.71,2.6,0,4610,,,,,,,,,,
-0.05106805704534054,465,1.36,0.96,1200,1200,0,,,,,,,0.0,390,0.22250204235315324,0.07993566244840622,0.0001,-0.2846468687057495,-1.4697637796401977,0.000805823,0.2,-0.0061107434700776505
,,,,1200,,,-0.31519176000000004,40,0.74,2.48,0,4741,,,,,,,,,,
-0.033410357474349436,477,1.3,0.96,1230,1230,0,,,,,,,0.0,400,0.21908070296049117,0.07699783146381378,0.0001,0.20705652236938477,-1.4082857489585876,0.0019631663,0.2,-0.011626749707696504
,,,,1230,,,-0.29264162,41,0.76,2.47,0,4863,,,,,,,,,,
-0.05327476887498051,487,1.34,0.96,1260,1260,0,,,,,,,0.0,410,0.2980437442660332,0.10044758021831512,0.0001,-0.17548739910125732,-1.3562290668487549,0.0007704655,0.2,-0.003509545912966061
,,,,1260,,,-0.33058814,42,0.74,2.54,0,4988,,,,,,,,,,
-0.11998986473307013,505,1.7,0.9,1290,1290,0,,,,,,,0.0,420,0.2163955807685852,0.08537573367357254,0.0001,0.39711081981658936,-1.3086414098739625,0.0008926451,0.2,-0.0029758540948385814
,,,,1290,,,-0.31611087,43,0.75,2.42,0,5133,,,,,,,,,,
-0.029779811082407834,517,1.24,0.98,1320,1320,0,,,,,,,0.0,430,0.23705012500286102,0.08744499087333679,0.0001,0.2070346474647522,-1.261780071258545,0.00067787565,0.2,-0.004288710128360717
,,,,1320,,,-0.31012423000000006,44,0.74,2.41,0,5243,,,,,,,,,,
-0.05300933056510985,536,1.4,0.96,1350,1350,0,,,,,,,0.0,440,0.23530618399381636,0.08954896777868271,0.0001,0.025117039680480957,-1.2145230531692506,0.0010319471,0.2,-0.005580064640380478
,,,,1350,,,-0.24244378,45,0.82,2.08,0,5364,,,,,,,,,,
-0.050276117003522816,549,1.18,0.96,1380,1380,0,,,,,,,0.0,450,0.1207136295735836,0.0417240709066391,0.0001,0.06380099058151245,-1.172802495956421,0.0004551053,0.2,-0.0011070365663181647
,,,,1380,,,-0.25489654999999994,46,0.81,2.09,0,5480,,,,,,,,,,
-0.1167547655524686,564,1.66,0.9,1410,1410,0,,,,,,,0.0,460,0.14076596945524217,0.04995764046907425,0.0001,0.5802886486053467,-1.149543559551239,0.00053362054,0.2,-0.002125312386494116
,,,,1410,,,-0.26104238,47,0.81,2.1,0,5622,,,,,,,,,,
-0.07868351761251688,581,1.48,0.94,1440,1440,0,,,,,,,0.0,470,0.12150310948491097,0.039782796055078506,0.0001,0.593366265296936,-1.112412118911743,0.0010008176,0.2,-0.005488099228435672
,,,,1440,,,-0.25424941000000006,48,0.81,2.05,0,5753,,,,,,,,,,
-0.07246861753053963,593,1.5,0.92,1470,1470,0,,,,,,,0.0,480,0.20916394591331483,0.07791674137115479,0.0001,0.1336759328842163,-1.0833907961845397,0.0009630203,0.2,-0.0063319555184957466
,,,,1470,,,-0.20772932,49,0.84,1.95,0,5889,,,,,,,,,,
-0.07616322976537049,607,1.36,0.92,1500,1500,0,,,,,,,0.0,490,0.13867704421281815,0.04090101644396782,0.0001,0.5026860237121582,-1.01214080452919,0.0011178692,0.2,-0.005428494367903625
,,,,1500,,,-0.21953783999999998,50,0.83,2.04,0,6007,,,,,,,,,,
-0.07301666481886059,615,1.26,0.94,1530,1530,0,,,,,,,0.0,500,0.3157676994800568,0.11854228377342224,0.0001,-0.6598786115646362,-0.9615864753723145,0.000547262,0.2,-0.0042371968505904075
,,,,1530,,,-0.22851028000000004,51,0.82,2.09,0,6126,,,,,,,,,,
-0.056623681983910504,628,1.4,0.96,1560,1560,0,,,,,,,0.0,510,0.23459506928920745,0.09412511438131332,0.0001,0.005026698112487793,-0.9339531183242797,0.00028708775,0.2,-0.0013025985019826437
,,,,1560,,,-0.26886118999999997,52,0.79,2.21,0,6258,,,,,,,,,,
-0.05269448942039162,646,1.44,0.94,1590,1590,0,,,,,,,0.0,520,0.15062908828258514,0.06230747327208519,0.0001,0.41763734817504883,-0.9121754229068756,0.0002145807,0.2,-0.001460055701778984
,,,,1590,,,-0.25205651999999995,53,0.8,2.15,0,6384,,,,,,,,,,
-0.05163932801224291,660,1.3,0.96,1620,1620,0,,,,,,,0.0,530,0.18261512219905854,0.05372517555952072,0.0001,0.535774827003479,-0.9314635217189788,4.0656327e-05,0.2,-0.00021409908729594918
,,,,1620,,,-0.24628764000000003,54,0.79,2.19,0,6506,,,,,,,,,,
-0.04997020173817873,670,1.28,0.96,1650,1650,0,,,,,,,0.0,540,0.2125744864344597,0.08455190062522888,0.0001,-0.0390697717666626,-0.9274497032165527,0.00022198161,0.2,-0.0024613958541886303
,,,,1650,,,-0.28595990999999993,55,0.75,2.3,0,6621,,,,,,,,,,
-0.05025383482221514,684,1.3,0.96,1680,1680,0,,,,,,,0.0,550,0.20876971930265426,0.06743676215410233,0.0001,0.011966943740844727,-0.9097072124481201,2.9951334e-05,0.2,0.0010101592437905538
,,,,1680,,,-0.29307658999999997,56,0.74,2.33,0,6734,,,,,,,,,,
-0.04994805564172566,698,1.24,0.96,1710,1710,0,,,,,,,0.0,560,0.1711196318268776,0.0648653581738472,0.0001,0.11531084775924683,-0.9268325984477996,5.1987172e-05,0.2,-0.000363201701487359
,,,,1710,,,-0.26882286,57,0.77,2.28,0,6854,,,,,,,,,,
-0.0072236778493970635,708,1.06,1.0,1740,1740,0,,,,,,,0.0,570,0.22812230214476586,0.06076079234480858,0.0001,0.25833964347839355,-0.9362970650196075,6.48578e-05,0.2,7.006615744700184e-05
,,,,1740,,,-0.28472327999999997,58,0.77,2.33,0,6956,,,,,,,,,,
-0.011967652714811266,727,1.32,0.98,1770,1770,0,,,,,,,0.0,580,0.3739640861749649,0.1600685715675354,0.0001,-0.28591084480285645,-0.944244509935379,6.8295005e-05,0.2,-0.0015390401123298147
,,,,1770,,,-0.22266287,59,0.82,2.13,0,7079,,,,,,,,,,
-0.1361361700296402,742,1.6,0.88,1800,1800,0,,,,,,,0.0,590,0.13606075197458267,0.04784945398569107,0.0001,0.16364938020706177,-0.9224305868148803,0.00061735115,0.2,-0.004605366066486383
,,,,1800,,,-0.23197436,60,0.81,2.14,0,7241,,,,,,,,,,
-0.09584499049466104,752,1.42,0.92,1830,1830,0,,,,,,,0.0,600,0.17223068475723266,0.06292347609996796,0.0001,0.21564370393753052,-0.8744947373867035,0.0010438919,0.2,-0.006027341532365771
,,,,1830,,,-0.24081906,61,0.78,2.28,0,7360,,,,,,,,,,
-0.0525746261747554,765,1.38,0.96,1860,1860,0,,,,,,,0.0,610,0.19853601455688477,0.06486009806394577,0.0001,0.04456651210784912,-0.8139710783958435,0.00084806484,0.2,-0.0013312389277173153
,,,,1860,,,-0.24932033999999995,62,0.78,2.25,0,7495,,,,,,,,,,
-0.049722332325764,776,1.2,0.96,1890,1890,0,,,,,,,0.0,620,0.20403519570827483,0.07342998683452606,0.0001,0.49081623554229736,-0.7782243251800537,0.00019994975,0.2,-0.002246493621690426
,,,,1890,,,-0.21435317999999995,63,0.81,2.22,0,7613,,,,,,,,,,
-0.08110614605713636,791,1.6,0.9,1920,1920,0,,,,,,,0.0,630,0.15447523593902587,0.06018082797527313,0.0001,0.012492001056671143,-0.7503809988498688,0.00045870343,0.2,-0.002652698610909354
,,,,1920,,,-0.22474933,64,0.8,2.3,0,7747,,,,,,,,,,
-0.05262208088301122,804,1.42,0.92,1950,1950,0,,,,,,,0.0,640,0.2030082166194916,0.08936727792024612,0.0001,0.0745198130607605,-0.7456469595432281,9.7292665e-05,0.2,-0.0005705664675527799
,,,,1950,,,-0.21437952999999993,65,0.79,2.19,0,7866,,,,,,,,,,
-0.09625358293764293,818,1.4,0.92,1980,1980,0,,,,,,,0.0,650,0.1417997807264328,0.05267546325922012,0.0001,0.32421475648880005,-0.781813508272171,0.000233833,0.2,-0.0010000838782556088
,,,,1980,,,-0.22744303000000002,66,0.79,2.19,0,7985,,,,,,,,,,
-0.0698698406945914,833,1.32,0.94,2010,2010,0,,,,,,,0.0,660,0.3295607179403305,0.1412249058485031,0.0001,0.025476038455963135,-0.7813986957073211,0.00030414262,0.2,-0.0024718726602925402
,,,,2010,,,-0.25037854000000004,67,0.77,2.25,0,8097,,,,,,,,,,
-0.07496546790935099,842,1.52,0.94,2040,2040,0,,,,,,,0.0,670,0.2022743985056877,0.0746745616197586,0.0001,0.289620041847229,-0.7328671991825104,0.000861611,0.2,-0.00527592720774317
,,,,2040,,,-0.28105552999999994,68,0.74,2.37,0,8228,,,,,,,,,,
-0.09645941625814886,858,1.48,0.9,2070,2070,0,,,,,,,0.0,680,0.1480924628674984,0.05791718512773514,0.0001,0.32616668939590454,-0.6923439025878906,4.306833e-05,0.2,-0.00022860586070976295
,,,,2070,,,-0.28595633,69,0.76,2.28,0,8366,,,,,,,,,,
-0.12139933301135898,869,1.54,0.88,2100,2100,0,,,,,,,0.030000001564621924,690,0.18448441624641418,0.04592262953519821,0.0001,0.10343116521835327,-0.7364523887634278,0.014170403,0.2,-0.016632701329266197
,,,,2100,,,-0.28480223000000005,70,0.76,2.3,0,8506,,,,,,,,,,
-0.11545214725192636,883,1.56,0.9,2130,2130,0,,,,,,,0.05000000223517418,700,0.2103760778903961,0.05695036053657532,0.0001,0.10038113594055176,-0.8016503155231476,0.012506986,0.2,-0.016419524806551778
,,,,2130,,,-0.31236423,71,0.75,2.27,0,8644,,,,,,,,,,
-0.0515167992701754,895,1.32,0.96,2160,2160,0,,,,,,,0.0,710,0.1199350193142891,0.04322311282157898,0.0001,0.47444480657577515,-0.7104502022266388,0.0001176397,0.2,-0.0014434724535385968
,,,,2160,,,-0.31357125,72,0.75,2.27,0,8761,,,,,,,,,,
-0.09127747441641987,910,1.4,0.9,2190,2190,0,,,,,,,0.0,720,0.14302034676074982,0.05654578283429146,0.0001,0.2557780146598816,-0.6822115004062652,0.00018518964,0.2,-1.4959076695486572e-05
,,,,2190,,,-0.30412842000000007,73,0.76,2.34,0,8881,,,,,,,,,,
-0.05037296385504306,923,1.28,0.96,2220,2220,0,,,,,,,0.0,730,0.16335753947496415,0.06072919815778732,0.0001,-0.04417777061462402,-0.7177058100700379,0.0001339058,0.2,-0.001275495878605115
,,,,2220,,,-0.28652681999999996,74,0.77,2.34,0,8998,,,,,,,,,,
-0.03273936323821545,938,1.4,0.98,2250,2250,0,,,,,,,0.0,740,0.231302709877491,0.09262962639331818,0.0001,0.13109886646270752,-0.6926324784755706,0.0003493925,0.2,-0.0034188783322073313
,,,,2250,,,-0.26807606,75,0.79,2.3,0,9113,,,,,,,,,,
-0.11509809654671699,950,1.62,0.88,2280,2280,0,,,,,,,0.0,750,0.10245508551597596,0.031652987003326416,0.0001,0.5277286767959595,-0.7334807872772217,0.00039957563,0.2,-0.002277156730124119
,,,,2280,,,-0.24660233000000006,76,0.81,2.31,0,9241,,,,,,,,,,
-0.008995062843896449,966,1.14,1.0,2310,2310,0,,,,,,,0.0,760,0.19273276180028914,0.07749789208173752,0.0001,0.2578263282775879,-0.7162845134735107,0.00021500984,0.2,-0.0022199384528599707
,,,,2310,,,-0.22117442999999998,77,0.84,2.17,0,9349,,,,,,,,,,
-0.029726162352599204,985,1.28,0.98,2340,2340,0,,,,,,,0.0,770,0.24940761625766755,0.10034455358982086,0.0001,0.11964166164398193,-0.7280181407928467,0.0007085363,0.2,-0.0023129402444464374
,,,,2340,,,-0.18479523,78,0.88,2.04,0,9461,,,,,,,,,,
-0.027977062752470375,996,1.16,0.98,2370,2370,0,,,,,,,0.0,780,0.1324988193809986,0.041565243154764175,0.0001,-1.3910603523254395,-0.6569498836994171,0.0005749007,0.2,-0.0027324352875197633
,,,,2370,,,-0.1883021,79,0.87,2.08,0,9567,,,,,,,,,,
-0.17958305998239665,1009,1.7,0.84,2400,2400,0,,,,,,,0.0,790,0.26267019361257554,0.10587139427661896,0.0001,0.25658077001571655,-0.6329397141933442,0.00019175014,0.2,-0.0016919961481470125
,,,,2400,,,-0.21277187,80,0.84,2.11,0,9698,,,,,,,,,,
-0.11954151407815516,1027,1.54,0.9,2430,2430,0,,,,,,,0.0,800,0.20046380758285523,0.08223021030426025,0.0001,0.07463735342025757,-0.6067581176757812,0.00032161872,0.2,-0.0027658672392135487
,,,,2430,,,-0.19604254000000002,81,0.85,2.03,0,9840,,,,,,,,,,
-0.07025096863508225,1041,1.3,0.94,2460,2460,0,,,,,,,0.0,810,0.22735452502965928,0.09085387736558914,0.0001,-0.41777360439300537,-0.5801689743995666,6.748239e-05,0.2,0.001808825512028589
,,,,2460,,,-0.196453,82,0.85,2.01,0,9954,,,,,,,,,,
-0.05312262055464089,1053,1.48,0.94,2490,2490,0,,,,,,,0.0,820,0.2935371994972229,0.12408678233623505,0.0001,0.05210953950881958,-0.5676157176494598,0.00019940535,0.2,-0.0019263170034780064
,,,,2490,,,-0.22107009000000002,83,0.83,2.0,0,10110,,,,,,,,,,
-0.0977613349398598,1074,1.6,0.92,2520,2520,0,,,,,,,0.0,830,0.0778574913740158,0.024548983201384544,0.0001,0.7143768072128296,-0.5513298273086548,0.00063942274,0.2,-0.0030895268303961386
,,,,2520,,,-0.20485978,84,0.83,1.95,0,10238,,,,,,,,,,
-0.13786143810488283,1086,1.66,0.88,2550,2550,0,,,,,,,0.0,840,0.21462432742118837,0.08181550353765488,0.0001,0.2755531668663025,-0.5191105246543884,3.3100445e-05,0.2,0.0004415425604868517
,,,,2550,,,-0.22151102,85,0.8,2.07,0,10373,,,,,,,,,,
-0.05016081943176687,1107,1.26,0.96,2580,2580,0,,,,,,,0.0,850,0.14832621365785598,0.057796843349933624,0.0001,-0.021885395050048828,-0.5082776665687561,2.8075774e-05,0.2,-0.0003859054046252197
,,,,2580,,,-0.16692117000000004,86,0.86,1.81,0,10496,,,,,,,,,,
-0.09488547164015472,1118,1.48,0.9,2610,2610,0,,,,,,,0.0,860,0.1611558899283409,0.06094462797045708,0.0001,0.364973783493042,-0.5127544522285461,0.00016478896,0.2,-0.002746363865929524
,,,,2610,,,-0.20111074,87,0.83,1.94,0,10627,,,,,,,,,,
-0.07232428618706763,1134,1.4,0.94,2640,2640,0,,,,,,,0.0,870,0.40164054930210114,0.17099174857139587,0.0001,-0.39234375953674316,-0.4935916423797607,0.00018958052,0.2,-0.0011867242892427577
,,,,2640,,,-0.20805895000000008,88,0.82,1.96,0,10751,,,,,,,,,,
-0.0939120784867555,1145,1.46,0.92,2670,2670,0,,,,,,,0.0,880,0.22340678721666335,0.09911184757947922,0.0001,0.08003944158554077,-0.47610434889793396,4.577438e-05,0.2,-0.0008776600184500438
,,,,2670,,,-0.1949915,89,0.83,1.98,0,10887,,,,,,,,,,
-0.07605327377095819,1166,1.58,0.92,2700,2700,0,,,,,,,0.0,890,0.15959709882736206,0.06664612889289856,0.0001,0.3502235412597656,-0.46445757448673247,1.8300612e-05,0.2,-0.0002503581853185111
,,,,2700,,,-0.17734899999999995,90,0.84,1.91,0,11028,,,,,,,,,,
-0.05416476140730083,1187,1.42,0.94,2730,2730,0,,,,,,,0.0,900,0.15471576154232025,0.058985061943531036,0.0001,0.4108648896217346,-0.4636260896921158,0.00023571253,0.2,-0.004091620516458505
,,,,2730,,,-0.16407871999999998,91,0.87,1.79,0,11152,,,,,,,,,,
-0.05114306990988553,1202,1.3,0.96,2760,2760,0,,,,,,,0.0,910,0.057236670330166814,0.01629839651286602,0.0001,-5.574872970581055,-0.44789926409721376,0.00015812118,0.2,-0.0015390701250481698
,,,,2760,,,-0.16075736,92,0.85,1.9,0,11269,,,,,,,,,,
