env/current_idx,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/policy_gradient_loss
3849,9000,1.4,-0.06146654834970832,0.96,0,9000,,,,,,,0.2012586433440447,-0.4946353569626808,0.001,0.03267111,0.004757046699523926,0.2,0.12572798356413842,290,0.026943985372781754,-0.019509997603017838
,9000,,,,,,2.28,0,14024,-0.27260942,0.79,30,,,,,,,,,,
4011,9300,1.3,-0.08283382051158697,0.94,0,9300,,,,,,,0.18030924648046492,-0.42080625891685486,0.001,0.017843146,0.16874200105667114,0.2,0.05225497223436833,300,0.005551200360059738,-0.018876505800290034
,9300,,,,,,1.97,0,14500,-0.18961973000000004,0.83,31,,,,,,,,,,
4149,9600,1.28,-0.011372633506543934,1.0,0,9600,,,,,,,0.15301587767899036,-0.3973660558462143,0.001,0.016187329,0.16075003147125244,0.2,0.07476917691528798,310,0.035443149507045746,-0.02004206252458971
,9600,,,,,,2.16,0,14942,-0.2566086,0.78,32,,,,,,,,,,
4296,9900,1.58,-0.0798367189336568,0.9,0,9900,,,,,,,0.1473409652709961,-0.32259480357170106,0.001,0.01873499,0.32221484184265137,0.2,0.09117542691528797,320,0.03542644903063774,-0.01831613233371172
,9900,,,,,,2.2,0,15431,-0.26376153999999996,0.78,33,,,,,,,,,,
4448,10200,1.6,-0.10361763245426119,0.92,0,10200,,,,,,,0.15355044268071652,-0.43211888074874877,0.001,0.017826978,0.1906692385673523,0.2,0.06479048393666745,330,0.04266393557190895,-0.015979389653512043
,10200,,,,,,1.81,0,15896,-0.17178477999999997,0.87,34,,,,,,,,,,
4587,10500,1.18,-0.008770093973726033,1.0,0,10500,,,,,,,0.14092414528131486,-0.3486504822969437,0.001,0.014761039,0.10951459407806396,0.2,0.06846591010689736,340,0.01795399934053421,-0.011680791596882045
,10500,,,,,,2.16,0,16352,-0.23894613,0.79,35,,,,,,,,,,
4731,10800,1.3,-0.0318392440257594,0.98,0,10800,,,,,,,0.16150983721017836,-0.39302650541067125,0.001,0.015089161,0.20266950130462646,0.2,0.07942116595804691,350,0.06981221586465836,-0.021664760168641807
,10800,,,,,,2.04,0,16830,-0.18710593000000003,0.83,36,,,,,,,,,,
4879,11100,1.46,-0.09192826519254595,0.92,0,11100,,,,,,,0.20566458031535148,-0.350918810069561,0.001,0.007892192,0.061032652854919434,0.2,0.05997869372367859,360,0.0436520017683506,-0.014235885424369599
,11100,,,,,,1.97,0,17329,-0.2013893,0.83,37,,,,,,,,,,
5022,11400,1.36,-0.09643177377525718,0.92,0,11400,,,,,,,0.19044247530400754,-0.39445178508758544,0.001,0.013628051,0.07842832803726196,0.2,0.04538352340459824,370,0.07346388697624207,-0.015086356984102166
,11400,,,,,,2.12,0,17796,-0.21398135000000007,0.8,38,,,,,,,,,,
5163,11700,1.26,-0.04932412661146372,0.96,0,11700,,,,,,,0.15991421081125737,-0.42278504818677903,0.001,0.0128272,0.19580715894699097,0.2,0.06526988744735718,380,0.029240654781460762,-0.016516866645542905
,11700,,,,,,2.1,0,18250,-0.22180071,0.82,39,,,,,,,,,,
5321,12000,1.6,-0.09686659111641348,0.92,0,12000,,,,,,,0.15780265890061856,-0.3212217703461647,0.001,0.011822359,0.18451780080795288,0.2,0.07116477377712727,390,-0.0041016340255737305,-0.014385554546606727
,12000,,,,,,1.72,0,18723,-0.13831116,0.89,40,,,,,,,,,,
5467,12300,1.28,-0.03077287755906582,0.96,0,12300,,,,,,,0.15130842588841914,-0.3337093412876129,0.001,0.0103506455,0.25425392389297485,0.2,0.05822088159620762,400,0.04003176465630531,-0.011763409394188785
,12300,,,,,,2.09,0,19167,-0.24213392000000003,0.79,41,,,,,,,,,,
5610,12600,1.18,-0.029780429298989476,0.98,0,12600,,,,,,,0.12209421005100012,-0.28330148458480836,0.001,0.011678662,0.341624915599823,0.2,0.04401633590459823,410,0.0349455364048481,-0.008751480788305344
,12600,,,,,,2.18,0,19617,-0.24432673000000002,0.79,42,,,,,,,,,,
5757,12900,1.62,-0.1413699603267014,0.88,0,12900,,,,,,,0.16160741001367568,-0.2805829420685768,0.001,0.009982798,0.29962146282196045,0.2,0.056782671436667445,420,0.025554006919264793,-0.013908413895114791
,12900,,,,,,2.15,0,20092,-0.25430207000000005,0.82,43,,,,,,,,,,
5896,13200,1.2,-0.008759203758090734,0.98,0,13200,,,,,,,0.19030092805624008,-0.32762364521622656,0.001,0.012191642,0.14834916591644287,0.2,0.05999644957482815,430,0.04936232790350914,-0.01191888225148432
,13200,,,,,,2.13,0,20548,-0.21386329000000004,0.8,44,,,,,,,,,,
6036,13500,1.46,-0.05389873788226396,0.94,0,13500,,,,,,,0.1776702743023634,-0.33629482686519624,0.001,0.015589596,0.18924468755722046,0.2,0.052468040585517885,440,0.04629090800881386,-0.012170897147007054
,13500,,,,,,2.13,0,21003,-0.23733455999999997,0.82,45,,,,,,,,,,
6178,13800,1.32,-0.03185951127670705,0.96,0,13800,,,,,,,0.15355605855584145,-0.3763298258185387,0.001,0.009602393,0.259626567363739,0.2,0.047709517553448676,450,0.04252248257398605,-0.01442544189048931
,13800,,,,,,2.03,0,21495,-0.19816147999999997,0.83,46,,,,,,,,,,
6310,14100,1.46,-0.09854545398615301,0.92,0,14100,,,,,,,0.14927133582532406,-0.36746672093868255,0.001,0.008397665,0.3100935220718384,0.2,0.052468040585517885,460,0.0010560806840658188,-0.014878048106038478
,14100,,,,,,2.23,0,21984,-0.21278898000000002,0.79,47,,,,,,,,,,
6457,14400,1.38,-0.052101180190220475,0.94,0,14400,,,,,,,0.2018594942986965,-0.47231427282094957,0.001,0.012375137,-0.05391418933868408,0.2,0.09630681984126568,470,0.03404863923788071,-0.020195330365095288
,14400,,,,,,2.1,0,22458,-0.22719613999999996,0.81,48,,,,,,,,,,
6607,14700,1.28,-0.031461747335270046,0.96,0,14700,,,,,,,0.16036172844469548,-0.541453379392624,0.001,0.017969497,0.23124492168426514,0.2,0.09465553984045982,480,-0.0003583095967769623,-0.027074621920473874
,14700,,,,,,2.18,0,22928,-0.17543432,0.84,49,,,,,,,,,,
6748,15000,1.5,-0.07316123154945671,0.94,0,15000,,,,,,,0.15244353488087653,-0.5343540340662003,0.001,0.016816134,-0.002156376838684082,0.2,0.09696377962827682,490,-0.004502974450588226,-0.022156464122235774
,15000,,,,,,2.08,0,23401,-0.23568265,0.78,50,,,,,,,,,,
6900,15300,1.26,-0.030239896387793123,0.98,0,15300,,,,,,,0.20179034695029258,-0.4200212374329567,0.001,0.044098735,0.08700156211853027,0.2,0.13126775734126567,500,0.06712546199560165,-0.02140511570032686
,15300,,,,,,2.04,0,23871,-0.19393890000000003,0.83,51,,,,,,,,,,
7041,15600,1.44,-0.09625615462195128,0.92,0,15600,,,,,,,0.19263714365661144,-0.3791049011051655,0.001,0.01775705,0.11482727527618408,0.2,0.08600852414965629,510,0.060863085091114044,-0.02213774878764525
,15600,,,,,,2.04,0,24345,-0.22451963,0.83,52,,,,,,,,,,
7177,15900,1.68,-0.11755130501929671,0.88,0,15900,,,,,,,0.15317075848579406,-0.43518713265657427,0.001,0.043823786,0.31156212091445923,0.2,0.096644177287817,520,0.02430092915892601,-0.015224066295195371
,15900,,,,,,2.18,0,24816,-0.23823445999999998,0.81,53,,,,,,,,,,
7326,16200,1.46,-0.07262753010727466,0.94,0,16200,,,,,,,0.18955650553107262,-0.4975339129567146,0.001,0.021439746,0.11589616537094116,0.2,0.10910866558551788,530,0.00820169597864151,-0.022239906329195945
,16200,,,,,,2.07,0,25282,-0.22906603,0.81,54,,,,,,,,,,
7479,16500,1.5,-0.07428388502448798,0.94,0,16500,,,,,,,0.15009886920452117,-0.5671217605471611,0.001,0.024247006,0.29379069805145264,0.2,0.11278409250080586,540,-0.0017284899950027466,-0.026274686699616724
,16500,,,,,,1.88,0,25731,-0.14818680999999997,0.86,55,,,,,,,,,,
7617,16800,1.38,-0.09087191293947398,0.92,0,16800,,,,,,,0.15738734155893325,-0.5050212666392326,0.001,0.016655205,0.17240828275680542,0.2,0.09309304058551789,550,0.01971721462905407,-0.018590761569794268
,16800,,,,,,2.03,0,26172,-0.18127484999999996,0.83,56,,,,,,,,,,
7756,17100,1.28,-0.011297637056559324,0.98,0,17100,,,,,,,0.1742560226470232,-0.6605749517679215,0.001,0.03048022,0.17224156856536865,0.2,0.13874289765954018,560,0.01666148751974106,-0.03425756917567924
,17100,,,,,,2.08,0,26633,-0.22703566999999997,0.82,57,,,,,,,,,,
7898,17400,1.2,-0.011053389990702272,0.98,0,17400,,,,,,,0.15413411632180213,-0.6465328991413116,0.001,0.0434501,0.2460377812385559,0.2,0.1587357971817255,570,0.01669960469007492,-0.03548403544118628
