time/iterations,env/current_idx,rollout/ep_len_mean,rollout/ep_rew_mean,env/completion_counter,time/total_timesteps,time/time_elapsed,env/n_steps,rollout/success_rate,time/fps,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
45,1895,1.32,-0.09074669999999997,0,2700,3049,2700,0.91,0,0.0001,0.19000000320374966,0.034651518,-0.054163770297852645,0.09419567070901394,-0.7572154998779297,0.2,2200,-0.07214868068695068,-0.8910122907161713,,,
46,1940,1.27,-0.07971745999999999,0,2760,3113,2760,0.93,0,0.0001,0.18966666895896198,0.018530132,-0.04582796979664515,0.04494894739240408,0.14420604705810547,0.2,2250,-0.06270850449800491,-0.762796380519867,,,
47,1988,1.27,-0.07019344999999999,0,2820,3187,2820,0.94,0,0.0001,0.15433333732187748,0.0349688,-0.041907099650707096,0.0683480185084045,-0.027762651443481445,0.2,2300,-0.05586456507444382,-0.5742449927330017,,,
48,2031,1.36,-0.09373411000000001,0,2880,3261,2880,0.91,0,0.0001,0.19000000160187483,0.02907565,-0.031273235769205175,0.05958524189889431,-0.3259119987487793,0.2,2350,-0.04068977013230324,-0.6909031903743744,,,
49,2079,1.3,-0.07306631000000001,0,2940,3326,2940,0.93,0,0.0001,0.24233333554118872,0.02722907,-0.053694205139918905,0.044143216107040646,0.4509642720222473,0.2,2400,-0.07149597257375717,-0.8576480531692505,,,
50,2125,1.26,-0.050545150000000004,0,3000,3394,3000,0.95,0,0.0001,0.20066666938364505,0.020050755,-0.04157708401962495,0.05123861186206341,-0.6045476198196411,0.2,2450,-0.06124591454863548,-0.846030433177948,,,
51,2172,1.31,-0.04113237,0,3060,3464,3060,0.95,0,0.0001,0.1060000029206276,0.010737302,-0.02588243066705763,0.037718265242874624,0.1612546443939209,0.2,2500,-0.032199714332818985,-0.664899822473526,,,
52,2215,1.3,-0.041072290000000004,0,3120,3529,3120,0.95,0,0.0001,0.14366666976362466,0.025474092,-0.03457050905268019,0.00979105789680034,-93.82513427734375,0.2,2550,-0.048725713044404984,-0.6735494041442871,,,
53,2264,1.29,-0.06108,0,3180,3591,3180,0.94,0,0.0001,0.10633333511650563,0.013125533,-0.025838691817674155,0.06605112662538887,0.04964357614517212,0.2,2600,-0.038953762501478195,-0.49150175750255587,,,
54,2315,1.2,-0.040890890000000006,0,3240,3669,3240,0.97,0,0.0001,0.08066666904836893,0.016039994,-0.028416220127255656,0.04470049327239394,-0.3894692659378052,0.2,2650,-0.04648173600435257,-0.5966454827785492,,,
55,2358,1.26,-0.052190780000000006,0,3300,3738,3300,0.96,0,0.0001,0.09866667099297047,0.01226517,-0.016633235159213663,0.02479551263153553,0.0643569827079773,0.2,2700,-0.02050907164812088,-0.4826327461004257,,,
56,2396,1.44,-0.09647885,0,3360,3803,3360,0.91,0,0.0001,0.12633333571255206,0.019870874,-0.044239708174640915,0.05384311491623521,0.15283465385437012,0.2,2750,-0.07099758833646774,-0.6966424632072449,,,
57,2435,1.55,-0.10728396999999999,0,3420,3869,3420,0.88,0,0.0001,0.20933333568274975,0.028128501,-0.045396405620267616,0.09260848253965377,0.04231446981430054,0.2,2800,-0.06440480053424835,-0.7884508168697357,,,
58,2471,1.55,-0.12062493000000002,0,3480,3949,3480,0.87,0,0.0001,0.18266666948795318,0.02187479,-0.04256108469655736,0.058534721937030555,-0.2943594455718994,0.2,2850,-0.056094516068696976,-0.7286054563522338,,,
59,2515,1.46,-0.09698166000000001,0,3540,4010,3540,0.91,0,0.0001,0.16533333893865346,0.01663968,-0.04059429483277199,0.12153037600219249,-0.1402292251586914,0.2,2900,-0.04981587827205658,-0.7278963804244996,,,
60,2563,1.3,-0.050077039999999996,0,3600,4073,3600,0.96,0,0.0001,0.0983333358168602,0.009495684,-0.030230860011341676,0.04159619165584445,-0.5391457080841064,0.2,2950,-0.04896846041083336,-0.562259578704834,,,
61,2603,1.37,-0.08163266999999999,0,3660,4137,3660,0.92,0,0.0001,0.15133333556354045,0.017857691,-0.03911349548981525,0.07073671128600836,-0.08730876445770264,0.2,3000,-0.05084237456321716,-0.5938207471370697,,,
62,2646,1.43,-0.1130448,0,3720,4205,3720,0.89,0,0.0001,0.17866666939109563,0.01776692,-0.05093521765215943,0.05061449971050024,0.29644787311553955,0.2,3050,-0.07183119654655457,-0.6691176867485047,,,
63,2690,1.34,-0.09291203,0,3780,4271,3780,0.92,0,0.0001,0.13033333469182254,0.017484117,-0.03138346139152905,0.05704440359026194,0.27212804555892944,0.2,3100,-0.0456010103225708,-0.5444915664196014,,,
64,2734,1.38,-0.08403548,0,3840,4340,3840,0.93,0,0.0001,0.09500000357627869,0.009030109,-0.028934389208133026,0.057019776050001386,0.1696866750717163,0.2,3150,-0.03414350748062134,-0.3772332412004471,,,
65,2786,1.29,-0.05178182,0,3900,4409,3900,0.96,0,0.0001,0.1320000045746565,0.013353167,-0.037770997606217875,0.035801743306219574,-0.05159163475036621,0.2,3200,-0.050271857529878616,-0.4063238054513931,,,
66,2831,1.23,-0.04993615,0,3960,4471,3960,0.95,0,0.0001,0.02566666800528765,0.004978654,-0.005963632556629204,0.020935984831303357,-0.24284136295318604,0.2,3250,-0.006784464698284864,-0.281601739525795,,,
67,2864,1.46,-0.12418468000000002,0,4020,4531,4020,0.86,0,0.0001,0.07300000213086605,0.016044201,-0.032237656595903295,0.040072547178715466,0.2827070951461792,0.2,3300,-0.05614505708217621,-0.4434954822063446,,,
68,2915,1.41,-0.11390705000000002,0,4080,4594,4080,0.88,0,0.0001,0.13000000324100255,0.03311622,-0.03492994919295111,0.13649140790104866,0.025904417037963867,0.2,3350,-0.030135007575154305,-0.36580311357975004,,,
69,2962,1.25,-0.07128384,0,4140,4663,4140,0.94,0,0.0001,0.0663333348557353,0.044086527,-0.01728594638675954,0.028512932565063237,0.5081196427345276,0.2,3400,-0.025428399443626404,-0.32590760707855226,,,
70,3004,1.32,-0.0826809,0,4200,4734,4200,0.93,0,0.0001,0.18433333802968263,0.028834565,-0.038088226283512404,0.027553144991397858,0.4084981679916382,0.2,3450,-0.04535115510225296,-0.5298818403482437,,,
71,3056,1.25,-0.06044411000000001,0,4260,4804,4260,0.95,0,0.0001,0.1913333348557353,0.019239701,-0.03806984298924604,0.08719900581985712,0.11019718647003174,0.2,3500,-0.036471448838710785,-0.4663466513156891,,,
72,3102,1.24,-0.05077159999999999,0,4320,4875,4320,0.95,0,0.0001,0.09900000270456076,0.008151445,-0.023722047716689617,0.03846330761909485,-0.48382794857025146,0.2,3550,-0.027894742786884308,-0.3632051217556,,,
73,3144,1.34,-0.08521572000000001,0,4380,4940,4380,0.91,0,0.0001,0.10533333640545607,0.013802168,-0.028521528691611203,0.05633250584825873,0.016986489295959473,0.2,3600,-0.04380132630467415,-0.45474184811115265,,,
