env/n_steps,env/current_idx,env/completion_counter,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,rollout/success_rate,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss
,,,,,,16500,0.75,55,1.59,0,24208,-0.24472086999999998,,,,,,,,,,
16800,9568,0,-0.17208024655934423,1.4,0.84,16800,,,,,,,-0.5265223288536072,0.029427182,0.03731108829379082,0.2,0.12755681812763214,0.001,0.2405695915222168,275,0.14508578151464463,-0.020309953652322292
,,,,,,16800,0.68,56,1.79,0,24632,-0.28874908,,,,,,,,,,
17100,9751,0,-0.07358929686248303,1.22,0.92,17100,,,,,,,-0.5215947198867797,0.03641033,0.01319275051355362,0.2,0.16710227221250534,0.001,0.14416706562042236,280,0.1785048884153366,-0.02371191231533885
,,,,,,17100,0.71,57,1.67,0,25038,-0.2565482800000001,,,,,,,,,,
17400,9929,0,-0.09238693744875491,1.38,0.88,17400,,,,,,,-0.5535705840587616,0.03278051,0.011590495705604553,0.2,0.15073863714933394,0.001,0.24499958753585815,285,0.1645285251736641,-0.030377555415034296
,,,,,,17400,0.79,58,1.61,0,25460,-0.17537652999999997,,,,,,,,,,
17700,10095,0,-0.11284361697733403,1.36,0.84,17700,,,,,,,-0.6029366707801819,0.033198852,0.024782925844192505,0.2,0.12494318217039108,0.001,0.09392714500427246,290,0.1766512930393219,-0.02945579171180725
,,,,,,17700,0.71,59,1.76,0,25885,-0.28864535999999996,,,,,,,,,,
18000,10268,0,-0.05093326760921627,1.26,0.9,18000,,,,,,,-0.4898087525367737,0.017736007,0.001599244773387909,0.2,0.12159090936183929,0.001,0.1767858862876892,295,0.1618534278869629,-0.021798618771135807
,,,,,,18000,0.71,60,1.67,0,26314,-0.2660000699999999,,,,,,,,,,
18300,10451,0,-0.09007627066224813,1.3,0.88,18300,,,,,,,-0.5474317455291748,0.053353466,0.0362401083111763,0.2,0.1478409093618393,0.001,0.07816028594970703,300,0.18064872413873673,-0.03039420271292329
,,,,,,18300,0.76,61,1.65,0,26760,-0.22986175,,,,,,,,,,
18600,10620,0,-0.030362082635983823,1.18,0.94,18600,,,,,,,-0.4702507245540619,0.027728576,0.031073205173015594,0.2,0.16215909123420716,0.001,0.13513028621673584,305,0.16055689722299576,-0.023808706477284433
,,,,,,18600,0.68,62,1.78,0,27199,-0.25390105,,,,,,,,,,
18900,10800,0,-0.07165132921654731,1.2,0.92,18900,,,,,,,-0.5191220808029174,0.045088824,0.00652959942817688,0.2,0.11852272748947143,0.001,0.04330611228942871,310,0.16946371763944626,-0.025593383982777596
,,,,,,18900,0.74,63,1.71,0,27663,-0.22312715,,,,,,,,,,
19200,10975,0,-0.04825552292168141,1.16,0.94,19200,,,,,,,-0.4980989944934845,0.019730445,0.050943586975336075,0.2,0.08238636404275894,0.001,0.0006697177886962891,315,0.18348758697509765,-0.017448108904063703
,,,,,,19200,0.7,64,1.75,0,28089,-0.26835558,,,,,,,,,,
19500,11166,0,-0.07054731557145714,1.22,0.92,19500,,,,,,,-0.39694386661052705,0.030059468,0.04221810773015022,0.2,0.17375000059604645,0.001,0.13391023874282837,320,0.1845669275522232,-0.025276408232748508
,,,,,,19500,0.78,65,1.65,0,28553,-0.18247024999999997,,,,,,,,,,
19800,11350,0,-0.08857006743550301,1.24,0.9,19800,,,,,,,-0.39141199469566346,0.015282266,0.037502676248550415,0.2,0.07710227310657501,0.001,0.036555349826812744,325,0.16256364941596985,-0.016633690372109412
,,,,,,19800,0.75,66,1.6,0,28978,-0.23845948,,,,,,,,,,
20100,11530,0,-0.13023963230662047,1.32,0.86,20100,,,,,,,-0.2896435886621475,0.04286235,-0.005265902727842331,0.2,0.10198863685131072,0.001,0.2724202871322632,330,0.1349615091085434,-0.02107529366388917
,,,,,,20100,0.66,67,1.74,0,29410,-0.33376522999999997,,,,,,,,,,
20400,11703,0,-0.15352630315348506,1.38,0.84,20400,,,,,,,-0.2912860733270645,0.023101619,0.026760730892419815,0.2,0.07460227310657501,0.001,0.09654754400253296,335,0.17928458452224733,-0.015391129491617903
,,,,,,20400,0.76,68,1.69,0,29840,-0.24230768000000003,,,,,,,,,,
20700,11873,0,-0.04921018216758966,1.22,0.92,20700,,,,,,,-0.3200089281797409,0.025904337,0.03111603856086731,0.2,0.09369318187236786,0.001,0.22459155321121216,340,0.1703188556432724,-0.01925139483064413
,,,,,,20700,0.7,69,1.74,0,30262,-0.27728146,,,,,,,,,,
21000,12056,0,-0.04820062497630715,1.16,0.94,21000,,,,,,,-0.30182897210121157,0.01720706,0.033983003348112106,0.2,0.0710795459151268,0.001,0.06979745626449585,345,0.18982569217681886,-0.015125046335160732
,,,,,,21000,0.8,70,1.53,0,30686,-0.20489338999999998,,,,,,,,,,
21300,12236,0,-0.04909716896247119,1.18,0.94,21300,,,,,,,-0.28795192778110507,0.03593459,0.03556400164961815,0.2,0.11522727310657502,0.001,0.09304022789001465,350,0.17756736606359483,-0.017508369379211217
,,,,,,21300,0.74,71,1.63,0,31105,-0.27724588,,,,,,,,,,
21600,12430,0,-0.06986361937597393,1.28,0.9,21600,,,,,,,-0.33179698288440707,0.056325585,0.023109648376703262,0.2,0.1067045459151268,0.001,0.19941794872283936,355,0.16694044917821885,-0.02256751999258995
,,,,,,21600,0.81,72,1.58,0,31525,-0.20394599999999996,,,,,,,,,,
21900,12616,0,-0.06822043440304697,1.14,0.94,21900,,,,,,,-0.28568514704704284,0.016889784,0.02987539768218994,0.2,0.0685795459151268,0.001,0.14448082447052002,360,0.1511393541097641,-0.016296563670039177
,,,,,,21900,0.79,73,1.57,0,31965,-0.16247381,,,,,,,,,,
22200,12809,0,-0.10969267239328474,1.26,0.88,22200,,,,,,,-0.322060609459877,0.0241356,0.05969497933983803,0.2,0.08750000029802323,0.001,-0.028805136680603027,365,0.1729119011759758,-0.01681296808645129
,,,,,,22200,0.75,74,1.58,0,32401,-0.21503262999999997,,,,,,,,,,
22500,12996,0,-0.08978630557656288,1.22,0.92,22500,,,,,,,-0.28420581698417663,0.027103309,0.032732605934143066,0.2,0.09607954621315003,0.001,0.24289631843566895,370,0.1640387389063835,-0.021667871177196502
,,,,,,22500,0.75,75,1.65,0,32841,-0.27617745,,,,,,,,,,
22800,13186,0,-0.09189801641739904,1.22,0.9,22800,,,,,,,-0.36620438754558565,0.041022677,0.028985675424337387,0.2,0.10801136374473572,0.001,0.11147439479827881,375,0.18076635271310806,-0.018019987419247627
,,,,,,22800,0.79,76,1.59,0,33292,-0.20898998,,,,,,,,,,
23100,13375,0,-0.06932864890433849,1.28,0.92,23100,,,,,,,-0.3345816683769226,0.026498651,0.03285589814186096,0.2,0.09017045497894287,0.001,0.15375274419784546,380,0.15196209758520127,-0.015683317161165177
,,,,,,23100,0.78,77,1.6,0,33749,-0.22921808,,,,,,,,,,
23400,13560,0,-0.07171891480218619,1.26,0.9,23400,,,,,,,-0.3688885128498077,0.03436183,0.0554010272026062,0.2,0.11562500029802322,0.001,0.2148228883743286,385,0.1522895848751068,-0.015206222776323558
,,,,,,23400,0.74,78,1.67,0,34204,-0.23026076999999998,,,,,,,,,,
23700,13745,0,-0.11531418094411493,1.26,0.9,23700,,,,,,,-0.4070687282085419,0.02673251,0.044936325401067734,0.2,0.09573863685131073,0.001,0.10723227262496948,390,0.18357735216617585,-0.021197318844497205
,,,,,,23700,0.75,79,1.58,0,34652,-0.24161802000000004,,,,,,,,,,
