env/current_idx,env/n_steps,env/completion_counter,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss
,,,35400,,,,0,-0.18876219,0.75,1.57,52681,118,,,,,,,,,,
21331,35700,0,35700,1.22,-0.09139793743379414,0.9,,,,,,,0.001,0.07329545497894287,590,-0.2242181646823883,0.1778966560959816,0.2,0.027939152,-0.016294273156672714,0.12062954902648926,0.042626142501831055
,,,35700,,,,0,-0.23711402000000004,0.74,1.55,53106,119,,,,,,,,,,
21508,36000,0,36000,1.26,-0.08954740605317056,0.9,,,,,,,0.001,0.0698295459151268,595,-0.2368588078022003,0.15673697352409363,0.2,0.029408425,-0.01346212910488248,0.24285298585891724,0.03241961449384689
,,,36000,,,,0,-0.2509755899999999,0.73,1.62,53554,120,,,,,,,,,,
21688,36300,0,36300,1.4,-0.13155079856980592,0.84,,,,,,,0.001,0.04375000029802322,600,-0.16097324669361116,0.17431121647357942,0.2,0.013492783,-0.008853134781238623,0.12832051515579224,0.0811561644077301
,,,36300,,,,0,-0.26070566999999994,0.74,1.61,53970,121,,,,,,,,,,
21876,36600,0,36600,1.32,-0.05095572094898671,0.88,,,,,,,0.001,0.03323863655328751,605,-0.20095847308635711,0.16474256664514542,0.2,0.01744291,-0.009025504479650408,0.2800440192222595,0.06055958569049835
,,,36600,,,,0,-0.18651544,0.75,1.6,54396,122,,,,,,,,,,
22054,36900,0,36900,1.26,-0.07082123488653451,0.9,,,,,,,0.001,0.060454545617103575,610,-0.20493239313364028,0.15266748517751694,0.2,0.013221351,-0.011048542218049988,0.20753967761993408,0.06282363831996918
,,,36900,,,,0,-0.36562591,0.65,1.76,54815,123,,,,,,,,,,
22239,37200,0,37200,1.18,-0.06921928314957768,0.92,,,,,,,0.001,0.05102272748947143,615,-0.2721433734893799,0.20305909097194672,0.2,0.027101016,-0.010135504294885323,0.20706284046173096,0.07413391023874283
,,,37200,,,,0,-0.25508017,0.73,1.61,55234,124,,,,,,,,,,
22429,37500,0,37500,1.26,-0.09042243232019245,0.9,,,,,,,0.001,0.08829545497894287,620,-0.3466250139474869,0.1828087857365608,0.2,0.039379664,-0.017640475652879104,0.2069900631904602,0.031090598553419113
,,,37500,,,,0,-0.22145288000000002,0.74,1.6,55680,125,,,,,,,,,,
22613,37800,0,37800,1.2,-0.048189866594038906,0.92,,,,,,,0.001,0.06977272778749466,625,-0.31623854637146,0.14540245085954667,0.2,0.015156413,-0.016616708748042584,0.21092474460601807,0.030325617641210556
,,,37800,,,,0,-0.20079155000000004,0.79,1.52,56079,126,,,,,,,,,,
22795,38100,0,38100,1.24,-0.08881833363324404,0.9,,,,,,,0.001,0.09392045497894287,630,-0.31532906770706176,0.18342189431190492,0.2,0.024090175,-0.017983329817652702,0.12434601783752441,0.05668603628873825
,,,38100,,,,0,-0.24050260999999998,0.73,1.65,56506,127,,,,,,,,,,
