eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,env/n_steps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/learning_rate,train/clip_fraction
0.92,3709,0,9600,-0.10773931962437927,1.62,9600,,,,,,,-1.1023191952705382,0.09305377043783665,310,0.15223562717437744,-0.0851966101070866,0.07213375,0.2,-0.10926364362239838,0.001,0.3863920460641384
,,,9600,,,,0.77,2.31,14465,0,32,-0.27855034,,,,,,,,,,
0.94,3820,0,9900,-0.07310214673168958,1.5,9900,,,,,,,-1.022217756509781,0.09454560451209545,320,0.11370044946670532,-0.07082416236400604,0.076059684,0.2,-0.09234488010406494,0.001,0.3493181826174259
,,,9900,,,,0.69,2.76,14910,0,33,-0.35901805000000003,,,,,,,,,,
0.9,3968,0,10200,-0.11293789607938379,1.56,10200,,,,,,,-1.092728943824768,0.10598305195569992,330,-0.1469331979751587,-0.0790694896876812,0.060731046,0.2,-0.09961571544408798,0.001,0.38801136493682864
,,,10200,,,,0.86,2.06,15362,0,34,-0.19304093000000003,,,,,,,,,,
0.92,4091,0,10500,-0.038552575460635126,1.64,10500,,,,,,,-0.955466423034668,0.08647341635078191,340,0.05697369575500488,-0.06894668683409691,0.071290985,0.2,-0.09928834438323975,0.001,0.39892045497894285
,,,10500,,,,0.83,2.26,15841,0,35,-0.22289939,,,,,,,,,,
0.98,4222,0,10800,-0.010968175679445268,1.24,10800,,,,,,,-0.9704039132595063,0.09093918778002262,350,0.00025069713592529297,-0.07623960489872843,0.069499955,0.2,-0.08132854104042053,0.001,0.3780397719144821
,,,10800,,,,0.76,2.35,16291,0,36,-0.2727843,,,,,,,,,,
0.96,4342,0,11100,-0.050669281012378636,1.3,11100,,,,,,,-1.0347081673145295,0.10676626060158015,360,0.04197037220001221,-0.07985898299142719,0.11485176,0.2,-0.0755772665143013,0.001,0.41218749970197677
,,,11100,,,,0.78,2.35,16744,0,37,-0.23223566999999995,,,,,,,,,,
0.94,4470,0,11400,-0.07853725601918995,1.42,11400,,,,,,,-0.8947278785705567,0.10574051544070244,370,-0.06826341152191162,-0.0757320150360465,0.11109799,0.2,-0.10157152265310287,0.001,0.3957954531908035
,,,11400,,,,0.76,2.22,17195,0,38,-0.23671003,,,,,,,,,,
0.96,4607,0,11700,-0.034274386884644625,1.26,11700,,,,,,,-0.9144819629192352,0.08678058281540871,380,0.042894840240478516,-0.08018522361293436,0.13458136,0.2,-0.09032974392175674,0.001,0.3984375002980232
,,,11700,,,,0.8,2.23,17641,0,39,-0.25688271999999995,,,,,,,,,,
0.9,4729,0,12000,-0.12455441429279744,1.7,12000,,,,,,,-0.968282732963562,0.09038134098052979,390,0.06231331825256348,-0.08406264616176486,0.12930878,0.2,-0.09781263023614883,0.001,0.3942613637447357
,,,12000,,,,0.76,2.35,18087,0,40,-0.31508813,,,,,,,,,,
0.92,4857,0,12300,-0.09298450719565153,1.42,12300,,,,,,,-0.9991518568992614,0.11023864418268203,400,0.13182950019836426,-0.08219295218586922,0.09483051,0.2,-0.10600624978542328,0.001,0.39798295497894287
,,,12300,,,,0.79,2.38,18525,0,41,-0.23401485000000008,,,,,,,,,,
0.88,5002,0,12600,-0.14411355673335494,1.68,12600,,,,,,,-0.8678498303890229,0.09706212196499109,410,-0.0768202543258667,-0.07830324297770858,0.13436246,0.2,-0.0911155417561531,0.001,0.4032102262973785
,,,12600,,,,0.84,1.91,18975,0,42,-0.17594568,,,,,,,,,,
0.9,5143,0,12900,-0.0944247151678428,1.52,12900,,,,,,,-0.816329892873764,0.11369887579232454,420,-0.11273300647735596,-0.07528857201337814,0.1327038,0.2,-0.08574678748846054,0.001,0.35778409108519554
,,,12900,,,,0.74,2.3,19423,0,43,-0.32585447,,,,,,,,,,
0.92,5300,0,13200,-0.07382300118915737,1.48,13200,,,,,,,-0.8321607649326325,0.13330118618905545,430,0.0678897500038147,-0.07105170331895351,0.07723747,0.2,-0.04761593043804169,0.001,0.3047159092128277
,,,13200,,,,0.9,1.93,19868,0,44,-0.14974180000000004,,,,,,,,,,
0.9,5415,0,13500,-0.12091263444162906,1.6,13500,,,,,,,-0.8308041620254517,0.10678008370101452,440,-0.06541216373443604,-0.07260410756804049,0.09718566,0.2,-0.07514151930809021,0.001,0.32738636374473573
,,,13500,,,,0.7,2.66,20330,0,45,-0.36237463000000003,,,,,,,,,,
1.0,5552,0,13800,-0.012682173154316842,1.44,13800,,,,,,,-0.8610361361503601,0.14927837185561657,450,-0.1260209083557129,-0.07560637813992799,0.080998614,0.2,-0.0836905762553215,0.001,0.36437499955296515
,,,13800,,,,0.82,2.14,20794,0,46,-0.20102557000000001,,,,,,,,,,
0.94,5689,0,14100,-0.07695180883165449,1.54,14100,,,,,,,-0.8091280198097229,0.08068731613457203,460,0.055590033531188965,-0.07844081737101077,0.11742947,0.2,-0.08652204275131226,0.001,0.37778408974409106
,,,14100,,,,0.82,2.21,21248,0,47,-0.22577963000000004,,,,,,,,,,
