env/n_steps,env/completion_counter,time/fps,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,env/current_idx,time/iterations,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
2460,0,0,2460,3102,0.95,1.28,1705,82,-0.06106832000000001,0.04265238673426211,0.0001,0.2,0.1826666709780693,-0.04287619928332667,-0.3877502578496933,0.04614361,4050,0.3164733052253723,-0.05724923312664032,,,
2490,0,0,2490,3143,0.97,1.24,1728,83,-0.040194730000000005,0.00820773446583189,0.0001,0.2,0.2926666721701622,-0.051431527952353166,-0.5145165431499481,0.07599211,4100,-698.7789916992188,-0.06518412381410599,,,
2520,0,0,2520,3176,0.95,1.3,1746,84,-0.05111615000000001,0.0047245322656817735,0.0001,0.2,0.24133334085345268,-0.06328513733670116,-0.40934465646743773,0.05320596,4150,-9.531062126159668,-0.08624289929866791,,,
2550,0,0,2550,3209,0.93,1.35,1766,85,-0.06296070000000001,0.043464798950590196,0.0001,0.2,0.2566666751354933,-0.0579678831162552,-0.5340190625190735,0.03310433,4200,0.35725951194763184,-0.09952150285243988,,,
2580,0,0,2580,3249,0.94,1.31,1794,86,-0.05209916,0.07623157784342766,0.0001,0.2,0.4966666728258133,-0.09489099071733653,-0.727243264913559,0.17111649,4250,0.07146346569061279,-0.11921360343694687,,,
2610,0,0,2610,3286,0.93,1.37,1816,87,-0.06394039,0.006550328012090176,0.0001,0.2,0.30133334077894686,-0.0649526071731622,-0.659460678100586,0.0564824,4300,-3736.24658203125,-0.09425383806228638,,,
2640,0,0,2640,3318,0.93,1.35,1838,88,-0.06304467,0.07153760557994246,0.0001,0.2,0.2653333400189877,-0.07094363636585577,-0.6962109959125519,0.026344744,4350,-0.04650759696960449,-0.09418878704309464,,,
2670,0,0,2670,3351,0.97,1.21,1865,89,-0.03981263999999999,0.01599442874547094,0.0001,0.2,0.3573333378881216,-0.08015017937899876,-0.9194805490970611,0.044192567,4400,0.45810627937316895,-0.11006956547498703,,,
2700,0,0,2700,3387,0.94,1.29,1886,90,-0.06263499999999998,0.036444379976019264,0.0001,0.2,0.2840000048279762,-0.07316839027389262,-0.816167893409729,0.05321175,4450,0.05707895755767822,-0.10049735009670258,,,
2730,0,0,2730,3422,0.94,1.29,1910,91,-0.06190493,0.03337335164658725,0.0001,0.2,0.35066667072474955,-0.07849267033285773,-0.8441262948513031,0.061422452,4500,0.49194151163101196,-0.10097172111272812,,,
2760,0,0,2760,3458,0.93,1.28,1933,92,-0.0719456,0.023867782371817158,0.0001,0.2,0.1306666722148657,-0.018146940753174315,-0.44750372707843783,0.021876603,4550,0.11507904529571533,-0.025277867913246155,,,
2790,0,0,2790,3501,0.93,1.31,1954,93,-0.07244888000000001,0.08835206668823957,0.0001,0.2,0.27533333882689476,-0.06841707820235751,-0.6013029885292053,0.063138045,4600,-0.02239060401916504,-0.08659934252500534,,,
2820,0,0,2820,3533,0.94,1.3,1976,94,-0.07671946,0.01766008237376809,0.0001,0.2,0.1593333373218775,-0.03679846386363108,-0.4646452307701111,0.020165175,4650,0.48667585849761963,-0.05281441658735275,,,
2850,0,0,2850,3566,0.92,1.34,1999,95,-0.09719959000000002,0.0655874071829021,0.0001,0.2,0.29133334167301655,-0.07949178669477504,-0.6297530770301819,0.042400878,4700,0.27926570177078247,-0.10743521898984909,,,
2880,0,0,2880,3601,0.92,1.41,2018,96,-0.09828182,0.04623910289257765,0.0001,0.2,0.22066667422652245,-0.06463326784130188,-0.6017572093009949,0.034849767,4750,0.018404841423034668,-0.08569607138633728,,,
2910,0,0,2910,3640,0.93,1.35,2043,97,-0.08963506,0.04975846362300217,0.0001,0.2,0.24800000734627248,-0.04150062049863241,-0.5309056067466735,0.052208852,4800,-0.2988630533218384,-0.05029862001538277,,,
2940,0,0,2940,3676,0.93,1.31,2065,98,-0.08323063999999998,0.06346487671136856,0.0001,0.2,0.24466667242348195,-0.06469647946736465,-0.4387944227457046,0.08936782,4850,0.10927164554595947,-0.08564865589141846,,,
2970,0,0,2970,3712,0.91,1.38,2085,99,-0.10409630999999997,0.037581824851222335,0.0001,0.2,0.1833333395421505,-0.03437353131469962,-0.4558456665277481,0.066540524,4900,0.1899588704109192,-0.05671411380171776,,,
3000,0,,3000,,,,2107,,,0.08676368165761232,0.0001,0.2,0.27800000585615636,-0.08126458665107691,-0.552765554189682,0.064825214,4950,-0.1956329345703125,-0.09865442663431168,0.92,-0.09066234447993338,1.32
,,0,3000,3907,0.92,1.36,,100,-0.09349980999999997,,,,,,,,,,,,,
3030,0,0,3030,3941,0.94,1.31,2132,101,-0.07109979000000002,0.07386946913786233,0.0001,0.2,0.2440000080317259,-0.04104816701045884,-0.4613414978981018,0.29105562,5000,-0.33868181705474854,-0.058591894805431366,,,
3060,0,0,3060,3977,0.95,1.28,2157,102,-0.060650779999999994,0.012406965569825843,0.0001,0.2,0.21533334121108055,-0.03874060944157342,-0.40426902115345004,0.11703236,5050,-76.51654815673828,-0.058625806123018265,,,
3090,0,0,3090,4012,0.96,1.26,2181,103,-0.05221572999999999,0.029045758652500808,0.0001,0.2,0.1680000026524067,-0.024400797370277977,-0.5057494777441025,0.03898967,5100,-0.11510229110717773,-0.05587146803736687,,,
3120,0,0,3120,4043,0.95,1.26,2201,104,-0.052393599999999985,0.015430718017742038,0.0001,0.2,0.24200000874698163,-0.07396470360582072,-0.5529955685138702,0.06396318,5150,0.5697360038757324,-0.08785092830657959,,,
3150,0,0,3150,4080,0.93,1.34,2222,105,-0.07357704,0.10222573406994342,0.0001,0.2,0.07400000244379043,-0.024143936226171725,-0.2986644819378853,0.025312532,5200,-0.15124356746673584,-0.04607969522476196,,,
3180,0,0,3180,4112,0.92,1.36,2243,106,-0.08452922999999998,0.035469661494717,0.0001,0.2,0.21733333930373192,-0.06423895813687705,-0.5525757139921188,0.05177079,5250,0.38469624519348145,-0.09604424983263016,,,
