rollout/ep_rew_mean,rollout/ep_len_mean,env/current_idx,env/n_steps,time/total_timesteps,rollout/success_rate,time/time_elapsed,env/completion_counter,time/fps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,eval/mean_reward,eval/success_rate,eval/mean_ep_length
-0.05138397,1.32,89,42240,42240,0.95,53046,2,0,1408,14070,0.003333333507180214,0.520134687423706,0.0001,0.022054223343729973,-0.6106951773166657,0.001177291,-0.0013884904074558334,0.05196893811225891,0.2,,,
-0.04071376999999999,1.27,117,42270,42270,0.96,53080,2,0,1409,14080,0.0,0.6117557287216187,0.0001,0.010174843482673168,-0.6930803775787353,0.0017006954,-0.004236708453390747,0.043261971324682236,0.2,,,
-0.08166353999999998,1.29,132,42300,42300,0.93,53114,2,0,1410,14090,0.0,-142.14024353027344,0.0001,-0.00968114472925663,-0.7574837863445282,0.0013366758,-0.004868404503989332,0.004192521213553846,0.2,,,
-0.07164359999999999,1.28,157,42330,42330,0.93,53149,2,0,1411,14100,0.0,0.1630893349647522,0.0001,0.15133211016654968,-0.7979732036590577,0.00097355444,-0.0042450096050743015,0.34985524117946626,0.2,,,
-0.06053304999999999,1.26,180,42360,42360,0.94,53182,2,0,1412,14110,0.0,-33.12016677856445,0.0001,0.0033532194793224335,-0.876554799079895,0.0016078552,-0.008405289663933146,0.04411749430000782,0.2,,,
-0.08163890999999998,1.36,201,42390,42390,0.91,53214,2,0,1413,14120,0.040000001341104506,0.30660200119018555,0.0001,-0.012411847710609436,-0.9212421655654908,0.008923273,-0.014755532202931932,0.034448327496647835,0.2,,,
-0.05212164000000001,1.3,225,42420,42420,0.94,53245,2,0,1414,14130,0.010000000521540642,0.3140416741371155,0.0001,0.03561538830399513,-0.9966175138950348,0.0022984466,-0.0028299520351962927,0.09138569608330727,0.2,,,
-0.05174876999999999,1.28,249,42450,42450,0.95,53283,2,0,1415,14140,0.0,0.524810791015625,0.0001,0.016701746731996536,-1.0514500975608825,0.00037901005,-0.0034743130376348576,0.05869404450058937,0.2,,,
-0.06259146,1.35,272,42480,42480,0.94,53317,2,0,1416,14150,0.0,0.20612478256225586,0.0001,0.025046726688742638,-1.0678475379943848,0.002735887,-0.004933195035361315,0.07821243777871131,0.2,,,
-0.041988969999999994,1.3,295,42510,42510,0.94,53350,2,0,1417,14160,0.010000000521540642,0.5481328964233398,0.0001,0.005853146314620972,-1.0919249773025512,0.002745992,-0.00893199292399629,0.04807702265679836,0.2,,,
-0.04048735999999999,1.28,317,42540,42540,0.94,53381,2,0,1418,14170,0.0,-32.196929931640625,0.0001,0.004264856688678265,-1.087280523777008,0.00070949394,-0.001820700559959043,0.027659429423511028,0.2,,,
-0.06214645999999999,1.37,337,42570,42570,0.91,53415,2,0,1419,14180,0.010000000521540642,0.09597164392471313,0.0001,0.030235840007662773,-1.074324655532837,0.0018351873,-0.008964384134160498,0.10278650224208832,0.2,,,
-0.06264011000000001,1.38,359,42600,42600,0.91,53453,2,0,1420,14190,0.0,0.1820778250694275,0.0001,0.04138510674238205,-1.0700312376022338,0.0016049425,-0.00617650074864895,0.12180997505784034,0.2,,,
-0.07317218,1.41,381,42630,42630,0.9,53485,2,0,1421,14200,0.0,-0.12000298500061035,0.0001,0.04862874373793602,-1.0635940313339234,0.000119423865,-0.0015048076383145314,0.11563202738761902,0.2,,,
-0.06221463000000001,1.37,404,42660,42660,0.93,53518,2,0,1422,14210,0.020000000670552253,0.23456257581710815,0.0001,0.03591180592775345,-1.0711447596549988,0.004690846,-0.014086204553798965,0.1358535334467888,0.2,,,
-0.09512637,1.51,416,42690,42690,0.9,53550,2,0,1423,14220,0.0,-0.5933444499969482,0.0001,0.0007480336353182793,-0.9969115316867828,0.0016478598,-0.005403118901109849,0.027420264668762684,0.2,,,
-0.10635636000000001,1.54,436,42720,42720,0.89,53581,2,0,1424,14230,0.010000000521540642,-0.029927492141723633,0.0001,0.09930692613124847,-0.9885322988033295,0.0027674972,-0.005811452564472974,0.23118601888418197,0.2,,,
-0.11630283999999999,1.56,454,42750,42750,0.88,53614,2,0,1425,14240,0.0,0.5205965042114258,0.0001,0.03600362315773964,-1.0032082200050354,0.0010403355,-0.004549215758258285,0.10049546360969544,0.2,,,
-0.10616809999999999,1.57,474,42780,42780,0.89,53646,2,0,1426,14250,0.010000000521540642,0.5262173414230347,0.0001,0.015292879194021225,-0.9787885546684265,0.0038877109,-0.010737570229102999,0.08459973037242889,0.2,,,
-0.1266572,1.6,493,42810,42810,0.87,53678,2,0,1427,14260,0.0,-0.009305596351623535,0.0001,0.024111883714795113,-0.9456761658191681,0.0012732724,-0.011470459250267595,0.10265574604272842,0.2,,,
-0.10411845000000002,1.52,516,42840,42840,0.9,53718,2,0,1428,14270,0.01666666753590107,0.5023661851882935,0.0001,0.018851185217499733,-0.9148236453533173,0.003077972,-0.011792573991697353,0.09505004063248634,0.2,,,
-0.08271425,1.44,539,42870,42870,0.93,53751,2,0,1429,14280,0.010000000521540642,-0.2711343765258789,0.0001,0.01939641311764717,-0.8750141561031342,0.0023142796,-0.007308108860161156,0.07775830775499344,0.2,,,
-0.07329759,1.4,559,42900,42900,0.94,53783,2,0,1430,14290,0.0,0.29207926988601685,0.0001,0.03214103356003761,-0.8373313665390014,0.00054690836,-0.0015307325764053914,0.07829119116067887,0.2,,,
-0.07242649,1.34,585,42930,42930,0.94,53821,2,0,1431,14300,0.0,0.28224366903305054,0.0001,0.05075579881668091,-0.8183110892772675,0.0016952256,-0.00859775493076711,0.15533199310302734,0.2,,,
