env/completion_counter,env/current_idx,time/total_timesteps,eval/mean_reward,eval/success_rate,env/n_steps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss
0,11882,25200,-0.12180332402698696,0.9,25200,1.6,,,,,,,0.0,0.2,830,0.04743889719247818,1.0270727e-05,0.1755467653274536,-0.05067689605057239,-6.760141386422447e-05,0.0001,0.14289569109678268
,,25200,,,,,1.9,0,38953,-0.17972797000000004,0.85,84,,,,,,,,,,
0,12041,25500,-0.030528281070291995,0.98,25500,1.32,,,,,,,0.0013920454680919647,0.2,840,0.03913159295916557,0.00017597257,0.32315701246261597,-0.05338866136968136,-0.000766377463216088,0.0001,0.1388104335963726
,,25500,,,,,1.98,0,39405,-0.21020294,0.81,85,,,,,,,,,,
0,12170,25800,-0.05657578402198851,0.94,25800,1.28,,,,,,,0.001875,0.2,850,0.039877619594335556,0.00027421763,0.2210245132446289,-0.055009237006306645,-0.001034596084822965,0.0001,0.1408386369049549
,,25800,,,,,2.3,0,39844,-0.28653957,0.78,86,,,,,,,,,,
0,12324,26100,-0.07426984581165015,0.92,26100,1.4,,,,,,,0.0,0.2,860,0.0677659660577774,3.2182616e-06,0.18947672843933105,-0.05477923288941383,-1.2546593295610364e-05,0.0001,0.19983466252684592
,,26100,,,,,1.91,0,40279,-0.16563756000000002,0.83,87,,,,,,,,,,
0,12473,26400,-0.00782705094665289,1.0,26400,1.08,,,,,,,0.0009375,0.2,870,0.05961949750781059,9.5388175e-05,0.0867607593536377,-0.058166391104459765,-0.00047687512586492176,0.0001,0.16853494957089424
,,26400,,,,,2.11,0,40706,-0.21551782,0.84,88,,,,,,,,,,
0,12647,26700,-0.07296955085825176,0.92,26700,1.34,,,,,,,0.0003125,0.2,880,0.08251677453517914,9.166128e-05,0.2427079677581787,-0.0648035928606987,-0.0004277666002190017,0.0001,0.15962904766201974
,,26700,,,,,1.83,0,41135,-0.15850586,0.87,89,,,,,,,,,,
0,12801,27000,-0.010890759364701807,1.0,27000,1.26,,,,,,,0.0,0.2,890,0.07283972203731537,2.1302514e-05,0.29802608489990234,-0.0728815758228302,-4.716365424314972e-05,0.0001,0.12883845016360282
,,27000,,,,,2.0,0,41580,-0.18696139999999997,0.86,90,,,,,,,,,,
0,12947,27300,-0.026887484095059335,0.98,27300,1.08,,,,,,,0.0013920454680919647,0.2,900,0.06520035862922668,0.00019144747,0.1107330322265625,-0.07831562250852585,-0.0009803005629873951,0.0001,0.16519274592399597
,,27300,,,,,1.96,0,42024,-0.21530999000000006,0.81,91,,,,,,,,,,
