time/total_timesteps,eval/mean_ep_length,eval/success_rate,env/n_steps,env/completion_counter,eval/mean_reward,env/current_idx,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/loss
21900,1.42,0.92,21900,0,-0.07872791188769042,10690,,,,,,,-0.0013010969573892695,0.06650024652481079,0.0001,0.2,0.0029545454680919648,720,-0.055085788369178774,0.00045168697,0.15205167070031167,0.07271092385053635
21900,,,,,,,0.83,-0.20193467,1.91,73,0,32370,,,,,,,,,,
22200,1.4,0.96,22200,0,-0.032110289055854085,10851,,,,,,,-0.00047318060406162485,0.21924662590026855,0.0001,0.2,0.0,730,-0.04778615452349186,0.00017791722,0.160467911362648,0.06882122159004211
22200,,,,,,,0.86,-0.15920642000000002,1.72,74,0,32819,,,,,,,,,,
22500,1.62,0.88,22500,0,-0.13745518839918078,11001,,,,,,,-0.000870808679636923,0.13980638980865479,0.0001,0.2,0.0015625,740,-0.049540781378746034,0.00010646116,0.159593588411808,0.04707394167780876
22500,,,,,,,0.82,-0.21333821999999997,2.09,75,0,33273,,,,,,,,,,
22800,1.44,0.92,22800,0,-0.05217808339279145,11146,,,,,,,-0.0004969122188845531,0.11190491914749146,0.0001,0.2,0.0010795454680919648,750,-0.05442077703773975,8.732658e-05,0.15426873415708542,0.044924620538949966
22800,,,,,,,0.78,-0.26001839,2.11,76,0,33723,,,,,,,,,,
23100,1.4,0.92,23100,0,-0.07741127784363926,11302,,,,,,,-5.284239641412114e-08,0.17882484197616577,0.0001,0.2,0.0,760,-0.05848635777831077,0.0,0.1768696829676628,0.0695914626121521
23100,,,,,,,0.86,-0.20258817999999998,1.91,77,0,34158,,,,,,,,,,
23400,1.22,0.96,23400,0,-0.04867365514393896,11461,,,,,,,-4.1310261426836805e-05,0.2371121644973755,0.0001,0.2,0.0,770,-0.0576400925219059,1.0818057e-05,0.17071174398064615,0.07710897922515869
23400,,,,,,,0.89,-0.13182469000000002,1.82,78,0,34610,,,,,,,,,,
23700,1.64,0.88,23700,0,-0.09736940856091678,11619,,,,,,,-0.0009633980471316761,0.33196836709976196,0.0001,0.2,0.002017045468091965,780,-0.05453226335346699,0.00032137416,0.1257748907804489,0.05393121764063835
23700,,,,,,,0.83,-0.22879482000000004,1.88,79,0,35057,,,,,,,,,,
24000,1.44,0.9,24000,0,-0.09768112812191249,11775,,,,,,,3.310767088038347e-08,0.2522372007369995,0.0001,0.2,0.0,790,-0.05470255509018898,0.0,0.16438522264361383,0.0762220099568367
24000,,,,,,,0.83,-0.20665501999999997,1.93,80,0,35513,,,,,,,,,,
24300,1.38,0.96,24300,0,-0.03236355411820114,11920,,,,,,,-2.19187445261948e-05,0.005028784275054932,0.0001,0.2,0.0,800,-0.05536056958138943,6.441772e-06,0.1851857680082321,0.075272336602211
24300,,,,,,,0.84,-0.21032813,1.84,81,0,35923,,,,,,,,,,
24600,1.44,0.94,24600,0,-0.05966676996555179,12081,,,,,,,-6.0618841555584165e-05,0.32981938123703003,0.0001,0.2,0.0,810,-0.054700319916009904,1.4431216e-05,0.15413590312004088,0.05416327714920044
24600,,,,,,,0.87,-0.16187779999999996,1.81,82,0,36363,,,,,,,,,,
24900,1.32,0.94,24900,0,-0.07275493384804577,12240,,,,,,,-6.515779167390434e-05,0.22030431032180786,0.0001,0.2,0.0,820,-0.05363223753869534,2.224706e-05,0.1569949460029602,0.08824818581342697
24900,,,,,,,0.78,-0.24512232,2.04,83,0,36807,,,,,,,,,,
25200,1.4,0.96,25200,0,-0.05586554189678281,12391,,,,,,,-1.76346049094267e-05,0.27873629331588745,0.0001,0.2,0.0,830,-0.05568480618298054,4.951842e-06,0.15174370214343072,0.05579134821891785
25200,,,,,,,0.83,-0.18431958999999998,1.92,84,0,37257,,,,,,,,,,
25500,1.38,0.92,25500,0,-0.0926488504325971,12546,,,,,,,-8.934050459696862e-06,0.39770519733428955,0.0001,0.2,0.0,840,-0.056413610875606535,4.28129e-06,0.14002520576119423,0.05771133676171303
25500,,,,,,,0.83,-0.18529897,1.93,85,0,37678,,,,,,,,,,
25800,1.18,0.98,25800,0,-0.008428636351600289,12707,,,,,,,-0.0009186275348872286,0.05053865909576416,0.0001,0.2,0.0017045454680919647,850,-0.05838879354298115,0.0001993917,0.19530050367116927,0.0692722350358963
25800,,,,,,,0.85,-0.18107044000000005,1.75,86,0,38096,,,,,,,,,,
26100,1.16,0.96,26100,0,-0.04859872278291732,12869,,,,,,,-0.0013696011212992686,0.30561351776123047,0.0001,0.2,0.001875,860,-0.06312445461750031,0.00020184647,0.14836704701185227,0.07587822526693344
26100,,,,,,,0.86,-0.17760603,1.88,87,0,38528,,,,,,,,,,
26400,1.12,0.98,26400,0,-0.02777194497641176,13015,,,,,,,-1.162883243921442e-08,0.17914772033691406,0.0001,0.2,0.0,870,-0.06585850924253464,0.0,0.14299701362848283,0.057416900992393494
