time/total_timesteps,eval/mean_ep_length,eval/success_rate,env/n_steps,env/completion_counter,eval/mean_reward,env/current_idx,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/loss
54000,,,,,,,0.86,-0.15577801,1.88,180,0,78132,,,,,,,,,,
54300,1.44,0.92,54300,0,-0.07161179740913212,27486,,,,,,,-6.285023777643062e-05,0.2792946696281433,0.0001,0.2,0.0003125,1800,-0.012981538623571397,7.250123e-05,0.13027025446295737,0.0400029756128788
54300,,,,,,,0.87,-0.18748949999999998,1.78,181,0,78571,,,,,,,,,,
54600,1.26,0.96,54600,0,-0.052125029927119614,27642,,,,,,,-6.152606536673488e-06,0.24867284297943115,0.0001,0.2,0.0,1810,-0.013658766187727451,8.693067e-06,0.17465784892439842,0.08671977370977402
54600,,,,,,,0.88,-0.14556666999999998,1.87,182,0,78990,,,,,,,,,,
54900,1.2,0.98,54900,0,-0.029938287851400673,27790,,,,,,,-0.0010629961783574027,0.32846641540527344,0.0001,0.2,0.0023295454680919646,1820,-0.0124492596834898,0.0002593862,0.14794777870178222,0.043385062366724014
54900,,,,,,,0.81,-0.2196302,2.04,183,0,79414,,,,,,,,,,
55200,1.48,0.92,55200,0,-0.0921942638233304,27941,,,,,,,-4.5125867261308625e-05,0.1510770320892334,0.0001,0.2,0.0,1830,-0.011481588315218687,1.8397532e-05,0.1643708375096321,0.06702151894569397
55200,,,,,,,0.83,-0.23839205999999993,1.86,184,0,79844,,,,,,,,,,
55500,1.44,0.92,55500,0,-0.07651030836161227,28085,,,,,,,-0.0001456904047187102,0.3051803708076477,0.0001,0.2,0.0015625,1840,-0.011298347506672144,0.00015657321,0.1757133735716343,0.07166918367147446
55500,,,,,,,0.78,-0.28511862,2.16,185,0,80270,,,,,,,,,,
55800,1.34,0.94,55800,0,-0.0702103653177619,28247,,,,,,,1.4667483969610374e-08,0.40380972623825073,0.0001,0.2,0.0,1850,-0.011586407367140054,0.0,0.14725154250860215,0.06742849946022034
55800,,,,,,,0.84,-0.17461733999999995,1.9,186,0,80696,,,,,,,,,,
56100,1.28,0.96,56100,0,-0.033415424432605506,28410,,,,,,,-0.0006942159259183134,0.26341891288757324,0.0001,0.2,0.0021875,1860,-0.012484496738761664,0.0002733633,0.14885252639651297,0.044654883444309235
56100,,,,,,,0.85,-0.16368554,1.72,187,0,81120,,,,,,,,,,
56400,1.4,0.96,56400,0,-0.05521050376817584,28563,,,,,,,-2.252107282885163e-09,0.19210922718048096,0.0001,0.2,0.0,1870,-0.012981549613177776,0.0,0.14758378997445107,0.06829172372817993
56400,,,,,,,0.8,-0.26350976,1.93,188,0,81632,,,,,,,,,,
56700,1.44,0.9,56700,0,-0.11483257170766592,28718,,,,,,,-0.00013605528542855793,0.3002440333366394,0.0001,0.2,0.000625,1880,-0.01241748059168458,0.00010340121,0.17000619545578957,0.05618760362267494
56700,,,,,,,0.85,-0.21292834000000002,1.85,189,0,82081,,,,,,,,,,
57000,1.32,0.96,57000,0,-0.03478877841029316,28874,,,,,,,1.1727891351398511e-08,0.27733373641967773,0.0001,0.2,0.0,1890,-0.011888368409126998,0.0,0.16859874054789542,0.05265817046165466
57000,,,,,,,0.84,-0.19973284999999996,2.03,190,0,82502,,,,,,,,,,
57300,1.36,0.96,57300,0,-0.03273024735040963,29027,,,,,,,-0.00024332482836069146,0.23645073175430298,0.0001,0.2,0.0012215909361839295,1900,-0.012769875098019839,0.00016604085,0.12724350318312644,0.035323616117239
57300,,,,,,,0.79,-0.24689604000000004,2.07,191,0,82942,,,,,,,,,,
57600,1.26,0.98,57600,0,-0.029797790902666748,29176,,,,,,,-1.0992993022540532e-08,0.3165121078491211,0.0001,0.2,0.0,1910,-0.013852159641683102,0.0,0.15013388603925704,0.04437163472175598
57600,,,,,,,0.84,-0.22406026,2.0,192,0,83392,,,,,,,,,,
57900,1.48,0.94,57900,0,-0.06945780296809971,29322,,,,,,,-1.6526741930533717e-09,0.2942237854003906,0.0001,0.2,0.0,1920,-0.01387567076832056,0.0,0.14930529549717902,0.060494910925626755
57900,,,,,,,0.82,-0.21163008000000005,2.02,193,0,83851,,,,,,,,,,
58200,1.36,0.98,58200,0,-0.0303774359729141,29469,,,,,,,-0.00022961468181822653,0.17682141065597534,0.0001,0.2,0.00125,1930,-0.014583561550825835,0.00015221722,0.14723042890429497,0.04218564182519913
58200,,,,,,,0.79,-0.25267778,2.1,194,0,84290,,,,,,,,,,
58500,1.42,0.94,58500,0,-0.053349706190638245,29628,,,,,,,2.934512828289826e-09,0.19662106037139893,0.0001,0.2,0.0,1940,-0.015293824449181558,0.0,0.16934523344039917,0.07167422771453857
58500,,,,,,,0.81,-0.24355671,2.02,195,0,84720,,,,,,,,,,
58800,1.44,0.94,58800,0,-0.03266374541912228,29789,,,,,,,-0.0015499567375941935,0.2761189937591553,0.0001,0.2,0.0023295454680919646,1950,-0.013836196158081293,0.00033238865,0.17000085175037383,0.06512825191020966
58800,,,,,,,0.79,-0.24674807,1.99,196,0,85163,,,,,,,,,,
59100,1.54,0.94,59100,0,-0.05611476619727909,29946,,,,,,,-2.8434124814680218e-08,0.3172042965888977,0.0001,0.2,0.0,1960,-0.013300345819443464,0.0,0.14691307321190833,0.055273283272981644
59100,,,,,,,0.84,-0.18699501,1.9,197,0,85622,,,,,,,,,,
59400,1.2,0.98,59400,0,-0.009811272057704627,30104,,,,,,,-1.0467495839314723e-05,0.17123526334762573,0.0001,0.2,0.0,1970,-0.013450281340628862,3.6291779e-06,0.1703183764219284,0.05666087940335274
59400,,,,,,,0.84,-0.19018182999999997,1.78,198,0,86059,,,,,,,,,,
59700,1.28,0.94,59700,0,-0.04965676969848573,30261,,,,,,,-2.6587735520067213e-06,0.17422431707382202,0.0001,0.2,0.0,1980,-0.013880594205111264,7.4505807e-10,0.16500939130783082,0.07158461958169937
59700,,,,,,,0.85,-0.18033901,1.86,199,0,86505,,,,,,,,,,
60000,1.32,0.96,60000,0,-0.053870633272454144,30421,,,,,,,-3.1167979983592884e-08,0.1676025390625,0.0001,0.2,0.0,1990,-0.013887741211801767,0.0,0.16278070390224456,0.07818949967622757
60000,,,,,,,0.87,-0.16478607999999997,1.83,200,0,86952,,,,,,,,,,
60300,1.46,0.9,60300,0,-0.09467875045724213,30572,,,,,,,1.1429868029821933e-09,0.24239277839660645,0.0001,0.2,0.0,2000,-0.01388402109965682,0.0,0.16082150295376776,0.09086580574512482
60300,,,,,,,0.82,-0.20797739999999998,2.09,201,0,87403,,,,,,,,,,
60600,1.44,0.9,60600,0,-0.09582021295558661,30733,,,,,,,-8.915297122769061e-10,0.1851089596748352,0.0001,0.2,0.0,2010,-0.013883480224758387,0.0,0.15359009250998498,0.06631338596343994
60600,,,,,,,0.84,-0.19535852,1.87,202,0,87835,,,,,,,,,,
60900,1.2,0.98,60900,0,-0.02949870646931231,30894,,,,,,,-0.00014308652078565132,0.2574589252471924,0.0001,0.2,0.0013920454680919647,2020,-0.01451013443991542,0.00011966713,0.1443506421148777,0.04035596922039986
60900,,,,,,,0.88,-0.14778518,1.87,203,0,88269,,,,,,,,,,
61200,1.4,0.92,61200,0,-0.07425161703955382,31062,,,,,,,8.356503311546249e-09,0.2987211346626282,0.0001,0.2,0.0,2030,-0.015174644738435746,0.0,0.1312686225771904,0.03784088417887688
61200,,,,,,,0.83,-0.19714999000000005,1.92,204,0,88704,,,,,,,,,,
61500,1.24,0.96,61500,0,-0.04985442768316716,31210,,,,,,,-1.3030049483830908e-08,0.23448878526687622,0.0001,0.2,0.0,2040,-0.015184484645724297,0.0,0.1405032107234001,0.04930980131030083
61500,,,,,,,0.81,-0.20485806000000004,2.06,205,0,89133,,,,,,,,,,
61800,1.18,0.98,61800,0,-0.0287447249609977,31359,,,,,,,-6.771382113742064e-05,0.16857975721359253,0.0001,0.2,0.0,2050,-0.014603574983775616,3.350787e-05,0.15534287571907043,0.05043046548962593
61800,,,,,,,0.8,-0.23553644,2.04,206,0,89584,,,,,,,,,,
62100,1.3,0.98,62100,0,-0.03040648682974279,31521,,,,,,,1.3910572604913796e-08,0.12706339359283447,0.0001,0.2,0.0,2060,-0.013639952503144741,0.0,0.17166027188301086,0.06464196741580963
62100,,,,,,,0.88,-0.15747081999999998,1.78,207,0,90025,,,,,,,,,,
62400,1.32,0.96,62400,0,-0.03120605731382966,31672,,,,,,,-8.690086197304936e-09,0.17271220684051514,0.0001,0.2,0.0,2070,-0.013579085916280747,0.0,0.16920569866895677,0.0576866939663887
62400,,,,,,,0.84,-0.18082619,1.83,208,0,90498,,,,,,,,,,
62700,1.3,0.94,62700,0,-0.07745044176466763,31835,,,,,,,-0.000126290388024346,0.22114765644073486,0.0001,0.2,0.0017045454680919647,2080,-0.013108044397085905,0.00020408929,0.16100273475050927,0.06826456636190414
62700,,,,,,,0.85,-0.17381361,1.86,209,0,90939,,,,,,,,,,
63000,1.46,0.92,63000,0,-0.07644524499773979,32001,,,,,,,6.614930310178124e-09,0.18102723360061646,0.0001,0.2,0.0,2090,-0.012743528615683317,0.0,0.14863535165786743,0.047227274626493454
63000,,,,,,,0.9,-0.13638005999999997,1.65,210,0,91414,,,,,,,,,,
63300,1.32,0.94,63300,0,-0.052390082385390994,32150,,,,,,,-0.0010633689088915864,0.008066654205322266,0.0001,0.2,0.0021875,2100,-0.01133145036175847,0.0003207939,0.1596986784040928,0.05285729467868805
63300,,,,,,,0.82,-0.21761896,2.0,211,0,91858,,,,,,,,,,
63600,1.52,0.96,63600,0,-0.05309891213197261,32307,,,,,,,2.2517686417700133e-08,0.2716636061668396,0.0001,0.2,0.0,2110,-0.010701069999486208,0.0,0.1514349900186062,0.05383110046386719
63600,,,,,,,0.86,-0.17275124000000003,1.91,212,0,92333,,,,,,,,,,
63900,1.28,0.98,63900,0,-0.031550296759232876,32466,,,,,,,-8.03562052453799e-09,0.20498502254486084,0.0001,0.2,0.0,2120,-0.010696774404495955,0.0,0.15610886871814728,0.06518741697072983
63900,,,,,,,0.8,-0.23185015,2.0,213,0,92770,,,,,,,,,,
64200,1.4,0.94,64200,0,-0.07578677313402295,32619,,,,,,,-0.0005637953896076465,0.25301408767700195,0.0001,0.2,0.0021590909361839297,2130,-0.010105665791779756,0.0003542846,0.17017313957214356,0.038428857922554016
64200,,,,,,,0.82,-0.20510995999999998,1.95,214,0,93236,,,,,,,,,,
64500,1.26,0.98,64500,0,-0.010485936971381307,32756,,,,,,,-7.642944914884709e-05,0.34142887592315674,0.0001,0.2,0.0,2140,-0.009903261754661798,3.478676e-06,0.14710568472743035,0.07121866196393967
64500,,,,,,,0.78,-0.2766108,2.21,215,0,93706,,,,,,,,,,
64800,1.36,0.94,64800,0,-0.07218310797587037,32918,,,,,,,-0.00017068949157628133,0.20299482345581055,0.0001,0.2,0.0017045454680919647,2150,-0.010340917203575373,0.00015947557,0.1813061100244522,0.05390527844429016
64800,,,,,,,0.85,-0.19033036,1.85,216,0,94468,,,,,,,,,,
65100,1.48,0.92,65100,0,-0.09266207912471146,33073,,,,,,,3.5220927507850774e-09,0.22418075799942017,0.0001,0.2,0.0,2160,-0.01085216598585248,0.0,0.14927283003926278,0.06830394268035889
65100,,,,,,,0.86,-0.18664085000000002,1.89,217,0,94948,,,,,,,,,,
65400,1.26,0.98,65400,0,-0.029902365282177924,33231,,,,,,,-6.716146049171811e-05,0.17831045389175415,0.0001,0.2,0.000625,2170,-0.012583361975848674,0.0021096657,0.16568869814276696,0.05432998761534691
65400,,,,,,,0.85,-0.19966674999999998,1.91,218,0,95396,,,,,,,,,,
65700,1.06,1.0,65700,0,-0.006953484215773642,33381,,,,,,,-0.002246731045571231,0.243796706199646,0.0001,0.2,0.013693181872367859,2180,-0.020477273147553206,0.0039230445,0.17052054435014724,0.06499478220939636
65700,,,,,,,0.78,-0.24642699,2.06,219,0,95855,,,,,,,,,,
66000,1.34,0.96,66000,0,-0.03166794437449425,33532,,,,,,,-1.0724602823586338e-08,0.14905095100402832,0.0001,0.2,0.0,2190,-0.008549066223204137,0.0,0.1612624455988407,0.059056490659713745
66000,,,,,,,0.83,-0.19428202,2.05,220,0,96311,,,,,,,,,,
66300,1.32,0.94,66300,0,-0.07398743177298456,33691,,,,,,,-0.00036154972177872226,-0.04657745361328125,0.0001,0.2,0.002642045468091965,2200,-0.010601200070232153,0.0121230455,0.19211841076612474,0.062418606132268906
66300,,,,,,,0.84,-0.20344605999999998,1.83,221,0,96800,,,,,,,,,,
66600,1.2,1.0,66600,0,-0.011045911046676338,33841,,,,,,,-6.250021106879444e-08,0.10202622413635254,0.0001,0.2,0.0,2210,-0.008574080429971218,0.0,0.18638998106122018,0.07477061450481415
66600,,,,,,,0.83,-0.21121344,1.98,222,0,97239,,,,,,,,,,
66900,1.46,0.9,66900,0,-0.11162802081555129,33976,,,,,,,2.093782454082316e-09,0.12973147630691528,0.0001,0.2,0.0,2220,-0.008530463986098767,0.0,0.2021481104195118,0.058389704674482346
66900,,,,,,,0.75,-0.28990900999999997,2.29,223,0,97685,,,,,,,,,,
67200,1.3,0.96,67200,0,-0.029986502504907548,34129,,,,,,,-2.3418529480068173e-08,0.19452184438705444,0.0001,0.2,0.0,2230,-0.008540142588317394,0.0,0.17807698339223862,0.0655486136674881
67200,,,,,,,0.83,-0.18541351000000006,2.09,224,0,98150,,,,,,,,,,
67500,1.22,0.96,67500,0,-0.049069848153740166,34273,,,,,,,-4.470347825247245e-10,0.3595432639122009,0.0001,0.2,0.0,2240,-0.008544842451810837,0.0,0.12015120461583137,0.03663458675146103
67500,,,,,,,0.84,-0.18250950999999996,2.12,225,0,98607,,,,,,,,,,
67800,1.2,0.98,67800,0,-0.029562822226434946,34431,,,,,,,-0.0007167841714228018,0.22287553548812866,0.0001,0.2,0.0037215909361839293,2250,-0.013022012962028384,0.00043254122,0.16146801307797432,0.045422472059726715
67800,,,,,,,0.83,-0.18702698000000006,1.9,226,0,99054,,,,,,,,,,
