eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,env/n_steps,env/current_idx,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/n_updates
0.98,1110,1.16,0,1110,357,-0.028549812827259304,,,,,,,-0.0005367092165883492,0.00020042658,0.0001,0.13645929098129272,0.0,0.2,-0.055391669273376465,-1.9113128662109375,0.2940590441226959,180
,1110,,,,,,0,3.01,37,0.59,4536,-0.48671214999999995,,,,,,,,,,
0.92,1140,1.44,0,1140,363,-0.07473596003837883,,,,,,,-0.002145441421307659,9.661913e-05,0.0001,0.11445838212966919,0.0,0.2,0.026002585887908936,-1.9061299324035645,0.2522878497838974,185
,1140,,,,,,0,3.03,38,0.59,4673,-0.48531817,,,,,,,,,,
0.98,1170,1.22,0,1170,375,-0.030506746317259966,,,,,,,-0.0027648873332267953,0.000112680595,0.0001,0.09544265270233154,0.0,0.2,-0.0485842227935791,-1.9032334804534912,0.2157237112522125,190
,1170,,,,,,0,3.02,39,0.59,4785,-0.46372974,,,,,,,,,,
0.94,1200,1.34,0,1200,389,-0.05420019578654319,,,,,,,-0.00040370106435148043,7.6071425e-05,0.0001,0.10599524527788162,0.0,0.2,-0.11250102519989014,-1.8983954906463623,0.2305965542793274,195
,1200,,,,,,0,2.82,40,0.65,4906,-0.40179937000000004,,,,,,,,,,
0.9,1230,1.46,0,1230,401,-0.07670251341536641,,,,,,,7.575908908634688e-05,5.7874124e-05,0.0001,0.12666700780391693,0.0,0.2,-0.054488301277160645,-1.895288896560669,0.29585776329040525,200
,1230,,,,,,0,2.86,41,0.66,5022,-0.4152397100000001,,,,,,,,,,
0.92,1260,1.52,0,1260,409,-0.07320264344103634,,,,,,,-0.0029177731182425505,0.00012655655,0.0001,0.1811748743057251,0.0,0.2,-0.3645838499069214,-1.892097806930542,0.3853998422622681,205
,1260,,,,,,0,2.9,42,0.65,5170,-0.42543870000000006,,,,,,,,,,
0.96,1290,1.18,0,1290,422,-0.03353298360481858,,,,,,,0.001031028019885305,2.5848547e-05,0.0001,0.15820331871509552,0.0,0.2,0.08497363328933716,-1.8876986265182496,0.343325537443161,210
,1290,,,,,,0,2.74,43,0.69,5285,-0.36334890999999997,,,,,,,,,,
0.9,1320,1.7,0,1320,431,-0.10172399565577507,,,,,,,-0.0009179822503938339,1.5083949e-05,0.0001,0.13224290311336517,0.0,0.2,-0.36710619926452637,-1.8866743087768554,0.28744806051254274,215
,1320,,,,,,0,2.76,44,0.68,5428,-0.37701302000000003,,,,,,,,,,
0.96,1350,1.24,0,1350,441,-0.03153954173438251,,,,,,,-0.002167450569880458,7.442633e-05,0.0001,0.12909038364887238,0.0,0.2,0.10847067832946777,-1.8852072477340698,0.31567580699920655,220
,1350,,,,,,0,2.81,45,0.67,5541,-0.39783448,,,,,,,,,,
0.92,1380,1.44,0,1380,449,-0.07664138928987085,,,,,,,-0.0005409352091373165,6.1873594e-05,0.0001,0.15681079030036926,0.0,0.2,0.08925807476043701,-1.8818241357803345,0.3162681460380554,225
,1380,,,,,,0,2.86,46,0.66,5691,-0.41662519000000003,,,,,,,,,,
0.96,1410,1.28,0,1410,459,-0.0507433701492846,,,,,,,-0.0018020248467411903,0.00010872086,0.0001,0.11997470259666443,0.0,0.2,0.023189663887023926,-1.8786494731903076,0.25880796611309054,230
,1410,,,,,,0,2.88,47,0.66,5815,-0.4294303399999999,,,,,,,,,,
0.98,1440,1.22,0,1440,469,-0.02893336380366236,,,,,,,-0.001942762166727352,0.00016606649,0.0001,0.0878913402557373,0.0,0.2,-0.05868113040924072,-1.8735764503479004,0.19177155792713166,235
,1440,,,,,,0,2.83,48,0.66,5929,-0.42289578999999994,,,,,,,,,,
0.94,1470,1.3,0,1470,481,-0.0695060478663072,,,,,,,-0.004835590731041961,0.0001884242,0.0001,0.10147123038768768,0.0,0.2,0.22015869617462158,-1.8682572841644287,0.23282028436660768,240
,1470,,,,,,0,2.86,49,0.65,6058,-0.44270538000000004,,,,,,,,,,
1.0,1500,1.1,0,1500,494,-0.007582933041267097,,,,,,,-0.004260606056389627,0.00028307637,0.0001,0.12230100482702255,0.0,0.2,0.03979748487472534,-1.8584389209747314,0.2757499635219574,245
,1500,,,,,,0,2.83,50,0.64,6164,-0.44973357999999997,,,,,,,,,,
1.0,1530,1.1,0,1530,503,-0.00859548001550138,,,,,,,-0.006899120459954134,0.00041753452,0.0001,0.10675448924303055,0.0,0.2,0.1021239161491394,-1.8475967407226563,0.2433672547340393,250
,1530,,,,,,0,2.9,51,0.62,6267,-0.45553111,,,,,,,,,,
0.92,1560,1.44,0,1560,514,-0.0922706497879699,,,,,,,-0.0008018875273407388,0.00031125348,0.0001,0.14774884283542633,0.0,0.2,-0.2826683521270752,-1.82709698677063,0.3217822551727295,255
,1560,,,,,,0,2.84,52,0.64,6392,-0.44105153,,,,,,,,,,
0.98,1590,1.28,0,1590,523,-0.02985835793428123,,,,,,,-0.0021819099481220406,0.0002019306,0.0001,0.1118728294968605,0.0,0.2,-0.03624522686004639,-1.81480131149292,0.23826224803924562,260
,1590,,,,,,0,2.93,53,0.63,6516,-0.4451795,,,,,,,,,,
0.96,1620,1.42,0,1620,534,-0.03453775706700981,,,,,,,-0.0015135443218363242,0.00010432601,0.0001,0.08124784380197525,0.0,0.2,0.221640944480896,-1.8036266565322876,0.19507355988025665,265
,1620,,,,,,0,2.93,54,0.64,6658,-0.42332013,,,,,,,,,,
0.94,1650,1.28,0,1650,548,-0.06988421906717121,,,,,,,-0.002795535339974009,0.0001548469,0.0001,0.10579097270965576,0.0,0.2,-0.05666625499725342,-1.7925983667373657,0.23453072011470794,270
,1650,,,,,,0,2.72,55,0.68,6783,-0.36257191,,,,,,,,,,
0.94,1680,1.34,0,1680,556,-0.05139826781116426,,,,,,,-0.00842519252561047,0.00035537878,0.0001,0.08921824395656586,0.0,0.2,0.3014783263206482,-1.7812817335128783,0.21418787837028502,275
,1680,,,,,,0,2.77,56,0.66,6923,-0.3757362000000001,,,,,,,,,,
0.94,1710,1.32,0,1710,566,-0.0554543294897303,,,,,,,-0.0007955567096360027,0.00027638077,0.0001,0.10197523236274719,0.0,0.2,-0.12539362907409668,-1.7560047149658202,0.23354811668395997,280
,1710,,,,,,0,2.79,57,0.66,7079,-0.36081633999999996,,,,,,,,,,
0.94,1740,1.28,0,1740,578,-0.05019317705184221,,,,,,,-0.002146456663807328,0.00018160541,0.0001,0.07606018334627151,0.0,0.2,0.18846380710601807,-1.7423170566558839,0.16351920664310454,285
