env/current_idx,eval/success_rate,eval/mean_reward,eval/mean_ep_length,env/completion_counter,env/n_steps,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/explained_variance
11779,0.84,-0.17640456289052964,1.68,0,25200,25200,,,,,,,415,0.018513994,0.07136363685131072,-0.2205916625261307,-0.007727047335356474,0.14670991271734238,0.2,0.001,0.04599472135305405,0.167716383934021
,,,,,,25200,0.86,-0.18931913,0,84,1.94,37063,,,,,,,,,,
11933,0.92,-0.09396277419757099,1.44,0,25500,25500,,,,,,,420,0.0058860634,0.039034091234207154,-0.17378330945968629,-0.0056992311589419845,0.1711197915673256,0.2,0.001,0.05373126268386841,0.143110454082489
,,,,,,25500,0.83,-0.21153338,0,85,1.94,37499,,,,,,,,,,
12098,0.96,-0.04933966588228941,1.24,0,25800,25800,,,,,,,425,0.022446556,0.05090909123420715,-0.20350815534591674,-0.01416469881311059,0.16325808674097061,0.2,0.001,0.014623520895838737,0.20663446187973022
,,,,,,25800,0.88,-0.15230617000000002,0,86,1.81,37919,,,,,,,,,,
12242,0.96,-0.0503126245457679,1.3,0,26100,26100,,,,,,,430,0.031123767,0.06136363685131073,-0.20981378495693206,-0.013670729640871286,0.15711606830358504,0.2,0.001,0.024847835302352905,0.15871310234069824
,,,,,,26100,0.82,-0.18856451000000005,0,87,1.99,38341,,,,,,,,,,
12402,0.94,-0.07476965150330216,1.5,0,26400,26400,,,,,,,435,0.010732474,0.037897727489471435,-0.12389494895935059,-0.01065830847248435,0.18331295102834702,0.2,0.001,0.04981058090925217,0.15545576810836792
,,,,,,26400,0.85,-0.16428235000000002,0,88,1.74,38759,,,,,,,,,,
12551,0.92,-0.09382803281769156,1.5,0,26700,26700,,,,,,,440,0.011835939,0.037556818425655364,-0.15238547518849374,-0.004123292621225119,0.1302047026157379,0.2,0.001,0.03927190229296684,0.1897120475769043
,,,,,,26700,0.79,-0.24921580000000002,0,89,2.17,39192,,,,,,,,,,
12701,0.94,-0.03565642615314573,1.5,0,27000,27000,,,,,,,445,0.0072682775,0.026477272808551788,-0.08449001759290695,-0.0028445949981687592,0.1600504469871521,0.2,0.001,0.06979189068078995,0.16223210096359253
,,,,,,27000,0.86,-0.19752477000000002,0,90,2.03,39648,,,,,,,,,,
12841,0.94,-0.05199379752855748,1.38,0,27300,27300,,,,,,,450,0.0051003406,0.017954545617103575,-0.08664146304130554,-0.003934605391696096,0.15457435667514802,0.2,0.001,0.05329703539609909,0.19895339012145996
,,,,,,27300,0.81,-0.25271111,0,91,2.12,40091,,,,,,,,,,
12983,0.94,-0.051184690659865736,1.32,0,27600,27600,,,,,,,455,0.029617537,0.04022727280855179,-0.1436162346601486,-0.009478461439721286,0.16441824167966843,0.2,0.001,0.04351723939180374,0.07241767644882202
,,,,,,27600,0.81,-0.24658217999999998,0,92,2.11,40515,,,,,,,,,,
13137,0.92,-0.054406596482731405,1.44,0,27900,27900,,,,,,,460,0.0064339167,0.019772727489471436,-0.14997273862361907,-0.006123639876022935,0.1925649905204773,0.2,0.001,0.041112132370471954,0.04321485757827759
,,,,,,27900,0.81,-0.22419797,0,93,1.99,40938,,,,,,,,,,
13277,0.94,-0.05293742960318923,1.48,0,28200,28200,,,,,,,465,0.021983232,0.0717045459151268,-0.24397059619426728,-0.013685842631384731,0.14863744169473647,0.2,0.001,0.058455295860767365,0.288715660572052
,,,,,,28200,0.78,-0.28779568000000005,0,94,2.23,41367,,,,,,,,,,
13431,0.88,-0.11398343828972429,1.54,0,28500,28500,,,,,,,470,0.010266433,0.04130681842565537,-0.21232671320438384,-0.00961074536666274,0.1969195020198822,0.2,0.001,0.07081808149814606,0.20369523763656616
,,,,,,28500,0.85,-0.20327725000000002,0,95,1.8,41798,,,,,,,,,,
13585,0.94,-0.05348823080770671,1.4,0,28800,28800,,,,,,,475,0.060037803,0.056818182170391085,-0.23900855004787444,-0.01424270343966782,0.18090205132961273,0.2,0.001,0.057225167751312256,0.1776723861694336
,,,,,,28800,0.9,-0.11631890000000002,0,96,1.72,42224,,,,,,,,,,
