env/n_steps,eval/mean_reward,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/success_rate,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance
,,,,,,54300,181,-0.23168649,1.5,79906,0,0.79,,,,,,,,,,
54600,-0.0279190245969221,0,33608,1.14,0.96,54600,,,,,,,0.08730878680944443,-0.006178477965295315,0.001,905,-2.3511450049085169e-07,0.1924069657921791,0.0,0.2,1.6298145e-09,0.28220540285110474
,,,,,,54600,182,-0.25992788,1.64,80342,0,0.73,,,,,,,,,,
54900,-0.06987039298284799,0,33794,1.26,0.88,54900,,,,,,,0.08347329497337341,-0.005995958531275392,0.001,910,1.1882829298315301e-08,0.17876073569059373,0.0,0.2,0.0,0.2977341413497925
,,,,,,54900,183,-0.23604076,1.63,80776,0,0.72,,,,,,,,,,
55200,-0.11081786173395812,0,33986,1.28,0.9,55200,,,,,,,0.07872753590345383,-0.0059116110671311615,0.001,915,1.3758174333133865e-08,0.1932941496372223,0.0,0.2,0.0,0.20477169752120972
,,,,,,55200,184,-0.24088846999999997,1.58,81213,0,0.75,,,,,,,,,,
55500,-0.07060959900729358,0,34164,1.32,0.88,55500,,,,,,,0.0736662968993187,-0.005890164384618401,0.001,920,9.660355182461444e-09,0.19383520632982254,0.0,0.2,0.0,0.1809878945350647
,,,,,,55500,185,-0.25857680999999993,1.66,81680,0,0.72,,,,,,,,,,
55800,-0.0932381661515683,0,34349,1.22,0.9,55800,,,,,,,0.09927938878536224,-0.005579880205914378,0.001,925,-0.0002925171305165009,0.18402614668011666,0.000390625,0.2,7.1130926e-05,0.18579798936843872
,,,,,,55800,186,-0.22580869999999997,1.56,82109,0,0.76,,,,,,,,,,
56100,-0.10981461225543171,0,34530,1.26,0.9,56100,,,,,,,0.084492988884449,-0.004601054452359676,0.001,930,-1.952941147465026e-07,0.18531276434659957,0.0,0.2,0.0,0.237471342086792
,,,,,,56100,187,-0.18685326,1.61,82534,0,0.74,,,,,,,,,,
56400,-0.029683094643987714,0,34718,1.2,0.94,56400,,,,,,,0.10841622948646545,-0.0042146116495132445,0.001,935,1.1971728675064241e-08,0.18098812699317932,0.0,0.2,0.0,0.23002761602401733
,,,,,,56400,188,-0.20259571999999998,1.63,82975,0,0.73,,,,,,,,,,
56700,-0.0066198692005127666,0,34898,1.02,1.0,56700,,,,,,,0.08975780010223389,-0.003854698012582958,0.001,940,-0.0004851590736177247,0.1680709771811962,0.000390625,0.2,6.845652e-05,0.2237175703048706
,,,,,,56700,189,-0.31599835000000004,1.77,83402,0,0.66,,,,,,,,,,
57000,-0.09108178964350372,0,35090,1.26,0.9,57000,,,,,,,0.0929718166589737,-0.0032372456276789307,0.001,945,6.603923807801948e-09,0.18055591136217117,0.0,0.2,0.0,0.2651383876800537
,,,,,,57000,190,-0.16209289999999998,1.51,83844,0,0.79,,,,,,,,,,
57300,-0.09085009217262269,0,35271,1.28,0.9,57300,,,,,,,0.08907907456159592,-0.0035271083237603308,0.001,950,-0.00020842790518980082,0.178257118165493,0.0015625,0.2,0.00954071,0.26287680864334106
,,,,,,57300,191,-0.28193018999999997,1.65,84322,0,0.71,,,,,,,,,,
57600,-0.07071005476638675,0,35457,1.2,0.94,57600,,,,,,,0.08730164915323257,-0.0029003141447901727,0.001,955,-1.6086480858490405e-08,0.1613685391843319,0.0,0.2,0.0,0.3605228066444397
,,,,,,57600,192,-0.22079510999999996,1.65,84739,0,0.73,,,,,,,,,,
57900,-0.030333821484819053,0,35640,1.32,0.88,57900,,,,,,,0.08330552279949188,-0.0028708916623145344,0.001,960,1.3104131824093202e-08,0.19969166219234466,0.0,0.2,0.0,0.08117491006851196
,,,,,,57900,193,-0.23199409000000004,1.58,85183,0,0.75,,,,,,,,,,
58200,-0.0691709531378001,0,35831,1.22,0.92,58200,,,,,,,0.08053773641586304,-0.0029223558027297258,0.001,965,-4.236866675046969e-05,0.1675347812473774,0.0,0.2,1.582061e-05,0.2259383201599121
,,,,,,58200,194,-0.28576658,1.68,85666,0,0.69,,,,,,,,,,
58500,-0.09106692416127771,0,36022,1.3,0.88,58500,,,,,,,0.12258577346801758,-0.0031991179566830397,0.001,970,-6.6970563317170214e-09,0.1798887223005295,0.0,0.2,0.0,0.3015572428703308
,,,,,,58500,195,-0.18772819999999998,1.53,86126,0,0.77,,,,,,,,,,
58800,-0.04907013087533414,0,36220,1.22,0.9,58800,,,,,,,0.06886016577482224,-0.004910473478958011,0.001,975,-0.00010585042817332636,0.16647432446479798,0.000390625,0.2,5.2094343e-05,0.19622087478637695
,,,,,,58800,196,-0.21803484,1.54,86558,0,0.75,,,,,,,,,,
59100,-0.07107905335258692,0,36411,1.34,0.86,59100,,,,,,,0.05549352616071701,-0.0034142308868467808,0.001,980,-3.124163772127986e-09,0.14922272861003877,0.0,0.2,0.0,0.33599621057510376
,,,,,,59100,197,-0.22473136,1.53,87014,0,0.77,,,,,,,,,,
59400,-0.04906361209694296,0,36586,1.16,0.94,59400,,,,,,,0.07648646831512451,-0.003435316286049783,0.001,985,-9.833919811796932e-09,0.17922980040311814,0.0,0.2,0.0,0.26507681608200073
,,,,,,59400,198,-0.23082396000000002,1.62,87459,0,0.72,,,,,,,,,,
59700,-0.04975750794168562,0,36774,1.22,0.92,59700,,,,,,,0.10147169232368469,-0.0034717979142442346,0.001,990,-2.882866674269735e-08,0.1971063494682312,0.0,0.2,0.0,0.21022063493728638
,,,,,,59700,199,-0.21036409999999997,1.54,87910,0,0.78,,,,,,,,,,
60000,-0.09213156352750956,0,36957,1.26,0.9,60000,,,,,,,0.08395279198884964,-0.003447437472641468,0.001,995,3.759156719240764e-09,0.16232605129480362,0.0,0.2,0.0,0.31645089387893677
,,,,,,60000,200,-0.26431930000000003,1.64,88340,0,0.72,,,,,,,,,,
60300,-0.12988635857589542,0,37142,1.3,0.88,60300,,,,,,,0.07299249619245529,-0.007272612350061536,0.001,1000,-0.00035719466607346816,0.16834656447172164,0.0022727273404598235,0.2,0.0018854243,0.2938491702079773
,,,,,,60300,201,-0.23764695999999996,1.57,88778,0,0.76,,,,,,,,,,
60600,-0.09155362494755537,0,37328,1.34,0.86,60600,,,,,,,0.0863380953669548,-0.0034607822773978112,0.001,1005,1.3127415154912114e-08,0.18877865821123124,0.0,0.2,0.0,0.1834864616394043
,,,,,,60600,202,-0.24872730999999998,1.56,89238,0,0.76,,,,,,,,,,
60900,-0.07157424964010715,0,37524,1.22,0.9,60900,,,,,,,0.09541584551334381,-0.0034758726600557567,0.001,1010,-8.019957355998031e-08,0.1841517820954323,0.0,0.2,0.0,0.2280859351158142
,,,,,,60900,203,-0.18339582000000004,1.53,89678,0,0.78,,,,,,,,,,
61200,-0.09368472819682211,0,37702,1.28,0.9,61200,,,,,,,0.09112126380205154,-0.0034673596732318402,0.001,1015,-2.968590884222522e-09,0.1789979711174965,0.0,0.2,0.0,0.26087772846221924
,,,,,,61200,204,-0.29974581000000006,1.71,90128,0,0.69,,,,,,,,,,
61500,-0.09181055120192468,0,37881,1.26,0.88,61500,,,,,,,0.07729515433311462,-0.003475429676473141,0.001,1020,-8.576634424883878e-09,0.16662043780088426,0.0,0.2,0.0,0.28594547510147095
,,,,,,61500,205,-0.33125351999999997,1.74,90581,0,0.67,,,,,,,,,,
61800,-0.0897642427450046,0,38062,1.2,0.92,61800,,,,,,,0.11912407726049423,-0.0034756873734295367,0.001,1025,-2.3642892976738495e-09,0.19657964259386063,0.0,0.2,0.0,0.23477834463119507
,,,,,,61800,206,-0.24391735,1.71,91038,0,0.71,,,,,,,,,,
62100,-0.10904146630316973,0,38255,1.24,0.9,62100,,,,,,,0.08988887816667557,-0.003563973936252296,0.001,1030,-1.4475123409241064e-06,0.18780874758958815,0.0,0.2,9.313226e-10,0.21554982662200928
,,,,,,62100,207,-0.23753721000000003,1.61,91504,0,0.75,,,,,,,,,,
62400,-0.04852220602333546,0,38440,1.16,0.94,62400,,,,,,,0.06185116618871689,-0.003462991490960121,0.001,1035,6.78172167312141e-09,0.16942895725369453,0.0,0.2,0.0,0.23112434148788452
,,,,,,62400,208,-0.24510419999999994,1.65,91986,0,0.73,,,,,,,,,,
62700,-0.029751399364322424,0,38628,1.26,0.88,62700,,,,,,,0.07290327548980713,-0.003179420297965407,0.001,1040,-0.0002656941005788838,0.15410833954811096,0.00078125,0.2,0.00017977098,0.27869170904159546
,,,,,,62700,209,-0.18417345000000002,1.5,92484,0,0.79,,,,,,,,,,
63000,-0.028920590081252157,0,38823,1.12,0.96,63000,,,,,,,0.06885888427495956,-0.002552247210405767,0.001,1045,-3.2765620439079156e-09,0.16413440704345703,0.0,0.2,0.0,0.3383120894432068
,,,,,,63000,210,-0.18964296999999994,1.52,92920,0,0.8,,,,,,,,,,
63300,-0.052432736782357096,0,39004,1.28,0.92,63300,,,,,,,0.08844143152236938,-0.002352596749551594,0.001,1050,1.4647167922987592e-09,0.1731609083712101,0.0,0.2,0.0,0.2424917221069336
,,,,,,63300,211,-0.23039782999999997,1.56,93384,0,0.76,,,,,,,,,,
63600,-0.07002759523689747,0,39184,1.24,0.9,63600,,,,,,,0.0936802551150322,-0.002285198378376663,0.001,1055,6.925652940026339e-09,0.187926809489727,0.0,0.2,0.0,0.2811278700828552
,,,,,,63600,212,-0.25065017000000006,1.64,93879,0,0.73,,,,,,,,,,
63900,-0.052464359905570745,0,39367,1.16,0.94,63900,,,,,,,0.09078982472419739,-0.002262895670719445,0.001,1060,4.0216203700538244e-09,0.18020860254764556,0.0,0.2,0.0,0.2748146057128906
,,,,,,63900,213,-0.23404078999999997,1.6,94601,0,0.77,,,,,,,,,,
64200,-0.06970704777166248,0,39558,1.16,0.94,64200,,,,,,,0.08170358091592789,-0.002265672432258725,0.001,1065,-1.1184337544989375e-08,0.19001044929027558,0.0,0.2,0.0,0.24064838886260986
,,,,,,64200,214,-0.22363835999999998,1.51,95071,0,0.77,,,,,,,,,,
64500,-0.08883676833007485,0,39745,1.24,0.9,64500,,,,,,,0.13297215104103088,-0.0022521337028592824,0.001,1070,-8.906830295529744e-09,0.20019111037254333,0.0,0.2,0.0,0.20496433973312378
,,,,,,64500,215,-0.24132300999999998,1.59,95531,0,0.74,,,,,,,,,,
64800,-0.048517720238305626,0,39930,1.18,0.94,64800,,,,,,,0.07566654682159424,-0.002260051923803985,0.001,1075,-4.512681250901096e-09,0.1707437142729759,0.0,0.2,0.0,0.29478347301483154
,,,,,,64800,216,-0.30551309,1.66,96022,0,0.69,,,,,,,,,,
65100,-0.09013391505461187,0,40110,1.26,0.88,65100,,,,,,,0.10676656663417816,-0.002255661622621119,0.001,1080,-3.2172961628162968e-09,0.18587809950113296,0.0,0.2,0.0,0.26177650690078735
,,,,,,65100,217,-0.30968442,1.75,96482,0,0.66,,,,,,,,,,
65400,-0.09121531505137682,0,40305,1.2,0.92,65400,,,,,,,0.07737477123737335,-0.0022836103104054927,0.001,1085,-1.8004158741646846e-08,0.185307078063488,0.0,0.2,0.0,0.266960084438324
,,,,,,65400,218,-0.18523205,1.51,96962,0,0.78,,,,,,,,,,
65700,-0.09409795669838786,0,40502,1.36,0.84,65700,,,,,,,0.06437481194734573,-0.006078299367800355,0.001,1090,-0.00029739453668979897,0.1662652909755707,0.0030539773404598238,0.2,0.0001299493,0.26460933685302734
,,,,,,65700,219,-0.24284570000000003,1.56,97484,0,0.75,,,,,,,,,,
66000,-0.11043319259304553,0,40702,1.28,0.9,66000,,,,,,,0.09734530746936798,-0.0018207128159701824,0.001,1095,-0.00045944419689467606,0.17632757872343063,0.001171875,0.2,0.0005594655,0.31965017318725586
,,,,,,66000,220,-0.19605024000000004,1.58,97970,0,0.76,,,,,,,,,,
66300,-0.07160304587334394,0,40884,1.32,0.88,66300,,,,,,,0.08107995986938477,-0.0012748551438562573,0.001,1100,-1.0540878303544332e-08,0.17207051515579225,0.0,0.2,0.0,0.20397824048995972
,,,,,,66300,221,-0.29090481999999995,1.67,98550,0,0.72,,,,,,,,,,
66600,-0.05252497767098248,0,41073,1.28,0.92,66600,,,,,,,0.09225798398256302,-0.001154553098604083,0.001,1105,5.858865659291723e-09,0.19589224606752395,0.0,0.2,0.0,0.26980143785476685
,,,,,,66600,222,-0.23340555999999998,1.55,99053,0,0.78,,,,,,,,,,
