env/completion_counter,eval/mean_ep_length,eval/mean_reward,env/n_steps,eval/success_rate,time/total_timesteps,env/current_idx,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/success_rate,time/fps,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
,,,,,9300,,-0.16989616000000002,1.94,31,14247,0.83,0,,,,,,,,,,
0,1.32,-0.05068062430247664,9600,0.96,9600,4350,,,,,,,0.28268003463745117,-0.12281161919236183,0.2,155,0.0,0.16842783391475677,2.3463816e-05,0.001,-0.00012235487697580537,0.08277812600135803
,,,,,9600,,-0.21681434000000002,1.87,32,14701,0.84,0,,,,,,,,,,
0,1.16,-0.009215838704258204,9900,1.0,9900,4514,,,,,,,0.1810416579246521,-0.1145175963640213,0.2,160,0.0,0.19732857644557952,9.113562e-05,0.001,-0.00035813020749628775,0.1228937953710556
,,,,,9900,,-0.15100659,1.86,33,15118,0.85,0,,,,,,,,,,
0,1.46,-0.09313635186757892,10200,0.92,10200,4671,,,,,,,0.19798308610916138,-0.11179442405700683,0.2,165,0.00078125,0.16111626699566842,0.00034456683,0.001,-0.00021554531122092158,0.07827587425708771
,,,,,10200,,-0.17341173,1.93,34,15590,0.84,0,,,,,,,,,,
0,1.1,-0.031045727073214947,10500,0.98,10500,4820,,,,,,,0.16344332695007324,-0.10381585732102394,0.2,170,0.0,0.18932919353246688,2.5517593e-05,0.001,-0.00011821747228566438,0.09056886285543442
,,,,,10500,,-0.25695637,2.15,35,16035,0.78,0,,,,,,,,,,
0,1.48,-0.09206252961885183,10800,0.9,10800,4975,,,,,,,0.2790488600730896,-0.10031800270080567,0.2,175,0.0,0.18210301101207732,5.767268e-06,0.001,-4.703824612306562e-05,0.0819610059261322
,,,,,10800,,-0.19431908,1.82,36,16523,0.84,0,,,,,,,,,,
0,1.44,-0.09326948758214712,11100,0.92,11100,5135,,,,,,,0.24779093265533447,-0.12559328600764275,0.2,180,0.005717329680919647,0.23034648597240448,0.0022523687,0.001,-0.0015551021540886722,0.10787156969308853
,,,,,11100,,-0.16403941000000002,1.85,37,16987,0.85,0,,,,,,,,,,
0,1.34,-0.05091768406331539,11400,0.94,11400,5288,,,,,,,0.3331573009490967,-0.12114420756697655,0.2,185,0.012926136702299118,0.1696156457066536,0.020988053,0.001,-0.0012520030606538058,0.08861324936151505
,,,,,11400,,-0.20139951999999997,1.94,38,17457,0.83,0,,,,,,,,,,
0,1.22,-0.03219996457919479,11700,0.96,11700,5434,,,,,,,0.1780126690864563,-0.12788838520646095,0.2,190,0.0,0.19901403039693832,7.9193596e-05,0.001,-0.0002537109313379915,0.09128827601671219
,,,,,11700,,-0.23912431,2.09,39,17910,0.8,0,,,,,,,,,,
0,1.26,-0.04934977422002703,12000,0.96,12000,5584,,,,,,,0.2527368664741516,-0.1132397934794426,0.2,195,0.0,0.18976474553346634,2.1000784e-05,0.001,8.556224011613267e-06,0.09460492432117462
,,,,,12000,,-0.21931160000000002,2.02,40,18357,0.79,0,,,,,,,,,,
0,1.32,-0.07284981654025614,12300,0.94,12300,5725,,,,,,,0.27722877264022827,-0.14376060888171197,0.2,200,0.0046164773404598234,0.19420547038316727,0.00082293403,0.001,-0.0024063030348997925,0.0924299880862236
,,,,,12300,,-0.33505746999999997,2.31,41,18821,0.73,0,,,,,,,,,,
0,1.42,-0.034635917749255896,12600,0.92,12600,5872,,,,,,,0.3549919128417969,-0.14914172142744064,0.2,205,0.0,0.16393750309944152,4.7973663e-05,0.001,0.0004056190952724137,0.06568291783332825
,,,,,12600,,-0.25461578,2.13,42,19264,0.78,0,,,,,,,,,,
0,1.58,-0.09309556255117059,12900,0.92,12900,6013,,,,,,,0.23777848482131958,-0.14072237610816957,0.2,210,0.000390625,0.18306692987680434,0.00019353823,0.001,-0.00027461422087071696,0.08129808306694031
,,,,,12900,,-0.26854406000000003,2.08,43,19725,0.79,0,,,,,,,,,,
0,1.12,-0.02768035989254713,13200,0.98,13200,6163,,,,,,,0.35065948963165283,-0.1302526757121086,0.2,215,0.0,0.16966424360871316,5.1693536e-05,0.001,-4.263570101556979e-05,0.08565099537372589
,,,,,13200,,-0.16905952999999996,1.9,44,20172,0.85,0,,,,,,,,,,
0,1.28,-0.07106419207062573,13500,0.94,13500,6323,,,,,,,0.15167498588562012,-0.120390984416008,0.2,220,0.0,0.19384331554174422,0.00017096725,0.001,-0.00034804012507265724,0.06959177553653717
,,,,,13500,,-0.18626821000000005,1.88,45,20637,0.83,0,,,,,,,,,,
0,1.08,-0.007256379527971149,13800,1.0,13800,6468,,,,,,,0.36709684133529663,-0.11114020198583603,0.2,225,0.00078125,0.15031465142965317,0.0001486689,0.001,-0.0010757283576822373,0.07083505392074585
,,,,,13800,,-0.19741397,2.0,46,21058,0.83,0,,,,,,,,,,
0,1.24,-0.030260873357765377,14100,0.96,14100,6616,,,,,,,0.18471157550811768,-0.09276828095316887,0.2,230,0.000390625,0.1820232942700386,0.00031298527,0.001,-0.0005305146704813523,0.06289904564619064
,,,,,14100,,-0.23100742,2.01,47,21502,0.81,0,,,,,,,,,,
0,1.32,-0.07028455306310206,14400,0.94,14400,6760,,,,,,,0.19613224267959595,-0.08077013716101647,0.2,235,0.007670454680919647,0.22128090709447862,0.0011632573,0.001,-0.0024971456165076233,0.0749136358499527
,,,,,14400,,-0.19035993,1.98,48,21962,0.83,0,,,,,,,,,,
0,1.42,-0.0627857147809118,14700,0.94,14700,6923,,,,,,,0.3163076639175415,-0.0648856095969677,0.2,240,0.0,0.17599776089191438,3.490433e-05,0.001,-0.00020341532622296653,0.06425738334655762
,,,,,14700,,-0.14886827,1.9,49,22440,0.84,0,,,,,,,,,,
0,1.46,-0.091793044754304,15000,0.92,15000,7074,,,,,,,0.2447420358657837,-0.062488970905542375,0.2,245,0.0,0.17680462151765824,6.364717e-05,0.001,-0.0007329614150364705,0.10804581642150879
,,,,,15000,,-0.1590524,1.84,50,22903,0.84,0,,,,,,,,,,
0,1.3,-0.03057082837447524,15300,0.96,15300,7226,,,,,,,0.27854466438293457,-0.06937662586569786,0.2,250,0.0,0.17311719954013824,4.536705e-07,0.001,-5.282885087609656e-07,0.06709149479866028
,,,,,15300,,-0.18578289,1.91,51,23356,0.84,0,,,,,,,,,,
0,1.6,-0.055658998545259235,15600,0.9,15600,7367,,,,,,,0.21555525064468384,-0.07308177053928375,0.2,255,0.0,0.17333779335021973,6.238547e-05,0.001,-0.0003782538821212711,0.05803053453564644
,,,,,15600,,-0.27269532,2.17,52,23819,0.78,0,,,,,,,,,,
0,1.26,-0.03084459889214486,15900,0.98,15900,7510,,,,,,,0.2676682472229004,-0.06734394654631615,0.2,260,0.0,0.18917810022830964,1.4741672e-05,0.001,-1.1176362522746786e-05,0.08555775880813599
,,,,,15900,,-0.23741174999999995,2.13,53,24257,0.77,0,,,,,,,,,,
0,1.38,-0.03690322371199727,16200,0.96,16200,7669,,,,,,,0.2760568857192993,-0.07904600352048874,0.2,265,0.0065696023404598234,0.19697357416152955,0.0006547162,0.001,-0.0009761782579971623,0.07394546270370483
,,,,,16200,,-0.18247127,1.81,54,24798,0.84,0,,,,,,,,,,
0,1.18,-0.029648418640717863,16500,0.98,16500,7824,,,,,,,0.3642457127571106,-0.09284292235970497,0.2,270,0.0,0.14837920293211937,0.00010884676,0.001,4.284916103642899e-05,0.07760077714920044
,,,,,16500,,-0.17093598,2.02,55,25230,0.83,0,,,,,,,,,,
0,1.42,-0.0954704480059445,16800,0.92,16800,7978,,,,,,,0.2086493968963623,-0.0760215550661087,0.2,275,0.004225852340459824,0.16606929451227187,0.00047467605,0.001,-0.0010865709832614812,0.06567264348268509
,,,,,16800,,-0.18076818999999997,1.87,56,25676,0.85,0,,,,,,,,,,
0,1.24,-0.05015987286344171,17100,0.96,17100,8133,,,,,,,0.217565655708313,-0.0583169374614954,0.2,280,0.0,0.18208086043596267,7.7905133e-07,0.001,-1.5999021229617938e-06,0.06695976108312607
,,,,,17100,,-0.2303152,1.92,57,26102,0.84,0,,,,,,,,,,
0,1.46,-0.1202573664765805,17400,0.9,17400,8288,,,,,,,0.3144075274467468,-0.05630326382815838,0.2,285,0.0,0.18210994303226472,2.1171058e-05,0.001,-7.804943755616023e-05,0.08937910944223404
,,,,,17400,,-0.15007348999999998,1.86,58,26550,0.86,0,,,,,,,,,,
0,1.36,-0.05346557019278407,17700,0.94,17700,8433,,,,,,,0.14635145664215088,-0.05182499624788761,0.2,290,0.0,0.18748535811901093,4.8123344e-05,0.001,-8.3459753163595e-05,0.07741157710552216
,,,,,17700,,-0.22759923999999998,1.96,59,26980,0.83,0,,,,,,,,,,
0,1.44,-0.051730770668946206,18000,0.94,18000,8598,,,,,,,0.4145364761352539,-0.0499095793813467,0.2,295,0.0022727273404598235,0.14437733069062234,0.0002347878,0.001,-0.0005529253661737954,0.04590950906276703
,,,,,18000,,-0.17573793999999995,1.76,60,27438,0.86,0,,,,,,,,,,
0,1.34,-0.07207538884133101,18300,0.94,18300,8740,,,,,,,0.33562958240509033,-0.047799069061875345,0.2,300,0.0,0.15627720057964326,3.3248798e-05,0.001,-0.00016431423619849282,0.0423201285302639
,,,,,18300,,-0.24236412000000002,2.12,61,27900,0.8,0,,,,,,,,,,
0,1.42,-0.09251351867802442,18600,0.92,18600,8892,,,,,,,0.2747594118118286,-0.04455761313438415,0.2,305,0.0072088070213794705,0.17012916505336761,0.014055712,0.001,-0.002228606830939839,0.0686083659529686
,,,,,18600,,-0.23097335000000002,1.97,62,28359,0.82,0,,,,,,,,,,
0,1.34,-0.055748682990670206,18900,0.94,18900,9036,,,,,,,0.3007861375808716,-0.03800424709916115,0.2,310,0.0022727273404598235,0.20099848359823227,0.0005382875,0.001,-0.0014215323816188174,0.09768350422382355
,,,,,18900,,-0.26655302999999997,2.12,63,28786,0.79,0,,,,,,,,,,
0,1.42,-0.07443735082633793,19200,0.92,19200,9181,,,,,,,0.1754423975944519,-0.03151374962180853,0.2,315,0.0,0.20960301160812378,3.181525e-07,0.001,-8.270948683275492e-06,0.09247519820928574
,,,,,19200,,-0.21540992,2.13,64,29226,0.82,0,,,,,,,,,,
0,1.5,-0.0961407568724826,19500,0.92,19500,9321,,,,,,,0.10482394695281982,-0.02894347347319126,0.2,320,0.0,0.2032468616962433,3.0442607e-06,0.001,-5.35443171250094e-06,0.08666342496871948
,,,,,19500,,-0.18573944000000003,1.99,65,29680,0.85,0,,,,,,,,,,
0,1.44,-0.09399484892841428,19800,0.92,19800,9460,,,,,,,0.22961801290512085,-0.028460792638361453,0.2,325,0.0,0.17105645537376404,6.847549e-07,0.001,-1.3081371795919949e-05,0.10753323882818222
,,,,,19800,,-0.27256917999999997,2.1,66,30123,0.79,0,,,,,,,,,,
0,1.6,-0.1043712387001142,20100,0.9,20100,9622,,,,,,,0.3261922597885132,-0.029897880181670188,0.2,330,0.0,0.20417760610580443,2.796296e-06,0.001,3.174827305656436e-05,0.11737411469221115
,,,,,20100,,-0.22179904,1.86,67,30562,0.83,0,,,,,,,,,,
0,1.32,-0.07713612051680684,20400,0.94,20400,9771,,,,,,,0.35908210277557373,-0.03337083049118519,0.2,335,0.001171875,0.17512122988700868,0.00017148619,0.001,-0.000745890344524014,0.07509332150220871
