time/total_timesteps,env/n_steps,time/iterations,env/completion_counter,rollout/ep_len_mean,env/current_idx,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1290,1290,43,0,1.22,966,0,1537,0.95,-0.039402059999999996,0.0,0.039373950144508854,2100,-0.004383900752291083,0.001,0.0,-0.22131574153900146,-4.5134623558240606e-06,0.0002447708393447101,0.2,,,
1320,1320,44,0,1.3,987,0,1573,0.93,-0.060297189999999994,0.0,0.03860061103478074,2150,-0.004196555381640792,0.001,0.0,-0.7782047986984253,-9.908080078258053e-07,0.0004378443700261414,0.2,,,
1350,1350,45,0,1.35,1012,0,1608,0.92,-0.07114436,0.0,0.023294561703223735,2200,-0.004596638884395361,0.001,5.9604646e-09,-0.18405091762542725,-1.642902682796432e-05,0.0002401475649094209,0.2,,,
1380,1380,46,0,1.41,1032,0,1647,0.91,-0.08168326000000002,0.0,0.041973235291079616,2250,-0.004612629478797317,0.001,7.947286e-09,-0.1590336561203003,-2.6594003198532335e-06,0.0002356242184760049,0.2,,,
1410,1410,47,0,1.44,1051,0,1686,0.9,-0.09314615,0.0,0.05069471150520258,2300,-0.004445965038612485,0.001,0.0,-0.012610077857971191,-9.185632112593823e-06,0.00022184824047144502,0.2,,,
1440,1440,48,0,1.44,1069,0,1718,0.9,-0.10276399,0.0,0.057239313893951475,2350,-0.004371720599010587,0.001,3.973643e-09,-0.3998372554779053,-5.996674348693887e-06,0.0003626822435762733,0.2,,,
1470,1470,49,0,1.43,1091,0,1751,0.91,-0.09253782999999999,0.0,0.04337297218269669,2400,-0.005229212641716004,0.001,1.7881393e-07,-0.13241088390350342,-5.22137883421081e-05,4.80545568279922e-05,0.2,,,
1500,1500,50,0,1.43,1115,0,1785,0.91,-0.09236766999999999,0.0,0.012225511920405552,2450,-0.0058351537305861715,0.001,4.9670536e-08,-4.3207106590271,-2.0331680924599026e-05,0.00023619308194611222,0.2,,,
1530,1530,51,0,1.48,1134,0,1819,0.9,-0.09396140000000001,0.03800000101327896,0.022804525027167982,2500,-0.05436294496059418,0.001,0.013681835,0.20433396100997925,-0.0137565945436954,-0.06877275556325912,0.2,,,
1560,1560,52,0,1.37,1157,0,1862,0.93,-0.06176662999999999,0.0,0.0472848464618437,2550,-0.013448533713817596,0.001,0.00019485553,-0.025723934173583984,-0.0031072420816247704,-0.0030066499020904303,0.2,,,
