time/total_timesteps,env/current_idx,eval/mean_reward,env/completion_counter,env/n_steps,eval/mean_ep_length,eval/success_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/success_rate,train/value_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/loss,train/n_updates
300,89,-0.14326595530379563,0,300,1.82,0.86,,,,,,,,,,,,,,,,
300,,,,,,,-0.6209977727272729,0,3.397727272727273,497,1,0.48863636363636365,,,,,,,,,,
600,193,-0.07776350999716669,0,600,1.5,0.92,,,,,,,0.3559281453490257,0.1391335219144821,0.2,-1.9378397822380067,-0.0199780039023608,0.001,0.014100384,-0.33594369888305664,0.04629647731781006,5
600,,,,,,,-0.40265692000000003,0,2.87,943,2,0.65,,,,,,,,,,
900,297,-0.050799988619983194,0,900,1.36,0.94,,,,,,,0.25621836334466935,0.07311789840459823,0.2,-1.9150676488876344,-0.016783750761533156,0.001,0.014450344,-0.030774712562561035,0.029691018164157867,10
900,,,,,,,-0.3528508799999999,0,2.85,1391,3,0.67,,,,,,,,,,
1200,404,-0.07662573958747089,0,1200,1.32,0.94,,,,,,,0.2157616972923279,0.17894176244735718,0.2,-1.8319563031196595,-0.009737357450649142,0.001,0.021957982,-0.09194076061248779,0.07587966322898865,15
1200,,,,,,,-0.36771915,0,2.73,1840,4,0.69,,,,,,,,,,
1500,521,-0.011206304589286446,0,1500,1.16,0.98,,,,,,,0.24657901450991632,0.15046164393424988,0.2,-1.7593706607818604,-0.020409693440888076,0.001,0.023386523,-0.011446356773376465,0.03274165466427803,20
1500,,,,,,,-0.27590447000000007,0,2.55,2269,5,0.75,,,,,,,,,,
1800,631,-0.03429644679185003,0,1800,1.42,0.94,,,,,,,0.2055775225162506,0.13650568351149558,0.2,-1.5993489861488341,-0.010786728281527758,0.001,0.02032948,0.01830369234085083,0.06020130589604378,25
1800,,,,,,,-0.30672572,0,2.67,2725,6,0.72,,,,,,,,,,
2100,764,-0.030269367625005542,0,2100,1.18,0.98,,,,,,,0.21939131915569304,0.24300426244735718,0.2,-1.3614803791046142,-0.023772559757344425,0.001,0.036293227,-0.037870168685913086,0.06293002516031265,30
2100,,,,,,,-0.21511497,0,2.25,3174,7,0.79,,,,,,,,,,
2400,890,-0.040315895518288014,0,2400,1.38,0.98,,,,,,,0.18027931451797485,0.07546164914965629,0.2,-1.1282207727432252,-0.009814689902123063,0.001,0.012647003,0.11344009637832642,0.03458240628242493,35
2400,,,,,,,-0.28824015999999997,0,2.35,3649,8,0.77,,,,,,,,,,
2700,1019,-0.04863697298802436,0,2700,1.24,0.96,,,,,,,0.21795965284109114,0.06974431872367859,0.2,-0.9800789952278137,-0.008415005437564104,0.001,0.0128072165,0.038636624813079834,0.07952891290187836,40
2700,,,,,,,-0.26309058,0,2.26,4096,9,0.78,,,,,,,,,,
3000,1157,-0.030969930086284875,0,3000,1.3,0.98,,,,,,,0.20587434321641923,0.05422585308551788,0.2,-0.7843500316143036,-0.009051402052864432,0.001,0.010932821,0.11776232719421387,0.05997534096240997,45
3000,,,,,,,-0.23333463999999998,0,2.15,4541,10,0.81,,,,,,,,,,
3300,1291,-0.07336385874543339,0,3300,1.34,0.94,,,,,,,0.19272973090410234,0.062215909361839294,0.2,-0.6105940937995911,-0.004677819088101387,0.001,0.00979532,0.169305682182312,0.11481478065252304,50
3300,,,,,,,-0.2863214,0,2.23,4994,11,0.74,,,,,,,,,,
3600,1447,-0.07371790972538292,0,3600,1.4,0.92,,,,,,,0.1779064878821373,0.01878551170229912,0.2,-0.49757773280143736,-0.005034201662056148,0.001,0.00249398,0.18377381563186646,0.08063073456287384,55
3600,,,,,,,-0.14178494,0,1.82,5442,12,0.88,,,,,,,,,,
3900,1603,-0.09543702866882085,0,3900,1.48,0.92,,,,,,,0.1755710318684578,0.0,0.2,-0.42012966573238375,2.1906336769461633e-06,0.001,0.00034064896,0.2048744559288025,0.06860574334859848,60
3900,,,,,,,-0.16407629999999998,0,1.89,5901,13,0.85,,,,,,,,,,
4200,1746,-0.02925973596982658,0,4200,1.24,0.98,,,,,,,0.17539870738983154,0.004225852340459824,0.2,-0.3900362253189087,-0.002140664675971493,0.001,0.0010697774,0.14604711532592773,0.08355290442705154,65
4200,,,,,,,-0.17644158999999998,0,1.99,6384,14,0.85,,,,,,,,,,
4500,1898,-0.05053548772353679,0,4500,1.34,0.96,,,,,,,0.1642881378531456,0.0022727273404598235,0.2,-0.3576749533414841,-0.0014991307383752429,0.001,0.00059311977,0.15993446111679077,0.05144185572862625,70
4500,,,,,,,-0.16377382000000004,0,1.97,6877,15,0.85,,,,,,,,,,
4800,2039,-0.16441653974354267,0,4800,1.72,0.86,,,,,,,0.2052457958459854,0.001171875,0.2,-0.3115003675222397,0.00018684908682189416,0.001,0.000405783,0.05599987506866455,0.09734144806861877,75
4800,,,,,,,-0.26429971,0,2.16,7364,16,0.75,,,,,,,,,,
5100,2185,-0.05074877123814076,0,5100,1.24,0.96,,,,,,,0.196601402759552,0.01111505702137947,0.2,-0.3041777163743973,-0.005443654622649774,0.001,0.0019131172,0.17714780569076538,0.039719358086586,80
5100,,,,,,,-0.25726266999999997,0,2.15,7826,17,0.8,,,,,,,,,,
5400,2327,-0.09304885137826205,0,5400,1.46,0.92,,,,,,,0.23488668352365494,0.007741477340459824,0.2,-0.28742040395736695,-0.0013757157154032028,0.001,0.001344008,0.07487881183624268,0.10138794779777527,85
5400,,,,,,,-0.28808659999999997,0,2.23,8290,18,0.78,,,,,,,,,,
5700,2476,-0.05378617583308369,0,5700,1.4,0.94,,,,,,,0.2485317260026932,0.0022727273404598235,0.2,-0.2718503177165985,-0.003013873199233785,0.001,0.00070157,0.1625117063522339,0.09543132036924362,90
5700,,,,,,,-0.20401119999999998,0,2.11,8765,19,0.83,,,,,,,,,,
6000,2612,-0.05496439407113939,0,6000,1.5,0.94,,,,,,,0.19030197113752365,0.0015625,0.2,-0.2632292091846466,-0.0003820873820586712,0.001,0.00023455232,0.1458866000175476,0.09377572685480118,95
6000,,,,,,,-0.23596568999999998,0,2.16,9238,20,0.8,,,,,,,,,,
6300,2776,-0.05162372354418039,0,6300,1.36,0.96,,,,,,,0.2034122407436371,0.0,0.2,-0.24094495475292205,-0.000901468864412891,0.001,0.00034624504,0.17401158809661865,0.10088438540697098,100
6300,,,,,,,-0.15054651,0,1.8,9723,21,0.85,,,,,,,,,,
6600,2932,-0.052493805238045754,0,6600,1.28,0.96,,,,,,,0.1619149088859558,0.014559659361839294,0.2,-0.19624894857406616,-0.0025186483409470385,0.001,0.0016600385,0.14752095937728882,0.07596105337142944,105
6600,,,,,,,-0.18348572000000002,0,1.85,10213,22,0.85,,,,,,,,,,
6900,3088,-0.029347433233633636,0,6900,1.2,0.98,,,,,,,0.1691521093249321,0.0,0.2,-0.1612006738781929,-0.00038025654557714004,0.001,8.572001e-05,0.24684202671051025,0.07663492113351822,110
6900,,,,,,,-0.14686165000000004,0,2.0,10671,23,0.86,,,,,,,,,,
7200,3256,-0.07245165524538606,0,7200,1.46,0.94,,,,,,,0.1604723811149597,0.0,0.2,-0.15188828259706497,-0.0004188124155213302,0.001,0.00012538323,0.05929279327392578,0.07886121422052383,115
7200,,,,,,,-0.12826191,0,1.79,11157,24,0.88,,,,,,,,,,
7500,3400,-0.05103642595931888,0,7500,1.32,0.96,,,,,,,0.17156846672296525,0.01150568202137947,0.2,-0.13371553272008896,-0.0021280513145029547,0.001,0.0007133032,0.04833775758743286,0.06794803589582443,120
7500,,,,,,,-0.19479572000000003,0,2.0,11643,25,0.83,,,,,,,,,,
7800,3549,-0.07459616362117232,0,7800,1.44,0.94,,,,,,,0.1959310069680214,0.0,0.2,-0.12459208592772483,-5.062792042735964e-05,0.001,5.8884776e-05,0.2059168815612793,0.09177104383707047,125
7800,,,,,,,-0.19975800000000002,0,2.08,12107,26,0.81,,,,,,,,,,
8100,3696,-0.009664641949348152,0,8100,1.2,1.0,,,,,,,0.18532271683216095,0.0030539773404598238,0.2,-0.12570272460579873,-0.0003800463418883737,0.001,0.0005685255,0.2555525302886963,0.07519790530204773,130
8100,,,,,,,-0.27761387,0,2.21,12547,27,0.76,,,,,,,,,,
8400,3843,-0.0316152307158336,0,8400,1.28,0.94,,,,,,,0.18842100352048874,0.0,0.2,-0.11087777987122535,-0.00023041248998083573,0.001,5.7241457e-05,0.24116748571395874,0.07872563600540161,135
8400,,,,,,,-0.25757884000000003,0,2.18,13010,28,0.79,,,,,,,,,,
8700,3996,-0.04919145288877189,0,8700,1.24,0.96,,,,,,,0.19078727960586547,0.0,0.2,-0.10131503343582153,-0.00014762832166752559,0.001,2.7916627e-05,0.24140381813049316,0.11228244751691818,140
8700,,,,,,,-0.12070194,0,1.82,13466,29,0.89,,,,,,,,,,
9000,4142,-0.029013530798256398,0,9000,1.18,0.98,,,,,,,0.16547444313764573,0.0,0.2,-0.09688471555709839,-1.5848997549028354e-05,0.001,7.198192e-06,0.08131527900695801,0.06219034641981125,145
9000,,,,,,,-0.18441198,0,1.86,13908,30,0.84,,,,,,,,,,
9300,4295,-0.028878579642623664,0,9300,1.22,0.98,,,,,,,0.21833176165819168,0.004936079680919647,0.2,-0.10710696578025818,-0.0007579720375360921,0.001,0.0009532332,0.16199105978012085,0.11474567651748657,150
9300,,,,,,,-0.18450677,0,1.86,14371,31,0.83,,,,,,,,,,
9600,4453,-0.031643270365893844,0,9600,1.32,0.98,,,,,,,0.23921768069267274,0.00078125,0.2,-0.12561194226145744,-0.0006848706623713951,0.001,0.00015106643,0.1807708740234375,0.09523971378803253,155
9600,,,,,,,-0.21972461,0,2.03,14844,32,0.8,,,,,,,,,,
9900,4590,-0.0526852646516636,0,9900,1.44,0.94,,,,,,,0.19730548858642577,0.0034446023404598237,0.2,-0.13915526419878005,-0.0009618574842079397,0.001,0.00056389853,0.19048482179641724,0.12969985604286194,160
9900,,,,,,,-0.25932312,0,2.13,15331,33,0.78,,,,,,,,,,
10200,4739,-0.030370207484811545,0,10200,1.34,0.98,,,,,,,0.1672334112226963,0.000390625,0.2,-0.1529712423682213,-0.0006200670938596887,0.001,0.0001236102,0.30406802892684937,0.053913384675979614,165
10200,,,,,,,-0.15973532999999998,0,1.85,15798,34,0.84,,,,,,,,,,
10500,4888,-0.05218703968450427,0,10500,1.38,0.96,,,,,,,0.1698957771062851,0.00078125,0.2,-0.14950650185346603,-0.0012615313271453488,0.001,0.00024811324,0.3160974383354187,0.07122920453548431,170
10500,,,,,,,-0.22941676000000005,0,2.02,16293,35,0.8,,,,,,,,,,
10800,5045,-0.02893242845777422,0,10800,1.2,0.98,,,,,,,0.17604545801877974,0.0,0.2,-0.17849966883659363,0.00013598177602034412,0.001,0.000217797,0.2671659588813782,0.07472392171621323,175
10800,,,,,,,-0.23130552000000001,0,2.08,16788,36,0.83,,,,,,,,,,
11100,5204,-0.07286357964854688,0,11100,1.36,0.94,,,,,,,0.19955037981271745,0.003125,0.2,-0.212357859313488,-0.0009050955399288796,0.001,0.0007519574,0.2580874562263489,0.13419786095619202,180
11100,,,,,,,-0.18361877,0,1.9,17312,37,0.85,,,,,,,,,,
11400,5335,-0.007903372943401337,0,11400,1.14,1.0,,,,,,,0.19622765034437178,0.0046164773404598234,0.2,-0.25792437195777895,-0.0010960788757074624,0.001,0.0003314909,0.25969088077545166,0.05945053696632385,185
11400,,,,,,,-0.28833639999999994,0,2.28,17762,38,0.76,,,,,,,,,,
11700,5462,-0.09323699038941413,0,11700,1.48,0.9,,,,,,,0.2161752387881279,0.009232954680919647,0.2,-0.24273736625909806,-0.002480064149858663,0.001,0.0012899707,0.13648521900177002,0.1245071068406105,190
11700,,,,,,,-0.2941052,0,2.35,18245,39,0.75,,,,,,,,,,
12000,5619,-0.02997231449466199,0,12000,1.16,0.98,,,,,,,0.1975935712456703,0.02340198904275894,0.2,-0.1807341143488884,-0.003376631042920053,0.001,0.001930489,0.25643837451934814,0.0918937548995018,195
12000,,,,,,,-0.20562563999999997,0,2.04,18687,40,0.82,,,,,,,,,,
12300,5761,-0.007899950700812041,0,12300,1.16,0.98,,,,,,,0.20226475298404695,0.007279829680919647,0.2,-0.2018006280064583,-0.0009189197791783954,0.001,0.000855783,0.16302186250686646,0.08212941884994507,200
12300,,,,,,,-0.21648540000000005,0,2.24,19140,41,0.78,,,,,,,,,,
12600,5923,-0.060204083304852246,0,12600,1.34,0.96,,,,,,,0.1837231382727623,0.01072443202137947,0.2,-0.2398611381649971,-0.0018894445471232756,0.001,0.0009093453,0.15932321548461914,0.0778692290186882,205
12600,,,,,,,-0.17648296999999996,0,1.87,19597,42,0.86,,,,,,,,,,
