env/current_idx,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/fps,time/total_timesteps,env/n_steps,rollout/ep_rew_mean,env/completion_counter,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
781,53671,1.26,1451,0.95,0,43530,43530,-0.05158961000000001,2,0.2,0.0001,0.06846544221043586,0.4961205720901489,-0.22743806391954421,14500,0.0,2.8173129e-06,6.385246963436231e-06,0.030299950391054153,,,
799,53704,1.3,1452,0.93,0,43560,43560,-0.06256395000000001,2,0.2,0.0001,0.032589237205684185,0.6440893411636353,-0.21585783213377,14510,0.0,0.00020158291,-0.000917270412088933,0.010539377108216286,,,
826,53735,1.29,1453,0.93,0,43590,43590,-0.06396413,2,0.2,0.0001,0.1352131485939026,0.09210985898971558,-0.24179907143115997,14520,0.0,2.3086866e-06,-2.10787353823072e-05,0.05803154781460762,,,
849,53768,1.3,1454,0.93,0,43620,43620,-0.0628247,2,0.2,0.0001,0.017645255476236344,0.4507012367248535,-0.2564842015504837,14530,0.0,0.00018545985,-0.0006851475995063083,0.003955856431275606,,,
874,53802,1.29,1455,0.93,0,43650,43650,-0.062205399999999994,2,0.2,0.0001,0.12535248324275017,0.48144644498825073,-0.27176190316677096,14540,0.0,9.05176e-05,-0.001957884549653244,0.05497729405760765,,,
897,53834,1.22,1456,0.95,0,43680,43680,-0.06205708000000001,2,0.2,0.0001,0.07257964238524436,0.28174734115600586,-0.23089995235204697,14550,0.0,1.62522e-06,-6.436228678166067e-05,0.03181994706392288,,,
920,53868,1.26,1457,0.93,0,43710,43710,-0.07140475,2,0.2,0.0001,0.10809663906693459,0.23933762311935425,-0.26041525453329084,14560,0.013333334028720856,0.002499779,-0.005880937364806193,0.039981044828891754,,,
946,53902,1.23,1458,0.94,0,43740,43740,-0.06110020000000001,2,0.2,0.0001,0.11220010817050934,0.0579829216003418,-0.2121974155306816,14570,0.0,5.68231e-07,-3.170430660248691e-05,0.05116310715675354,,,
970,53935,1.27,1459,0.93,0,43770,43770,-0.07251183999999998,2,0.2,0.0001,0.058447657898068425,0.4557287096977234,-0.21829478442668915,14580,0.003333333507180214,0.00083899894,-0.004650340299898126,0.01651807874441147,,,
992,53972,1.29,1460,0.93,0,43800,43800,-0.07179465,2,0.2,0.0001,0.11598017141222954,-0.028399109840393066,-0.220355424284935,14590,0.0,0.0006532808,-0.0008694672601025743,0.05097329989075661,,,
