eval/mean_ep_length,env/completion_counter,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,train/clip_fraction,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates,train/learning_rate,train/entropy_loss
,,,,,27900,,93,1.56,41990,-0.21633702,0,0.76,,,,,,,,,,
1.28,0,0.88,16911,28200,28200,-0.09168254066258669,,,,,,,0.0009375,0.08530640602111816,0.0696815773844719,9.888409e-05,-0.0004883807880855962,0.17325154051184655,0.2,930,0.0001,-0.036457226648926734
,,,,,28200,,94,1.46,42412,-0.17117426000000002,0,0.81,,,,,,,,,,
1.5,0,0.82,17102,28500,28500,-0.13366974914446472,,,,,,,0.0,0.23820066452026367,0.04200895130634308,2.8193743e-05,-9.657058272178886e-05,0.15204874485731124,0.2,940,0.0001,-0.03500363141298294
,,,,,28500,,95,1.58,42836,-0.23861249999999995,0,0.74,,,,,,,,,,
1.32,0,0.86,17293,28800,28800,-0.11044669726863504,,,,,,,0.0,0.2131255865097046,0.07690391689538956,0.0,3.1483783029528925e-08,0.15426751509308814,0.2,950,0.0001,-0.033744208067655566
,,,,,28800,,96,1.54,43266,-0.24670498,0,0.76,,,,,,,,,,
1.14,0,0.94,17472,29100,29100,-0.027683711973950267,,,,,,,0.0,0.2219577431678772,0.08225478231906891,2.16756e-06,-9.553251280074449e-06,0.17090930193662643,0.2,960,0.0001,-0.03338815659284591
,,,,,29100,,97,1.65,43676,-0.26215589,0,0.7,,,,,,,,,,
1.26,0,0.88,17641,29400,29400,-0.11440522946417332,,,,,,,0.0015340909361839295,0.20048516988754272,0.07362096756696701,0.00013987403,-0.0006911039987408785,0.16332029327750205,0.2,970,0.0001,-0.030732046961784363
,,,,,29400,,98,1.82,44092,-0.24850231000000003,0,0.65,,,,,,,,,,
1.22,0,0.92,17835,29700,29700,-0.06023060740437359,,,,,,,0.0,0.14335793256759644,0.07300665229558945,0.0,-1.9916756670568248e-08,0.1743765464425087,0.2,980,0.0001,-0.0288401385396719
,,,,,29700,,99,1.59,44502,-0.24371078999999998,0,0.74,,,,,,,,,,
1.36,0,0.86,18029,30000,30000,-0.09220560954883694,,,,,,,0.0,0.14490455389022827,0.07117950916290283,0.0,-6.515871460166523e-09,0.16062742829322815,0.2,990,0.0001,-0.0288151241093874
,,,,,30000,,100,1.43,44923,-0.16250687,0,0.82,,,,,,,,,,
1.28,0,0.9,18227,30300,30300,-0.07779852378182113,,,,,,,0.0,0.29192012548446655,0.07110484689474106,0.00010823831,-0.00018841302890139743,0.14270482018589972,0.2,1000,0.0001,-0.028114552348852156
,,,,,30300,,101,1.62,45358,-0.24306553,0,0.75,,,,,,,,,,
1.2,0,0.92,18417,30600,30600,-0.09174188593402505,,,,,,,0.0,0.2441023588180542,0.04256816580891609,0.0,2.1356073265366148e-08,0.14370192274451254,0.2,1010,0.0001,-0.026278929710388185
,,,,,30600,,102,1.62,45781,-0.24281658999999997,0,0.73,,,,,,,,,,
1.38,0,0.82,18600,30900,30900,-0.1738470862340182,,,,,,,0.0,0.11300569772720337,0.06707730144262314,4.8856997e-05,-0.00019889842627538457,0.18230557531118394,0.2,1020,0.0001,-0.026497189626097678
,,,,,30900,,103,1.63,46190,-0.27497158000000005,0,0.72,,,,,,,,,,
1.12,0,0.96,18791,31200,31200,-0.0478435598872602,,,,,,,0.0036931818723678587,0.2725641131401062,0.06794697046279907,0.0002585005,-0.0008835711828645287,0.16259493291378022,0.2,1030,0.0001,-0.025139132551848888
,,,,,31200,,104,1.55,46676,-0.25348113,0,0.76,,,,,,,,,,
1.26,0,0.88,18973,31500,31500,-0.10965004250407219,,,,,,,0.0,0.35929811000823975,0.06883473694324493,7.16161e-05,-0.00036628929263153863,0.14094693899154664,0.2,1040,0.0001,-0.023052559196949006
,,,,,31500,,105,1.73,47101,-0.26682505,0,0.69,,,,,,,,,,
1.28,0,0.88,19157,31800,31800,-0.11194386718794704,,,,,,,0.0017045454680919647,0.14325159788131714,0.09642241150140762,0.00012327005,-0.000721500138752198,0.1747955384850502,0.2,1050,0.0001,-0.023036419823765756
,,,,,31800,,106,1.53,47512,-0.20596249,0,0.75,,,,,,,,,,
1.14,0,0.96,19341,32100,32100,-0.02848653750028461,,,,,,,0.000625,0.18622487783432007,0.07847452163696289,8.771904e-05,-0.00021920129529788391,0.16781561076641083,0.2,1060,0.0001,-0.025013373643159868
,,,,,32100,,107,1.69,47919,-0.25921712999999996,0,0.7,,,,,,,,,,
1.26,0,0.9,19523,32400,32400,-0.09465873175300658,,,,,,,0.0,0.18275654315948486,0.05458073690533638,0.0,-1.1990354824575889e-08,0.16054054483771324,0.2,1070,0.0001,-0.026210852488875388
,,,,,32400,,108,1.66,48324,-0.32551375,0,0.69,,,,,,,,,,
1.14,0,0.94,19705,32700,32700,-0.04889499514829367,,,,,,,0.0030965909361839296,0.2314603328704834,0.052007149904966354,0.00033097266,-0.001364205470123494,0.16920979842543601,0.2,1080,0.0001,-0.023819525055587293
,,,,,32700,,109,1.69,48740,-0.26668,0,0.71,,,,,,,,,,
1.34,0,0.86,19886,33000,33000,-0.0898042270168662,,,,,,,0.0007670454680919648,0.25172340869903564,0.05145462602376938,0.0001453955,-0.0002860104146582287,0.16013585925102233,0.2,1090,0.0001,-0.02119632814079523
,,,,,33000,,110,1.71,49171,-0.30333542999999996,0,0.68,,,,,,,,,,
1.3,0,0.88,20062,33300,33300,-0.11251262279227375,,,,,,,0.0,0.27383214235305786,0.05143924802541733,0.0,-1.1045485734939575e-08,0.15820938482880592,0.2,1100,0.0001,-0.020230902843177318
,,,,,33300,,111,1.79,49584,-0.3266618900000001,0,0.66,,,,,,,,,,
1.36,0,0.84,20255,33600,33600,-0.15205052483826875,,,,,,,0.002443181872367859,0.20651090145111084,0.08463586866855621,0.00024313931,-0.0009269195524197471,0.17532341301441193,0.2,1110,0.0001,-0.021768563725054264
,,,,,33600,,112,1.6,50032,-0.21316911000000002,0,0.74,,,,,,,,,,
1.24,0,0.92,20442,33900,33900,-0.09411970232147723,,,,,,,0.0,0.1325557827949524,0.07766497135162354,0.0,-1.5588646533615247e-08,0.17040076211094857,0.2,1120,0.0001,-0.02264602642506361
,,,,,33900,,113,1.55,50464,-0.23636406999999998,0,0.77,,,,,,,,,,
1.28,0,0.86,20630,34200,34200,-0.11360308687668294,,,,,,,0.0,0.27546215057373047,0.06665410846471786,0.0,-1.078132884302363e-08,0.15514271929860116,0.2,1130,0.0001,-0.022653404884040357
,,,,,34200,,114,1.55,50884,-0.16447076,0,0.77,,,,,,,,,,
1.12,0,0.96,20804,34500,34500,-0.0073926661908626555,,,,,,,0.0,0.16817015409469604,0.0518014058470726,0.0,-2.265653860078487e-09,0.14856208428740503,0.2,1140,0.0001,-0.022652323730289935
,,,,,34500,,115,1.78,51284,-0.33281506,0,0.64,,,,,,,,,,
1.36,0,0.84,20996,34800,34800,-0.15856569744180887,,,,,,,0.0015625,0.11276191473007202,0.07514578849077225,9.934604e-05,-0.0003146290465850754,0.18611754596233368,0.2,1150,0.0001,-0.023626368530094623
,,,,,34800,,116,1.41,51697,-0.11324039000000001,0,0.87,,,,,,,,,,
1.38,0,0.84,21180,35100,35100,-0.15372216231189667,,,,,,,0.0009375,0.2128835916519165,0.051667943596839905,0.00010399016,-0.00044921775665986987,0.1419455985724926,0.2,1160,0.0001,-0.02321702994406223
,,,,,35100,,117,1.5,52132,-0.20673042000000003,0,0.79,,,,,,,,,,
1.16,0,0.92,21357,35400,35400,-0.04845086559653282,,,,,,,0.001875,0.29017794132232666,0.04636624455451965,0.00025318228,-0.0004585693590342288,0.15757839754223824,0.2,1170,0.0001,-0.020849763453006744
,,,,,35400,,118,1.7,52567,-0.31951905,0,0.7,,,,,,,,,,
1.14,0,0.94,21548,35700,35700,-0.04771153991110623,,,,,,,0.0017045454680919647,0.13819241523742676,0.044810451567173004,0.0002073424,-0.0008266757936641156,0.18485318168997764,0.2,1180,0.0001,-0.021364591121673583
,,,,,35700,,119,1.56,52979,-0.20245839,0,0.78,,,,,,,,,,
1.18,0,0.94,21718,36000,36000,-0.04967543270904571,,,,,,,0.0,0.10865181684494019,0.07548937946557999,0.0,1.7472458111456036e-08,0.16322043731808664,0.2,1190,0.0001,-0.02277118358761072
,,,,,36000,,120,1.92,53398,-0.3640531000000001,0,0.59,,,,,,,,,,
1.26,0,0.88,21922,36300,36300,-0.11235961928032338,,,,,,,0.0,0.1937803030014038,0.05874604359269142,7.450581e-09,6.397542413516533e-07,0.16741206273436546,0.2,1200,0.0001,-0.02276818048208952
,,,,,36300,,121,1.5,53822,-0.18700019999999995,0,0.8,,,,,,,,,,
1.28,0,0.88,22110,36600,36600,-0.07100401951465755,,,,,,,0.0027840909361839293,0.1694583296775818,0.05663296580314636,0.0002926536,-0.001597391201860554,0.15741070196032525,0.2,1210,0.0001,-0.022220163345336913
,,,,,36600,,122,1.6,54261,-0.26766165000000003,0,0.74,,,,,,,,,,
1.3,0,0.9,22289,36900,36900,-0.07069881718605757,,,,,,,0.0,0.2514224648475647,0.05915721133351326,0.0,-1.7068603153092e-09,0.16009777382016183,0.2,1220,0.0001,-0.0229782485216856
,,,,,36900,,123,1.7,54685,-0.30298389000000003,0,0.67,,,,,,,,,,
1.14,0,0.96,22469,37200,37200,-0.04814665673766285,,,,,,,0.0,0.26948291063308716,0.06531963497400284,0.0,-3.0411916007722083e-09,0.16924503296613694,0.2,1230,0.0001,-0.023025786392390727
,,,,,37200,,124,1.65,55122,-0.27091421,0,0.71,,,,,,,,,,
1.18,0,0.92,22664,37500,37500,-0.08835575595498085,,,,,,,0.0,0.3235156536102295,0.05651720613241196,0.0,-8.185478783673262e-09,0.1444581587612629,0.2,1240,0.0001,-0.023032278269529343
,,,,,37500,,125,1.52,55533,-0.18568831999999996,0,0.77,,,,,,,,,,
1.16,0,0.94,22842,37800,37800,-0.028707295064814387,,,,,,,0.0003125,0.19528907537460327,0.06319315731525421,7.976932e-05,-0.0001859826120363195,0.15769938975572587,0.2,1250,0.0001,-0.02244461428374052
,,,,,37800,,126,1.76,55941,-0.30453088000000006,0,0.65,,,,,,,,,,
1.16,0,0.94,23022,38100,38100,-0.048558012563735244,,,,,,,0.0,0.011742949485778809,0.07790281623601913,0.0,-8.060173861679232e-10,0.19876712709665298,0.2,1260,0.0001,-0.02208576589822769
,,,,,38100,,127,1.59,56373,-0.25753076,0,0.74,,,,,,,,,,
