env/n_steps,rollout/ep_rew_mean,time/total_timesteps,env/current_idx,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/success_rate,env/completion_counter,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
28740,-0.06200179999999999,28740,4168,479,1.37,0,36962,0.94,1,0.6268814,23900,-0.048997287526726725,0.2,0.06156665086746216,0.06305321022868156,-0.04934157431125641,0.13533333711326123,0.001,-0.04565259124028188,,,
28800,-0.02989301,28800,4221,480,1.22,0,37041,0.98,1,0.7848684,23950,-0.06370838172733784,0.2,0.19672954082489014,0.04456145506352186,-0.01238127052783966,0.16366667062044143,0.001,-0.013479679677635432,,,
28860,-0.019408810000000002,28860,4266,481,1.24,0,37126,0.97,1,1.3580403,24000,-0.029674363378435372,0.2,-170.57325744628906,0.0030931115796556698,-0.0186923835426569,0.14333333633840084,0.001,-0.01167915412721535,,,
28920,-0.04005312,28920,4313,482,1.26,0,37198,0.95,1,0.63840866,24050,-0.053135361969470975,0.2,0.2433118224143982,0.014402725091204048,-0.04259989410638809,0.12633333936333657,0.001,-0.040965683619181306,,,
28980,-0.07151988000000001,28980,4358,483,1.29,0,37267,0.94,1,0.16689469,24100,-0.06535846047103405,0.2,0.2562944293022156,0.02960911752656102,-0.03055649809539318,0.11433333739638328,0.001,-0.029219945499052605,,,
29040,-0.13458101,29040,4390,484,1.51,0,37335,0.87,1,0.45428762,24150,-0.041500882245600224,0.2,-0.12354898452758789,0.12644456714391708,-0.005298838019371033,0.09133333526551723,0.001,-0.03789373127991958,,,
29100,-0.10505600000000001,29100,4431,485,1.53,0,37411,0.87,1,0.66814685,24200,-0.09839783385396003,0.2,-0.030244112014770508,0.10386327669024467,-0.04962937533855438,0.25633333329111335,0.001,-0.0650180720314384,,,
29160,-0.08467169000000001,29160,4474,486,1.49,0,37489,0.9,1,0.775669,24250,-0.11296405911445617,0.2,-0.9103845357894897,0.03780946988612413,-0.0471329428255558,0.2233333409205079,0.001,-0.04581101404766862,,,
29220,-0.054159679999999995,29220,4519,487,1.37,0,37557,0.94,1,0.09590109,24300,-0.04434982299804688,0.2,-0.4272986650466919,0.09663068160414695,0.02624906599521637,0.08533333532512188,0.001,-0.0075550632756203485,,,
29280,-0.06508871,29280,4563,488,1.39,0,37626,0.94,1,0.25924045,24350,-0.026091125942766667,0.2,-0.15942347049713135,0.04906067442148924,-0.004990633577108383,0.08066666908562184,0.001,-0.010937262846156948,,,
29340,-0.03140698,29340,4612,489,1.3,0,37713,0.96,1,0.48482075,24400,-0.039673404842615126,0.2,-0.010350465774536133,0.06944765090942383,-0.01293264701962471,0.12266667068004608,0.001,-0.03890474909543997,,,
29400,-0.02975300000000001,29400,4661,490,1.23,0,37779,0.96,1,2.278835,24450,-0.10644093915820121,0.2,-126.06979370117188,0.010114987344713881,-0.040267620235681534,0.282000002451241,0.001,-0.024715860411524772,,,
29460,-0.04141585000000001,29460,4707,491,1.25,0,37849,0.96,1,0.8557135,24500,-0.08445559404790401,0.2,-0.02109205722808838,0.08007114075124264,-0.02902170456945896,0.21700000137090683,0.001,-0.04695950149744749,,,
29520,-0.05210296,29520,4748,492,1.34,0,37923,0.95,1,0.29948178,24550,-0.07270327746868134,0.2,-0.032318830490112305,0.01242941070231609,-0.052854474633932114,0.11766667179763317,0.001,-0.04180885051377117,,,
29580,-0.05153962999999999,29580,4795,493,1.33,0,37994,0.95,1,0.47782642,24600,-0.0693641647696495,0.2,0.10123437643051147,0.07591023072600364,-0.03180296719074249,0.2040000017359853,0.001,-0.050871475782245386,,,
29640,-0.07322195999999997,29640,4835,494,1.4,0,38061,0.92,1,0.9689102,24650,-0.1431647226214409,0.2,-1.9736275672912598,0.07065626434981823,-0.03553695231676102,0.3553333289921284,0.001,-0.05291747142622853,,,
29700,-0.10510847,29700,4875,495,1.44,0,38134,0.9,1,0.5288719,24700,-0.08990214079618454,0.2,0.07772350311279297,0.12432580024003982,-0.026988934725522995,0.22633334070444108,0.001,-0.055836028464138536,,,
29760,-0.13536602,29760,4917,496,1.49,0,38207,0.87,1,1.3263048,24750,-0.08564191572368145,0.2,0.1536230444908142,0.09590706937015056,-0.05564599856734276,0.25766667202115057,0.001,-0.06691276061783234,,,
29820,-0.10202414999999997,29820,4962,497,1.43,0,38281,0.89,1,0.67250454,24800,-0.06410441111773252,0.2,0.1990935206413269,0.12190453886985779,-0.012268610298633575,0.18266667008399964,0.001,-0.0497247699523966,,,
29880,-0.07375978,29880,4999,498,1.46,0,38348,0.91,1,0.7162743,24850,-0.1335560128092766,0.2,-1.0224592685699463,0.06554526619613171,-0.03985046595335007,0.27866666942834856,0.001,-0.040955287684376035,,,
29940,-0.07303202,29940,5044,499,1.44,0,38415,0.91,1,0.5393876,24900,-0.16229876548051833,0.2,-0.030242919921875,0.1363013780117035,-0.04355392977595329,0.3293333362042904,0.001,-0.06799803637092311,,,
30000,,30000,5088,,,,,,1,0.8493318,24950,-0.1758454641699791,0.2,0.07512164115905762,0.05409724453464151,-0.08836285769939423,0.2530000045895576,0.001,-0.07475259637708469,1.28,-0.0719799993536435,0.93
,-0.08162073999999998,30000,,500,1.38,0,38642,0.93,,,,,,,,,,,,,,
30060,-0.09140295999999999,30060,5131,501,1.36,0,38710,0.91,1,0.21691658,25000,-0.1318002888560295,0.2,-0.37741971015930176,0.13262301743030547,0.020681943744421005,0.2450000087916851,0.001,-0.03670922510698439,,,
30120,-0.07063640999999998,30120,5176,502,1.33,0,38782,0.93,1,0.4145745,25050,-0.10213008418679237,0.2,0.034172773361206055,0.15274110406637192,0.01065872609615326,0.20333333536982537,0.001,-0.0423181413461765,,,
30180,-0.06158297,30180,5220,503,1.35,0,38850,0.92,1,0.08763344,25100,-0.14163047328591347,0.2,0.3338847756385803,0.0652689067274332,-0.038022734224796295,0.2716666715964675,0.001,-0.057078949400534214,,,
30240,-0.07314078,30240,5263,504,1.36,0,38918,0.92,1,0.42182004,25150,-0.15158844485878945,0.2,-0.3805813789367676,0.0711214941740036,-0.03293929994106293,0.2196666697412729,0.001,-0.05252911164363225,,,
30300,-0.09379664999999998,30300,5305,505,1.44,0,38990,0.89,1,0.9599351,25200,-0.11952636733651162,0.2,0.171927809715271,0.0871218291670084,-0.07843558490276337,0.3376666648685932,0.001,-0.087833366625011,,,
30360,-0.07295448000000002,30360,5354,506,1.3,0,39064,0.92,1,1.4293439,25250,-0.1790975522994995,0.2,-0.11760580539703369,0.10980114102363586,-0.028446082025766373,0.3183333350718021,0.001,-0.04531316957374415,,,
