env/current_idx,eval/mean_reward,env/n_steps,eval/success_rate,env/completion_counter,time/total_timesteps,eval/mean_ep_length,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss
114,-0.008999874927103519,240,0.92,0,240,1.2,,,,,,,0.11203192919492722,0.2,35,0.0001,0.13230282068252563,-1.9453395128250122,0.0,0.24432739317417146,6.580353e-06,-0.000295744734806469
,,,,,240,,0,912,0.51,2.07,8,-0.4851473200000001,,,,,,,,,,
128,-0.04863222782500088,270,0.94,0,270,1.16,,,,,,,0.13605019450187683,0.2,40,0.0001,-0.28431665897369385,-1.9453433752059937,0.0,0.2852237164974213,7.786353e-06,-0.0007268476658886414
,,,,,270,,0,1023,0.49,2.11,9,-0.49327729000000015,,,,,,,,,,
140,-0.026974438820034266,300,0.96,0,300,1.08,,,,,,,0.09258641302585602,0.2,45,0.0001,0.201970636844635,-1.9452067136764526,0.0,0.20298950374126434,1.5838941e-05,-0.001082163430207128
,,,,,300,,0,1119,0.45,2.21,10,-0.52866577,,,,,,,,,,
154,-0.07026984595693647,330,0.94,0,330,1.16,,,,,,,0.1161758154630661,0.2,50,0.0001,-0.1480710506439209,-1.9449925661087035,0.0,0.2511092871427536,1.5068054e-05,-0.0004233161653489859
,,,,,330,,0,1238,0.46,2.21,11,-0.51183934,,,,,,,,,,
168,-0.08971000157296657,360,0.88,0,360,1.28,,,,,,,0.16425131261348724,0.2,55,0.0001,-0.3092576265335083,-1.9449832916259766,0.0,0.36100401878356936,9.78907e-06,-0.00015442172608644001
,,,,,360,,0,1350,0.46,2.21,12,-0.52829676,,,,,,,,,,
179,-0.09130711367819458,390,0.92,0,390,1.2,,,,,,,0.2040153592824936,0.2,60,0.0001,-0.38081347942352295,-1.9450774431228637,0.0,0.4127043724060059,2.125899e-06,0.0001142203831115296
,,,,,390,,0,1455,0.41,2.3,13,-0.5915585499999999,,,,,,,,,,
194,-0.04782576543744654,420,0.96,0,420,1.12,,,,,,,0.13230940699577332,0.2,65,0.0001,-0.2945973873138428,-1.9450494766235351,0.0,0.31356550455093385,1.223882e-06,-8.346676984132273e-05
,,,,,420,,0,1553,0.45,2.23,14,-0.5591846699999999,,,,,,,,,,
208,-0.029075964600779117,450,0.96,0,450,1.18,,,,,,,0.13718366622924805,0.2,70,0.0001,-0.19915151596069336,-1.9449885368347168,0.0,0.2875879108905792,1.1724233e-05,-0.0011197513423393702
,,,,,450,,0,1663,0.44,2.22,15,-0.56562174,,,,,,,,,,
221,-0.07114669225178659,480,0.9,0,480,1.22,,,,,,,0.09821047633886337,0.2,75,0.0001,-0.35184764862060547,-1.9449583530426025,0.0,0.21897285878658296,2.4537245e-05,-0.0015607090930765289
,,,,,480,,0,1776,0.42,2.26,16,-0.57591353,,,,,,,,,,
234,-0.11478372873272746,510,0.84,0,510,1.38,,,,,,,0.10342179983854294,0.2,80,0.0001,0.4164994955062866,-1.944637393951416,0.0,0.21929295361042023,3.3408403e-05,-0.000986413177258072
,,,,,510,,0,1902,0.41,2.27,17,-0.5964455000000001,,,,,,,,,,
246,-0.027438103836029768,540,0.96,0,540,1.12,,,,,,,0.04858947917819023,0.2,85,0.0001,0.21017992496490479,-1.9442694187164307,0.0,0.11288299858570099,4.2182208e-05,-0.001625647159137955
,,,,,540,,0,2018,0.41,2.26,18,-0.6109522899999998,,,,,,,,,,
260,-0.09173977771308273,570,0.92,0,570,1.2,,,,,,,0.09485649317502975,0.2,90,0.0001,0.12697911262512207,-1.943668746948242,0.0,0.20366699993610382,2.6077032e-05,-0.00037702640790779893
,,,,,570,,0,2133,0.41,2.27,19,-0.60807723,,,,,,,,,,
274,-0.09371333501301705,600,0.9,0,600,1.26,,,,,,,0.1575111597776413,0.2,95,0.0001,-0.41181957721710205,-1.9433511257171632,0.0,0.3355777323246002,2.6796262e-05,-0.0011778796002423597
,,,,,600,,0,2248,0.45,2.21,20,-0.5574275200000001,,,,,,,,,,
290,-0.06843448393512518,630,0.92,0,630,1.2,,,,,,,0.11076639592647552,0.2,100,0.0001,-0.034665703773498535,-1.9432640552520752,0.0,0.24371266663074492,5.5003165e-05,-0.002164479119237228
