env/completion_counter,env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,time/iterations,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
0,5591,-0.048860217994079,1.22,0.9,10200,10200,,,,,,,0.0001,330,-0.29934635758399963,0.062337394803762436,0.16115087270736694,0.2,0.17088936157524587,0.0,-0.00130018558120355,0.00041663524
,,,,,10200,,34,0,15511,0.69,1.72,-0.27366912000000004,,,,,,,,,,
0,5781,-0.02756226166617125,1.1,0.96,10500,10500,,,,,,,0.0001,340,-0.28077512383461,0.08699220418930054,0.2109944224357605,0.2,0.18185208290815352,0.0,-0.00042954841324416293,7.627433e-05
,,,,,10500,,35,0,15947,0.77,1.54,-0.21277535999999997,,,,,,,,,,
0,5962,-0.1121190118091181,1.4,0.82,10800,10800,,,,,,,0.0001,350,-0.27426286041736603,0.08123290538787842,0.2017701268196106,0.2,0.1767978362739086,0.0,-4.689115729954452e-05,5.4443744e-06
,,,,,10800,,36,0,16431,0.77,1.57,-0.22012702,,,,,,,,,,
0,6142,-0.05303261952474713,1.14,0.94,11100,11100,,,,,,,0.0001,360,-0.27001889497041703,0.0973702222108841,0.23821568489074707,0.2,0.1803687684237957,0.0,-0.00045931197988338115,2.197936e-05
,,,,,11100,,37,0,16906,0.72,1.68,-0.24827388999999997,,,,,,,,,,
0,6325,-0.027106800749897957,1.08,0.96,11400,11400,,,,,,,0.0001,370,-0.2624891385436058,0.08047579228878021,0.24671125411987305,0.2,0.1741824723780155,0.0,-0.0006805801736348372,0.00010652949
,,,,,11400,,38,0,17362,0.71,1.67,-0.26117577999999997,,,,,,,,,,
0,6515,-0.06874021503608674,1.18,0.92,11700,11700,,,,,,,0.0001,380,-0.24924926832318306,0.09967591613531113,0.16705214977264404,0.2,0.19733251631259918,0.0,-0.0004718703658973311,1.4153775e-05
,,,,,11700,,39,0,17821,0.76,1.61,-0.24557673000000002,,,,,,,,,,
0,6703,-0.04826069625560194,1.16,0.96,12000,12000,,,,,,,0.0001,390,-0.24740661159157754,0.09981751441955566,0.19628369808197021,0.2,0.1924469955265522,0.0,-0.0001218768166040718,2.0936332e-05
,,,,,12000,,40,0,18269,0.75,1.57,-0.19727002999999996,,,,,,,,,,
0,6886,-0.02993681712076068,1.18,0.94,12300,12300,,,,,,,0.0001,400,-0.24205243214964867,0.07113739103078842,0.2611646056175232,0.2,0.16485665142536163,0.0,-0.00012258709755954555,2.8362689e-05
