env/n_steps,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/success_rate,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/n_updates
8700,0.96,0,3796,1.32,-0.05061740306671709,8700,,,,,,,0.17896238043904306,0.0040182644,0.06170454576611519,-0.015696153886383398,0.13467609882354736,-0.9483916175365448,0.0001,0.042182210832834244,0.2,280
,,,,,,8700,0.84,0,29,2.05,13135,-0.16538694999999998,,,,,,,,,,
9000,0.94,0,3936,1.3,-0.0722282070107758,9000,,,,,,,0.14317961350083352,0.005561816,0.023437500149011612,-0.016512908954173327,0.2112908959388733,-0.972845538854599,0.0001,0.03780968487262726,0.2,290
,,,,,,9000,0.79,0,30,2.18,13594,-0.24597481999999998,,,,,,,,,,
9300,0.94,0,4074,1.52,-0.07478913660161197,9300,,,,,,,0.1614442826807499,0.0049799117,0.04198863655328751,-0.01836179008241743,0.2913009524345398,-0.8969980239868164,0.0001,0.010567745193839073,0.2,300
,,,,,,9300,0.83,0,31,2.3,14054,-0.23025978,,,,,,,,,,
9600,0.98,0,4211,1.26,-0.03076011915691197,9600,,,,,,,0.1508262524008751,0.0057720817,0.04409090936183929,-0.01715315729554277,0.125227153301239,-0.9158607983589172,0.0001,0.045699067413806915,0.2,310
,,,,,,9600,0.79,0,32,2.19,14493,-0.22222543000000003,,,,,,,,,,
9900,0.92,0,4349,1.36,-0.09672408591490239,9900,,,,,,,0.14030337810516358,0.0035564355,0.03059659108519554,-0.014770153434947133,0.28643524646759033,-1.008599579334259,0.0001,-0.00031468644738197327,0.2,320
,,,,,,9900,0.83,0,33,2.03,14949,-0.19079271999999997,,,,,,,,,,
10200,0.92,0,4493,1.42,-0.09203062905464321,10200,,,,,,,0.18754420638084413,0.004878304,0.038096591085195544,-0.015312769442098216,0.01973283290863037,-0.9093938338756561,0.0001,0.042346153408288956,0.2,330
,,,,,,10200,0.83,0,34,2.09,15400,-0.18574480999999998,,,,,,,,,,
10500,0.94,0,4638,1.38,-0.07615704700816422,10500,,,,,,,0.17092111960053444,0.005729305,0.06823863670229911,-0.01945993223809637,0.03553485870361328,-0.8746678030490875,0.0001,0.0368741974234581,0.2,340
,,,,,,10500,0.83,0,35,2.09,15861,-0.1830458,,,,,,,,,,
10800,0.92,0,4791,1.54,-0.09667723788414151,10800,,,,,,,0.14779843702912332,0.005514304,0.0755681823194027,-0.017735816757194697,0.19863557815551758,-0.845227335691452,0.0001,0.034306660294532776,0.2,350
,,,,,,10800,0.84,0,36,1.91,16323,-0.16599598000000002,,,,,,,,,,
11100,0.98,0,4922,1.28,-0.03666203392203897,11100,,,,,,,0.15288084030151367,0.003785655,0.04207386389374733,-0.014232159764505923,0.06768083572387695,-0.8028510379791259,0.0001,0.03879978507757187,0.2,360
,,,,,,11100,0.74,0,37,2.38,16803,-0.27552848,,,,,,,,,,
11400,0.9,0,5070,1.48,-0.11721250089351087,11400,,,,,,,0.14334539011120795,0.0058997115,0.04877840921282768,-0.018128067249199374,0.21265888214111328,-0.8912472951412201,0.0001,0.026781458407640457,0.2,370
,,,,,,11400,0.82,0,38,2.03,17275,-0.20885296,,,,,,,,,,
11700,0.92,0,5206,1.46,-0.09284369407221675,11700,,,,,,,0.13168528884649278,0.0044790907,0.04860795482993126,-0.013859536423115059,0.2969343066215515,-0.876837729215622,0.0001,0.0029578953981399536,0.2,380
,,,,,,11700,0.78,0,39,2.24,17733,-0.21607682,,,,,,,,,,
12000,0.88,0,5347,1.52,-0.11810183334164322,12000,,,,,,,0.13922611460089684,0.0048561012,0.045653409212827685,-0.015293159682769328,0.22408795356750488,-0.8874203705787659,0.0001,-0.0025575347244739532,0.2,390
,,,,,,12000,0.81,0,40,2.13,18204,-0.20891236000000002,,,,,,,,,,
12300,0.92,0,5509,1.62,-0.07602557403035462,12300,,,,,,,0.14541020959615708,0.0028104272,0.034801136404275894,-0.01216030755545944,0.31282687187194824,-0.7977887785434723,0.0001,0.04488107189536095,0.2,400
,,,,,,12300,0.85,0,41,1.97,18658,-0.19080054999999999,,,,,,,,,,
12600,0.94,0,5657,1.44,-0.07844936100300401,12600,,,,,,,0.13986481055617334,0.0058539123,0.054659091234207154,-0.02136435832711868,0.17628836631774902,-0.7929110288619995,0.0001,0.05429159477353096,0.2,410
,,,,,,12600,0.85,0,42,1.97,19103,-0.1910736,,,,,,,,,,
12900,0.88,0,5805,1.62,-0.12034451744053513,12900,,,,,,,0.13757810324430467,0.0056380555,0.038835227489471436,-0.01740539727237774,0.14777153730392456,-0.7913623714447021,0.0001,0.01634570024907589,0.2,420
,,,,,,12900,0.83,0,43,1.91,19559,-0.20386502,,,,,,,,,,
13200,0.92,0,5952,1.4,-0.07504354760050774,13200,,,,,,,0.1473112340271473,0.0026788507,0.011448863744735718,-0.01097581472247839,0.23117631673812866,-0.7026534521579743,0.0001,0.04151033237576485,0.2,430
,,,,,,13200,0.84,0,44,1.97,20021,-0.20770365,,,,,,,,,,
13500,0.94,0,6097,1.34,-0.05053442565724254,13500,,,,,,,0.14560021638870238,0.0024647638,0.013806818276643753,-0.010935568184650038,0.26746666431427,-0.7465082585811615,0.0001,0.029568970203399658,0.2,440
,,,,,,13500,0.82,0,45,2.01,20466,-0.21538680999999996,,,,,,,,,,
13800,0.94,0,6232,1.28,-0.07321345049887895,13800,,,,,,,0.13290841281414031,0.003941926,0.023920454680919648,-0.010092291991459206,0.3189915418624878,-0.7106518769264221,0.0001,0.018079210072755814,0.2,450
,,,,,,13800,0.78,0,46,2.19,20910,-0.27237899,,,,,,,,,,
14100,0.92,0,6375,1.46,-0.09418252584058791,14100,,,,,,,0.15785010769963265,0.0035203323,0.021846590936183928,-0.013383955578319728,0.18688225746154785,-0.7668178629875183,0.0001,0.0014463923871517181,0.2,460
,,,,,,14100,0.82,0,47,2.05,21379,-0.21222080999999998,,,,,,,,,,
14400,0.86,0,6525,1.74,-0.14150596472900362,14400,,,,,,,0.14832437619566918,0.0063623423,0.04218750029802323,-0.0172655185055919,0.2579016089439392,-0.7771850645542144,0.0001,0.027173839509487152,0.2,470
,,,,,,14400,0.88,0,48,1.75,21864,-0.12833152000000003,,,,,,,,,,
14700,1.0,0,6680,1.04,-0.006449006986804307,14700,,,,,,,0.1617813304066658,0.004352488,0.029005682021379472,-0.015007182420231403,0.12598669528961182,-0.6668986082077026,0.0001,0.0378383994102478,0.2,480
,,,,,,14700,0.8,0,49,2.1,22287,-0.24908243000000002,,,,,,,,,,
15000,0.96,0,6837,1.32,-0.05139538046438247,15000,,,,,,,0.18262760758399962,0.004899273,0.04125000014901161,-0.01895033456850797,0.02251499891281128,-0.6188640940189362,0.0001,0.05468026548624039,0.2,490
,,,,,,15000,0.84,0,50,1.91,22735,-0.18188540999999997,,,,,,,,,,
15300,0.96,0,6984,1.28,-0.031254858751781286,15300,,,,,,,0.15044336006045342,0.0036014796,0.07761363670229912,-0.015486709645483644,0.2138216495513916,-0.5374668097496033,0.0001,0.009499076753854752,0.2,500
,,,,,,15300,0.8,0,51,2.1,23171,-0.25001689999999993,,,,,,,,,,
15600,1.0,0,7145,1.08,-0.007114871838130057,15600,,,,,,,0.12736745208501815,0.0041824095,0.047500000298023225,-0.01312032926827669,0.32389092445373535,-0.5754549759626388,0.0001,0.017710547894239426,0.2,510
,,,,,,15600,0.85,0,52,1.83,23614,-0.19536260000000003,,,,,,,,,,
15900,0.96,0,7304,1.2,-0.029006192088127138,15900,,,,,,,0.13765426933765412,0.00328064,0.029715909361839293,-0.012881831293925642,0.23227810859680176,-0.4718763834238052,0.0001,0.019401010125875473,0.2,520
,,,,,,15900,0.86,0,53,1.92,24054,-0.17847548999999996,,,,,,,,,,
16200,1.0,0,7454,1.14,-0.008640183862298726,16200,,,,,,,0.1380150605738163,0.0032592558,0.03383522748947144,-0.012143481014063581,0.23980098962783813,-0.4993967247009277,0.0001,0.027497656643390656,0.2,530
,,,,,,16200,0.88,0,54,1.71,24483,-0.14411134000000003,,,,,,,,,,
