env/current_idx,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/success_rate,env/n_steps,time/fps,env/completion_counter,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1004,1691,1.4,-0.10719144,48,1440,0.91,1440,0,0,0.001,-0.03436717669169127,-0.8356352806091308,-84.20784759521484,-0.06102632358670235,0.013481587,470,0.2,0.12817369094118475,0.08000000230967999,,,
1031,1724,1.35,-0.07184273000000001,49,1470,0.93,1470,0,0,0.001,-0.05706951649238654,-1.0906162977218627,-0.05592787265777588,-0.04147796332836151,0.0391335,480,0.2,0.13337346762418748,0.19000000655651092,,,
1051,1759,1.36,-0.08191715000000001,50,1500,0.92,1500,0,0,0.001,-0.03908659963868573,-1.0572932243347168,-41.742767333984375,-0.0784330740571022,0.027719345,490,0.2,0.023560677003115416,0.10333333723247051,,,
1074,1791,1.3,-0.050958640000000006,51,1530,0.94,1530,0,0,0.001,-0.05316016912460313,-1.0627934694290162,0.2893475890159607,-0.025121748447418213,0.025223223,500,0.2,0.24249975979328156,0.17333333864808081,,,
1098,1831,1.29,-0.06087817000000001,52,1560,0.93,1560,0,0,0.001,-0.028884842021700764,-1.169873833656311,-10.262116432189941,-0.04581348970532417,0.015167615,510,0.2,0.07982921842485666,0.07333333641290665,,,
1123,1863,1.28,-0.07074277000000001,53,1590,0.93,1590,0,0,0.001,-0.04317229996124894,-1.29753258228302,0.07218897342681885,-0.034127261489629745,0.030040514,520,0.2,0.10813997685909271,0.5033333346247673,,,
1146,1897,1.34,-0.08147896000000002,54,1620,0.92,1620,0,0,0.001,-0.05084870738287765,-1.2784191489219665,0.014271080493927002,-0.037851348519325256,0.061000984,530,0.2,0.12816466987133027,0.38000000454485416,,,
1163,1931,1.35,-0.07224993000000002,55,1650,0.93,1650,0,0,0.001,-0.04840542719389003,-1.36611510515213,0.16450589895248413,-0.08365285396575928,0.07355103,540,0.2,0.06320225987583399,0.16000000312924384,,,
1187,1965,1.33,-0.07175306000000001,56,1680,0.94,1680,0,0,0.001,-0.057914135158061965,-1.158180797100067,0.24599546194076538,-0.06400220096111298,0.069028884,550,0.2,0.1038731262087822,0.2933333426713943,,,
1209,1996,1.37,-0.08199419000000001,57,1710,0.93,1710,0,0,0.001,-0.06714107617735862,-1.294468057155609,0.11415636539459229,-0.08324281871318817,0.0825978,560,0.2,0.09490074217319489,0.2766666732728481,,,
1223,2030,1.47,-0.09347408000000001,58,1740,0.91,1740,0,0,0.001,-0.06234364538143078,-1.3962374687194825,0.06983745098114014,-0.03766200691461563,0.050648637,570,0.2,0.16260894536972045,0.23666666969656944,,,
1241,2061,1.58,-0.13672811,59,1770,0.87,1770,0,0,0.001,-0.0894501230989893,-1.4670270681381226,0.273762583732605,-0.118038609623909,0.07844372,580,0.2,0.1196215108036995,0.38333332985639573,,,
1257,2091,1.57,-0.12840981,60,1800,0.88,1800,0,0,0.001,-0.08695519924163815,-1.4341514229774475,0.34763240814208984,-0.11365785449743271,0.0653997,590,0.2,0.10839519016444683,0.3333333395421505,,,
