rollout/success_rate,time/fps,time/total_timesteps,env/completion_counter,time/iterations,env/n_steps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,env/current_idx,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.9,0,5160,0,86,5160,-0.09276292,6587,1.38,3658,-0.029619730974857993,0.03973594,-0.731546288728714,850,0.2,0.001,-0.47537076473236084,0.010352164506912231,0.1668323189020157,0.14166667219251394,,,
0.92,0,5220,0,87,5220,-0.09110397,6664,1.33,3703,-0.01616156936778381,0.012946161,-0.6502658128738403,860,0.2,0.001,0.06383532285690308,0.01854424923658371,0.12050622776150703,0.05000000204890966,,,
0.92,0,5280,0,88,5280,-0.08341182999999999,6739,1.4,3745,-0.04363323808337247,0.04154636,-0.8523826837539673,870,0.2,0.001,0.08508878946304321,-0.03482348844408989,0.09994418472051621,0.19666666612029077,,,
0.95,0,5340,0,89,5340,-0.05384833999999999,6816,1.29,3794,-0.020400494504719903,0.030887146,-0.6552698910236359,880,0.2,0.001,-0.009525775909423828,-0.0038899965584278107,0.08939442038536072,0.14166666865348815,,,
0.94,0,5400,0,90,5400,-0.05361908,6893,1.31,3838,-0.02226813192479309,0.02546263,-0.6746145606040954,890,0.2,0.001,0.29381394386291504,-0.011145027354359627,0.06920851394534111,0.1350000027567148,,,
0.93,0,5460,0,91,5460,-0.050035029999999994,6969,1.28,3889,-0.020411607812469246,0.016404074,-0.5826225221157074,900,0.2,0.001,-0.16054213047027588,0.001134626567363739,0.09589396491646766,0.1550000013783574,,,
0.97,0,5520,0,92,5520,-0.018597690000000004,7046,1.16,3941,-0.007340734160194628,0.028106455,-0.6525979042053223,910,0.2,0.001,0.08209431171417236,-0.004570689983665943,0.026566661521792413,0.08500000201165676,,,
0.99,0,5580,0,93,5580,-0.01781434,7121,1.11,3995,-0.010181729901038671,0.041403607,-0.617785906791687,920,0.2,0.001,0.15126240253448486,-0.0003611613065004349,0.04282027333974838,0.10166666954755783,,,
0.97,0,5640,0,94,5640,-0.03912425,7197,1.21,4040,-0.00905989761580699,0.010634944,-0.7378345608711243,930,0.2,0.001,0.14564192295074463,0.002432122826576233,0.04361074529588223,0.05666666906327009,,,
0.93,0,5700,0,95,5700,-0.06213519000000001,7270,1.34,4081,-0.03553463424866399,0.029289372,-0.675158679485321,940,0.2,0.001,0.10285377502441406,-0.02483895979821682,0.07662751115858554,0.11000000275671482,,,
0.93,0,5760,0,96,5760,-0.06259508,7350,1.33,4127,-0.023066263813525723,0.027378602,-0.6339249849319458,950,0.2,0.001,-0.04295182228088379,0.020682308822870255,0.14955578297376632,0.09666666854172945,,,
