env/n_steps,env/completion_counter,env/current_idx,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance
15600,0,8981,-0.05053340367972851,0.92,15600,1.24,,,,,,,0.0001,-0.0001204375405309932,0.20920186266303062,0.0899023711681366,0.2,3.4391032e-05,-0.2400658905506134,510,0.0,0.15572428703308105
,,,,,15600,,52,0.71,1.65,23167,0,-0.29300026,,,,,,,,,,
15900,0,9178,-0.11095668791793287,0.86,15900,1.3,,,,,,,0.0001,-0.0013341721459028122,0.18990239277482032,0.07241467386484146,0.2,0.0005150781,-0.22816794291138648,520,0.001171875,0.171303391456604
,,,,,15900,,53,0.77,1.58,23635,0,-0.22077507000000005,,,,,,,,,,
16200,0,9365,-0.029744874322786927,0.94,16200,1.24,,,,,,,0.0001,-0.00019975125916715797,0.17516287043690681,0.09238409996032715,0.2,5.5475055e-05,-0.214467191696167,530,0.0,0.25478029251098633
,,,,,16200,,54,0.77,1.61,24068,0,-0.2233753,,,,,,,,,,
16500,0,9559,-0.177633887976408,0.8,16500,1.44,,,,,,,0.0001,-0.0003530842166556525,0.16737234480679036,0.08484330028295517,0.2,2.5399717e-05,-0.20779019892215728,540,0.0,0.24097692966461182
,,,,,16500,,55,0.77,1.51,24534,0,-0.21532981000000004,,,,,,,,,,
16800,0,9754,-0.027199953077360988,0.98,16800,1.08,,,,,,,0.0001,-0.000888835915741204,0.17955418527126313,0.07484836876392365,0.2,4.769359e-05,-0.20038844868540764,550,0.0,0.191841721534729
,,,,,16800,,56,0.83,1.52,24982,0,-0.16934043000000001,,,,,,,,,,
17100,0,9931,-0.027879554806277157,0.96,17100,1.1,,,,,,,0.0001,-0.0006764379564629053,0.15985171608626841,0.04961486905813217,0.2,0.00010120343,-0.18802850246429442,560,0.0,0.21887433528900146
,,,,,17100,,57,0.72,1.68,25404,0,-0.27512580000000003,,,,,,,,,,
17400,0,10123,-0.009039854984730483,0.94,17400,1.16,,,,,,,0.0001,-0.000645163053837905,0.19824814200401306,0.09228728711605072,0.2,2.7366088e-05,-0.18012159392237664,570,0.0,0.21246516704559326
,,,,,17400,,58,0.79,1.55,25825,0,-0.20725766999999998,,,,,,,,,,
17700,0,10301,-0.007533208183012903,0.98,17700,1.1,,,,,,,0.0001,-0.0009663605653095431,0.17655257247388362,0.08895522356033325,0.2,0.00012886862,-0.1676478460431099,580,0.0,0.26204270124435425
,,,,,17700,,59,0.65,1.75,26258,0,-0.28346991000000005,,,,,,,,,,
18000,0,10499,-0.06894239123445005,0.9,18000,1.22,,,,,,,0.0001,-0.00026293464239159905,0.18860884234309197,0.10070732235908508,0.2,3.9436167e-05,-0.1553136222064495,590,0.0,0.2238224744796753
,,,,,18000,,60,0.81,1.44,26692,0,-0.20555011999999995,,,,,,,,,,
18300,0,10677,-0.08895735958125442,0.92,18300,1.16,,,,,,,0.0001,-0.0017018462849591742,0.15931943841278554,0.06079695746302605,0.2,0.00014955329,-0.14702099040150643,600,0.0,0.3442138433456421
,,,,,18300,,61,0.67,1.76,27124,0,-0.3184717,,,,,,,,,,
18600,0,10877,-0.028226718292571604,0.96,18600,1.14,,,,,,,0.0001,-0.00031147086586731377,0.18984356075525283,0.07921658456325531,0.2,8.811397e-05,-0.13244296982884407,610,0.0,0.2066962718963623
,,,,,18600,,62,0.86,1.42,27571,0,-0.14932992,,,,,,,,,,
18900,0,11061,-0.06956894157454371,0.92,18900,1.22,,,,,,,0.0001,-6.421254286332889e-05,0.15082358866930007,0.05664847791194916,0.2,5.980763e-06,-0.12920609414577483,620,0.0,0.23715704679489136
,,,,,18900,,63,0.82,1.48,28012,0,-0.17744261000000003,,,,,,,,,,
19200,0,11245,-0.048302432261407374,0.94,19200,1.16,,,,,,,0.0001,-0.0003031934262976321,0.17926282733678817,0.07050413638353348,0.2,3.5972855e-05,-0.12925684675574303,630,0.0,0.22588294744491577
,,,,,19200,,64,0.71,1.67,28451,0,-0.24496928999999998,,,,,,,,,,
