env/n_steps,env/completion_counter,env/current_idx,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance
53400,0,32742,-0.04880041096825152,0.96,53400,1.12,,,,,,,0.0001,3.2744454703248494e-09,0.17188833951950072,0.07271121442317963,0.2,0.0,-0.040714047476649286,1770,0.0,0.2119295597076416
,,,,,53400,,178,0.78,1.54,77647,0,-0.21416383,,,,,,,,,,
53700,0,32943,-0.029062385973520576,0.94,53700,1.2,,,,,,,0.0001,-0.00037374084482002525,0.17545888312160968,0.08252310752868652,0.2,5.187873e-05,-0.04049205239862204,1780,0.0,0.1968255639076233
,,,,,53700,,179,0.8,1.52,78097,0,-0.17336388000000003,,,,,,,,,,
54000,0,33125,-0.05051752476487309,0.86,54000,1.32,,,,,,,0.0001,-1.464716326005089e-09,0.15411767810583116,0.07949459552764893,0.2,0.0,-0.038543272949755195,1790,0.0,0.23657435178756714
,,,,,54000,,180,0.76,1.6,78536,0,-0.19634744999999998,,,,,,,,,,
54300,0,33315,-0.06915751370135695,0.92,54300,1.2,,,,,,,0.0001,1.1252070120093548e-08,0.15558251664042472,0.08811024576425552,0.2,0.0,-0.03795359954237938,1800,0.0,0.233811616897583
,,,,,54300,,181,0.78,1.53,78957,0,-0.23472538999999998,,,,,,,,,,
54600,0,33500,-0.09083806412294507,0.9,54600,1.24,,,,,,,0.0001,-0.0002147051860278637,0.15790711864829063,0.07061339914798737,0.2,1.5529253e-05,-0.038655393198132514,1810,0.0,0.3476603627204895
,,,,,54600,,182,0.76,1.57,79406,0,-0.22826206999999996,,,,,,,,,,
54900,0,33695,-0.03004336861893535,0.92,54900,1.24,,,,,,,0.0001,-0.0005327210634608725,0.15969494096934794,0.07300986349582672,0.2,1.1449913e-05,-0.040911851823329924,1820,0.0,0.29049742221832275
,,,,,54900,,183,0.82,1.49,79845,0,-0.16599512000000005,,,,,,,,,,
55200,0,33884,-0.13004840589594097,0.86,55200,1.36,,,,,,,0.0001,-0.00019761651862855168,0.15322325825691224,0.0787266194820404,0.2,2.387783e-05,-0.03997280728071928,1830,0.0,0.2878614664077759
,,,,,55200,,184,0.75,1.55,80291,0,-0.24003716000000005,,,,,,,,,,
55500,0,34066,-0.02781033357605338,0.96,55500,1.12,,,,,,,0.0001,5.773670510578199e-08,0.1568192332983017,0.0703255757689476,0.2,6.7732553e-10,-0.03867290634661913,1840,0.0,0.3138083815574646
,,,,,55500,,185,0.74,1.62,80736,0,-0.22693395000000002,,,,,,,,,,
55800,0,34250,-0.08969577129930258,0.92,55800,1.2,,,,,,,0.0001,1.2911515412383777e-09,0.203023249655962,0.1070098802447319,0.2,0.0,-0.0377919789403677,1850,0.0,0.13019448518753052
,,,,,55800,,186,0.74,1.59,81168,0,-0.22505395,,,,,,,,,,
56100,0,34431,-0.11077542652841657,0.88,56100,1.26,,,,,,,0.0001,-0.0003395664299290502,0.1869462601840496,0.0684206634759903,0.2,4.1088555e-05,-0.036911877989768985,1860,0.0,0.21913862228393555
,,,,,56100,,187,0.73,1.65,81622,0,-0.26372533,,,,,,,,,,
56400,0,34626,-0.1519898613123223,0.84,56400,1.34,,,,,,,0.0001,7.789696205406926e-06,0.18961476907134056,0.10682091116905212,0.2,7.111918e-08,-0.03502827156335116,1870,0.0,0.21785497665405273
,,,,,56400,,188,0.72,1.64,82065,0,-0.25598929,,,,,,,,,,
56700,0,34813,-0.0898480537161231,0.92,56700,1.24,,,,,,,0.0001,-5.380504619623139e-09,0.16517715454101561,0.06265934556722641,0.2,0.0,-0.035096126049757,1880,0.0,0.29078131914138794
,,,,,56700,,189,0.76,1.56,82528,0,-0.23281095000000002,,,,,,,,,,
57000,0,35000,-0.11500895095523447,0.88,57000,1.3,,,,,,,0.0001,1.5320256441242464e-08,0.15578797459602356,0.0715157613158226,0.2,0.0,-0.03516772221773863,1890,0.0,0.3003685474395752
,,,,,57000,,190,0.78,1.5,83001,0,-0.20603655999999998,,,,,,,,,,
57300,0,35197,-0.09030215019825846,0.92,57300,1.16,,,,,,,0.0001,-0.0003214085051278737,0.16711502075195311,0.06545484811067581,0.2,3.0681025e-05,-0.03402371276170015,1900,0.0,0.2747858166694641
,,,,,57300,,191,0.79,1.57,83432,0,-0.18534459999999997,,,,,,,,,,
57600,0,35383,-0.07042534733191133,0.94,57600,1.14,,,,,,,0.0001,-0.0001815696172813297,0.1453922614455223,0.08855859935283661,0.2,6.3172774e-06,-0.03214307967573404,1910,0.0,0.25264084339141846
,,,,,57600,,192,0.83,1.52,83874,0,-0.16687670000000002,,,,,,,,,,
57900,0,35576,-0.06954651040025056,0.94,57900,1.16,,,,,,,0.0001,-0.00042037487338275614,0.1709830269217491,0.06316227465867996,0.2,2.1613436e-05,-0.03004488945007324,1920,0.0,0.28120213747024536
,,,,,57900,,193,0.79,1.57,84296,0,-0.17228414999999997,,,,,,,,,,
58200,0,35761,-0.13764847883954645,0.84,58200,1.38,,,,,,,0.0001,-0.0005800250335603607,0.16648786142468452,0.10376225411891937,0.2,1.6924925e-05,-0.028079463355243205,1930,0.0,0.24904239177703857
,,,,,58200,,194,0.7,1.7,84747,0,-0.2726446,,,,,,,,,,
58500,0,35954,-0.04860784034244716,0.94,58500,1.14,,,,,,,0.0001,-0.00012009312314094078,0.1740173652768135,0.0757347121834755,0.2,1.077808e-05,-0.025379828456789256,1940,0.0,0.24734735488891602
,,,,,58500,,195,0.83,1.52,85173,0,-0.1522781,,,,,,,,,,
58800,0,36156,-0.027315490320324896,0.98,58800,1.06,,,,,,,0.0001,3.879805199336062e-09,0.15188342109322547,0.0764397457242012,0.2,0.0,-0.024192339926958083,1950,0.0,0.18933457136154175
,,,,,58800,,196,0.85,1.45,85604,0,-0.14787618000000002,,,,,,,,,,
59100,0,36338,-0.11038091617636382,0.88,59100,1.32,,,,,,,0.0001,-0.0007775506353937534,0.15024835132062436,0.058301012963056564,0.2,4.8093963e-05,-0.02322814045473933,1960,0.0001953125,0.20357650518417358
,,,,,59100,,197,0.7,1.72,86047,0,-0.28388842000000003,,,,,,,,,,
59400,0,36526,-0.04845573975238949,0.96,59400,1.12,,,,,,,0.0001,-2.0183347679836317e-06,0.1663016803562641,0.0635347068309784,0.2,1.6763806e-08,-0.02194545241072774,1970,0.0,0.23324692249298096
,,,,,59400,,198,0.77,1.62,86461,0,-0.20852094000000002,,,,,,,,,,
59700,0,36717,-0.09011499257292599,0.9,59700,1.26,,,,,,,0.0001,-9.448690696522987e-09,0.14067135341465473,0.06217615678906441,0.2,0.0,-0.02135580824688077,1980,0.0,0.33339381217956543
,,,,,59700,,199,0.77,1.63,86893,0,-0.23400785999999993,,,,,,,,,,
60000,0,36915,-0.02759815277531743,0.96,60000,1.1,,,,,,,0.0001,-0.0003037253486023461,0.18456463217735292,0.11836249381303787,0.2,2.9352144e-05,-0.020707722380757333,1990,0.0,0.18888986110687256
,,,,,60000,,200,0.8,1.5,87372,0,-0.19102042000000005,,,,,,,,,,
60300,0,37102,-0.048593856762163344,0.92,60300,1.2,,,,,,,0.0001,-5.682761035075146e-08,0.15014665238559247,0.07493193447589874,0.2,0.0,-0.019812391698360445,2000,0.0,0.25855475664138794
,,,,,60300,,201,0.73,1.61,87793,0,-0.26383335999999996,,,,,,,,,,
60600,0,37296,-0.13376757841557263,0.86,60600,1.3,,,,,,,0.0001,7.654836720050184e-09,0.1796554945409298,0.0762205719947815,0.2,0.0,-0.01956283701583743,2010,0.0,0.20786243677139282
,,,,,60600,,202,0.76,1.57,88242,0,-0.21538671999999998,,,,,,,,,,
60900,0,37495,-0.08953334456309676,0.92,60900,1.24,,,,,,,0.0001,1.4308501139481677e-08,0.16663296148180962,0.07620206475257874,0.2,0.0,-0.019546745531260967,2020,0.0,0.2548946142196655
,,,,,60900,,203,0.78,1.53,88684,0,-0.21612089999999998,,,,,,,,,,
61200,0,37680,-0.04725608605891466,0.96,61200,1.12,,,,,,,0.0001,5.126507529595869e-09,0.1809949569404125,0.08332677185535431,0.2,0.0,-0.019538561906665565,2030,0.0,0.22400957345962524
,,,,,61200,,204,0.77,1.52,89107,0,-0.22686132999999997,,,,,,,,,,
61500,0,37872,-0.13298019215464593,0.88,61500,1.3,,,,,,,0.0001,-0.00011355830587560512,0.16129811182618142,0.07490533590316772,0.2,9.751201e-06,-0.019438864756375553,2040,0.0,0.2987564206123352
,,,,,61500,,205,0.76,1.59,89566,0,-0.24799223999999997,,,,,,,,,,
61800,0,38072,-0.0700840818369761,0.94,61800,1.18,,,,,,,0.0001,-4.89069154186339e-05,0.1414316039532423,0.07187380641698837,0.2,3.2840762e-06,-0.018864297587424517,2050,0.0,0.38479483127593994
,,,,,61800,,206,0.81,1.55,90014,0,-0.18128791999999996,,,,,,,,,,
62100,0,38265,-0.0491892178542912,0.94,62100,1.18,,,,,,,0.0001,-3.6046416518331627e-09,0.1458753388375044,0.0827363133430481,0.2,0.0,-0.019258359167724847,2060,0.0,0.22977596521377563
,,,,,62100,,207,0.74,1.65,90506,0,-0.22570751000000006,,,,,,,,,,
62400,0,38452,-0.026755086705088617,0.98,62400,1.06,,,,,,,0.0001,-2.1888569649863854e-05,0.1557897537946701,0.07561703026294708,0.2,2.954388e-06,-0.019524816144257783,2070,0.0,0.2757081389427185
,,,,,62400,,208,0.73,1.62,90958,0,-0.26454323,,,,,,,,,,
62700,0,38639,-0.07004943506326526,0.9,62700,1.28,,,,,,,0.0001,-0.00040897161207720245,0.183736352622509,0.0913696363568306,0.2,0.00011548184,-0.01949370987713337,2080,0.0,0.20512008666992188
,,,,,62700,,209,0.78,1.51,91432,0,-0.22135397999999998,,,,,,,,,,
63000,0,38818,-0.04847052407450974,0.92,63000,1.22,,,,,,,0.0001,-4.920657044147347e-05,0.1721664510667324,0.0692848190665245,0.2,4.222966e-06,-0.018135168217122556,2090,0.0,0.26345932483673096
,,,,,63000,,210,0.73,1.64,91913,0,-0.24510687999999997,,,,,,,,,,
63300,0,39008,-0.02921588787343353,0.94,63300,1.22,,,,,,,0.0001,3.5347926363726858e-09,0.158445093780756,0.06861966848373413,0.2,0.0,-0.017501736246049403,2100,0.0,0.2959590554237366
,,,,,63300,,211,0.73,1.62,92377,0,-0.27436274,,,,,,,,,,
63600,0,39189,-0.06845736918970942,0.92,63600,1.2,,,,,,,0.0001,6.758438564347102e-09,0.15916824005544186,0.05535757541656494,0.2,0.0,-0.017381890583783387,2110,0.0,0.35277485847473145
,,,,,63600,,212,0.71,1.65,92823,0,-0.28586690000000003,,,,,,,,,,
63900,0,39382,-0.09028810483869165,0.9,63900,1.24,,,,,,,0.0001,1.646747793682124e-09,0.17775525599718095,0.08263681083917618,0.2,0.0,-0.01736446190625429,2120,0.0,0.3197193741798401
,,,,,63900,,213,0.8,1.49,93302,0,-0.20042249,,,,,,,,,,
64200,0,39568,-0.08917662109714002,0.92,64200,1.24,,,,,,,0.0001,-1.656047110856207e-05,0.13964871540665627,0.05396682769060135,0.2,1.1976808e-06,-0.01748914336785674,2130,0.0,0.4249643087387085
,,,,,64200,,214,0.78,1.5,93762,0,-0.20750221,,,,,,,,,,
64500,0,39756,-0.07194844332523644,0.9,64500,1.28,,,,,,,0.0001,-0.00025243071692220286,0.14890038929879665,0.10196442902088165,0.2,2.5698217e-05,-0.018278869055211543,2140,0.0,0.35361582040786743
,,,,,64500,,215,0.76,1.66,94500,0,-0.21327292000000003,,,,,,,,,,
64800,0,39946,-0.06930070511065424,0.92,64800,1.24,,,,,,,0.0001,-0.00046035040183838304,0.17271202206611633,0.07531023025512695,0.2,9.274494e-05,-0.01946981009095907,2150,0.0,0.17662549018859863
,,,,,64800,,216,0.81,1.56,94964,0,-0.19314132,,,,,,,,,,
65100,0,40142,-0.09101162899751217,0.92,65100,1.28,,,,,,,0.0001,-0.00027399346171561587,0.17231022231280804,0.09960929304361343,0.2,1.7078826e-05,-0.019699328392744065,2160,0.0,0.23392456769943237
,,,,,65100,,217,0.74,1.57,95447,0,-0.27239450000000004,,,,,,,,,,
65400,0,40339,-0.06789471033960581,0.94,65400,1.18,,,,,,,0.0001,-3.055815759571701e-05,0.15699746012687682,0.08759574592113495,0.2,4.435773e-06,-0.02005215045064688,2170,0.0,0.3607938885688782
,,,,,65400,,218,0.82,1.46,95902,0,-0.14708619999999997,,,,,,,,,,
65700,0,40521,-0.07047402694821357,0.88,65700,1.3,,,,,,,0.0001,-3.734875076204514e-05,0.17506086826324463,0.08311571180820465,0.2,1.1591072e-05,-0.018986143171787262,2180,0.0,0.184584379196167
,,,,,65700,,219,0.77,1.53,96417,0,-0.21375533000000002,,,,,,,,,,
66000,0,40715,-0.04770230683032423,0.94,66000,1.14,,,,,,,0.0001,-2.1342526665968364e-07,0.18237082436680793,0.06412692368030548,0.2,0.0,-0.018559548072516918,2190,0.0,0.19697576761245728
,,,,,66000,,220,0.78,1.52,96934,0,-0.20675093999999997,,,,,,,,,,
66300,0,40909,-0.047534568374976514,0.96,66300,1.12,,,,,,,0.0001,-0.00019382023337617406,0.14987795539200305,0.07315804064273834,0.2,1.4832593e-05,-0.017853698600083588,2200,0.0,0.3677762746810913
,,,,,66300,,221,0.81,1.49,97403,0,-0.18732643,,,,,,,,,,
66600,0,41082,-0.13595065666362643,0.84,66600,1.42,,,,,,,0.0001,2.8701667709185585e-09,0.1640635807067156,0.11282867193222046,0.2,0.0,-0.016960377525538205,2210,0.0,0.2973570227622986
,,,,,66600,,222,0.69,1.79,97867,0,-0.28356293,,,,,,,,,,
66900,0,41272,-0.07069493608549238,0.94,66900,1.14,,,,,,,0.0001,1.5166799460786252e-08,0.16389698423445226,0.07196597009897232,0.2,0.0,-0.016775662917643784,2220,0.0,0.3252687454223633
,,,,,66900,,223,0.76,1.61,98365,0,-0.23252219999999998,,,,,,,,,,
67200,0,41455,-0.06862681154161691,0.94,67200,1.18,,,,,,,0.0001,-1.3102014984056608e-08,0.1639338791370392,0.08215919137001038,0.2,0.0,-0.016751764342188835,2230,0.0,0.27190208435058594
,,,,,67200,,224,0.72,1.69,98821,0,-0.25003912,,,,,,,,,,
