env/n_steps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/success_rate,env/completion_counter,time/iterations,env/current_idx,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/clip_range,eval/mean_reward,eval/mean_ep_length,eval/success_rate
32460,-0.06270414999999999,1.37,32460,41584,0.91,1,541,7768,0,0.24000000908970834,27000,-0.07306700408458709,0.1609591245651245,-0.05183122355490923,0.001,0.08743537396192551,1.0590814,-0.03775879368185997,0.2,,,
32520,-0.08266656,1.33,32520,41651,0.92,1,542,7810,0,0.18833333492279053,27050,-0.08744241535663605,-0.1715010404586792,-0.025164542560155177,0.001,0.06472712360322476,0.25561956,-0.008653692901134491,0.2,,,
32580,-0.12364484,1.46,32580,41717,0.88,1,543,7849,0,0.2376666758209467,27100,-0.05774783782660961,0.00995790958404541,-0.05891358349968996,0.001,0.1507466432452202,0.5236856,0.0001720041036605835,0.2,,,
32640,-0.11305430999999999,1.43,32640,41785,0.9,1,544,7896,0,0.23566667333245278,27150,-0.06453220821917056,0.48801666498184204,-0.0473829183975856,0.001,0.07359769135713577,1.1559895,-0.03717426955699921,0.2,,,
32700,-0.05986400000000001,1.23,32700,41854,0.95,1,545,7947,0,0.21200000181794165,27200,-0.0400466787070036,0.4979090094566345,-0.05962060965349274,0.001,0.04741967245936394,1.3120457,-0.05348016321659088,0.2,,,
32760,-0.06190888000000001,1.33,32760,41926,0.94,1,546,7988,0,0.2383333396539092,27250,-0.12120803892612457,-0.03751111030578613,-0.04062312510485455,0.001,0.05369448345154524,0.49863738,-0.04253740608692169,0.2,,,
32820,-0.09577862,1.39,32820,41996,0.91,1,547,8031,0,0.2470000036805868,27300,-0.14042076110839843,0.3191273808479309,-0.04091368524109324,0.001,0.05427044436335564,0.18142572,-0.03536381945014,0.2,,,
32880,-0.0864025,1.34,32880,42067,0.92,1,548,8079,0,0.35500000186264513,27350,-0.15845344245433807,0.15012603998184204,-0.08274730549752711,0.001,0.11776084974408149,0.75688857,-0.07697270810604095,0.2,,,
32940,-0.07547568,1.29,32940,42138,0.93,1,549,8120,0,0.12366667218506336,27400,-0.02596562922000885,0.09025442600250244,-0.01677507687608401,0.001,0.07301645856350661,0.38013878,-0.010635094717144966,0.2,,,
33000,-0.08499333,1.41,33000,42206,0.9,1,550,8164,0,0.13666667185723783,27450,-0.056090624183416364,0.38784289360046387,-0.02895332739564278,0.001,0.04434982910752296,0.12746643,-0.021262943744659424,0.2,,,
33060,-0.08446879000000002,1.35,33060,42288,0.91,1,551,8211,0,0.05133333437144756,27500,-0.031707541830837724,-0.4649754762649536,-0.0023028341189880665,0.001,0.04918236523866654,0.04510613,0.013237078674137592,0.2,,,
33120,-0.07068136,1.26,33120,42365,0.93,1,552,8258,0,0.16133333779871464,27550,-0.05562555655837059,0.17069196701049805,-0.03865925547480586,0.001,0.11417696550488472,0.2554838,0.006900064647197723,0.2,,,
33180,-0.06030735999999999,1.28,33180,42438,0.93,1,553,8306,0,0.17033333737403156,27600,-0.06704497948288918,0.4464106559753418,-0.024486940370872644,0.001,0.029685883820056914,0.8132707,-0.020758066326379776,0.2,,,
33240,-0.08053709000000003,1.32,33240,42511,0.92,1,554,8349,0,0.15633333809673786,27650,-0.036033182963728906,0.5191140174865723,-0.040705130619307396,0.001,0.017998113215435298,0.73499715,-0.04333871230483055,0.2,,,
