env/current_idx,env/completion_counter,env/n_steps,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/value_loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
713,0,1020,1020,0.93,1.27,1141,34,0,-0.07035820999999999,1650,0.2,0.360666673257947,-0.07420745843152206,-0.3455008512735367,-0.006037116050720215,0.001,-0.0861194059252739,0.16676758,0.014460083412704989,,,
737,0,1050,1050,0.94,1.25,1173,35,0,-0.060132429999999994,1700,0.2,0.25133334010839464,-0.0616216671162595,-0.29675280809402466,-0.07337784767150879,0.001,-0.10819032788276672,0.5487,0.05844518709811382,,,
760,0,1080,1080,0.94,1.23,1207,36,0,-0.07036612999999999,1750,0.2,0.23800000958144665,-0.07310619473954043,-0.36071840703487396,-0.13999032974243164,0.001,-0.08139181137084961,0.16478491,0.03278095913701691,,,
787,0,1110,1110,0.95,1.23,1244,37,0,-0.0617936,1800,0.2,0.2673333438485861,-0.07104268190761409,-0.18251660495996475,0.12507402896881104,0.001,-0.08575569838285446,0.8488271,0.0298839822167065,,,
807,0,1140,1140,0.93,1.3,1278,38,0,-0.08339392999999999,1850,0.2,0.2246666755527258,-0.02931876864035921,-0.21989883929491044,-152.8809814453125,0.001,-0.03853202983736992,0.29605013,0.005336396441562101,,,
826,0,1170,1170,0.92,1.31,1310,39,0,-0.08347851000000002,1900,0.2,0.3340000065416098,-0.09120688270839551,-0.27558059990406036,0.0338708758354187,0.001,-0.11408282071352005,0.40331456,0.11716743453871459,,,
852,0,1200,1200,0.93,1.31,1344,40,0,-0.07358044999999999,1950,0.2,0.474000007212162,-0.11303032422065735,-0.3613974893093109,0.3917262554168701,0.001,-0.12141083925962448,0.7919239,0.011079741569119506,,,
870,0,1230,1230,0.91,1.39,1377,41,0,-0.0934374,2000,0.2,0.5800000089406967,-0.061987125275035734,-0.45790066361427306,-131.5872039794922,0.001,-0.07074514776468277,1.5342325,0.0013841560902073979,,,
890,0,1260,1260,0.88,1.46,1411,42,0,-0.11301784000000001,2050,0.2,0.5133333446085453,-0.11884368456651764,-0.5550903761386872,0.1771809458732605,0.001,-0.14084069430828094,0.3238902,0.0637506376276724,,,
912,0,1290,1290,0.92,1.36,1442,43,0,-0.08153739000000003,2100,0.2,0.3340000055730343,-0.08187431487192709,-0.2652184295654297,-0.030104398727416992,0.001,-0.10879284888505936,0.247509,0.03255467278824654,,,
932,0,1320,1320,0.89,1.44,1475,44,0,-0.11335058,2150,0.2,0.3526666735112667,-0.03733465831726789,-0.1834726646542549,-1.7310802936553955,0.001,-0.05155014619231224,0.24965246,0.045160496410680935,,,
953,0,1350,1350,0.88,1.46,1509,45,0,-0.12347140999999998,2200,0.2,0.44400000452995303,-0.09219773885111017,-0.2824779623746872,-0.26130521297454834,0.001,-0.11555220931768417,0.63513446,0.09810053456807509,,,
977,0,1380,1380,0.89,1.4,1547,46,0,-0.12473661,2250,0.2,0.4220000021159649,-0.09681340197970471,-0.1716918107867241,-0.011019706726074219,0.001,-0.11913507431745529,0.8712785,0.01980018000060227,,,
996,0,1410,1410,0.88,1.41,1580,47,0,-0.12545349,2300,0.2,0.2680000102519989,-0.07127231969187654,-0.10707104846835136,0.16270524263381958,0.001,-0.07965691387653351,0.40052238,0.04470432685571723,,,
1021,0,1440,1440,0.92,1.34,1612,48,0,-0.08444297,2350,0.2,0.2720000107586384,-0.06407000213116404,-0.0876948407292366,0.135226309299469,0.001,-0.07272002100944519,0.36049393,0.03681485360488296,,,
1038,0,1470,1470,0.9,1.42,1647,49,0,-0.10514733999999998,2400,0.2,0.2346666730940342,-0.04305047033230462,-0.1266237325966358,-238.73013305664062,0.001,-0.060523707419633865,0.6127039,0.012792264865711332,,,
1057,0,1500,1500,0.89,1.46,1682,50,0,-0.11583056000000003,2450,0.2,0.41933334201574324,-0.0983960147847732,-0.2272728303074837,0.03516596555709839,0.001,-0.13070785999298096,0.5882227,0.0888580031064339,,,
1077,0,1530,1530,0.88,1.5,1716,51,0,-0.12440582000000001,2500,0.2,0.3600000061094761,-0.0763387493491173,-0.30524523586034774,0.27466195821762085,0.001,-0.09225350618362427,0.15812899,0.017312643868499435,,,
1097,0,1560,1560,0.9,1.47,1748,52,0,-0.11319602,2550,0.2,0.40866666950285435,-0.09502119825159511,-0.24199538469314574,0.14350152015686035,0.001,-0.11425106972455978,0.38434255,0.07825079815578646,,,
1125,0,1590,1590,0.91,1.4,1780,53,0,-0.10218909,2600,0.2,0.3793333387374878,-0.08054891836643219,-0.17511453598737717,-0.3051398992538452,0.001,-0.08747313171625137,0.902819,0.012906641113222577,,,
1145,0,1620,1620,0.91,1.37,1813,54,0,-0.10204240999999997,2650,0.2,0.24000001043081284,-0.06286610405147075,-0.11314960598945617,0.2682969570159912,0.001,-0.06626269221305847,0.14085047,0.006592827268614201,,,
