time/time_elapsed,time/fps,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,env/current_idx,env/n_steps,env/completion_counter,time/iterations,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_range,eval/mean_reward,eval/success_rate,eval/mean_ep_length
56724,0,47160,0.93,1.27,3752,47160,2,786,-0.08015520999999999,0.1706089749932289,7850,0.0806562751531601,-0.11912843510508538,0.0,4.1127205e-07,-1.2055734827809416e-05,0.0001,-0.2330164909362793,0.2,,,
56794,0,47220,0.96,1.23,3801,47220,2,787,-0.04995470000000001,0.12889072597026824,7860,0.060919083654880524,-0.11600662618875504,0.0,0.0,-7.4555726534197845e-06,0.0001,0.11312335729598999,0.2,,,
56862,0,47280,0.95,1.28,3847,47280,2,788,-0.05118272999999998,0.0367621773853898,7870,0.013672118075191975,-0.11824897080659866,0.0,4.643202e-06,-4.7002236806292784e-05,0.0001,0.5137501955032349,0.2,,,
56929,0,47340,0.95,1.26,3895,47340,2,789,-0.040512950000000006,0.09312110543251037,7880,0.043153297156095505,-0.1195131741464138,0.0,7.358988e-05,-0.000323609360724042,0.0001,0.1278831958770752,0.2,,,
56999,0,47400,0.94,1.28,3937,47400,2,790,-0.06131899,0.039218370616436,7890,0.01520482450723648,-0.12368457391858101,0.0,0.00029475093,-0.001258265678479731,0.0001,0.261447548866272,0.2,,,
57069,0,47460,0.93,1.26,3989,47460,2,791,-0.07212559999999998,0.12067296952009202,7900,0.050007469952106476,-0.13909916281700135,0.003333333507180214,0.0005325148,-0.0022119068356309056,0.0001,0.3903535008430481,0.2,,,
57136,0,47520,0.93,1.25,4035,47520,2,792,-0.06048419,0.08756254240870476,7910,0.03878602012991905,-0.1572291746735573,0.0,0.0001515468,-0.0004381941726023797,0.0001,-0.06162846088409424,0.2,,,
57201,0,47580,0.93,1.26,4083,47580,2,793,-0.07183611999999999,0.09511040821671486,7920,0.040544379502534866,-0.17206159979104996,0.0,0.00010916591,-0.0004641054123688093,0.0001,0.28173917531967163,0.2,,,
57273,0,47640,0.9,1.36,4122,47640,2,794,-0.09476439999999998,0.11453135833144187,7930,0.0517425499856472,-0.1714061751961708,0.0,6.595751e-05,-0.000500257466119347,0.0001,0.24752604961395264,0.2,,,
57340,0,47700,0.9,1.37,4167,47700,2,795,-0.10232322999999999,0.11064680740237236,7940,0.03925880417227745,-0.15622947067022325,0.013333334028720856,0.0024781048,-0.005503472509250695,0.0001,0.43847477436065674,0.2,,,
57408,0,47760,0.91,1.35,4212,47760,2,796,-0.08143175,0.1115626223385334,7950,0.05130181834101677,-0.14205095171928406,0.0,2.7875105e-06,-9.018878225708349e-05,0.0001,0.5167732238769531,0.2,,,
57478,0,47820,0.89,1.39,4255,47820,2,797,-0.10255766,0.07387801557779312,7960,0.031064454466104507,-0.1346662238240242,0.0,2.3245812e-07,-2.1614134405667507e-05,0.0001,0.3313544988632202,0.2,,,
57543,0,47880,0.91,1.37,4297,47880,2,798,-0.08256858999999998,0.08071768879890442,7970,0.03331081196665764,-0.12894727438688278,0.0,1.7462175e-05,-0.00021128604522946404,0.0001,0.6573023796081543,0.2,,,
57610,0,47940,0.94,1.29,4346,47940,2,799,-0.05140204000000002,0.12135655134916305,7980,0.054565709084272385,-0.13202828615903855,0.0,5.265077e-08,-5.851984021809642e-06,0.0001,-0.23880648612976074,0.2,,,
,,48000,,,4393,48000,2,,,0.06540118865668773,7990,0.027343278750777245,-0.13617535531520844,0.0,0.0001235813,-0.0010828494393111399,0.0001,0.40226060152053833,0.2,-0.008031223113648593,0.99,1.1
57809,0,48000,0.94,1.26,,,,800,-0.05083254000000001,,,,,,,,,,,,,
57878,0,48060,0.93,1.3,4433,48060,2,801,-0.06134384000000001,0.07371812611818314,8000,0.028867583721876144,-0.15041670799255372,0.001666666753590107,0.00034981768,-0.0020963096399402303,0.0001,0.25061720609664917,0.2,,,
57948,0,48120,0.89,1.4,4479,48120,2,802,-0.09279690999999998,0.13686037212610244,8010,0.055936213582754135,-0.16219414472579957,0.0,0.00034223098,-0.002772619744470539,0.0001,0.06725746393203735,0.2,,,
58018,0,48180,0.9,1.36,4526,48180,2,803,-0.09229847000000001,0.111359953135252,8020,0.04875792935490608,-0.15358975529670715,0.0,1.4126301e-06,-4.671290603095457e-05,0.0001,0.34588736295700073,0.2,,,
58085,0,48240,0.94,1.24,4576,48240,2,804,-0.06031221,0.083064104616642,8030,0.03616561368107796,-0.1557171404361725,0.0,1.4901161e-08,-1.2863030060472624e-05,0.0001,0.45431411266326904,0.2,,,
58158,0,48300,0.92,1.28,4618,48300,2,805,-0.060636789999999996,0.07334563732147217,8040,0.03183488920331001,-0.15372755974531174,0.0,9.159247e-07,-1.2685209434515344e-05,0.0001,0.37819480895996094,0.2,,,
58228,0,48360,0.91,1.32,4664,48360,2,806,-0.07061068,0.07865563407540321,8050,0.03156827390193939,-0.14978217333555222,0.0,0.00020273328,-0.001285818479664158,0.0001,0.504554033279419,0.2,,,
58292,0,48420,0.94,1.25,4715,48420,2,807,-0.05004988,0.08940102159976959,8060,0.042391009628772736,-0.14112669080495835,0.0,0.00013627709,0.00020483290087831564,0.0001,0.3901071548461914,0.2,,,
58355,0,48480,0.97,1.2,4763,48480,2,808,-0.01934406,0.038967561721801755,8070,0.017636144533753395,-0.136305832862854,0.0,1.0118882e-05,-9.058424561469991e-05,0.0001,0.3516685962677002,0.2,,,
58422,0,48540,0.96,1.24,4811,48540,2,809,-0.039448210000000004,0.026890228036791086,8080,0.004312340635806322,-0.134103424847126,0.0,0.00020669897,-0.0013990504931038039,0.0001,-11.230609893798828,0.2,,,
58491,0,48600,0.95,1.27,4859,48600,2,810,-0.05959366000000002,0.12395790591835976,8090,0.0572173185646534,-0.1223386436700821,0.0,1.0867914e-06,2.56144004623593e-05,0.0001,0.30827707052230835,0.2,,,
58555,0,48660,0.92,1.3,4904,48660,2,811,-0.09030938000000001,0.09918580278754234,8100,0.04515806958079338,-0.11646710708737373,0.0,1.2119611e-07,1.9811590535434574e-06,0.0001,0.0010102391242980957,0.2,,,
58631,0,48720,0.92,1.25,4954,48720,2,812,-0.09038868000000001,0.10949444249272347,8110,0.04554596170783043,-0.11335589587688447,0.0,0.0,-7.963180408854242e-07,0.0001,0.4885600209236145,0.2,,,
58701,0,48780,0.93,1.28,4996,48780,2,813,-0.07035986,0.0652872834354639,8120,0.030298171564936638,-0.1140886314213276,0.0,7.5300536e-06,-7.483542023694057e-05,0.0001,0.5891427397727966,0.2,,,
58765,0,48840,0.91,1.36,5038,48840,2,814,-0.08056581,0.13919922336935997,8130,0.060504503548145294,-0.11562563255429267,0.0,5.832513e-05,-0.000442649028230635,0.0001,0.1524735689163208,0.2,,,
58830,0,48900,0.9,1.38,5085,48900,2,815,-0.10088638,0.13043785095214844,8140,0.059753600507974625,-0.11698586568236351,0.0,4.910429e-06,3.795951618190685e-05,0.0001,0.2763378620147705,0.2,,,
58898,0,48960,0.93,1.27,5128,48960,2,816,-0.08106095000000002,0.08353701159358025,8150,0.037649478763341904,-0.1248931847512722,0.0,2.0007292e-06,-4.229625037623919e-05,0.0001,0.5222958326339722,0.2,,,
58967,0,49020,0.93,1.28,5180,49020,2,817,-0.07087386999999999,0.07822151854634285,8160,0.03321909159421921,-0.12474088817834854,0.0,1.6500552e-06,2.965331056437037e-06,0.0001,0.626704752445221,0.2,,,
59031,0,49080,0.95,1.21,5227,49080,2,818,-0.038955809999999993,0.05623571500182152,8170,0.017862722277641296,-0.12383955046534538,0.0,0.00018032889,-0.001983169281932806,0.0001,0.1974514126777649,0.2,,,
59096,0,49140,0.96,1.24,5275,49140,2,819,-0.029691640000000005,0.05376370698213577,8180,0.02455604448914528,-0.10924774557352065,0.0,1.013279e-06,-3.4534309614642213e-06,0.0001,0.12977385520935059,0.2,,,
59170,0,49200,0.96,1.28,5324,49200,2,820,-0.03020112,0.0162853030487895,8190,0.006332501769065857,-0.10504094138741493,0.0,9.283722e-05,-0.00045201149672120523,0.0001,-0.05523228645324707,0.2,,,
