env/n_steps,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,time/fps,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss
450,450,-0.02934122277889401,0.98,0,163,1.24,,,,,,,0.018960565,140,0.12277532815933227,-0.052216975474730275,0.13333333805203437,0.001,0.2,-0.04168212413787842,-1.5141068935394286,-0.0826481431722641
,450,,,,,,1912,-0.31339239,0.73,15,0,2.73,,,,,,,,,,
480,480,-0.0535592636000365,0.96,0,173,1.38,,,,,,,0.036007885,150,0.189985666051507,-0.05900545839530693,0.21666666828095912,0.001,0.2,-0.44380855560302734,-1.4529842615127564,-0.07971462607383728
,480,,,,,,2035,-0.3326601900000001,0.71,16,0,2.84,,,,,,,,,,
510,510,-0.10453993107192218,0.9,0,186,1.7,,,,,,,0.01996432,160,0.16395305171608926,-0.057169641132156016,0.3033333390951157,0.001,0.2,-0.13251638412475586,-1.544228482246399,-0.07392571866512299
,510,,,,,,2181,-0.32134876999999995,0.71,17,0,2.72,,,,,,,,,,
540,540,-0.05133955478668213,0.96,0,199,1.32,,,,,,,0.04848441,170,0.13072325065732002,-0.06475810090700769,0.3700000084936619,0.001,0.2,0.20393621921539307,-1.2172192454338073,-0.07234850525856018
,540,,,,,,2292,-0.26776137,0.75,18,0,2.63,,,,,,,,,,
570,570,-0.030280942250974476,0.98,0,208,1.16,,,,,,,0.04310622,180,0.11159037090837956,-0.039506698273277505,0.21333333775401114,0.001,0.2,0.08768141269683838,-1.1803503394126893,-0.055203791707754135
,570,,,,,,2404,-0.2720928899999999,0.74,19,0,2.69,,,,,,,,,,
600,600,-0.0508938477979973,0.96,0,223,1.36,,,,,,,0.051648133,190,0.39804686307907106,-0.057434158352358725,0.24333334155380726,0.001,0.2,-1.2873053550720215,-1.3183854937553405,-0.015865840017795563
,600,,,,,,2523,-0.29289063,0.71,20,0,2.69,,,,,,,,,,
630,630,-0.05783601717092097,0.9,0,237,1.74,,,,,,,0.042547584,200,0.17725495547056197,-0.0579744750199219,0.2233333360403776,0.001,0.2,-0.022053241729736328,-1.0626103281974792,-0.03649156540632248
,630,,,,,,2676,-0.28212613000000003,0.73,21,0,2.57,,,,,,,,,,
660,660,-0.03278226488735527,0.98,0,248,1.42,,,,,,,0.039574802,210,0.17510607689619065,-0.05679713759416085,0.20666667073965073,0.001,0.2,-0.04620003700256348,-1.0670810103416444,-0.052912965416908264
,660,,,,,,2806,-0.27829457999999996,0.73,22,0,2.54,,,,,,,,,,
690,690,-0.030893772118724884,0.96,0,261,1.3,,,,,,,0.1352803,220,0.21108768209815026,-0.04769151198367272,0.2400000050663948,0.001,0.2,-0.22685468196868896,-0.9323142349720002,-0.016922030597925186
,690,,,,,,2921,-0.26166054,0.76,23,0,2.45,,,,,,,,,,
720,720,-0.09772059889975936,0.92,0,270,1.52,,,,,,,0.064741455,230,0.1375366561114788,-0.05150220934301615,0.25333334133028984,0.001,0.2,0.13830852508544922,-1.1217719554901122,-0.05461282283067703
,720,,,,,,3047,-0.27612797999999994,0.74,24,0,2.48,,,,,,,,,,
750,750,-0.08002300295978784,0.94,0,282,1.54,,,,,,,0.030840298,240,0.18651701137423515,-0.04539046089746997,0.15333333984017372,0.001,0.2,0.08326154947280884,-0.9467483222484588,-0.02556293085217476
,750,,,,,,3176,-0.28697656,0.74,25,0,2.52,,,,,,,,,,
780,780,-0.03466095771174878,0.96,0,294,1.38,,,,,,,0.054824878,250,0.16942966282367705,-0.06385455866033815,0.2766666695475578,0.001,0.2,0.000652015209197998,-1.009686279296875,-0.06767641752958298
,780,,,,,,3300,-0.28775711,0.74,26,0,2.51,,,,,,,,,,
810,810,-0.05158406214788556,0.94,0,306,1.4,,,,,,,0.14209646,260,0.20316686034202575,-0.07101432970104123,0.4266666628420353,0.001,0.2,-0.021789193153381348,-0.9017844378948212,-0.050532348453998566
,810,,,,,,3439,-0.26419043999999997,0.75,27,0,2.42,,,,,,,,,,
840,840,-0.027932451623491943,0.98,0,322,1.14,,,,,,,0.024412794,270,0.10040622502565384,-0.02767074489810817,0.053333335742354396,0.001,0.2,0.28976619243621826,-0.610442441701889,-0.0317051038146019
,840,,,,,,3542,-0.28020619,0.75,28,0,2.46,,,,,,,,,,
870,870,-0.00752461907453835,1.0,0,336,1.1,,,,,,,0.02515062,280,0.07153846509754658,-0.029160357483973165,0.3300000108778477,0.001,0.2,0.38802462816238403,-1.0030112326145173,-0.050496600568294525
,870,,,,,,3651,-0.28730174999999997,0.76,29,0,2.4,,,,,,,,,,
900,900,-0.03392332406248897,0.94,0,347,1.48,,,,,,,0.010652637,290,0.33671058267354964,-0.03484102777515865,0.15333333611488342,0.001,0.2,0.05334007740020752,-0.8042080640792847,0.04527609795331955
,900,,,,,,3786,-0.30037318999999996,0.75,30,0,2.43,,,,,,,,,,
930,930,-0.13903307042084634,0.86,0,359,1.64,,,,,,,0.02990692,300,0.1878623753786087,-0.05111217479531973,0.12333333827555179,0.001,0.2,-0.04541778564453125,-0.869598925113678,-0.025598622858524323
,930,,,,,,3923,-0.28961251,0.76,31,0,2.44,,,,,,,,,,
960,960,-0.09468533164821565,0.92,0,374,1.34,,,,,,,0.016964754,310,0.16458831280469893,-0.0280451892525889,0.10333333648741246,0.001,0.2,0.20876789093017578,-0.9351822555065155,0.00587400421500206
,960,,,,,,4046,-0.26101414,0.79,32,0,2.25,,,,,,,,,,
990,990,-0.02821242706850171,0.98,0,388,1.16,,,,,,,0.03827692,320,0.2791518121957779,-0.02133984909237674,0.14666667208075523,0.001,0.2,-0.340549111366272,-0.4831698089838028,0.07067615538835526
,990,,,,,,4160,-0.28604421,0.77,33,0,2.31,,,,,,,,,,
1020,1020,-0.15654759794007986,0.86,0,401,1.58,,,,,,,0.07841147,330,0.1594857782125473,-0.0379753273352982,0.20666667595505714,0.001,0.2,0.24826186895370483,-0.4846773475408554,-0.010400522500276566
,1020,,,,,,4289,-0.27543593,0.78,34,0,2.23,,,,,,,,,,
1050,1050,-0.04857840118929744,0.96,0,415,1.2,,,,,,,0.0071449857,340,0.14962290823459626,-0.012127371664391973,0.036666668578982355,0.001,0.2,0.23772913217544556,-0.26779597252607346,0.017840156331658363
,1050,,,,,,4396,-0.28070565,0.79,35,0,2.24,,,,,,,,,,
1080,1080,-0.09311724840663374,0.92,0,426,1.34,,,,,,,0.017034866,350,0.21156229823827744,-0.013013257385658505,0.036666668206453326,0.001,0.2,0.37954336404800415,-0.34623103141784667,0.032932329922914505
,1080,,,,,,4512,-0.29993982,0.77,36,0,2.31,,,,,,,,,,
1110,1110,-0.07230708838440478,0.94,0,440,1.3,,,,,,,0.046356075,360,0.20733250826597213,-0.0172909151002143,0.12333333455026149,0.001,0.2,0.3244507908821106,-0.3471941202878952,0.04067988693714142
,1110,,,,,,4639,-0.27803528999999993,0.78,37,0,2.25,,,,,,,,,,
1140,1140,-0.09824078508652746,0.92,0,454,1.54,,,,,,,0.036763392,370,0.0901653841137886,-0.030308553768942835,0.1366666704416275,0.001,0.2,0.5023396611213684,-0.45605798065662384,-0.026087269186973572
,1140,,,,,,4775,-0.31867982,0.76,38,0,2.26,,,,,,,,,,
1170,1170,-0.02844925574027002,0.98,0,470,1.12,,,,,,,0.017820884,380,0.5868207812309265,-0.006610466652588442,0.04000000208616257,0.001,0.2,-0.6645166873931885,-0.29073399901390073,0.19785189628601074
,1170,,,,,,4882,-0.28836526,0.77,39,0,2.19,,,,,,,,,,
1200,1200,-0.05349086196627468,0.94,0,484,1.34,,,,,,,0.013865229,390,0.20114277750253678,-0.010614766863485059,0.013333334028720856,0.001,0.2,0.03656649589538574,-0.25572133511304856,0.038885340094566345
,1200,,,,,,5007,-0.29178264,0.76,40,0,2.22,,,,,,,,,,
1230,1230,-0.05199297539424151,0.96,0,506,1.34,,,,,,,0.012157144,400,0.17458461076021195,-0.02175509812814802,0.06000000312924385,0.001,0.2,0.035601139068603516,-0.5173466682434082,0.025332480669021606
,1230,,,,,,5122,-0.21926931999999996,0.82,41,0,2.02,,,,,,,,,,
1260,1260,-0.02850237226113677,0.98,0,523,1.18,,,,,,,0.010929998,410,0.05863108392804861,-0.016021674505124393,0.07000000104308128,0.001,0.2,-15.844911575317383,-0.4860918253660202,-0.019016142934560776
,1260,,,,,,5233,-0.20516381,0.83,42,0,1.95,,,,,,,,,,
1290,1290,-0.029860639884136616,0.98,0,541,1.26,,,,,,,0.0063283364,420,0.23970807790756227,-0.013668063140163778,0.03666666746139526,0.001,0.2,0.030564606189727783,-0.5828897356987,0.07525734603404999
,1290,,,,,,5354,-0.16221849000000002,0.87,43,0,1.78,,,,,,,,,,
1320,1320,-0.05297959967050701,0.94,0,559,1.44,,,,,,,0.013180967,430,0.1759052522480488,-0.030350414427618145,0.10000000335276127,0.001,0.2,0.25127339363098145,-0.4715432435274124,-0.0042075105011463165
,1320,,,,,,5473,-0.12189026,0.9,44,0,1.67,,,,,,,,,,
1350,1350,-0.029900685315951706,0.98,0,577,1.22,,,,,,,0.01931608,440,0.11911963447928428,-0.012285687322922368,0.07000000327825547,0.001,0.2,-0.10592460632324219,-0.4277673751115799,0.004008803516626358
,1350,,,,,,5583,-0.11084905,0.91,45,0,1.62,,,,,,,,,,
1380,1380,-0.028400045689195394,0.98,0,592,1.18,,,,,,,0.10985811,450,0.06359917912632226,-0.02994391966611154,0.10666667222976685,0.001,0.2,0.5661843419075012,-0.3422087550163269,-0.022953059524297714
,1380,,,,,,5698,-0.13306081000000003,0.9,46,0,1.7,,,,,,,,,,
1410,1410,-0.007257357407361269,1.0,0,607,1.08,,,,,,,0.00030717254,460,0.17478151768445968,-0.0006041432717271977,0.0,0.001,0.2,0.055185556411743164,-0.24502443373203278,0.03932658210396767
,1410,,,,,,5814,-0.13470717,0.89,47,0,1.76,,,,,,,,,,
1440,1440,-0.010025817947462202,1.0,0,626,1.28,,,,,,,0.006492833,470,0.13782541900873185,-0.012509014378689898,0.03333333507180214,0.001,0.2,-0.4484856128692627,-0.2933052182197571,0.02569844387471676
,1440,,,,,,5939,-0.13025830000000002,0.89,48,0,1.71,,,,,,,,,,
1470,1470,-0.07459590167738497,0.92,0,643,1.56,,,,,,,0.01675633,480,0.10567745193839073,-0.030162371738503425,0.0733333345502615,0.001,0.2,0.5759022235870361,-0.2413300707936287,-0.0068979524075984955
,1470,,,,,,6078,-0.14264974,0.88,49,0,1.73,,,,,,,,,,
1500,1500,-0.15758540811017155,0.86,0,658,1.74,,,,,,,0.04533368,490,0.10822551399469375,-0.011066683573881164,0.04333333484828472,0.001,0.2,0.3816497325897217,-0.26217170804739,0.004830202087759972
,1500,,,,,,6232,-0.16056035999999999,0.87,50,0,1.84,,,,,,,,,,
1530,1530,-0.07578864298295229,0.94,0,670,1.36,,,,,,,0.031066792,500,0.1408905953168869,-0.0360761440234878,0.23000000715255736,0.001,0.2,-0.06499648094177246,-0.6025017440319062,-0.03663314878940582
,1530,,,,,,6405,-0.20406795,0.85,51,0,1.93,,,,,,,,,,
1560,1560,-0.09574882215820253,0.88,0,682,1.66,,,,,,,0.013598132,510,0.2698426619172096,-0.02834790418526012,0.06333333477377892,0.001,0.2,0.07195174694061279,-0.5100322753190994,0.05415162071585655
,1560,,,,,,6563,-0.20134874999999997,0.84,52,0,1.97,,,,,,,,,,
1590,1590,-0.0751037206267938,0.92,0,696,1.44,,,,,,,0.017856993,520,0.24802090227603912,-0.021656030678035166,0.05666666813194752,0.001,0.2,0.010158419609069824,-0.5723772585391999,0.057022448629140854
,1590,,,,,,6707,-0.20647956,0.84,53,0,1.99,,,,,,,,,,
1620,1620,-0.07516883888747543,0.94,0,713,1.3,,,,,,,0.019578008,530,0.16143269687891007,-0.02623011798597865,0.09333333745598793,0.001,0.2,-0.07295310497283936,-0.398445799946785,0.02767171338200569
,1620,,,,,,6830,-0.22117333999999997,0.81,54,0,2.04,,,,,,,,,,
1650,1650,-0.056309520313516256,0.9,0,729,1.46,,,,,,,0.029292231,540,0.10578429102897643,-0.05033065121931344,0.13666667155921458,0.001,0.2,0.15105170011520386,-0.6175634920597076,-0.053170930594205856
,1650,,,,,,6964,-0.18320324999999996,0.83,55,0,2.01,,,,,,,,,,
1680,1680,-0.029032179927453397,0.98,0,740,1.1,,,,,,,0.039718024,550,0.13416057527065278,-0.01925503397981334,0.06000000312924385,0.001,0.2,-0.19847500324249268,-0.23342484086751938,0.026242082938551903
,1680,,,,,,7102,-0.21770101999999997,0.79,56,0,2.16,,,,,,,,,,
1710,1710,-0.029067356470040977,0.96,0,758,1.24,,,,,,,0.013894087,560,0.23544179648160934,-0.01221704985480727,0.06333333514630794,0.001,0.2,0.1463834047317505,-0.2479201838374138,0.0761026069521904
,1710,,,,,,7220,-0.19772882999999997,0.8,57,0,2.1,,,,,,,,,,
1740,1740,-0.009139860994182528,1.0,0,767,1.18,,,,,,,0.02885511,570,0.1900254525244236,-0.014677787531788233,0.0733333345502615,0.001,0.2,0.13458597660064697,-0.48667741417884824,0.03125767037272453
,1740,,,,,,7342,-0.17088572999999996,0.8,58,0,2.13,,,,,,,,,,
1770,1770,-0.031941585727036,0.98,0,784,1.4,,,,,,,0.023380458,580,0.10643242448568344,-0.049003213513642584,0.22000000514090062,0.001,0.2,0.23782026767730713,-0.6992632567882537,-0.035133544355630875
