env/n_steps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,time/total_timesteps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,time/fps,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_range,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl
65400,-0.13282728291116655,0.86,1.38,65400,38272,0,,,,,,,0.10882536761462688,-0.041229423887562004,-0.0352831706404686,-0.2050325058400631,0.2,2170,0.11799401044845581,0.001,0.21446022719144822,0.2208668
,,,,65400,,,-0.35853164,0,218,0.66,94692,1.8,,,,,,,,,,
65700,-0.15977641044184565,0.86,1.32,65700,38462,0,,,,,,,0.1256753521412611,-0.04200953335268423,-0.03979337960481644,-0.24293104708194732,0.2,2180,0.14471852779388428,0.001,0.2420738635957241,0.2619627
,,,,65700,,,-0.20711254000000004,0,219,0.79,95156,1.54,,,,,,,,,,
66000,-0.09023996353149415,0.86,1.28,66000,38657,0,,,,,,,0.10501826159656048,-0.04005219782004133,-0.02144354023039341,-0.22649669289588928,0.2,2190,0.1330810785293579,0.001,0.2324431821703911,0.16701175
,,,,66000,,,-0.20315212000000002,0,220,0.81,95632,1.56,,,,,,,,,,
66300,-0.06930846530944108,0.92,1.2,66300,38829,0,,,,,,,0.12180490337312222,-0.038622062310460024,-0.024448461830615997,-0.24803465604782104,0.2,2200,0.039235472679138184,0.001,0.21034090906381608,0.23122759
,,,,66300,,,-0.31187671,0,221,0.67,96104,1.75,,,,,,,,,,
66600,-0.04808384613133967,0.96,1.12,66600,39008,0,,,,,,,0.12165772944688796,-0.04535497942939401,-0.060783520340919495,-0.2958382132649422,0.2,2210,0.17818671464920044,0.001,0.23954545557498932,0.22054107
,,,,66600,,,-0.25572892999999997,0,222,0.74,96563,1.63,,,,,,,,,,
66900,-0.04901270473375916,0.9,1.26,66900,39188,0,,,,,,,0.1321965493261814,-0.0472153078392148,-0.017873849719762802,-0.2927450230717659,0.2,2220,0.06521117687225342,0.001,0.2125000001490116,0.25086722
,,,,66900,,,-0.27134773,0,223,0.7,97032,1.69,,,,,,,,,,
67200,-0.19173325863666832,0.8,1.4,67200,39356,0,,,,,,,0.13360151089727879,-0.05352826915681362,-0.04319179058074951,-0.2802752539515495,0.2,2230,0.010360479354858398,0.001,0.23653409048914908,0.279849
,,,,67200,,,-0.3602885799999999,0,224,0.63,97523,1.8,,,,,,,,,,
67500,-0.11061669850256294,0.88,1.3,67500,39520,0,,,,,,,0.12160006150603295,-0.058983484972268345,-0.020427606999874115,-0.31411442905664444,0.2,2240,0.0630754828453064,0.001,0.3052556820213795,0.2699867
,,,,67500,,,-0.29034085,0,225,0.67,97973,1.81,,,,,,,,,,
67800,-0.028616787027567626,0.98,1.08,67800,39715,0,,,,,,,0.13306408926844596,-0.049782749209553,-0.03800984099507332,-0.2982260340452194,0.2,2250,0.04673045873641968,0.001,0.2530113634467125,0.2640048
,,,,67800,,,-0.19301741000000003,0,226,0.78,98402,1.59,,,,,,,,,,
68100,-0.11141674858052283,0.82,1.4,68100,39884,0,,,,,,,0.12929697588086128,-0.04158518671989441,-0.048340484499931335,-0.23145529210567475,0.2,2260,-0.03312563896179199,0.001,0.22448863685131074,0.18876585
,,,,68100,,,-0.28989846,0,227,0.7,98875,1.77,,,,,,,,,,
