eval/mean_ep_length,eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
1.26,0.96,5947,0,13500,-0.05031942064873874,13500,,,,,,,0.1618918590247631,-0.29497872292995453,0.0001,-0.0005563864869486679,440,0.2,0.2017810344696045,0.06928940862417221,0.0015625,0.00027410992
,,,,13500,,,2.05,45,0,-0.19619847,0.82,21009,,,,,,,,,,
1.34,0.96,6113,0,13800,-0.03001167645212263,13800,,,,,,,0.1509618278592825,-0.29225168377161026,0.0001,-0.00031498510308551885,450,0.2,0.2935887575149536,0.05873797461390495,0.0,0.00011629946
,,,,13800,,,1.74,46,0,-0.11716171000000002,0.9,21478,,,,,,,,,,
1.48,0.94,6255,0,14100,-0.054166400022804734,14100,,,,,,,0.13958375453948973,-0.2799375936388969,0.0001,-0.0006133913491794373,460,0.2,0.36368638277053833,0.0645979568362236,0.0,0.00015177584
,,,,14100,,,2.12,47,0,-0.25442265999999997,0.81,21948,,,,,,,,,,
1.46,0.94,6397,0,14400,-0.05768453917000443,14400,,,,,,,0.20550203174352646,-0.273775152862072,0.0001,-0.00011937176750507206,470,0.2,0.16206341981887817,0.0825323536992073,0.0,4.318877e-05
,,,,14400,,,2.1,48,0,-0.25320270000000006,0.8,22449,,,,,,,,,,
1.2,0.98,6548,0,14700,-0.028917076447978616,14700,,,,,,,0.19186436906456947,-0.2762720540165901,0.0001,-0.0002409600174864135,480,0.2,0.17951756715774536,0.06762722879648209,0.0,2.3903081e-05
,,,,14700,,,1.95,49,0,-0.17695257,0.87,22895,,,,,,,,,,
1.18,0.96,6693,0,15000,-0.029527982962317765,15000,,,,,,,0.17692507654428483,-0.2749021664261818,0.0001,-0.00043617086548692897,490,0.2,0.21250838041305542,0.08177226781845093,0.0,3.0176587e-05
,,,,15000,,,1.99,50,0,-0.19719708000000005,0.84,23328,,,,,,,,,,
1.32,0.94,6839,0,15300,-0.07193285983987152,15300,,,,,,,0.1880803033709526,-0.27109184861183167,0.0001,-0.0002967806779395232,500,0.2,0.21663951873779297,0.0745585709810257,0.0,6.235445e-05
,,,,15300,,,2.2,51,0,-0.21567925000000002,0.8,23802,,,,,,,,,,
1.48,0.94,6990,0,15600,-0.07343203760683537,15600,,,,,,,0.1909373313188553,-0.2566331550478935,0.0001,-0.00010611908324307251,510,0.2,0.10038119554519653,0.07780428975820541,0.0,1.0895924e-05
,,,,15600,,,2.07,52,0,-0.23620098999999997,0.8,24283,,,,,,,,,,
1.34,0.92,7142,0,15900,-0.07088719114661217,15900,,,,,,,0.21744095161557198,-0.24900927543640136,0.0001,-0.001155071186440182,520,0.2,0.16667520999908447,0.08945685625076294,0.0,0.00017228592
,,,,15900,,,2.0,53,0,-0.21623707,0.83,24739,,,,,,,,,,
1.28,0.94,7290,0,16200,-0.07081611837726086,16200,,,,,,,0.18688791543245314,-0.22508323267102243,0.0001,-0.0010183517704717814,530,0.2,0.17372918128967285,0.08190560340881348,0.0,0.00038223685
,,,,16200,,,2.07,54,0,-0.19450588000000002,0.85,25178,,,,,,,,,,
1.5,0.9,7436,0,16500,-0.11226420831400902,16500,,,,,,,0.16256919838488101,-0.20998767465353013,0.0001,-0.0002885914454026306,540,0.2,0.2583736777305603,0.0974709615111351,0.0,0.00010310409
,,,,16500,,,2.06,55,0,-0.21704129999999996,0.82,25667,,,,,,,,,,
1.3,0.96,7593,0,16800,-0.03223566003143787,16800,,,,,,,0.1686037052422762,-0.2052239641547203,0.0001,-0.00021980983052678483,550,0.2,0.31922757625579834,0.06609927117824554,0.0,6.281231e-06
,,,,16800,,,1.79,56,0,-0.15337750999999997,0.86,26097,,,,,,,,,,
1.24,0.96,7736,0,17100,-0.04952808776404709,17100,,,,,,,0.16800564751029015,-0.2020352654159069,0.0001,-0.0006569923456742899,560,0.2,0.24426156282424927,0.07479888945817947,0.0,5.239822e-05
,,,,17100,,,2.06,57,0,-0.18466470000000001,0.86,26629,,,,,,,,,,
1.4,0.92,7878,0,17400,-0.05219317395240068,17400,,,,,,,0.20130258724093436,-0.18655839264392854,0.0001,-0.0006366462880322387,570,0.2,0.06423848867416382,0.08352888375520706,0.0,9.500208e-05
,,,,17400,,,2.15,58,0,-0.28072709,0.8,27070,,,,,,,,,,
1.52,0.9,8034,0,17700,-0.0963497298862785,17700,,,,,,,0.19199926182627677,-0.18277684673666955,0.0001,-0.0002190062492729794,580,0.2,0.2827450633049011,0.06829748302698135,0.002112926170229912,0.00040827037
,,,,17700,,,1.67,59,0,-0.13554960000000002,0.9,27561,,,,,,,,,,
1.32,0.96,8190,0,18000,-0.05090781407430768,18000,,,,,,,0.1610538974404335,-0.17756022959947587,0.0001,-8.867485423920129e-05,590,0.2,0.3248417377471924,0.07376039773225784,0.0,1.2263994e-05
,,,,18000,,,1.98,60,0,-0.17092734,0.85,28004,,,,,,,,,,
1.26,0.96,8343,0,18300,-0.050159032507799566,18300,,,,,,,0.16508379131555556,-0.1759389214217663,0.0001,-0.00021390730433381577,600,0.2,0.2941587567329407,0.06172121688723564,0.0,2.9494784e-05
,,,,18300,,,1.78,61,0,-0.14326949,0.87,28478,,,,,,,,,,
