eval/mean_ep_length,eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
1.46,0.94,26234,0,53700,-0.07268930771853775,53700,,,,,,,0.17380799762904645,-0.053273855708539486,0.0001,-3.0900561647673186e-05,1780,0.2,0.2619715929031372,0.07927930355072021,0.0,4.884935e-06
,,,,53700,,,1.92,179,0,-0.14907821999999998,0.86,81146,,,,,,,,,,
1.4,0.94,26394,0,54000,-0.05087603020947427,54000,,,,,,,0.15752608850598335,-0.050247238017618656,0.0001,-0.0010274981055275133,1790,0.2,0.23168456554412842,0.0697278156876564,0.00078125,0.000117515214
,,,,54000,,,1.89,180,0,-0.17320149,0.85,81600,,,,,,,,,,
1.22,0.98,26540,0,54300,-0.030028937701135874,54300,,,,,,,0.21199764236807822,-0.046939531713724135,0.0001,-0.00018931393675645226,1800,0.2,0.11612975597381592,0.10554991662502289,0.0,5.6687848e-05
,,,,54300,,,2.02,181,0,-0.19195722999999998,0.82,82055,,,,,,,,,,
1.3,1.0,26680,0,54600,-0.010853791870176792,54600,,,,,,,0.15893855467438697,-0.04505606032907963,0.0001,-7.758147752578992e-06,1810,0.2,0.3643873929977417,0.05890233442187309,0.0,3.8677827e-06
,,,,54600,,,2.05,182,0,-0.16190702999999998,0.86,82487,,,,,,,,,,
1.2,0.98,26827,0,54900,-0.030123298019170762,54900,,,,,,,0.17117257192730903,-0.044122422114014626,0.0001,-7.09034504820405e-05,1820,0.2,0.2424822449684143,0.10290082544088364,0.0,6.3237017e-06
,,,,54900,,,2.13,183,0,-0.24814210999999997,0.79,82938,,,,,,,,,,
1.6,0.92,26960,0,55200,-0.07788539532572031,55200,,,,,,,0.190336986631155,-0.05201356206089258,0.0001,-8.788127010592728e-05,1830,0.2,0.28658056259155273,0.0789307951927185,0.0,1.1295493e-05
,,,,55200,,,2.19,184,0,-0.21284614999999996,0.8,83423,,,,,,,,,,
1.4,0.96,27110,0,55500,-0.05275824485346675,55500,,,,,,,0.18256438747048379,-0.04450825210660696,0.0001,-0.000550686219395935,1840,0.2,0.1634526252746582,0.08535296469926834,0.0,7.043767e-05
,,,,55500,,,1.92,185,0,-0.16511417,0.86,83891,,,,,,,,,,
1.48,0.94,27247,0,55800,-0.05291016563773155,55800,,,,,,,0.17211441397666932,-0.0405804930254817,0.0001,1.1471943499596904e-06,1850,0.2,0.2007881999015808,0.0752788707613945,0.0,5.6019053e-07
,,,,55800,,,2.06,186,0,-0.24247553000000002,0.79,84326,,,,,,,,,,
1.28,0.96,27394,0,56100,-0.0539280233066529,56100,,,,,,,0.15899371802806855,-0.04025822151452303,0.0001,-4.570461301640627e-05,1860,0.2,0.40655630826950073,0.07253631949424744,0.0,2.4687033e-06
,,,,56100,,,2.04,187,0,-0.20312525,0.83,84767,,,,,,,,,,
1.2,0.98,27561,0,56400,-0.02862025857437402,56400,,,,,,,0.17555231526494025,-0.03923517912626266,0.0001,-5.543485914749624e-09,1870,0.2,0.2789691090583801,0.08317293971776962,0.0,0.0
,,,,56400,,,1.83,188,0,-0.16837509,0.86,85235,,,,,,,,,,
1.38,0.96,27708,0,56700,-0.031852717911824584,56700,,,,,,,0.15629103630781174,-0.03929120358079672,0.0001,-2.9401415502583463e-05,1880,0.2,0.3163835406303406,0.09438856691122055,0.0,8.500647e-07
,,,,56700,,,1.81,189,0,-0.19985366,0.84,85686,,,,,,,,,,
1.4,0.9,27872,0,57000,-0.09212020699400454,57000,,,,,,,0.21501640230417252,-0.0374491261318326,0.0001,-0.0006416732784690459,1890,0.2,0.1854514479637146,0.06314504146575928,0.0,6.142515e-05
,,,,57000,,,1.71,190,0,-0.10906453,0.9,86179,,,,,,,,,,
1.32,0.96,28030,0,57300,-0.051397356316447255,57300,,,,,,,0.2308846592903137,-0.03452648296952247,0.0001,0.00010589027607985635,1900,0.2,0.10721069574356079,0.08526281267404556,0.0,3.1047966e-06
,,,,57300,,,1.91,191,0,-0.18091571,0.83,86626,,,,,,,,,,
1.32,0.98,28181,0,57600,-0.032312882556580005,57600,,,,,,,0.16567572429776192,-0.03395493980497122,0.0001,-0.0003708270337401842,1910,0.2,0.2383338212966919,0.08872488886117935,0.0,1.8640538e-05
,,,,57600,,,2.0,192,0,-0.23364787999999997,0.81,87058,,,,,,,,,,
1.3,0.96,28348,0,57900,-0.03222776800394058,57900,,,,,,,0.1693898469209671,-0.03272585086524486,0.0001,-3.241637590578605e-08,1920,0.2,0.29718804359436035,0.06694508343935013,0.0,0.0
,,,,57900,,,1.82,193,0,-0.20425694,0.85,87509,,,,,,,,,,
1.28,0.98,28491,0,58200,-0.029750093701295555,58200,,,,,,,0.19372380748391152,-0.03313405252993107,0.0001,-3.26642560430912e-05,1930,0.2,0.2673497796058655,0.09240502864122391,0.0,7.3485586e-07
,,,,58200,,,2.13,194,0,-0.22244903000000002,0.78,87941,,,,,,,,,,
1.36,0.94,28655,0,58500,-0.05104505680501461,58500,,,,,,,0.15800417140126227,-0.03272724449634552,0.0001,-8.381903393583912e-09,1940,0.2,0.305358350276947,0.08549842983484268,0.0,0.0
,,,,58500,,,1.7,195,0,-0.18250407000000002,0.88,88385,,,,,,,,,,
1.26,0.96,28816,0,58800,-0.050114403683692216,58800,,,,,,,0.20667733028531074,-0.03232499919831753,0.0001,-0.00016650732643681555,1950,0.2,0.2879047393798828,0.11210577189922333,0.0,9.396346e-06
,,,,58800,,,1.83,196,0,-0.16642140000000002,0.86,88857,,,,,,,,,,
1.22,0.98,28978,0,59100,-0.02983737736940384,59100,,,,,,,0.19588555097579957,-0.03197478232905269,0.0001,-1.9496798991180954e-05,1960,0.2,0.24375933408737183,0.09180935472249985,0.0,3.2136345e-06
,,,,59100,,,1.75,197,0,-0.15577671,0.86,89323,,,,,,,,,,
1.46,0.9,29130,0,59400,-0.11354759350884706,59400,,,,,,,0.16162477508187295,-0.03120396677404642,0.0001,-0.00019434164757778927,1970,0.2,0.1262935996055603,0.06033078581094742,0.0,2.309663e-05
,,,,59400,,,1.91,198,0,-0.19759308,0.81,89801,,,,,,,,,,
1.36,0.92,29278,0,59700,-0.09489944929257035,59700,,,,,,,0.1922433443367481,-0.030430569499731063,0.0001,-2.2432523771698242e-05,1980,0.2,0.2142748236656189,0.09515327960252762,0.0,8.305302e-06
,,,,59700,,,2.04,199,0,-0.23129505000000006,0.81,90274,,,,,,,,,,
1.34,0.96,29433,0,60000,-0.05179669773206115,60000,,,,,,,0.20518833696842192,-0.029918277729302646,0.0001,-4.4398263758793633e-07,1990,0.2,0.15061897039413452,0.13190007209777832,0.0,2.2957101e-07
,,,,60000,,,1.96,200,0,-0.19785937,0.85,90767,,,,,,,,,,
1.34,0.94,29579,0,60300,-0.051361313406378034,60300,,,,,,,0.18463616743683814,-0.034892103914171455,0.0001,-0.00019502990868529578,2000,0.2,0.2917248606681824,0.09142985194921494,0.002112926170229912,0.0022994706
,,,,60300,,,2.09,201,0,-0.23125518999999997,0.81,91254,,,,,,,,,,
1.42,0.98,29733,0,60600,-0.012087941337376833,60600,,,,,,,0.19914916753768921,-0.029821266885846853,0.0001,-9.253959820654245e-09,2010,0.2,0.2865418791770935,0.08260613679885864,0.0,0.0
,,,,60600,,,1.93,202,0,-0.16307081,0.83,91715,,,,,,,,,,
1.36,0.94,29870,0,60900,-0.07331007406115532,60900,,,,,,,0.14944696612656116,-0.029814706929028035,0.0001,5.606985453709968e-09,2020,0.2,0.34355753660202026,0.09788527339696884,0.0,0.0
,,,,60900,,,2.18,203,0,-0.20972758,0.78,92210,,,,,,,,,,
1.1,1.0,30015,0,61200,-0.007959912582300603,61200,,,,,,,0.19159906692802905,-0.02984080258756876,0.0001,3.073364673866763e-09,2030,0.2,0.19915920495986938,0.09312385320663452,0.0,0.0
,,,,61200,,,2.01,204,0,-0.21489282999999998,0.83,92667,,,,,,,,,,
1.12,1.0,30167,0,61500,-0.009514476843178273,61500,,,,,,,0.191570246219635,-0.030471521895378828,0.0001,-0.00011468704046428968,2040,0.2,0.23844915628433228,0.09199822694063187,0.0,9.602169e-06
,,,,61500,,,1.94,205,0,-0.17900243999999998,0.83,93122,,,,,,,,,,
1.3,0.94,30303,0,61800,-0.051623078770935533,61800,,,,,,,0.18194677233695983,-0.03178784605115652,0.0001,-3.2924368120745838e-09,2050,0.2,0.26468390226364136,0.06955908238887787,0.0,0.0
,,,,61800,,,2.27,206,0,-0.30775213,0.72,93586,,,,,,,,,,
1.34,0.96,30466,0,62100,-0.05117376312613487,62100,,,,,,,0.16521683931350709,-0.03161397064104676,0.0001,-0.00011850718662791415,2060,0.2,0.38224321603775024,0.07386934012174606,0.0,6.443588e-06
,,,,62100,,,1.84,207,0,-0.16272525999999998,0.88,94273,,,,,,,,,,
1.28,1.0,30617,0,62400,-0.009962555696256458,62400,,,,,,,0.15317804254591466,-0.030437411181628703,0.0001,-1.9998035671875414e-08,2070,0.2,0.3002760410308838,0.0758352279663086,0.0,0.0
,,,,62400,,,2.02,208,0,-0.20309378000000003,0.83,94744,,,,,,,,,,
1.3,0.96,30765,0,62700,-0.05001920886337757,62700,,,,,,,0.16589048281311988,-0.030160662531852723,0.0001,4.608988479759546e-09,2080,0.2,0.2418549656867981,0.06301452964544296,0.0,0.0
,,,,62700,,,2.06,209,0,-0.23041331999999998,0.82,95222,,,,,,,,,,
1.44,0.94,30924,0,63000,-0.07974296091590077,63000,,,,,,,0.15882397890090943,-0.03024248257279396,0.0001,-6.354107013462062e-06,2090,0.2,0.4184080958366394,0.09257599711418152,0.0,3.632158e-07
,,,,63000,,,1.92,210,0,-0.18553628,0.86,95713,,,,,,,,,,
1.28,0.96,31076,0,63300,-0.04974521790631115,63300,,,,,,,0.1744409404695034,-0.030096412263810636,0.0001,-3.1619859906228956e-05,2100,0.2,0.3074788451194763,0.09484434127807617,0.0,2.8118957e-06
,,,,63300,,,1.99,211,0,-0.17637996000000006,0.85,96194,,,,,,,,,,
1.26,0.98,31219,0,63600,-0.01009310947265476,63600,,,,,,,0.15663464590907097,-0.029059616103768348,0.0001,-0.0003207432364104257,2110,0.2,0.3151128888130188,0.0731891319155693,0.0,2.2860826e-05
,,,,63600,,,2.24,212,0,-0.25554822,0.78,96674,,,,,,,,,,
1.42,0.92,31373,0,63900,-0.07334813794121146,63900,,,,,,,0.16207048818469047,-0.02818673187866807,0.0001,9.232793241054083e-09,2120,0.2,0.3657042980194092,0.08253313601016998,0.0,0.0
,,,,63900,,,1.82,213,0,-0.17461686999999998,0.85,97203,,,,,,,,,,
1.38,0.94,31509,0,64200,-0.07225219765212387,64200,,,,,,,0.18121561408042908,-0.029360084515064954,0.0001,-0.0006665612279860067,2130,0.2,0.17584586143493652,0.07550132274627686,0.0001953125,4.0371786e-05
,,,,64200,,,2.21,214,0,-0.22073587000000003,0.77,97694,,,,,,,,,,
1.16,0.98,31654,0,64500,-0.029244150780141354,64500,,,,,,,0.16663552224636077,-0.032007586769759656,0.0001,3.750690114046052e-09,2140,0.2,0.2781277894973755,0.08347038179636002,0.0,0.0
,,,,64500,,,2.02,215,0,-0.17857696999999997,0.83,98157,,,,,,,,,,
1.78,0.82,31800,0,64800,-0.18238891696557402,64800,,,,,,,0.18579259663820266,-0.03287687581032515,0.0001,-7.973022557883347e-05,2150,0.2,0.2138890027999878,0.07120707631111145,0.0,6.0142484e-06
,,,,64800,,,2.03,216,0,-0.19536791,0.82,98655,,,,,,,,,,
1.24,0.98,31960,0,65100,-0.03436019378714263,65100,,,,,,,0.16189553327858447,-0.033782510459423064,0.0001,4.22905133135032e-09,2160,0.2,0.30902642011642456,0.08486757427453995,0.0,0.0
,,,,65100,,,1.92,217,0,-0.17798080999999996,0.84,99128,,,,,,,,,,
