time/time_elapsed,env/n_steps,env/current_idx,rollout/ep_len_mean,env/completion_counter,time/fps,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
3761,3060,2055,1.38,0,0,3060,0.92,-0.06231916000000001,102,0.001,0.07635276913642883,0.2,0.03749633,-0.03505960986639067,0.10812616348266602,-0.04919449985027313,-0.6439826011657714,1010,0.41666666939854624,,,
3796,3090,2076,1.38,0,0,3090,0.92,-0.05260235000000001,103,0.001,0.009327188553288578,0.2,0.02906816,-0.054733934924006536,-28.87150764465332,-0.0763036236166954,-0.5268828451633454,1020,0.4333333417773247,,,
3829,3120,2098,1.35,0,0,3120,0.93,-0.05274438,104,0.001,0.004593087802641093,0.2,0.029963793,-0.02260620176142165,-2.211343288421631,-0.036869075149297714,-0.3398749172687531,1030,0.0600000012665987,,,
3864,3150,2120,1.39,0,0,3150,0.93,-0.05286972,105,0.001,0.12502745985984803,0.2,0.047803964,-0.025407651903418583,0.22654789686203003,-0.0014100931584835052,-0.36637563705444337,1040,0.1300000037997961,,,
3898,3180,2142,1.38,0,0,3180,0.92,-0.06262296,106,0.001,0.0659940930083394,0.2,0.008719796,-0.009505988845679169,0.31710678339004517,-0.015805605798959732,-0.4144283890724182,1050,0.04666666761040687,,,
3949,3210,2170,1.28,0,0,3210,0.95,-0.06111704,107,0.001,0.16243484169244765,0.2,0.026382651,-0.02089612334811406,0.05252087116241455,0.022275175899267197,-0.43026435375213623,1060,0.10666666887700557,,,
3983,3240,2189,1.34,0,0,3240,0.93,-0.07216004,108,0.001,0.02273687133565545,0.2,0.015671242,-0.01511168729513912,-24.62507438659668,-0.014231797307729721,-0.2493471696972847,1070,0.07666666880249977,,,
4016,3270,2206,1.41,0,0,3270,0.91,-0.09312870999999998,109,0.001,0.14098739624023438,0.2,6.670157e-05,-0.0002625876638921554,0.2640530467033386,0.05459140986204147,-0.1288510575890541,1080,0.0,,,
4049,3300,2229,1.33,0,0,3300,0.92,-0.07152544,110,0.001,0.15519079342484474,0.2,0.018509265,-0.00839096167124822,0.12607896327972412,0.039790138602256775,-0.20085944831371308,1090,0.026666668057441712,,,
4086,3330,2256,1.34,0,0,3330,0.91,-0.08145625000000001,111,0.001,0.09718544483184814,0.2,0.05978256,-0.02998513657599684,0.07252585887908936,-0.01824888400733471,-0.42157799899578097,1100,0.10000000335276127,,,
